EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2A,FG3A,OpponentPoints,SecondChanceFG3A,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Rebounds,SelfOReb,LiveBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,FG3APct,Usage,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG3M,Points,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,ShortMidRangeAssists,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Steals,LostBallSteals,ShootingFouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2A,PtsUnassisted2s,NonHeaveArc3FGM,BadPassTurnovers,PenaltyTurnovers,BlockedLongMidRange,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG2A,PtsPutbacks,ThreePtAssists,Arc3Assists,OffThreePtRebounds,BadPassSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,BlockedAtRim,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,FtPoints,SecondChanceFtPoints,PenaltyFG2M,PenaltyFtPoints,PtsUnassisted3s,Fg2aBlocked,Corner3Assists,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShortMidRangePctAssisted,OffCorner3ReboundPct,on,SecondChanceCorner3FGA,FTOffRebounds,BadPassOutOfBoundsTurnovers,Blocked3s,BlockedCorner3,OffFTReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,Travels,ShortMidRangePctBlocked,HeaveAttempts,Technical Free Throw Trips,SecondChanceCorner3FGM,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3PctAssisted,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations
109,1610612747,Robert Horry,Robert Horry,109,LAL,809.0,13,5,25,25,8,4.0,50,1.0,2.0,1.0,1,2.0,20,1.0,2.0,4.0,4.0,2.0,2.0,8.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,12.903225806451614,1.0,0.3333333333333333,0.23529411764705882,0.4,0.4,0.3333333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.4772,0.61065,10.3,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
1904,1610612747,Devean George,Devean George,1904,LAL,1389.0,23,9,41,44,5,7.0,85,1.0,1.0,,3,2.0,39,,1.0,2.0,2.0,1.0,,4.0,,,5.0,,,,,,3.0,,,,,,0.4,10.0,,,,,,,,0.2,0.2,,0.4,0.42939999999999995,,14.700000000000001,24.65,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.5,1.0,0.5,0.6666666666666666,0.7,1.5,0.7,1.5,0.3333333333333333,0.1875,0.16666666666666666,0.18181818181818182,0.14285714285714285,0.25,0.2,0.4,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,0.5604,0.42857142857142855,0.07317073170731707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
216,1610612747,Brian Shaw,Brian Shaw,216,LAL,1717.0,29,1,53,55,22,6.0,108,1.0,5.0,,3,5.0,56,,5.0,,,,,,,,6.0,,1.0,,1.0,,5.0,2.0,1.0,2.0,1.0,,0.625,14.516129032258064,1.0,,,,,,0.5,0.125,0.625,,0.75,0.39160625000000004,0.4168,8.033333333333333,27.28,19.0,,1.0,,,,,1.0,1.0,5.0,1.0,3.0,3.0,,3.0,,1.0,4.0,1.0,6.0,,,4.0,3.0,19.0,,,1.0,0.2,0.3333333333333333,0.2,0.3333333333333333,0.3125,0.5,0.3125,0.5,0.3333333333333333,0.19047619047619047,0.3333333333333333,0.20833333333333334,0.36363636363636365,,0.5,0.125,,,,,,,,,,0.3068,0.6,0.3584905660377358,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.125,1.0,1.0,0.2,0.2,1.0,1.0,0.3333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
955,1610612747,Samaki Walker,Samaki Walker,955,LAL,2938.0,49,9,92,97,33,12.0,189,1.0,,,5,,97,,,1.0,2.0,1.0,,5.0,3.0,4.0,13.0,,1.0,,3.0,,11.0,2.0,,2.0,2.0,1.0,,7.4766355140186915,0.3333333333333333,0.08571428571428572,0.0851063829787234,0.1111111111111111,,,1.0,0.2,,,0.6,0.5318400000000001,0.6173000000000001,4.9799999999999995,,33.0,,1.0,,,,,2.0,,4.0,,,,,,,,8.0,1.0,9.0,1.0,,7.0,,33.0,,,,,,,0.4,0.4,,0.4,,0.16666666666666666,0.24242424242424243,,0.1951219512195122,0.13333333333333333,0.3333333333333333,,0.2,,,,,,,,,,0.3791,,0.358695652173913,2.0,3.0,,,,3.0,4.0,,1.0,,,0.6,0.6666666666666666,0.6666666666666666,,,,,,,2.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.16666666666666666,0.09090909090909091,0.3333333333333333,1.0,0.6666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,2259.0,38,13,71,73,20,11.0,144,7.0,5.0,,25,5.0,73,,5.0,2.0,3.0,1.0,1.0,7.0,2.0,2.0,8.0,,2.0,,5.0,,3.0,,,,,,0.16666666666666666,45.88235294117647,0.4,0.08333333333333333,0.05714285714285714,0.08333333333333333,0.125,,,0.23333333333333334,0.16666666666666666,,0.4,0.46200833333333335,0.41365,11.671999999999999,25.640000000000004,20.0,5.0,11.0,,,,,11.0,3.0,40.0,1.0,1.0,10.0,14.0,,,1.0,4.0,1.0,6.0,,,,10.0,20.0,0.6363636363636364,0.6363636363636364,,0.6,1.0,0.6,0.44,0.5166666666666667,0.5833333333333334,0.5882352941176471,0.7142857142857143,0.25,0.17391304347826086,0.2,0.17857142857142858,,0.375,0.25,0.36666666666666664,0.45454545454545453,0.45454545454545453,0.6,,,,,,,0.5643083333333334,0.25,0.28169014084507044,5.0,7.0,3.0,1.0,1.0,3.0,8.0,3.0,2.0,1.0,,0.23333333333333334,0.7142857142857143,0.8333333333333334,0.6,0.6,,0.16666666666666666,1.0,0.6,1.0,2.0,1.0,5.0,5.0,,1.0,,,,3.0,,,2.0,,0.3333333333333333,0.3333333333333333,0.625,,,,0.25,0.6666666666666666,0.5,0.125,2.0,3.0,1.0,9.0,3.0,2.0,3.0,9.0,1.0,1.0,9.0,1.0,4.0,1.0,0.4,0.04,0.14285714285714285,0.8,0.14285714285714285,0.14285714285714285,1.0,0.5,0.6666666666666666,0.12121212121212122,0.14285714285714285,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2457,1610612747,Jannero Pargo,Jannero Pargo,2457,LAL,1038.0,17,-4,32,35,13,3.0,67,1.0,1.0,,3,2.0,32,,1.0,3.0,3.0,,3.0,6.0,,,,,,,1.0,,1.0,,,,,,0.4,17.142857142857142,,,,,,,,0.2,0.2,,0.6,0.5238,,8.733333333333333,24.0,18.0,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,2.0,2.0,6.0,,3.0,,,,,,1.0,,1.0,6.0,18.0,,,0.5,1.0,1.0,1.0,0.3333333333333333,0.8,1.0,0.8,1.0,,,,,,,,0.2,,,,0.2,1.0,1.0,,0.3333333333333333,1.0,0.5238333333333333,0.75,0.5625,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,,1.0,,0.2,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,0.3333333333333333,,,,,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
965,1610612747,Derek Fisher,Derek Fisher,965,LAL,1623.0,27,7,52,54,20,8.0,106,2.0,4.0,2.0,4,4.0,61,2.0,4.0,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,0.5,16.39344262295082,,0.06666666666666667,0.043478260869565216,,0.3333333333333333,,,0.25,0.5,1.0,0.625,0.49815000000000004,0.5304,8.525,25.049999999999997,15.0,1.0,1.0,,,,,2.0,2.0,14.0,,,6.0,,6.0,,,,,,1.0,1.0,1.0,6.0,15.0,,,1.0,0.5,,0.5,0.5,0.625,0.5,0.7,0.75,,,,,,,,0.125,1.0,1.0,,,,,,,,0.4805,0.42857142857142855,0.28846153846153844,,1.0,2.0,,,,4.0,2.0,,,,0.125,,,0.5,0.5,1.0,,,0.5,,,,3.0,2.0,,,,,,,,,,,,0.75,0.75,,,,,,,0.21428571428571427,,1.0,1.0,4.0,,1.0,4.0,,,,4.0,,1.0,1.0,0.5,,,,0.5,0.5,,0.5,,0.1111111111111111,0.2,,1.0,1.0,0.5,0.5,1.0,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
406,1610612747,Shaquille O'Neal,Shaquille O'Neal,406,LAL,1266.0,21,6,38,40,9,7.0,78,7.0,,,9,,44,,,,1.0,,,3.0,2.0,2.0,7.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,,,26.08695652173913,,0.14285714285714285,0.1111111111111111,0.2,,0.2,1.0,0.7777777777777778,,,0.2222222222222222,0.43345555555555554,0.57855,5.355555555555556,,9.0,,,,,,,4.0,,13.0,,,2.0,2.0,,,,3.0,2.0,5.0,,,,2.0,9.0,0.25,0.5,,,,,0.4444444444444444,0.4444444444444444,0.5,0.5909090909090909,0.5,0.6666666666666666,0.2,,0.14285714285714285,0.2857142857142857,,,,,,,,,,,,,0.48055,0.15384615384615385,0.23684210526315788,2.0,2.0,,,,2.0,6.0,,,,,0.2222222222222222,1.0,1.0,,,,,,,2.0,2.0,2.0,4.0,2.0,4.0,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,,0.3333333333333333,1.0,1.0,0.3076923076923077,1.0,1.0,2.0,5.0,,1.0,,,,,6.0,2.0,4.0,,0.5,,,,0.2857142857142857,0.2857142857142857,,0.5,1.0,0.36363636363636365,0.36363636363636365,,,,,,,0.5,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2058,1610612747,Mark Madsen,Mark Madsen,2058,LAL,398.0,7,-8,13,15,9,,28,,,,1,,19,,,,,,,,,,,,,,,,2.0,,,,,,,7.692307692307692,,,,,,,,,,,1.0,0.6432,,,,11.0,,,,,,,1.0,,2.0,,,2.0,2.0,,,,,,,,,1.0,2.0,11.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.6432,1.0,0.8461538461538461,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
2098,1610612747,Slava Medvedenko,Slava Medvedenko,2098,LAL,611.0,10,3,21,23,13,1.0,44,,,,5,,21,,,,,,,,,1.0,4.0,,1.0,,1.0,,3.0,,,,,1.0,,27.272727272727273,1.0,,0.1111111111111111,,,,,,,,0.4,0.43929999999999997,,11.84,,18.0,2.0,3.0,,,,,3.0,,6.0,,,6.0,4.0,,,1.0,2.0,,3.0,,,2.0,6.0,18.0,0.6666666666666666,1.0,,,,,0.6,0.6,0.6,0.6,0.6,,0.25,0.5,0.3,,0.3333333333333333,1.0,0.6,0.6666666666666666,0.6666666666666666,1.0,,,,,,,0.43929999999999997,1.0,0.8571428571428571,1.0,2.0,,,,1.0,2.0,,1.0,,,0.4,0.5,0.5,,,,,,,1.0,1.0,1.0,2.0,5.0,2.0,,,1.0,,,,,,,1.0,1.0,1.0,0.5,,,0.5,1.0,1.0,0.3333333333333333,1.0,2.0,,,,3.0,,,,,,,,,0.6,,,,,,,0.4,0.5,,,,,,,,,,1.0,True,,,,,,,,,,,,,,,,,,,,,,,,,
