EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,FTOffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,Defensive 3 Seconds Violations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,Fg3aBlocked,LostBallOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,Technical Free Throw Trips,LongMidRangePctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,3SecondViolations,on,Clear Path Fouls
101177,1610612759,Fabricio Oberto,Fabricio Oberto,101177,SAS,2997.0,50.0,13.0,98,103,37.0,69,9.0,201,6.0,7.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,10.0,13.0,2.0,22.0,84.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,14.0,6.0,2.0,1.0,3.0,1.0,5.0,2.0,8.0,4.0,12.0,4.0,1.0,1.0,3.0,5.0,2.0,7.0,12.0,1.0,4.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,6.0,37.0,2.0,2.0,0.7,0.7777777777777778,0.7692307692307693,1.0,1.0,0.7692307692307693,1.0,1.0,0.7333333333333333,1.0,0.75,18.51851851851852,0.8,0.25,0.11627906976744186,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.11538461538461539,0.10526315789473684,0.125,0.25,0.14285714285714285,0.07692307692307693,0.21428571428571427,0.0625,0.2,1.0,0.5384615384615384,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.3076923076923077,0.5,0.5,0.5,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5384615384615384,0.5159923076923078,0.5975,0.48875,0.07692307692307693,0.07692307692307693,0.09090909090909091,0.2727272727272727,5.053846153846153,0.37755102040816324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
109,1610612759,Robert Horry,Robert Horry,109,SAS,70905.0,1182.0,235.0,2199,2192,767.0,848,238.0,4391,30.0,56.0,13.0,21.0,9.0,20.0,13.0,40.0,16.0,52.0,59.0,148.0,44.0,321.0,2143.0,14.0,29.0,53.0,16.0,41.0,21.0,92.0,68.0,50.0,20.0,20.0,48.0,21.0,132.0,18.0,171.0,71.0,242.0,23.0,17.0,18.0,6.0,41.0,12.0,60.0,115.0,3.0,76.0,6.0,11.0,68.0,,18.0,16.0,49.0,32.0,51.0,28.0,92.0,767.0,16.0,16.0,0.576271186440678,0.6938775510204082,0.39864864864864863,0.4827586206896552,0.3902439024390244,0.4743150684931507,0.5227272727272727,0.36597938144329895,0.49233128834355827,0.5520833333333334,0.4,14.87034035656402,0.5609756097560976,0.2535211267605634,0.15714285714285714,0.06966618287373004,0.11666666666666667,0.06688963210702341,0.15,0.06882591093117409,0.06172839506172839,0.09243697478991597,0.07936507936507936,0.2,0.13186813186813187,0.1404109589041096,0.16260162601626016,0.5490196078431373,0.1917808219178082,0.5357142857142857,0.625,0.5333333333333333,0.136986301369863,0.325,0.3333333333333333,0.6923076923076923,0.1780821917808219,0.3076923076923077,0.3076923076923077,0.5625,0.4772727272727273,0.6190476190476191,0.20618556701030927,0.45,0.684931506849315,0.49073213058419246,0.5197055555555555,0.48857656250000003,0.05806451612903226,0.10843373493975904,0.16510903426791276,0.2866043613707165,9.305405405405406,0.3487949067758072,17.0,42.0,3.0,7.0,4.0,12.0,36.0,102.0,3.0,8.0,9.0,44.0,53.0,144.0,6.0,15.0,7.0,13.0,56.0,144.0,15.0,1.0,101.0,36.0,9.0,62.0,17.0,79.0,9.0,8.0,36.0,14.0,12.0,175.0,3.0,2.0,43.0,23.0,20.0,6.0,2.0,1.0,5.0,11.0,2.0,1.0,1.0,2.0,15.0,2.0,1.0,1.0,0.9056603773584906,0.3680555555555556,0.4,0.23214285714285715,0.3706293706293706,0.4931506849315068,0.060810810810810814,0.14285714285714285,0.025,0.037037037037037035,0.052884615384615384,0.045454545454545456,0.017543859649122806,0.012269938650306749,0.14383561643835616,0.40476190476190477,0.40476190476190477,0.8823529411764706,0.3493150684931507,0.35294117647058826,0.35294117647058826,0.9166666666666666,0.23076923076923078,0.1590909090909091,0.42857142857142855,0.6666666666666666,0.18181818181818182,0.375,0.6666666666666666,0.12371134020618557,0.3333333333333333,0.4536082474226804,0.20454545454545456,0.3564356435643564,24.9548611111111,,,,,,,,,,,True,
1477,1610612759,Bruce Bowen,Bruce Bowen,1477,SAS,41358.0,689.0,46.0,1248,1268,430.0,502,131.0,2516,5.0,14.0,2.0,2.0,1.0,6.0,3.0,10.0,8.0,24.0,16.0,48.0,20.0,142.0,1316.0,2.0,5.0,15.0,3.0,15.0,11.0,62.0,14.0,18.0,4.0,2.0,4.0,21.0,54.0,10.0,85.0,7.0,92.0,8.0,5.0,9.0,3.0,17.0,5.0,21.0,50.0,4.0,37.0,1.0,13.0,28.0,,7.0,7.0,7.0,5.0,7.0,5.0,62.0,430.0,8.0,6.0,0.4375,0.5,0.3333333333333333,0.4,0.2,0.5495495495495496,0.43333333333333335,0.5666666666666667,0.568,0.46875,0.5961538461538461,10.121168923734855,0.47058823529411764,0.24390243902439024,0.1134453781512605,0.009828009828009828,0.19444444444444445,0.013605442176870748,0.1284246575342466,0.010830324909747292,0.006756756756756757,0.007042253521126761,0.011627906976744186,0.07228915662650602,0.07586206896551724,0.18787878787878787,0.2191780821917808,0.7142857142857143,0.12612612612612611,0.35714285714285715,0.5,0.2,0.09009009009009009,0.3,0.3333333333333333,0.6666666666666666,0.21621621621621623,0.3333333333333333,0.3333333333333333,0.5,0.13333333333333333,1.0,0.13333333333333333,0.16666666666666666,0.6936936936936937,0.510855909090909,0.5875227272727273,0.5122863636363637,0.059322033898305086,0.12727272727272726,0.1056338028169014,0.43661971830985913,11.13541666666667,0.34455128205128205,29.0,58.0,3.0,7.0,14.0,27.0,1.0,5.0,,3.0,1.0,3.0,30.0,63.0,3.0,10.0,2.0,15.0,30.0,90.0,,1.0,4.0,1.0,5.0,20.0,13.0,33.0,9.0,4.0,10.0,6.0,4.0,79.0,1.0,1.0,15.0,11.0,4.0,2.0,1.0,,2.0,,,,,1.0,1.0,,,,1.0,0.47619047619047616,0.3,0.5,0.4838709677419355,0.5675675675675675,0.10416666666666667,0.2857142857142857,0.1,0.02127659574468085,0.017094017094017096,0.01639344262295082,0.14285714285714285,0.01694915254237288,0.5225225225225225,0.5,0.5,1.0,0.04504504504504504,0.2,0.25,1.0,,0.4666666666666667,0.42857142857142855,1.0,0.2,,,0.6,0.5185185185185185,0.06666666666666667,0.3333333333333333,0.25,23.98730158730159,1.0,2.0,0.015873015873015872,0.2,,,,,,,True,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,32528.0,542.0,193.0,1028,1012,377.0,404,118.0,2040,53.0,85.0,6.0,12.0,15.0,25.0,15.0,39.0,13.0,23.0,81.0,147.0,101.0,335.0,955.0,11.0,18.0,29.0,21.0,42.0,55.0,124.0,48.0,114.0,6.0,8.0,5.0,10.0,41.0,5.0,56.0,14.0,70.0,27.0,22.0,14.0,5.0,41.0,13.0,20.0,46.0,6.0,107.0,3.0,12.0,125.0,10.0,44.0,19.0,8.0,5.0,8.0,3.0,124.0,377.0,8.0,18.0,0.2962962962962963,0.3076923076923077,0.5510204081632653,0.6111111111111112,0.5,0.5571428571428572,0.5,0.5149253731343284,0.6254752851711026,0.5370370370370371,0.6237113402061856,26.25215889464594,0.6585365853658537,0.1724137931034483,0.10761154855643044,0.01597444089456869,0.11363636363636363,0.05405405405405406,0.10874200426439233,0.028199566160520606,,0.011363636363636364,0.06818181818181818,0.09016393442622951,0.09090909090909091,0.14173228346456693,0.13333333333333333,0.375,0.40476190476190477,0.6235294117647059,0.6973684210526315,0.2830188679245283,0.18571428571428572,0.38461538461538464,0.42857142857142855,0.26666666666666666,0.10952380952380952,0.5652173913043478,0.5909090909090909,0.38461538461538464,0.48,0.5,0.373134328358209,0.6,0.7047619047619048,0.5105557692307693,0.5092684210526316,0.48185384615384613,0.18032786885245902,0.2430939226519337,0.08656716417910448,0.3701492537313433,5.517006802721087,0.3667315175097276,5.0,17.0,,1.0,1.0,5.0,19.0,46.0,1.0,6.0,8.0,20.0,24.0,63.0,1.0,7.0,4.0,9.0,25.0,57.0,15.0,2.0,44.0,19.0,14.0,36.0,21.0,57.0,7.0,14.0,20.0,7.0,9.0,135.0,1.0,2.0,32.0,17.0,15.0,2.0,,2.0,,1.0,,,,1.0,2.0,,,,0.7916666666666666,0.38095238095238093,0.14285714285714285,0.36,0.39344262295081966,0.3,0.09523809523809523,0.10588235294117647,0.10256410256410256,0.02564102564102564,0.034782608695652174,0.03333333333333333,0.07142857142857142,0.023809523809523808,0.08095238095238096,0.29411764705882354,0.29411764705882354,1.0,0.21904761904761905,0.41304347826086957,0.41304347826086957,0.7368421052631579,0.16666666666666666,0.04,,,0.24,0.16666666666666666,1.0,0.07462686567164178,0.2,0.29850746268656714,0.4,0.4318181818181818,26.033333333333335,,2.0,,,9.0,0.043478260869565216,,,,,True,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,42813.0,714.0,174.0,1352,1343,584.0,601,126.0,2695,101.0,158.0,5.0,8.0,40.0,66.0,19.0,45.0,34.0,89.0,154.0,292.0,82.0,405.0,1327.0,10.0,15.0,20.0,56.0,112.0,52.0,176.0,78.0,230.0,2.0,6.0,5.0,12.0,50.0,1.0,63.0,11.0,74.0,35.0,18.0,33.0,17.0,68.0,32.0,12.0,53.0,8.0,91.0,,1.0,112.0,14.0,44.0,19.0,1.0,1.0,1.0,1.0,176.0,584.0,7.0,18.0,0.2532467532467532,0.2549019607843137,0.5273972602739726,0.6666666666666666,0.5,0.5277777777777778,0.5882352941176471,0.512396694214876,0.5704225352112676,0.5882352941176471,0.5714285714285714,28.21881254169446,0.5147058823529411,0.022222222222222223,0.09578544061302682,0.012254901960784314,0.11428571428571428,0.03614457831325301,0.09888357256778309,0.01916376306620209,0.007194244604316547,0.020689655172413793,0.03,0.08670520231213873,0.07692307692307693,0.12222222222222222,0.125,1.0,0.5163398692810458,0.6392405063291139,0.7372262773722628,0.24752475247524752,0.14705882352941177,0.4222222222222222,0.475,0.15789473684210525,0.2908496732026144,0.38202247191011235,0.38202247191011235,0.3235294117647059,0.47058823529411764,0.625,0.5454545454545454,0.6060606060606061,0.5620915032679739,0.505511437908497,0.5093333333333333,0.514453305785124,0.13095238095238096,0.13664596273291926,0.04938271604938271,0.4345679012345679,7.350684931506846,0.4319526627218935,2.0,4.0,,,2.0,2.0,3.0,10.0,,2.0,2.0,7.0,5.0,14.0,,2.0,,4.0,9.0,9.0,6.0,,10.0,3.0,26.0,62.0,60.0,122.0,23.0,37.0,28.0,12.0,22.0,304.0,,1.0,25.0,16.0,9.0,8.0,1.0,11.0,4.0,,,,,,,,,,0.6,0.35714285714285715,,0.4444444444444444,0.35714285714285715,0.0457516339869281,0.08904109589041095,0.13291139240506328,0.1111111111111111,,0.008064516129032258,0.045454545454545456,0.0975609756097561,0.008403361344537815,0.013071895424836602,0.5,0.5,1.0,0.032679738562091505,0.3,0.3,0.3333333333333333,0.4,,,,0.11764705882352941,,,0.01652892561983471,1.0,0.05785123966942149,0.2857142857142857,0.3,25.150000000000002,,3.0,,,,,,,,,True,
89,1610612759,Nick Van Exel,Nick Van Exel,89,SAS,21171.0,353.0,47.0,637,632,135.0,145,80.0,1269,11.0,18.0,1.0,2.0,1.0,2.0,14.0,37.0,10.0,25.0,35.0,80.0,14.0,132.0,596.0,4.0,9.0,24.0,6.0,16.0,7.0,28.0,22.0,48.0,,,3.0,5.0,23.0,1.0,29.0,3.0,32.0,12.0,10.0,5.0,2.0,17.0,2.0,9.0,19.0,1.0,15.0,,1.0,19.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,28.0,135.0,1.0,3.0,0.3142857142857143,0.3142857142857143,0.4375,0.4444444444444444,0.375,0.43703703703703706,0.6764705882352942,0.42,0.45774647887323944,0.6764705882352942,0.4482758620689655,21.93103448275862,0.7058823529411765,0.058823529411764705,0.0931174089068826,0.012987012987012988,0.08333333333333333,,0.09120521172638436,0.009316770186335404,0.010638297872340425,0.014705882352941176,,0.08333333333333333,0.11688311688311688,0.08163265306122448,0.06666666666666667,1.0,0.13333333333333333,0.6111111111111112,0.6470588235294118,0.36363636363636365,0.2740740740740741,0.3783783783783784,0.4117647058823529,0.35714285714285715,0.18518518518518517,0.4,0.4,0.2,0.11764705882352941,0.5,0.08,0.5,0.5407407407407407,0.4750231343283583,0.4857541666666667,0.42497708333333334,0.03597122302158273,0.036585365853658534,0.18181818181818182,0.21212121212121213,9.7075,0.2119309262166405,3.0,10.0,2.0,3.0,,1.0,13.0,45.0,3.0,5.0,3.0,8.0,16.0,55.0,5.0,8.0,1.0,3.0,9.0,24.0,24.0,,45.0,13.0,4.0,27.0,14.0,41.0,9.0,5.0,14.0,7.0,6.0,96.0,,1.0,9.0,6.0,3.0,4.0,,,2.0,,,,,,,,,1.0,0.5,0.2909090909090909,0.625,0.3333333333333333,0.2909090909090909,0.4074074074074074,0.05,0.05555555555555555,0.08108108108108109,,0.014492753623188406,,0.13333333333333333,0.012987012987012988,0.07407407407407407,0.3,0.3,1.0,0.3333333333333333,0.28888888888888886,0.29545454545454547,0.38461538461538464,,0.17647058823529413,0.6666666666666666,1.0,0.29411764705882354,0.6,0.3333333333333333,0.04,,0.32,0.375,0.28888888888888886,25.087272727272726,1.0,,0.01818181818181818,0.022222222222222223,2.0,,2.0,0.03508771929824561,,,True,
699,1610612759,Brent Barry,Brent Barry,699,SAS,25075.0,418.0,117.0,777,777,262.0,284,85.0,1554,14.0,17.0,1.0,1.0,7.0,8.0,6.0,9.0,4.0,10.0,24.0,36.0,16.0,160.0,729.0,3.0,6.0,15.0,10.0,16.0,8.0,46.0,26.0,22.0,2.0,2.0,5.0,10.0,30.0,3.0,43.0,8.0,51.0,13.0,9.0,7.0,4.0,20.0,10.0,15.0,30.0,3.0,18.0,2.0,2.0,24.0,2.0,10.0,2.0,9.0,3.0,9.0,6.0,46.0,262.0,3.0,2.0,0.5416666666666666,0.5652173913043478,0.6666666666666666,0.5,0.625,0.6857142857142857,0.5769230769230769,0.5277777777777778,0.6869565217391305,0.5769230769230769,0.5609756097560976,15.49942594718714,0.65,0.10344827586206896,0.09433962264150944,0.02262443438914027,0.15625,0.01694915254237288,0.10471204188481675,0.02064896755162242,0.029850746268656716,,,0.07920792079207921,0.08411214953271028,0.11818181818181818,0.13636363636363635,0.6666666666666666,0.1619047619047619,0.8235294117647058,0.8235294117647058,0.7142857142857143,0.08571428571428572,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.09523809523809523,0.4,0.4,0.5,0.07692307692307693,1.0,0.2222222222222222,0.875,0.819047619047619,0.5395360576923077,0.46550416666666666,0.5388857142857143,0.08849557522123894,0.22727272727272727,0.09375,0.2875,8.122222222222222,0.33719433719433717,13.0,23.0,,1.0,4.0,9.0,19.0,46.0,3.0,6.0,2.0,11.0,32.0,69.0,3.0,7.0,,6.0,20.0,84.0,12.0,1.0,45.0,19.0,,28.0,11.0,39.0,6.0,5.0,14.0,6.0,8.0,89.0,1.0,1.0,9.0,6.0,3.0,3.0,,,1.0,1.0,,,,2.0,4.0,,,1.0,0.875,0.463768115942029,0.42857142857142855,0.3,0.47058823529411764,0.6571428571428571,,,,0.030303030303030304,0.043478260869565216,0.05128205128205128,0.2,0.021739130434782608,0.21904761904761905,0.5652173913043478,0.5909090909090909,1.0,0.4380952380952381,0.41304347826086957,0.41304347826086957,0.7894736842105263,,0.07692307692307693,,,0.46153846153846156,0.5,1.0,0.25,0.4444444444444444,0.3055555555555556,0.18181818181818182,0.4222222222222222,25.088405797101448,1.0,1.0,0.014492753623188406,,2.0,,,,0.043478260869565216,,True,
714,1610612759,Michael Finley,Michael Finley,714,SAS,40958.0,683.0,92.0,1288,1270,446.0,496,138.0,2558,16.0,22.0,2.0,4.0,4.0,5.0,5.0,25.0,37.0,97.0,58.0,144.0,35.0,253.0,1248.0,4.0,9.0,22.0,13.0,35.0,16.0,78.0,86.0,30.0,2.0,3.0,6.0,12.0,62.0,3.0,77.0,9.0,86.0,8.0,4.0,7.0,4.0,15.0,8.0,23.0,38.0,1.0,35.0,,2.0,41.0,1.0,8.0,8.0,3.0,2.0,3.0,1.0,78.0,446.0,6.0,7.0,0.7413793103448276,0.7543859649122807,0.4027777777777778,0.4444444444444444,0.37142857142857144,0.4678111587982833,0.5555555555555556,0.44285714285714284,0.49193548387096775,0.5789473684210527,0.48717948717948717,18.276580958999304,0.5333333333333333,0.075,0.1288981288981289,0.01485148514851485,0.11764705882352941,0.016042780748663103,0.1269296740994854,0.015228426395939087,0.02112676056338028,0.013157894736842105,0.015625,0.06535947712418301,0.14093959731543623,0.17318435754189945,0.0945945945945946,0.3333333333333333,0.0944206008583691,0.7272727272727273,0.7619047619047619,0.75,0.1072961373390558,0.2,0.2,0.6,0.41630901287553645,0.38144329896907214,0.3894736842105263,0.7567567567567568,0.2222222222222222,0.5,0.07142857142857142,0.8,0.47639484978540775,0.4668157327586206,0.5494538461538461,0.4725528571428572,0.03333333333333333,0.052980132450331126,0.08695652173913043,0.308300395256917,13.777777777777779,0.34627329192546585,20.0,41.0,2.0,2.0,10.0,20.0,14.0,48.0,2.0,7.0,2.0,15.0,34.0,89.0,4.0,9.0,2.0,12.0,35.0,96.0,6.0,1.0,47.0,14.0,3.0,26.0,16.0,42.0,8.0,8.0,12.0,9.0,5.0,100.0,,4.0,12.0,8.0,4.0,3.0,,1.0,,,,,,,1.0,,,,0.9411764705882353,0.38202247191011235,0.4444444444444444,0.34285714285714286,0.38636363636363635,0.38197424892703863,0.020833333333333332,0.045454545454545456,,,0.00909090909090909,0.01694915254237288,0.17857142857142858,0.029850746268656716,0.1759656652360515,0.4878048780487805,0.5,1.0,0.20600858369098712,0.2916666666666667,0.2916666666666667,0.8571428571428571,0.5,0.1111111111111111,1.0,1.0,0.3888888888888889,0.2857142857142857,1.0,0.2857142857142857,0.5,0.21428571428571427,0.13333333333333333,0.2978723404255319,24.701123595505624,1.0,1.0,0.011235955056179775,,10.0,0.020618556701030927,,,0.024390243902439025,,True,
2757,1610612759,Beno Udrih,Beno Udrih,2757,SAS,10422.0,174.0,15.0,322,329,101.0,141,41.0,651,11.0,18.0,,,5.0,9.0,4.0,10.0,5.0,15.0,20.0,43.0,14.0,78.0,329.0,,,3.0,7.0,15.0,11.0,37.0,26.0,14.0,,4.0,5.0,6.0,5.0,,11.0,9.0,20.0,11.0,7.0,6.0,4.0,17.0,5.0,10.0,18.0,,14.0,,4.0,16.0,,3.0,5.0,1.0,,1.0,1.0,37.0,101.0,1.0,5.0,0.65,0.65,0.46511627906976744,,0.4666666666666667,0.463768115942029,,0.5416666666666666,0.5064935064935064,0.3,0.6166666666666667,25.543478260869563,0.6470588235294118,,0.043478260869565216,0.05434782608695652,0.2857142857142857,0.07017543859649122,0.08088235294117647,0.06040268456375839,0.03125,0.05714285714285714,0.10256410256410256,0.022222222222222223,0.0975609756097561,,0.125,1.0,0.2608695652173913,0.6111111111111112,0.6875,0.7272727272727273,0.14492753623188406,0.4,0.4444444444444444,0.5,0.21739130434782608,0.3333333333333333,0.3333333333333333,0.6,,,0.375,0.5555555555555556,0.6376811594202898,0.5092891304347826,0.49995,0.4895812500000001,0.041666666666666664,0.06521739130434782,0.038461538461538464,0.47435897435897434,8.551162790697676,0.3136645962732919,4.0,10.0,,1.0,2.0,4.0,4.0,16.0,,2.0,2.0,5.0,8.0,26.0,,3.0,3.0,4.0,9.0,24.0,,,16.0,4.0,3.0,17.0,7.0,24.0,4.0,3.0,9.0,2.0,6.0,55.0,,1.0,5.0,2.0,3.0,5.0,,1.0,3.0,,,,,,1.0,,,,1.0,0.3076923076923077,,0.4444444444444444,0.3076923076923077,0.37681159420289856,0.06976744186046512,0.1111111111111111,0.1,,0.08,,0.8,0.027777777777777776,0.14492753623188406,0.4,0.4,1.0,0.2318840579710145,0.25,0.26666666666666666,1.0,,0.3333333333333333,,,0.6666666666666666,,,0.16666666666666666,0.5,0.20833333333333334,0.4,0.25,24.369230769230764,1.0,,0.038461538461538464,0.0625,,,,,,,True,
1495,1610612759,Tim Duncan,Tim Duncan,1495,SAS,32509.0,542.0,92.0,1008,980,380.0,341,112.0,1988,76.0,103.0,21.0,29.0,21.0,29.0,41.0,116.0,10.0,37.0,127.0,256.0,98.0,352.0,1004.0,26.0,40.0,65.0,31.0,68.0,44.0,106.0,136.0,118.0,34.0,10.0,40.0,13.0,86.0,11.0,110.0,52.0,162.0,17.0,6.0,22.0,11.0,39.0,12.0,29.0,52.0,9.0,114.0,5.0,1.0,144.0,16.0,63.0,17.0,28.0,23.0,28.0,19.0,106.0,380.0,5.0,16.0,0.5354330708661418,0.6181818181818182,0.49609375,0.65,0.45588235294117646,0.49609375,0.65,0.45588235294117646,0.55,0.6914893617021277,0.5520833333333334,31.49122807017544,0.4358974358974359,0.36666666666666664,0.23118279569892472,0.11627906976744186,0.15294117647058825,0.08130081300813008,0.21663019693654267,0.10706638115631692,0.1037037037037037,0.075,0.09090909090909091,0.2288135593220339,0.27586206896551724,0.1956521739130435,0.15254237288135594,0.6785714285714286,0.40234375,0.7378640776699029,0.7676767676767676,0.5394736842105263,0.453125,0.35344827586206895,0.38317757009345793,0.5121951219512195,0.14453125,0.2702702702702703,0.2777777777777778,0.6,0.725,0.7241379310344828,0.4264705882352941,0.7241379310344828,0.40234375,0.45670429687499986,0.5445483870967741,0.4575897058823529,0.2079207920792079,0.2079207920792079,0.1846590909090909,0.30113636363636365,6.613671875000001,0.376984126984127,,,,,,,,,,,,,,,,,13.0,,,,,,,,14.0,23.0,10.0,33.0,6.0,4.0,16.0,1.0,6.0,76.0,2.0,8.0,15.0,11.0,4.0,1.0,,4.0,2.0,2.0,,,,1.0,4.0,,,3.0,,,,,,,0.0546875,0.038834951456310676,0.07758620689655173,0.05128205128205128,0.19101123595505617,0.06521739130434782,0.15384615384615385,0.06956521739130435,,,,,,,,,0.19047619047619047,,,,,,,,,,,,,,1.0,,,,0.02702702702702703,,,,6.0,True,
