EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFG3M,PtsPutbacks,HeaveAttempts,Fg2aBlocked,OffThreePtRebounds,FTDefRebounds,SelfOReb,Offensive Fouls,Loose Ball Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,PenaltyFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceFtPoints,PtsUnassisted3s,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedLongMidRange,LongMidRangePctBlocked,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,BlockedShortMidRange,DefensiveGoaltends,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,FTOffRebounds,StepOutOfBoundsTurnovers,Loose Ball Fouls,OffFTReboundPct,OffCorner3ReboundPct,OffensiveGoaltends,on,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked
1498,1610612764,Antonio Daniels,Antonio Daniels,1498,WAS,7978.0,133,13,254,249,133,124,30,503,6.0,7.0,2.0,2.0,3.0,5.0,6.0,9.0,1.0,1.0,1.0,5.0,2.0,15.0,21.0,2.0,6.0,18.0,54.0,284,1.0,1.0,2.0,4.0,7.0,2.0,12.0,20.0,12.0,18.0,6.0,5.0,1.0,9.0,4.0,13.0,3.0,1.0,4.0,1.0,4.0,30.0,1.0,4.0,4.0,8.0,1.0,9.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,6.0,5.0,2.0,2.0,18.0,3.0,20.0,2.0,8.0,3.0,20.0,133,3.0,0.4,0.4,1.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,1.0,0.5714285714285714,0.6666666666666666,1.0,0.4444444444444444,0.75,1.0,0.6666666666666666,0.2222222222222222,14.685314685314687,0.8333333333333334,0.046511627906976744,0.015151515151515152,0.16666666666666666,0.07272727272727272,0.00980392156862745,0.03571428571428571,0.09090909090909091,0.05,0.06666666666666667,0.3333333333333333,0.25925925925925924,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.18518518518518517,0.6,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.037037037037037035,1.0,1.0,1.0,0.18518518518518517,0.2,0.2,1.0,0.2222222222222222,1.0,0.2222222222222222,0.48148148148148145,0.2,0.48593518518518525,0.3262,0.4860444444444445,0.24242424242424243,0.2962962962962963,0.037037037037037035,0.37037037037037035,9.923809523809524,24.933333333333337,0.5236220472440944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1712,1610612764,Antawn Jamison,Antawn Jamison,1712,WAS,10800.0,180,2,337,329,110,96,41,666,13.0,17.0,2.0,4.0,6.0,16.0,5.0,14.0,2.0,6.0,5.0,19.0,6.0,24.0,47.0,7.0,25.0,14.0,83.0,378,5.0,6.0,10.0,6.0,10.0,7.0,7.0,25.0,22.0,26.0,21.0,18.0,5.0,10.0,3.0,13.0,1.0,2.0,2.0,2.0,6.0,29.0,5.0,6.0,13.0,23.0,8.0,31.0,4.0,4.0,6.0,3.0,2.0,3.0,1.0,8.0,2.0,12.0,18.0,14.0,1.0,17.0,,6.0,2.0,25.0,110,2.0,0.4583333333333333,0.5238095238095238,1.0,0.28,0.2916666666666667,0.5106382978723404,0.8333333333333334,0.6,0.4791666666666667,0.625,0.5294117647058824,0.51875,0.625,0.5952380952380952,0.3472222222222222,22.797927461139896,0.75,0.104,0.045871559633027525,0.20689655172413793,0.12337662337662338,0.052980132450331126,0.06976744186046512,0.06976744186046512,0.08333333333333333,0.19047619047619047,0.25,0.2361111111111111,0.7647058823529411,0.8666666666666667,0.46153846153846156,0.2222222222222222,0.375,0.42857142857142855,0.19444444444444445,0.35714285714285715,0.35714285714285715,0.8,0.08333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.2638888888888889,0.2631578947368421,0.2631578947368421,1.0,0.23529411764705882,0.5,0.35294117647058826,0.5833333333333334,0.2777777777777778,0.5033584507042254,0.6075999999999999,0.5071625,0.08974358974358974,0.11320754716981132,0.12048192771084337,0.30120481927710846,8.563829787234043,25.388,0.3264094955489614,4.0,5.0,1.0,2.0,2.0,2.0,2.0,6.0,1.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.2857142857142857,0.0851063829787234,0.11764705882352941,0.125,0.4444444444444444,0.07142857142857142,0.02702702702702703,0.034482758620689655,0.08823529411764706,0.15217391304347827,0.027777777777777776,0.5,0.16666666666666666,0.625,0.8,0.25,0.058823529411764705,0.3333333333333333,0.04,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1913,1610612764,Michael Ruffin,Michael Ruffin,1913,WAS,1584.0,26,-8,48,52,13,23,6,100,,1.0,,1.0,,,,,,,,,,,1.0,,,,,55,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,4.0,5.0,1.0,6.0,,,,,,,,,,4.0,5.0,1.0,,2.0,,1.0,,,13,,,,,,,,,,,,,,,,,3.773584905660377,,0.23529411764705882,0.058823529411764705,,0.16,0.041666666666666664,0.125,0.16666666666666666,0.25,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,0.5678,,0.5678,0.5,0.5,,,1.2,,0.2708333333333333,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,1.0,,0.3333333333333333,,,,,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2240,1610612764,Gilbert Arenas,Gilbert Arenas,2240,WAS,12255.0,204,-11,382,380,125,117,50,762,12.0,27.0,2.0,4.0,5.0,9.0,10.0,28.0,3.0,3.0,12.0,29.0,16.0,27.0,64.0,15.0,32.0,40.0,139.0,430,5.0,9.0,11.0,5.0,14.0,16.0,23.0,51.0,12.0,42.0,27.0,29.0,12.0,22.0,4.0,26.0,3.0,1.0,17.0,,5.0,56.0,2.0,3.0,13.0,16.0,4.0,20.0,11.0,6.0,9.0,3.0,5.0,6.0,1.0,14.0,4.0,8.0,18.0,35.0,2.0,50.0,5.0,20.0,5.0,51.0,125,5.0,0.2222222222222222,0.24,0.6,0.46875,0.46875,0.421875,0.5555555555555556,0.35714285714285715,0.515625,0.5,0.4666666666666667,0.5854700854700855,0.55,0.6071428571428571,0.3333333333333333,29.840546697038725,0.6428571428571429,0.09558823529411764,0.015625,0.09090909090909091,0.09467455621301775,0.022598870056497175,,0.06818181818181818,0.05405405405405406,0.125,,0.28125,0.4444444444444444,0.48,0.16666666666666666,0.09375,0.5555555555555556,0.5555555555555556,0.2916666666666667,0.35714285714285715,0.38461538461538464,0.2,0.03125,1.0,1.0,1.0,0.3020833333333333,0.41379310344827586,0.41379310344827586,0.5,0.13333333333333333,0.5,0.5333333333333333,0.6145833333333334,0.41379310344827586,0.49778421052631583,0.4948166666666667,0.4533189655172414,0.1875,0.25316455696202533,0.07913669064748201,0.3669064748201439,9.9828125,25.525000000000002,0.32722513089005234,2.0,2.0,,1.0,6.0,1.0,6.0,4.0,,4.0,2.0,,2.0,1.0,1.0,,1.0,2.0,1.0,3.0,1.0,4.0,0.375,0.0625,0.07407407407407407,,,0.04081632653061224,0.02127659574468085,0.03125,0.047619047619047616,0.14545454545454545,0.04,0.3333333333333333,0.4,0.2,1.0,0.1,,0.375,0.030303030303030304,1.0,18.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,0.07142857142857142,,,,,,,,,,,,,True,,,,,,,
2407,1610612764,Jared Jeffries,Jared Jeffries,2407,WAS,12880.0,215,-5,401,399,137,126,52,800,13.0,25.0,2.0,4.0,1.0,6.0,2.0,5.0,1.0,4.0,,3.0,,16.0,36.0,1.0,7.0,13.0,48.0,445,4.0,10.0,14.0,3.0,6.0,,9.0,15.0,24.0,8.0,3.0,3.0,,6.0,3.0,9.0,2.0,1.0,2.0,4.0,,21.0,15.0,3.0,13.0,17.0,20.0,37.0,1.0,1.0,7.0,1.0,4.0,6.0,,11.0,3.0,8.0,19.0,18.0,5.0,17.0,1.0,8.0,1.0,15.0,137,1.0,0.75,0.8571428571428571,1.0,0.14285714285714285,0.14285714285714285,0.4444444444444444,0.4,0.5,0.4069767441860465,0.36363636363636365,0.5,0.47058823529411764,0.4666666666666667,0.625,0.16279069767441862,13.478260869565219,0.6363636363636364,0.08666666666666667,0.11363636363636363,0.08571428571428572,0.08648648648648649,0.10869565217391304,0.1568627450980392,0.04081632653061224,0.07142857142857142,0.08,0.1,0.5813953488372093,0.52,0.65,0.7692307692307693,0.13953488372093023,0.16666666666666666,0.16666666666666666,0.11627906976744186,0.4,0.4,1.0,0.09302325581395349,0.25,0.25,1.0,0.06976744186046512,,,,0.6666666666666666,0.5,,0.7441860465116279,,0.5745279069767443,0.59046,0.5715333333333333,0.16,0.18604651162790697,0.2916666666666667,0.3125,5.080555555555556,23.957142857142856,0.341645885286783,4.0,10.0,,,,1.0,,4.0,,5.0,5.0,1.0,1.0,2.0,3.0,,,7.0,3.0,7.0,3.0,4.0,,0.1388888888888889,0.2,,0.07692307692307693,0.09615384615384616,0.0625,0.12121212121212122,0.11363636363636363,0.13559322033898305,0.047619047619047616,0.42857142857142855,,0.9090909090909091,0.4,,,,,6.0,,,1.0,1.0,,,,,,1.0,1.0,4.0,1.0,0.25,0.09090909090909091,,,,,,,True,,,,,,,
2406,1610612764,Caron Butler,Caron Butler,2406,WAS,10948.0,182,-13,343,341,105,89,44,684,5.0,15.0,1.0,3.0,6.0,14.0,16.0,34.0,,1.0,2.0,7.0,3.0,27.0,63.0,2.0,8.0,17.0,77.0,380,3.0,10.0,8.0,9.0,17.0,3.0,10.0,31.0,24.0,30.0,3.0,7.0,2.0,8.0,4.0,12.0,3.0,1.0,4.0,1.0,3.0,28.0,6.0,6.0,22.0,31.0,9.0,40.0,7.0,5.0,6.0,,3.0,6.0,,9.0,3.0,8.0,18.0,15.0,,21.0,,7.0,3.0,31.0,105,3.0,0.4444444444444444,0.46153846153846156,0.5,0.25,0.25,0.42857142857142855,0.3,0.5294117647058824,0.4225352112676056,0.3,0.525,0.4691358024691358,0.36363636363636365,0.6,0.11267605633802817,22.78481012658228,0.6666666666666666,0.16417910447761194,0.05217391304347826,0.20689655172413793,0.17177914110429449,0.05,0.023255813953488372,0.07317073170731707,0.1282051282051282,0.23809523809523808,0.125,0.2112676056338028,0.3333333333333333,0.5555555555555556,0.2,0.19718309859154928,0.42857142857142855,0.42857142857142855,0.4788732394366197,0.47058823529411764,0.47058823529411764,0.4375,0.014084507042253521,,,,0.09859154929577464,0.2857142857142857,0.2857142857142857,0.5,0.15,0.3333333333333333,0.15,0.323943661971831,0.2857142857142857,0.4492295774647887,0.5327875,0.43012500000000004,0.08974358974358974,0.1,0.1038961038961039,0.4025974025974026,12.423809523809524,24.95,0.30612244897959184,1.0,5.0,,,1.0,,1.0,2.0,,6.0,2.0,3.0,1.0,2.0,2.0,,,3.0,,3.0,1.0,4.0,0.3333333333333333,0.09523809523809523,0.4,,0.2727272727272727,0.044444444444444446,0.08695652173913043,0.038461538461538464,0.02631578947368421,0.25925925925925924,0.029411764705882353,0.3333333333333333,0.6666666666666666,0.5,0.2,,,0.3333333333333333,,2.0,3.0,2.0,,1.0,1.0,,,1.0,,,,2.0,,,,1.0,1.0,2.0,0.058823529411764705,0.14285714285714285,,True,,,,,,,
2041,1610612764,Etan Thomas,Etan Thomas,2041,WAS,598.0,10,-2,20,18,10,10,3,38,,2.0,,2.0,,,1.0,1.0,,,,,,1.0,3.0,,,2.0,4.0,22,,1.0,,1.0,3.0,,2.0,4.0,2.0,,,,,,,,,,,,,,1.0,,2.0,2.0,1.0,3.0,2.0,,,,,,,,,,3.0,2.0,,4.0,,1.0,1.0,4.0,10,1.0,1.0,1.0,,,,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.4,,0.5,,21.73913043478261,,0.6666666666666666,0.14285714285714285,,0.5,0.1,,1.0,,,,0.6666666666666666,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,0.6666666666666666,,,0.6666666666666666,,0.47689999999999994,0.6315,0.47689999999999994,0.25,0.25,,1.0,6.2,,0.5,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.5,,1.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,
2217,1610612764,Brendan Haywood,Brendan Haywood,2217,WAS,6936.0,116,-12,206,213,39,32,33,419,9.0,12.0,1.0,1.0,3.0,7.0,,,,,,,,12.0,19.0,,,9.0,33.0,224,4.0,5.0,9.0,1.0,2.0,,4.0,6.0,16.0,8.0,,,,1.0,2.0,3.0,1.0,1.0,1.0,,,8.0,6.0,2.0,6.0,9.0,6.0,15.0,2.0,,2.0,,4.0,2.0,2.0,6.0,2.0,9.0,13.0,15.0,,20.0,2.0,9.0,2.0,6.0,39,2.0,0.6666666666666666,0.7272727272727273,,,,0.631578947368421,0.8,0.5,0.631578947368421,0.8,0.5,0.5892857142857143,0.5625,0.6,,13.991769547325102,0.3333333333333333,0.06666666666666667,0.07228915662650602,0.125,0.07547169811320754,0.056074766355140186,0.07142857142857142,,0.06896551724137931,0.07142857142857142,0.5,0.631578947368421,0.75,0.75,0.7777777777777778,0.3684210526315789,0.42857142857142855,0.42857142857142855,,,,,,,,,,,,,0.5,1.0,,0.631578947368421,,0.528142105263158,0.4875999999999999,0.5407500000000001,0.34615384615384615,0.34615384615384615,0.2727272727272727,0.18181818181818182,3.3315789473684214,,0.18932038834951456,2.0,2.0,,,,,,2.0,,,,1.0,,,1.0,,,9.0,2.0,9.0,3.0,1.0,,,,,0.25,,0.029411764705882353,0.14285714285714285,,0.10810810810810811,,0.3333333333333333,0.3333333333333333,0.4,1.0,,,,,1.0,,2.0,,2.0,,,,,,,,7.0,,,,,,1.0,,,1.0,True,,,,,,,
2873,1610612764,Billy Thomas,Billy Thomas,2873,WAS,421.0,7,11,14,14,13,13,1,28,,,,,,,,2.0,,,,2.0,2.0,,2.0,,2.0,2.0,2.0,7,,,,,2.0,2.0,2.0,2.0,,,,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,2.0,,4.0,,,2.0,2.0,13,2.0,,,,,,,,,,,,0.16666666666666666,,0.16666666666666666,0.5,40.0,,0.1111111111111111,,,0.1111111111111111,,,0.25,,,,,,,,,,,0.5,,,,,,,,0.5,,,,,,0.5,0.5,,0.44358749999999997,,0.44358749999999997,,,,1.0,17.5,24.55,0.9285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
101182,1610612764,Donell Taylor,Donell Taylor,101182,WAS,192.0,3,-4,6,5,6,5,1,11,,,,,,,,,,1.0,,,,,,,1.0,,,10,,,,,,1.0,,,,,,,,1.0,,1.0,,,1.0,,,2.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,1.0,14.285714285714285,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,0.561,,0.561,,,,,,22.7,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,
