EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg3aBlocked,Technical Free Throw Trips,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APctBlocked,Arc3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,Clear Path Fouls,Blocked3s,BlockedArc3,BlockedCorner3,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawn,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,on
101115,1610612747,Andrew Bynum,Andrew Bynum,101115,LAL,49872.0,831,-36,1654,1644,454,392,174,3298,95.0,142.0,31.0,49.0,24.0,35.0,29.0,78,4.0,1.0,124.0,224,1.0,77.0,325,1778,35.0,55.0,23.0,93.0,33.0,55,37.0,103,156.0,92.0,54.0,1.0,29.0,29,7.0,36,5.0,2.0,9,7.0,13,79,14.0,60,1.0,43.0,104,17.0,164,75,239,6.0,6.0,3.0,3.0,23,1.0,14.0,32.0,2.0,9.0,11.0,55,7.0,12.0,77,119,9.0,11.0,79,7.0,2.0,114.0,14.0,53.0,11.0,68.0,43.0,3.0,22.0,68.0,40.0,1.0,2.0,3.0,7.0,103,454,4.0,9.0,0.6290322580645161,0.8041237113402062,0.5535714285714286,0.6363636363636364,0.6,0.5511111111111111,0.6363636363636364,0.6,0.5909090909090909,0.6549295774647887,0.6358024691358025,0.0044444444444444444,0.12946428571428573,0.14084507042253522,0.10256410256410256,0.25,17.84748512709573,0.41818181818181815,0.3090909090909091,0.018518518518518517,0.17627118644067796,0.11173184357541899,0.22872340425531915,0.08045977011494253,0.18894601542416453,0.10407876230661041,0.1256544502617801,0.08387096774193549,0.12041884816753927,0.08888888888888889,0.05128205128205128,0.13656387665198239,0.17197452229299362,0.22330097087378642,0.2323943661971831,0.21739130434782608,0.08333333333333333,0.5882352941176471,0.6311111111111111,0.6690140845070423,0.7786885245901639,0.6421052631578947,0.3466666666666667,0.3717948717948718,0.4142857142857143,0.5862068965517241,0.017777777777777778,0.0044444444444444444,0.8909090909090909,0.6326530612244898,0.16129032258064516,0.6363636363636364,0.6857142857142857,0.6355555555555555,0.5085133333333335,0.5491170212765958,0.5001563636363636,0.20075757575757575,0.20152091254752852,0.28615384615384615,0.3169230769230769,2.878571428571429,26.2,0.27448609431680776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
101142,1610612747,Ronny Turiaf,Ronny Turiaf,101142,LAL,21062.0,351,10,719,724,358,384,101,1443,31.0,52.0,12.0,20.0,13.0,24.0,9.0,23,23.0,,51.0,98,,27.0,129,759,14.0,22.0,10.0,38.0,20.0,42,18.0,58,78.0,24.0,12.0,,12.0,12,4.0,16,3.0,1.0,10,,2,36,6.0,20,2.0,17.0,35,12.0,64,28,92,4.0,8.0,8.0,,11,2.0,7.0,5.0,,4.0,1.0,16,3.0,9.0,38,59,2.0,2.0,34,5.0,6.0,38.0,4.0,14.0,7.0,31.0,25.0,,6.0,31.0,15.0,2.0,,,,58,358,15.0,7.0,0.7647058823529411,0.8666666666666667,0.5204081632653061,0.6363636363636364,0.47619047619047616,0.5204081632653061,0.6363636363636364,0.47619047619047616,0.5608695652173913,0.6785714285714286,0.5471698113207547,,0.12244897959183673,0.17307692307692307,0.13043478260869565,,15.802171290711703,0.6875,0.3333333333333333,0.05128205128205128,0.1598173515981735,0.08547008547008547,0.1559633027522936,0.05504587155963303,0.15853658536585366,0.07580174927113703,0.0963855421686747,0.0958904109589041,0.0641025641025641,0.06097560975609756,0.037037037037037035,0.0989010989010989,0.234375,0.171875,0.15294117647058825,0.16666666666666666,0.11764705882352941,0.4838709677419355,0.5306122448979592,0.5961538461538461,0.7209302325581395,0.8064516129032258,0.23469387755102042,0.391304347826087,0.45,0.3333333333333333,0.23469387755102042,,0.9090909090909091,0.6,0.5833333333333334,0.5714285714285714,0.5416666666666666,0.5306122448979592,0.4894551020408163,0.5419777777777778,0.4941166666666666,0.12962962962962962,0.12962962962962962,0.29457364341085274,0.4496124031007752,5.876530612244896,,0.49791376912378305,11.0,0.4782608695652174,0.4782608695652174,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
200770,1610612747,Jordan Farmar,Jordan Farmar,200770,LAL,18683.0,311,28,601,610,249,241,73,1211,13.0,25.0,2.0,2.0,5.0,9.0,2.0,5,13.0,28.0,22.0,43,37.0,4.0,93,621,2.0,3.0,,10.0,6.0,11,2.0,35,26.0,18.0,,26.0,2.0,26,11.0,37,7.0,4.0,13,8.0,5,85,6.0,2,,8.0,24,1.0,33,8,41,1.0,15.0,10.0,5.0,14,3.0,12.0,6.0,2.0,2.0,1.0,20,2.0,8.0,5,20,1.0,,8,1.0,2.0,9.0,,1.0,3.0,3.0,2.0,,1.0,3.0,2.0,,,,,35,249,3.0,3.0,0.5909090909090909,0.5909090909090909,0.5116279069767442,0.6666666666666666,0.5454545454545454,0.55625,0.8333333333333334,0.5,0.5535714285714286,0.8333333333333334,0.4861111111111111,0.4625,0.046511627906976744,0.08,,,15.138282387190683,0.7,0.04,,0.11940298507462686,0.0111731843575419,0.125,0.06382978723404255,0.12075471698113208,0.029304029304029304,0.014084507042253521,0.022727272727272728,,0.056338028169014086,0.08695652173913043,0.1375,0.1320754716981132,0.08823529411764706,0.14583333333333334,0.0625,0.02702702702702703,0.6666666666666666,0.3125,0.52,0.5652173913043478,0.6153846153846154,0.0625,0.4,0.4,1.0,0.1625,0.35,0.3333333333333333,1.0,0.5,0.2727272727272727,0.5555555555555556,0.775,0.5375153846153846,0.5117,0.56665,0.012345679012345678,0.022727272727272728,0.10752688172043011,0.3763440860215054,6.376744186046513,25.78918918918919,0.41430948419301167,7.0,0.5384615384615384,0.5384615384615384,0.42857142857142855,4.0,9.0,1.0,4.0,11.0,2.0,3.0,6.0,18.0,15.0,2.0,3.0,7.0,22.0,36.0,9.0,2.0,11.0,1.0,1.0,0.8,0.40540540540540543,0.6666666666666666,0.3181818181818182,0.42857142857142855,0.02702702702702703,0.03571428571428571,0.1125,0.4444444444444444,0.4444444444444444,1.0,0.39285714285714285,0.4074074074074074,0.7272727272727273,0.5,0.6666666666666666,0.5,0.12121212121212122,0.25,0.5454545454545454,0.3333333333333333,0.4230769230769231,,,,,,,,,,,,,,,True
2230,1610612747,Maurice Evans,Maurice Evans,2230,LAL,23318.0,389,21,768,765,323,302,84,1533,21.0,35.0,4.0,7.0,5.0,12.0,10.0,21,39.0,10.0,44.0,95,23.0,29.0,135,813,7.0,10.0,5.0,19.0,10.0,30,20.0,49,58.0,30.0,6.0,9.0,4.0,10,3.0,13,3.0,,4,3.0,3,29,3.0,12,,9.0,23,1.0,33,15,48,1.0,5.0,2.0,3.0,8,3.0,5.0,9.0,1.0,3.0,2.0,17,2.0,6.0,18,36,5.0,3.0,34,1.0,7.0,39.0,5.0,16.0,6.0,3.0,2.0,,1.0,3.0,1.0,,,,,49,323,10.0,6.0,0.6590909090909091,0.7073170731707317,0.4631578947368421,0.7,0.3333333333333333,0.4491525423728814,0.7,0.3372093023255814,0.5,0.6785714285714286,0.44545454545454544,0.19491525423728814,0.042105263157894736,0.11428571428571428,,,17.63341067285383,0.47058823529411764,0.04,,0.08984375,0.05263157894736842,0.09090909090909091,0.03225806451612903,0.09014084507042254,0.04672897196261682,0.03571428571428571,0.06666666666666667,0.05952380952380952,0.014285714285714285,0.08695652173913043,0.07216494845360824,0.05714285714285714,0.1348314606741573,0.10526315789473684,0.043478260869565216,0.016666666666666666,0.3333333333333333,0.2966101694915254,0.6,0.6774193548387096,0.7619047619047619,0.17796610169491525,0.47619047619047616,0.47619047619047616,0.5,0.3305084745762712,0.0847457627118644,0.7,0.5714285714285714,0.25,0.27906976744186046,0.4166666666666667,0.4915254237288136,0.4818094017094017,0.46952999999999995,0.49721785714285716,0.12403100775193798,0.1509433962264151,0.14074074074074075,0.362962962962963,9.54,24.91739130434783,0.4205729166666667,13.0,0.3333333333333333,0.3333333333333333,0.6153846153846154,4.0,13.0,2.0,6.0,2.0,,,1.0,7.0,6.0,,,3.0,13.0,15.0,3.0,1.0,2.0,,,0.8333333333333334,0.2608695652173913,,0.23076923076923078,0.2727272727272727,,,0.11016949152542373,0.3076923076923077,0.3076923076923077,0.75,0.2,0.2,1.0,,,,0.13953488372093023,0.3333333333333333,0.16279069767441862,0.14285714285714285,0.2222222222222222,,,,,,,,,,,,,,,True
2575,1610612747,Luke Walton,Luke Walton,2575,LAL,118924.0,1982,11,3958,3943,1345,1121,440,7901,142.0,230.0,28.0,47.0,45.0,80.0,45.0,114,89.0,62.0,216.0,433,124.0,108.0,684,4284,36.0,63.0,14.0,98.0,62.0,137,64.0,242,296.0,136.0,38.0,61.0,36.0,204,53.0,257,37.0,16.0,128,36.0,40,567,22.0,57,8.0,54.0,141,20.0,215,87,302,12.0,60.0,45.0,15.0,69,19.0,45.0,49.0,1.0,24.0,13.0,118,15.0,45.0,57,117,8.0,12.0,137,13.0,10.0,145.0,13.0,57.0,22.0,18.0,14.0,2.0,2.0,21.0,12.0,,,,2.0,242,1345,14.0,21.0,0.6851851851851852,0.751269035532995,0.49884526558891457,0.5714285714285714,0.45255474452554745,0.5170556552962298,0.6086956521739131,0.4810810810810811,0.5489566613162119,0.6363636363636364,0.545045045045045,0.22262118491921004,0.08314087759815242,0.10869565217391304,0.09649122807017543,,16.63673102828918,0.5847457627118644,0.15037593984962405,0.047619047619047616,0.10491071428571429,0.046875,0.1232876712328767,0.047109207708779445,0.10942760942760943,0.046939988116458706,0.04,0.04216867469879518,0.0576036866359447,0.047619047619047616,0.045454545454545456,0.1062992125984252,0.1,0.1072961373390558,0.11884057971014493,0.13978494623655913,0.04743083003952569,0.5714285714285714,0.4129263913824057,0.6173913043478261,0.6926829268292682,0.7464788732394366,0.20466786355475763,0.39473684210526316,0.4368932038834951,0.6222222222222222,0.15978456014362658,0.11131059245960502,0.6811594202898551,0.5957446808510638,0.2857142857142857,0.43243243243243246,0.5625,0.6355475763016158,0.5111520683453236,0.5355603773584905,0.5010921195652175,0.09484193011647254,0.11949685534591195,0.14327485380116958,0.3538011695906433,5.981062355658199,24.69112903225807,0.33981808994441637,29.0,0.3258426966292135,0.3258426966292135,0.4827586206896552,27.0,62.0,14.0,29.0,21.0,1.0,3.0,4.0,19.0,48.0,4.0,6.0,18.0,48.0,138.0,6.0,1.0,21.0,1.0,,0.9583333333333334,0.3870967741935484,0.6666666666666666,0.375,0.3902439024390244,0.008064516129032258,0.016129032258064516,0.11131059245960502,0.43548387096774194,0.43548387096774194,1.0,0.3387096774193548,0.3442622950819672,0.9047619047619048,0.043478260869565216,0.3333333333333333,1.0,0.15675675675675677,0.4827586206896552,0.10270270270270271,0.21052631578947367,0.3442622950819672,3.0,3.0,1.0,1.0,3.0,2.0,1.0,0.043478260869565216,1.0,1.0,,,,,True
977,1610612747,Kobe Bryant,Kobe Bryant,977,LAL,104844.0,1747,22,3490,3473,1165,959,394,6963,149.0,232.0,17.0,26.0,44.0,68.0,83.0,166,348.0,185.0,373.0,746,201.0,351.0,1307,3789,27.0,61.0,26.0,104.0,108.0,223,177.0,489,278.0,468.0,16.0,182.0,42.0,155,68.0,223,46.0,22.0,115,18.0,22,514,14.0,25,2.0,53.0,135,3.0,191,41,232,4.0,58.0,36.0,22.0,86,15.0,52.0,58.0,9.0,34.0,8.0,144,4.0,48.0,51,119,6.0,15.0,329,3.0,12.0,411.0,38.0,155.0,55.0,16.0,15.0,,1.0,21.0,9.0,2.0,,1.0,1.0,489,1165,13.0,48.0,0.3726541554959786,0.38082191780821917,0.5,0.4426229508196721,0.484304932735426,0.5047518479408659,0.4936708860759494,0.4968152866242038,0.57479964381122,0.5659340659340659,0.5890243902439024,0.2122492080253432,0.05630026809651475,0.10775862068965517,0.0783132530120482,0.011494252873563218,32.121057985757886,0.5972222222222222,0.025210084033613446,0.013513513513513514,0.11306532663316583,0.02334267040149393,0.1387434554973822,0.03294117647058824,0.11928934010152284,0.02606951871657754,0.03007518796992481,0.01056338028169014,0.02577319587628866,0.033950617283950615,0.0297029702970297,0.08370044052863436,0.12844036697247707,0.13317191283292978,0.14521452145214522,0.11392405063291139,0.008968609865470852,0.42857142857142855,0.24498416050686378,0.6422413793103449,0.7198067632850241,0.3624161073825503,0.17529039070749736,0.5,0.5424836601307189,0.3253012048192771,0.36747624076029567,0.19535374868004224,0.3291139240506329,0.6538461538461539,0.23529411764705882,0.21656050955414013,0.6470588235294118,0.457233368532207,0.4689392895015907,0.4860658730158732,0.45526258064516145,0.14887640449438203,0.17960602549246812,0.07957153787299158,0.37413925019127775,10.722386058981238,26.04378109452736,0.333810888252149,141.0,0.4051724137931034,0.40988372093023256,0.41134751773049644,7.0,16.0,2.0,6.0,63.0,7.0,15.0,30.0,85.0,70.0,8.0,18.0,32.0,91.0,144.0,66.0,3.0,63.0,3.0,18.0,0.6857142857142857,0.3482587064676617,0.4444444444444444,0.3516483516483517,0.35353535353535354,0.014925373134328358,0.010810810810810811,0.01689545934530095,0.4375,0.4666666666666667,0.8571428571428571,0.34054054054054056,0.3442622950819672,0.6666666666666666,0.189873417721519,0.4666666666666667,0.7142857142857143,0.01910828025477707,0.3333333333333333,0.27070063694267515,0.35294117647058826,0.34615384615384615,1.0,3.0,1.0,,5.0,5.0,,0.0379746835443038,0.3333333333333333,1.0,4.0,0.0625,0.01951219512195122,,True
2470,1610612747,Smush Parker,Smush Parker,2470,LAL,91448.0,1524,4,3076,3051,986,773,335,6127,84.0,145.0,4.0,16.0,29.0,48.0,26.0,60,87.0,132.0,147.0,292,179.0,71.0,569,3344,7.0,23.0,3.0,41.0,46.0,80,43.0,201,174.0,120.0,6.0,131.0,24.0,120,27.0,147,20.0,7.0,74,18.0,28,321,6.0,19,1.0,26.0,75,,101,26,127,9.0,68.0,37.0,31.0,44,14.0,35.0,44.0,8.0,9.0,8.0,88,1.0,24.0,53,121,5.0,8.0,114,6.0,29.0,103.0,17.0,47.0,13.0,9.0,5.0,2.0,2.0,9.0,2.0,,,,2.0,201,986,15.0,13.0,0.5918367346938775,0.6041666666666666,0.5034246575342466,0.30434782608695654,0.575,0.5286624203821656,0.5277777777777778,0.5939849624060151,0.5535019455252919,0.5256410256410257,0.6242236024844721,0.38004246284501064,0.0821917808219178,0.14482758620689656,0.05,,17.464461850884827,0.5,,0.007692307692307693,0.07239382239382239,0.02006335797254488,0.07624633431085044,0.018461538461538463,0.07334785766158315,0.019654088050314465,0.025495750708215296,0.030418250950570342,0.006042296072507553,0.015748031496062992,0.028169014084507043,0.08928571428571429,0.05964912280701754,0.06406685236768803,0.07664233576642336,0.07462686567164178,0.0391304347826087,0.2222222222222222,0.3078556263269639,0.5793103448275863,0.6774193548387096,0.5595238095238095,0.12738853503184713,0.43333333333333335,0.45614035087719296,0.6538461538461539,0.18471337579617833,0.2802547770700637,0.4444444444444444,0.25,0.5,0.3609022556390977,0.6041666666666666,0.6878980891719745,0.5190465957446808,0.5282362068965517,0.5257534090909091,0.09381237524950099,0.14596273291925466,0.07205623901581722,0.3532513181019332,7.288356164383561,25.059776536312857,0.32054616384915474,37.0,0.42528735632183906,0.42528735632183906,0.6216216216216216,15.0,47.0,6.0,15.0,53.0,7.0,9.0,16.0,38.0,68.0,8.0,13.0,22.0,53.0,189.0,15.0,1.0,53.0,1.0,,0.9264705882352942,0.37988826815642457,0.6153846153846154,0.41509433962264153,0.38202247191011235,0.00558659217877095,,0.09978768577494693,0.3191489361702128,0.32608695652173914,1.0,0.4015151515151515,0.4015151515151515,0.9056603773584906,0.25,0.7777777777777778,0.7142857142857143,0.11278195488721804,0.4,0.2857142857142857,0.42105263157894735,0.40458015267175573,1.0,4.0,2.0,,,,,0.1111111111111111,0.25,1.0,,0.02127659574468085,,,True
2756,1610612747,Sasha Vujacic,Sasha Vujacic,2756,LAL,12522.0,209,-18,403,404,169,164,44,807,3.0,6.0,,,,1.0,,2,9.0,27.0,8.0,17,32.0,12.0,61,446,,1.0,2.0,2.0,1.0,4,8.0,25,10.0,6.0,,25.0,1.0,8,6.0,14,3.0,3.0,5,,3,34,2.0,4,,6.0,13,,19,6,25,2.0,12.0,10.0,2.0,1,,1.0,2.0,2.0,,,3,,,6,25,,,13,1.0,2.0,14.0,,5.0,1.0,,,,,,,,,,,25,169,12.0,1.0,0.625,0.625,0.47058823529411764,,0.25,0.5,,0.5,0.5454545454545454,0.3333333333333333,0.5681818181818182,0.6530612244897959,0.058823529411764705,0.16666666666666666,,,12.719298245614036,0.3333333333333333,,,0.09219858156028368,0.030534351145038167,0.14285714285714285,0.03571428571428571,0.10382513661202186,0.03208556149732621,0.045454545454545456,0.02564102564102564,0.020833333333333332,0.05,,0.05172413793103448,0.14285714285714285,0.10416666666666667,0.14285714285714285,0.14285714285714285,0.07692307692307693,,0.12244897959183673,0.5,0.6,,0.04081632653061224,,,,0.1836734693877551,0.5510204081632653,,,,0.058823529411764705,,0.7755102040816326,0.5156595744680851,0.57615,0.4846333333333333,0.1111111111111111,0.22727272727272727,0.03278688524590164,0.4098360655737705,11.358823529411765,27.06875,0.41935483870967744,5.0,0.5555555555555556,0.5555555555555556,1.0,2.0,5.0,2.0,2.0,9.0,,1.0,3.0,11.0,11.0,,1.0,5.0,13.0,33.0,,2.0,9.0,,1.0,1.0,0.34375,,0.38461538461538464,0.36666666666666664,,,0.10204081632653061,0.4,0.4,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,,,0.11764705882352941,1.0,0.6470588235294118,0.2727272727272727,0.36,,,,,,,,,,,1.0,,0.03125,1.0,True
1742,1610612747,Shammond Williams,Shammond Williams,1742,LAL,3602.0,60,-46,114,116,34,35,14,230,,,,,,,,2,1.0,3.0,,3,9.0,,9,149,,,,,,1,,3,,,,3.0,1.0,4,,4,,,1,2.0,1,8,,1,,,4,,4,1,5,,,,,1,,1.0,,,,,1,,1.0,3,3,,,2,,,,,,,,,,,,,,,,,3,34,,,,,,,,0.375,,0.5,0.375,,0.5,0.75,0.3333333333333333,,0.5,,9.923664122137405,1.0,,,0.10256410256410256,0.03125,,,0.07272727272727272,0.017857142857142856,,0.1,,,,0.1,,0.15789473684210525,,,,,,,,,0.16666666666666666,,,,0.08333333333333333,0.25,,,,,,0.75,0.5147333333333334,,0.46176666666666666,,,,0.3333333333333333,14.799999999999999,24.233333333333334,0.2982456140350877,,,,,2.0,6.0,1.0,2.0,1.0,,,,,3.0,,1.0,1.0,2.0,9.0,,,1.0,,,1.0,0.3333333333333333,,0.5,0.3333333333333333,,,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,0.6666666666666666,0.5,,,0.3333333333333333,,1.0,,,,,,1.0,,,,,,,True
1885,1610612747,Lamar Odom,Lamar Odom,1885,LAL,65259.0,1088,55,2195,2178,742,566,244,4373,103.0,153.0,15.0,22.0,25.0,37.0,18.0,51,46.0,73.0,140.0,250,84.0,112.0,458,2340,17.0,32.0,18.0,52.0,37.0,69,55.0,153,152.0,128.0,24.0,72.0,25.0,100,32.0,132,20.0,12.0,52,19.0,29,296,7.0,31,2.0,40.0,160,23.0,223,40,263,6.0,28.0,18.0,10.0,47,5.0,30.0,44.0,4.0,17.0,7.0,91,6.0,29.0,38,89,8.0,18.0,117,7.0,5.0,158.0,14.0,64.0,19.0,17.0,14.0,,3.0,17.0,12.0,,,6.0,2.0,153,742,16.0,19.0,0.5428571428571428,0.59375,0.56,0.53125,0.5362318840579711,0.5179640718562875,0.4594594594594595,0.5051546391752577,0.5654320987654321,0.5531914893617021,0.5884615384615385,0.25149700598802394,0.1,0.10457516339869281,0.17647058823529413,,20.08910490076954,0.5164835164835165,0.39655172413793105,0.018867924528301886,0.21476510067114093,0.047400611620795105,0.1652892561983471,0.027777777777777776,0.20263424518743667,0.04194260485651214,0.04838709677419355,0.03867403314917127,0.05333333333333334,0.020618556701030927,0.05172413793103448,0.16666666666666666,0.23376623376623376,0.25210084033613445,0.1631578947368421,0.17307692307692307,0.04225352112676056,0.7058823529411765,0.45808383233532934,0.673202614379085,0.7518248175182481,0.5242718446601942,0.15269461077844312,0.35294117647058826,0.42857142857142855,0.5,0.1377245508982036,0.218562874251497,0.5945945945945946,0.6818181818181818,0.2,0.38144329896907214,0.6756756756756757,0.7095808383233533,0.5136112612612614,0.5045810344827586,0.49466093749999995,0.17098445595854922,0.21333333333333335,0.11353711790393013,0.33406113537117904,5.056,25.616666666666667,0.33804100227790435,19.0,0.41304347826086957,0.41304347826086957,0.6842105263157895,4.0,11.0,1.0,3.0,18.0,,5.0,7.0,25.0,22.0,,5.0,8.0,28.0,54.0,12.0,1.0,18.0,,,0.8181818181818182,0.2619047619047619,,0.2857142857142857,0.26506024096385544,,,0.03293413173652695,0.36363636363636365,0.36363636363636365,1.0,0.2465753424657534,0.2465753424657534,0.7777777777777778,0.13513513513513514,,,0.030927835051546393,0.3333333333333333,0.25773195876288657,0.28,0.25,,,2.0,,,,,,,,2.0,,0.023255813953488372,,True
