EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Defensive 3 Seconds Violations,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,TsPct,Usage,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2M,FG3M,FG3A,PenaltyFG2A,PtsAssisted2s,PtsAssisted3s,DefThreePtRebounds,Steals,BadPassSteals,ShootingFouls,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedShortMidRange,Blocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,FG3APct,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,PenaltyShotQualityAvg,Avg3ptShotDistance,LongMidRangeFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,AtRimAssists,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,BlockedLongMidRange,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceShotQualityAvg,PenaltyPointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,Arc3FGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,Offensive Fouls Drawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SecondChancePointsPct,ShortMidRangeFGM,PtsPutbacks,Fg2aBlocked,PenaltyTurnovers,BlockedAtRim,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceFtPoints,Blocked3s,BlockedArc3,RecoveredBlocks,BlocksRecoveredPct,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctBlocked,DefAtRimReboundPct,on,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,LostBallSteals,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,SelfOReb,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,SelfORebPct,SecondChanceArc3Frequency,PenaltyArc3Frequency,SecondChanceAtRimPctAssisted,Arc3Assists,Arc3FGM,NonHeaveArc3FGM,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PtsUnassisted3s,SecondChanceFg3Pct,SecondChanceArc3Accuracy,PenaltyArc3Accuracy
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,660.0,11,5.0,18,18,4,10.0,2,36,1.0,1,1.0,1.0,22,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,4.0,2.0,1.0,4,1.0,0.16666666666666666,14.285714285714286,0.3333333333333333,0.25,0.125,0.5,1.0,0.3506,0.6666666666666666,0.6666666666666666,12.4,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2039,1610612753,Keyon Dooling,Keyon Dooling,2039,ORL,1676.0,28,-4.0,46,46,9,1.0,5,92,,7,3.0,12.0,50,1.0,1.0,1.0,2.0,2.0,,3.0,3.0,2.0,3.0,5.0,3.0,,9,,0.6666666666666666,17.307692307692307,,0.08695652173913043,0.0967741935483871,,,0.5715125,0.3333333333333333,0.375,7.457142857142857,0.1956521739130435,3.0,4.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.5625,0.125,0.125,0.16666666666666666,0.2,0.5,0.75,0.75,1.0,0.375,0.125,1.0,1.0,1.0,1.0,0.625,0.7354,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,1432.0,24,3.0,37,38,4,7.0,5,75,2.0,8,1.0,16.0,39,1.0,1.0,,2.0,1.0,,1.0,1.0,2.0,1.0,2.0,1.0,,4,,0.6818181818181818,30.952380952380953,,0.07142857142857142,0.041666666666666664,0.5,0.18181818181818182,0.4224590909090909,0.09090909090909091,0.125,16.35,0.10810810810810811,,,,6.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,9.0,,1.0,1.0,2.0,1.0,1.0,1.0,,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.375,0.6818181818181818,0.2727272727272727,,,,,,,,0.5454545454545454,0.2727272727272727,1.0,1.0,1.0,,0.2727272727272727,0.4806,23.333333333333332,3.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,0.75,0.75,1.0,0.5,0.5,0.3333333333333333,0.5,1.0,0.4072,0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2306,1610612753,Carlos Arroyo,Carlos Arroyo,2306,ORL,2414.0,40,,66,66,17,14.0,10,132,1.0,12,2.0,12.0,71,4.0,6.0,,14.0,1.0,,3.0,5.0,4.0,2.0,2.0,1.0,,17,,0.4,20.77922077922078,,0.034482758620689655,0.07142857142857142,,0.07142857142857142,0.46750714285714284,0.06666666666666667,0.07692307692307693,9.975,0.25757575757575757,2.0,5.0,1.0,6.0,,1.0,5.0,,2.0,3.0,4.0,,2.0,1.0,1.0,2.0,,,,,,0.4,0.4,,,,0.4166666666666667,0.35714285714285715,0.14285714285714285,0.15384615384615385,0.058823529411764705,0.14285714285714285,0.35714285714285715,0.4,0.4,,0.42857142857142855,0.07142857142857142,,,,0.25,0.5,0.451025,24.549999999999997,3.0,,1.0,1.0,,1.0,4.0,6.0,3.0,1.0,1.0,,1.0,,4.0,,0.25,0.4,1.0,0.5,0.5,0.6666666666666666,0.25,,0.558,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.07142857142857142,0.06666666666666667,0.14285714285714285,0.07692307692307693,0.16666666666666666,0.07142857142857142,1.0,1.0,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545,1610612753,Darko Milicic,Darko Milicic,2545,ORL,2413.0,40,2.0,66,65,17,13.0,10,131,3.0,9,2.0,12.0,69,,,,,3.0,1.0,6.0,9.0,2.0,6.0,3.0,2.0,,17,,0.6,14.285714285714285,0.25,0.10344827586206896,0.11904761904761904,,0.3333333333333333,0.49966666666666665,0.2,0.2,2.8666666666666667,0.25757575757575757,3.0,6.0,2.0,,,,5.0,,,3.0,6.0,,2.0,,,2.0,1.0,,3.0,1.0,3.0,0.6,0.75,,,,0.5555555555555556,0.5555555555555556,,0.15384615384615385,0.17647058823529413,0.14285714285714285,0.6666666666666666,0.5,0.6,0.6666666666666666,,,,,,0.6666666666666666,0.6666666666666666,0.5045666666666667,,,,,4.0,,,2.0,4.0,,1.0,1.0,,1.0,1.0,2.0,,0.3333333333333333,0.3333333333333333,1.0,,,,,,0.5192249999999999,0.16666666666666666,1.0,3.0,1.0,,1.0,2.0,1.0,,,,,,3.0,3.0,,0.25,0.3333333333333333,0.25,0.25,0.10714285714285714,0.1,,0.07692307692307693,0.16666666666666666,,0.75,0.3333333333333333,0.5,0.16666666666666666,2.0,2.0,1.0,1.0,1.0,0.1111111111111111,0.16666666666666666,0.25,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1610612753,Grant Hill,Grant Hill,255,ORL,752.0,13,4.0,22,21,10,14.0,5,43,,3,4.0,10.0,23,1.0,1.0,,2.0,2.0,,4.0,5.0,1.0,4.0,7.0,4.0,,10,1.0,0.8333333333333334,22.22222222222222,,0.3333333333333333,0.36363636363636365,,,0.45616666666666666,0.6666666666666666,0.6666666666666666,10.5,0.45454545454545453,1.0,1.0,,2.0,,,3.0,,,1.0,4.0,,2.0,,,,1.0,,,,1.0,0.6666666666666666,0.6666666666666666,,,,1.0,1.0,,0.4,0.4,1.0,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,,,,,,0.3333333333333333,0.3397,,2.0,,,,,,3.0,2.0,,,,,,,3.0,,1.0,0.75,,1.0,1.0,0.5,,,,0.3,,,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,,0.5,0.1111111111111111,0.09090909090909091,,0.25,,,,,,0.1,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772,1610612753,Trevor Ariza,Trevor Ariza,2772,ORL,1261.0,21,-12.0,34,36,14,10.0,6,70,,4,1.0,3.0,43,4.0,4.0,,8.0,1.0,,2.0,3.0,2.0,2.0,4.0,2.0,,14,,0.25,20.0,,0.05555555555555555,0.08695652173913043,,,0.41825,0.3333333333333333,0.3333333333333333,13.875,0.4117647058823529,1.0,1.0,,3.0,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,0.25,0.25,,0.2,0.1,0.3333333333333333,0.25,1.0,1.0,,0.75,,,,,,0.25,,,,,,1.0,,,1.0,2.0,2.0,,,,2.0,,1.0,,,0.25,,,,,,,0.5421,0.3333333333333333,1.0,1.0,,,1.0,2.0,,1.0,,,,2.0,1.0,1.0,,1.0,,1.0,1.0,0.07142857142857142,0.06666666666666667,,,,,1.0,1.0,,0.6666666666666666,,2.0,,1.0,,,,0.2,,,,,,,,,2.0,2.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2730,1610612753,Dwight Howard,Dwight Howard,2730,ORL,1427.0,24,1.0,39,39,8,,6,78,3.0,5,1.0,5.0,36,,2.0,,6.0,2.0,1.0,4.0,7.0,2.0,4.0,5.0,2.0,,8,,0.35714285714285715,22.22222222222222,1.0,0.09090909090909091,0.10344827586206896,0.2,0.6,0.46568000000000004,0.3333333333333333,0.3333333333333333,6.040000000000001,0.20512820512820512,1.0,2.0,1.0,,,,2.0,,,1.0,2.0,,1.0,,,,1.0,,,,,0.5,1.0,,,,0.4,0.4,,0.14285714285714285,,0.25,0.4,0.5,0.5,,,,,,,1.0,0.4,0.6774,,,,,1.0,,,3.0,2.0,,,,,3.0,,3.0,,1.0,0.75,,,,,,,0.6774,0.6,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,,2.0,2.0,,3.0,3.0,,1.0,1.0,1.0,0.75,0.17647058823529413,0.16666666666666666,,0.2857142857142857,,,1.0,1.0,1.0,0.6,1.0,2.0,1.0,1.0,,0.2,,0.16666666666666666,0.3333333333333333,0.5,1.0,1.0,,,,,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2749,1610612753,Jameer Nelson,Jameer Nelson,2749,ORL,35.0,1,1.0,2,1,2,1.0,1,3,,1,,,2,,,,,,,,,,,,,,2,,,25.0,,,,,,0.2997,,,17.5,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.2997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1499,1610612753,Tony Battie,Tony Battie,1499,ORL,4545.0,76,-24.0,132,132,24,14.0,18,264,4.0,17,,14.0,157,,,,,7.0,2.0,11.0,14.0,11.0,2.0,,,,24,1.0,0.4117647058823529,11.18421052631579,0.4,0.13725490196078433,0.15789473684210525,0.09523809523809523,0.23529411764705882,0.4532235294117647,,,10.200000000000001,0.18181818181818182,4.0,5.0,,8.0,,,7.0,,,3.0,8.0,,2.0,,,9.0,,,,,,0.5714285714285714,1.0,,,,0.4117647058823529,0.4117647058823529,,0.3333333333333333,0.18181818181818182,0.4,0.29411764705882354,0.8,0.8,0.5,0.47058823529411764,,,,,,0.29411764705882354,0.3974333333333333,,2.0,,,5.0,,,2.0,6.0,,,,,,,2.0,,0.3333333333333333,0.3333333333333333,,0.25,0.25,1.0,,,0.45695,0.14285714285714285,2.0,3.0,,,4.0,8.0,1.0,,,,,,2.0,3.0,,0.8,0.3333333333333333,0.8,0.8,0.0392156862745098,0.04918032786885246,,0.058823529411764705,,,0.6,0.6666666666666666,,0.5714285714285714,1.0,6.0,,,,,,0.05263157894736842,0.25,0.25,,,,,,,,,1.0,,1.0,,,,,0.125,False,1.0,0.1,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
