EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,OffThreePtRebounds,SelfOReb,Travels,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyFtPoints,PtsUnassisted3s,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,RecoveredBlocks,DefShortMidRangeReboundPct,BlocksRecoveredPct,ThreePtShootingFoulsDrawnPct,BlockedShortMidRange,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,PenaltyTurnovers,BlockedLongMidRange,Defensive 3 Seconds Violations,OffShortMidRangeReboundPct,Corner3Assists,FTOffRebounds,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,ShortMidRangePctBlocked,OffFTReboundPct,Corner3FGM,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceFtPoints,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,3SecondViolations,on,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,HeaveAttempts,Clear Path Fouls,OffensiveGoaltends,LongMidRangePctBlocked,DefCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,Blocked3s,BlockedArc3,BlockedCorner3
101145,1610612744,Monta Ellis,Monta Ellis,101145,GSW,6476.0,108.0,-18.0,234.0,233,9.0,21.0,15.0,467,12.0,18.0,1.0,2.0,4.0,7.0,20.0,21.0,42.0,8.0,50.0,254.0,1.0,3.0,2.0,24.0,18.0,2.0,11.0,2.0,13.0,2.0,7.0,1.0,3.0,28.0,1.0,1.0,4.0,1.0,6.0,1.0,7.0,4.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,7.0,1.0,5.0,9.0,1.0,9.0,4.0,9.0,1.0,5.0,1.0,1.0,1.0,2.0,9.0,0.5714285714285714,0.5714285714285714,0.5,0.3333333333333333,0.5,0.3333333333333333,0.5434782608695652,0.3333333333333333,0.047619047619047616,0.1111111111111111,21.285140562248994,0.5714285714285714,0.2,0.04938271604938271,0.014705882352941176,0.058823529411764705,0.05102040816326531,0.010638297872340425,0.05,0.038461538461538464,0.0967741935483871,0.058823529411764705,0.42857142857142855,0.6666666666666666,0.75,0.6666666666666666,0.09523809523809523,0.5,0.5,0.5,0.47619047619047616,0.35,0.35,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.5221119047619047,0.3778333333333333,0.10869565217391304,0.10869565217391304,0.04,9.707142857142857,0.038461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
101235,1610612744,Kelenna Azubuike,Kelenna Azubuike,101235,GSW,723.0,12.0,-7.0,26.0,25,5.0,4.0,2.0,51,2.0,2.0,1.0,,2.0,,,2.0,4.0,1.0,8.0,37.0,1.0,2.0,5.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,1.0,,1.0,,,,1.0,,1.0,,,,,1.0,,1.0,1.0,1.0,,,,5.0,5.0,0.5,1.0,0.5,0.5,0.5833333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,,,24.13793103448276,,,,,,,0.15384615384615385,,,,,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,,,,,,,,0.3333333333333333,0.6666666666666666,0.5969833333333333,0.5722666666666667,0.16666666666666666,0.25,0.625,4.449999999999999,0.19230769230769232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.25,1.25,0.3333333333333333,0.5,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5964,0.625,23.700000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1536,1610612744,Stephen Jackson,Stephen Jackson,1536,GSW,5174.0,86.0,-5.0,185.0,182,16.0,21.0,12.0,367,6.0,10.0,3.0,5.0,7.0,3.0,6.0,14.0,23.0,8.0,57.0,192.0,5.0,7.0,11.0,14.0,14.0,1.0,3.0,1.0,4.0,1.0,1.0,,2.0,9.0,,1.0,9.0,1.0,11.0,,11.0,3.0,3.0,,7.0,1.0,3.0,1.0,4.0,8.0,,2.0,2.0,,8.0,,10.0,1.0,3.0,2.0,2.0,2.0,11.0,16.0,0.5,0.5,0.6086956521739131,0.7142857142857143,0.6805555555555556,0.625,0.7236842105263158,0.625,0.043478260869565216,0.1,23.3502538071066,0.875,0.2,0.12857142857142856,,0.08333333333333333,0.12195121951219512,,,0.09090909090909091,0.14285714285714285,0.08333333333333333,0.2777777777777778,0.6,0.6666666666666666,0.3333333333333333,0.19444444444444445,0.7142857142857143,0.7142857142857143,0.6,0.16666666666666666,0.5,0.5,0.6666666666666666,0.375,0.6388888888888888,0.5078791666666667,0.49675624999999995,0.10526315789473684,0.12,0.19298245614035087,8.930434782608696,0.08648648648648649,,,2.0,1.0,7.0,12.0,2.0,2.0,,1.0,7.0,13.0,,,2.0,2.0,6.0,,1.0,18.0,,12.0,7.0,,,,0.8571428571428571,0.5384615384615384,1.0,,0.5384615384615384,,1.5,1.5,0.3611111111111111,,,,,0.027777777777777776,0.3333333333333333,0.5833333333333334,0.5833333333333334,0.8571428571428571,,,1.0,1.0,1.0,0.6666666666666666,0.125,,0.5833333333333334,0.53115,0.10526315789473684,25.76153846153846,1.0,3.0,1.0,4.0,1.0,1.0,0.15,0.5,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1733,1610612744,Al Harrington,Al Harrington,1733,GSW,2794.0,47.0,-8.0,99.0,97,12.0,18.0,6.0,196,4.0,4.0,,,1.0,3.0,6.0,7.0,11.0,,17.0,108.0,,,,4.0,10.0,,,1.0,1.0,1.0,,,,3.0,1.0,,5.0,,5.0,1.0,6.0,,,,2.0,,1.0,1.0,1.0,3.0,,1.0,2.0,,1.0,1.0,,,,1.0,,1.0,,12.0,0.2857142857142857,0.3333333333333333,0.6363636363636364,,0.5,,0.5,,,,19.047619047619047,0.6666666666666666,,0.15625,0.037037037037037035,,0.11627906976744186,0.02564102564102564,,0.21428571428571427,0.08333333333333333,,0.23529411764705882,1.0,1.0,0.5,0.058823529411764705,,,,0.35294117647058826,0.5,0.5,,,0.5882352941176471,0.5303499999999999,,,,,10.327272727272728,0.12121212121212122,1.0,1.0,,1.0,1.0,5.0,,,,,1.0,6.0,2.0,3.0,,,4.0,,,3.0,2.0,5.0,1.0,,,,1.0,0.16666666666666666,,,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.35294117647058826,,,,,0.058823529411764705,0.29411764705882354,0.2,0.2,1.0,0.3333333333333333,1.0,,,,,,,0.2,0.4517,0.23529411764705882,24.216666666666665,,,,,,,0.16666666666666666,,,1.0,0.07142857142857142,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
185,1610612744,Chris Webber,Chris Webber,185,GSW,7551.0,126.0,-21.0,275.0,271,25.0,25.0,19.0,546,6.0,8.0,,1.0,7.0,8.0,16.0,15.0,31.0,5.0,35.0,298.0,,1.0,,26.0,4.0,,15.0,3.0,18.0,3.0,11.0,2.0,2.0,39.0,1.0,10.0,19.0,1.0,30.0,2.0,32.0,4.0,3.0,1.0,9.0,1.0,7.0,2.0,2.0,11.0,1.0,12.0,17.0,1.0,6.0,,12.0,,6.0,6.0,4.0,6.0,,25.0,0.8666666666666667,0.8666666666666667,0.4838709677419355,,0.4838709677419355,,0.47297297297297297,,,,16.3265306122449,0.8181818181818182,0.125,0.19,0.013333333333333334,0.5263157894736842,0.24369747899159663,0.01818181818181818,,0.18181818181818182,0.18421052631578946,0.5263157894736842,0.25806451612903225,0.75,0.75,0.8333333333333334,0.22580645161290322,0.14285714285714285,0.14285714285714285,1.0,0.5161290322580645,0.5,0.5,0.875,,0.25806451612903225,0.4733903225806452,0.3941,0.16216216216216217,0.16216216216216217,,12.009677419354839,0.09090909090909091,,,,,,,,,,,,,1.0,2.0,,,2.0,,,,,,,1.0,,,,,,,,0.5,0.5,0.3333333333333333,,0.02857142857142857,,0.1111111111111111,,,,,,,,,,,,,,,,0.3727,0.05714285714285714,,,,,,,4.0,0.20689655172413793,0.6666666666666666,,1.0,,,2.0,1.0,1.0,0.058823529411764705,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
1884,1610612744,Baron Davis,Baron Davis,1884,GSW,6883.0,115.0,-22.0,252.0,249,17.0,22.0,19.0,501,13.0,18.0,,4.0,6.0,1.0,7.0,18.0,31.0,6.0,54.0,272.0,1.0,1.0,7.0,12.0,24.0,2.0,20.0,2.0,22.0,1.0,13.0,2.0,5.0,46.0,1.0,1.0,10.0,,11.0,2.0,13.0,7.0,3.0,4.0,7.0,1.0,5.0,5.0,2.0,12.0,,5.0,11.0,1.0,12.0,2.0,10.0,3.0,6.0,1.0,,1.0,7.0,17.0,0.3333333333333333,0.3333333333333333,0.5806451612903226,1.0,0.4444444444444444,0.8333333333333334,0.47368421052631576,0.875,0.06451612903225806,0.05555555555555555,25.555555555555554,0.5833333333333334,,0.10638297872340426,0.015151515151515152,0.05555555555555555,0.09821428571428571,0.010101010101010102,,0.0967741935483871,0.17142857142857143,0.05555555555555555,0.3333333333333333,0.7222222222222222,0.7647058823529411,0.46153846153846156,0.1111111111111111,0.6666666666666666,0.8,,0.12962962962962962,0.14285714285714285,0.14285714285714285,,,0.7592592592592593,0.5447972222222223,0.45343333333333335,0.10526315789473684,0.17647058823529413,0.12962962962962962,6.058064516129032,0.06746031746031746,,,,5.0,4.0,18.0,,,1.0,2.0,4.0,23.0,,,,,,1.0,2.0,9.0,,18.0,4.0,,,2.0,0.75,0.17391304347826086,,0.5,0.17391304347826086,,,,0.42592592592592593,,,,,0.09259259259259259,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.75,,,,,,,0.6666666666666666,0.5,0.2222222222222222,,,25.51739130434783,2.0,3.0,,1.0,,1.0,0.03571428571428571,1.0,,1.0,0.030303030303030304,,,,,,1.0,1.0,1.0,1.0,0.16666666666666666,0.14285714285714285,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2440,1610612744,Matt Barnes,Matt Barnes,2440,GSW,1795.0,30.0,-13.0,69.0,67,14.0,4.0,5.0,136,2.0,3.0,,,1.0,,1.0,2.0,5.0,2.0,9.0,82.0,,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,,10.0,1.0,,3.0,2.0,5.0,2.0,7.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,1.0,,2.0,,2.0,,2.0,,1.0,,,,2.0,14.0,0.5,0.5,0.4,,0.3888888888888889,,0.45,0.3333333333333333,0.2,,16.216216216216218,0.5,0.5,0.16666666666666666,0.058823529411764705,,0.125,0.08,0.3333333333333333,0.25,,,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.1111111111111111,,,,0.1111111111111111,,,,,0.7777777777777778,0.5353111111111111,0.477025,0.1,0.16666666666666666,0.2222222222222222,7.42,0.2028985507246377,,,,2.0,,2.0,,,,1.0,1.0,4.0,,,,,,,1.0,3.0,,2.0,,1.0,2.0,,1.0,0.25,,,0.25,,,,0.4444444444444444,0.125,,1.0,0.4,0.2222222222222222,0.2222222222222222,,,,,,,,,,0.5,,,,,24.5,2.0,,,,,,0.25,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
201148,1610612744,Brandan Wright,Brandan Wright,201148,GSW,1595.0,27.0,8.0,57.0,56,,3.0,6.0,113,5.0,7.0,,1.0,2.0,,,6.0,9.0,2.0,14.0,45.0,,,,8.0,4.0,2.0,,1.0,1.0,1.0,,,,3.0,2.0,,8.0,,8.0,4.0,12.0,,,,1.0,,1.0,,,1.0,,2.0,3.0,,2.0,,3.0,1.0,2.0,3.0,2.0,3.0,,,0.6666666666666666,1.0,0.6666666666666666,,0.6666666666666666,,0.7,,0.2222222222222222,0.2857142857142857,17.46031746031746,1.0,,0.25,0.1,,0.2222222222222222,0.14285714285714285,0.2,0.16666666666666666,0.13333333333333333,,0.7777777777777778,0.7142857142857143,1.0,0.8,0.2222222222222222,0.5,0.5,,,,,,,0.7777777777777778,0.5631888888888889,,0.2,0.2,,2.6222222222222222,,1.0,1.0,,,,,,,,,,,2.0,2.0,,,5.0,,,,4.0,,,2.0,,,,,,,,1.0,1.0,0.8333333333333334,,0.25,0.16666666666666666,0.5,,,,,,,0.5,1.0,,,,,,,,0.5317,0.35714285714285715,,,,,,,1.0,0.45454545454545453,0.3333333333333333,,1.0,0.1111111111111111,,,,,,,,,1.0,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,
2554,1610612744,Mickael Pietrus,Mickael Pietrus,2554,GSW,2685.0,45.0,-12.0,101.0,100,19.0,7.0,7.0,201,3.0,4.0,,,,,2.0,3.0,6.0,4.0,10.0,114.0,,,2.0,4.0,2.0,,2.0,,2.0,,2.0,,,4.0,,,5.0,1.0,6.0,1.0,7.0,1.0,1.0,,1.0,,1.0,1.0,,2.0,,4.0,6.0,,4.0,1.0,7.0,,1.0,,,,2.0,19.0,0.6666666666666666,0.6666666666666666,0.5,,0.42857142857142855,,0.5,1.0,,,11.11111111111111,0.5,0.2,0.13157894736842105,,,0.11627906976744186,0.02564102564102564,,0.2857142857142857,0.08333333333333333,,0.5714285714285714,0.75,0.75,0.6666666666666666,,,,,0.2857142857142857,,,,,0.7142857142857143,0.4725,,0.2222222222222222,0.14285714285714285,0.2,8.916666666666666,0.18811881188118812,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,0.14285714285714285,0.0625,0.08333333333333333,,,,0.14285714285714285,,,,,,,,,,,,,,,25.7,2.0,,,,1.0,,,,0.5,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,1.0,,True,,,,,,,,,,,,,,,,,,,,,,
1506,1610612744,Austin Croshere,Austin Croshere,1506,GSW,63.0,1.0,-5.0,1.0,2,,,,3,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
