EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,Offensive Fouls,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,NonShootingFoulsDrawn,BlockedShortMidRange,PenaltyFg3Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,PenaltyArc3Accuracy,SecondChanceCorner3FGA,LongMidRangeAssists,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceCorner3Frequency,PenaltyCorner3FGM,Corner3Assists,ShortMidRangeAssists,Loose Ball Fouls,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3SecondViolations,BlockedLongMidRange,on,SelfOReb,SelfORebPct,SecondChanceArc3FGM,SecondChanceFG3M,Blocked3s,BlockedArc3,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LongMidRangePctBlocked,SecondChanceCorner3FGM,Defensive 3 Seconds Violations,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
101141,1610612749,Ersan Ilyasova,Ersan Ilyasova,101141,MIL,5023.0,84.0,-21.0,156,153.0,38.0,41.0,26.0,309,6.0,9.0,2.0,3.0,1.0,3.0,3.0,5.0,2.0,4.0,1.0,3.0,2.0,2.0,5.0,1.0,1.0,11.0,18.0,3.0,8.0,11.0,42.0,174.0,2.0,5.0,1.0,5.0,9.0,1.0,4.0,3.0,2.0,4.0,16.0,6.0,9.0,2.0,5.0,2.0,4.0,3.0,1.0,2.0,7.0,2.0,11.0,8.0,19.0,4.0,3.0,1.0,5.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,9.0,2.0,4.0,6.0,10.0,14.0,2.0,3.0,14.0,2.0,8.0,1.0,1.0,1.0,1.0,4.0,38.0,1.0,0.7272727272727273,0.8,1.0,0.375,0.375,0.6111111111111112,0.4,0.25,0.5961538461538461,0.3333333333333333,0.14285714285714285,0.65625,0.5625,0.25,0.3076923076923077,22.16216216216216,0.5555555555555556,0.2857142857142857,0.2,0.14,0.05555555555555555,0.10526315789473684,0.13333333333333333,0.13043478260869565,0.08333333333333333,0.05263157894736842,0.07407407407407407,0.13043478260869565,0.14285714285714285,0.10526315789473684,0.22727272727272727,0.1,0.1111111111111111,1.0,0.34615384615384615,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.19230769230769232,0.6,0.6,0.3333333333333333,0.15384615384615385,0.5,0.5,1.0,0.11538461538461539,0.3333333333333333,0.3333333333333333,1.0,0.19230769230769232,0.4,0.4,1.0,0.5,0.6666666666666666,0.5,0.16666666666666666,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.14285714285714285,0.6538461538461539,0.4,0.512225,0.56774,0.5304642857142857,0.25,0.3333333333333333,0.21428571428571427,0.09523809523809523,5.833333333333333,24.95,0.24358974358974358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201601,1610612749,Luc Mbah a Moute,Luc Mbah a Moute,201601,MIL,2381.0,40.0,1.0,66,67.0,9.0,9.0,12.0,133,5.0,7.0,,2.0,,1.0,,1.0,,2.0,,,,,1.0,,1.0,5.0,10.0,,1.0,3.0,13.0,60.0,,3.0,,,,,1.0,1.0,,,6.0,4.0,,,,,1.0,3.0,,1.0,7.0,,8.0,4.0,12.0,1.0,1.0,,,1.0,,2.0,,,,,2.0,,1.0,1.0,3.0,4.0,1.0,,4.0,2.0,3.0,,,,,,9.0,,0.6,0.6,,,,0.5,,,0.45454545454545453,,,0.5416666666666666,,,0.09090909090909091,16.867469879518072,,,,0.23333333333333334,0.09375,0.1,0.14285714285714285,0.2,0.10256410256410256,,0.15384615384615385,,0.5,0.375,0.23076923076923078,0.125,,,0.6363636363636364,0.7142857142857143,0.7142857142857143,0.6,0.09090909090909091,,,,0.18181818181818182,,,,,,,,0.09090909090909091,,,,0.6666666666666666,,,,0.5,,,0.5,0.7272727272727273,,0.5203,0.5428666666666667,0.6295,0.25,0.2727272727272727,,,4.44,40.4,0.13636363636363635,1.0,1.0,0.14285714285714285,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
201943,1610612749,Brandon Jennings,Brandon Jennings,201943,MIL,2492.0,42.0,-14.0,72,72.0,26.0,15.0,13.0,144,2.0,7.0,,1.0,,1.0,,3.0,1.0,3.0,,,,2.0,4.0,,2.0,3.0,13.0,2.0,4.0,2.0,14.0,89.0,,1.0,,,,1.0,2.0,2.0,,5.0,2.0,4.0,3.0,,3.0,2.0,1.0,,,,1.0,,1.0,1.0,2.0,2.0,,2.0,,1.0,,1.0,,,,,1.0,,1.0,1.0,2.0,2.0,,,2.0,,,1.0,,1.0,,5.0,26.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.6666666666666666,0.23076923076923078,,0.5,0.35294117647058826,,0.625,0.3888888888888889,,0.625,0.23529411764705882,21.34831460674157,,,,0.05555555555555555,,,0.1,0.04,0.023255813953488372,,,0.2,,,0.2,,,,0.4117647058823529,0.2857142857142857,0.6666666666666666,0.5,0.17647058823529413,,,,0.17647058823529413,0.3333333333333333,0.3333333333333333,,,,,,0.23529411764705882,0.5,0.5,0.5,1.0,,,,0.25,,,0.5,0.6470588235294118,0.6666666666666666,0.5139906249999999,,0.4999833333333333,,,,0.35714285714285715,6.561538461538461,30.049999999999997,0.3611111111111111,1.0,,,,1.0,1.0,3.0,6.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,0.5,0.46153846153846156,0.5714285714285714,0.6666666666666666,0.5,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
2422,1610612749,John Salmons,John Salmons,2422,MIL,4947.0,82.0,-10.0,142,144.0,38.0,36.0,25.0,286,5.0,10.0,1.0,1.0,,1.0,4.0,8.0,1.0,12.0,,3.0,1.0,,3.0,,1.0,10.0,30.0,,6.0,7.0,27.0,153.0,4.0,5.0,2.0,,8.0,2.0,4.0,2.0,4.0,8.0,4.0,16.0,,,3.0,,,2.0,,,3.0,,3.0,2.0,5.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,,1.0,,,3.0,1.0,1.0,,2.0,6.0,,,7.0,1.0,3.0,2.0,1.0,2.0,1.0,8.0,38.0,,0.2,0.2,,,,0.3333333333333333,0.8,0.5,0.2777777777777778,0.5714285714285714,0.3333333333333333,0.34615384615384615,0.5714285714285714,0.5,0.16666666666666666,24.137931034482758,0.6666666666666666,,,0.057692307692307696,0.03278688524590164,,,0.04285714285714286,0.023529411764705882,0.05,,,,,0.05,,,0.5,0.2777777777777778,0.5,0.8333333333333334,0.2,0.2222222222222222,0.5,0.5714285714285714,0.25,0.3333333333333333,0.08333333333333333,0.08333333333333333,,0.08333333333333333,,,,0.08333333333333333,,,,0.14285714285714285,1.0,,,0.16666666666666666,,0.16666666666666666,0.16666666666666666,0.4444444444444444,,0.4553763888888888,0.4453666666666667,0.47268333333333334,0.07894736842105263,0.09375,0.2962962962962963,0.2962962962962963,10.23333333333333,24.53333333333333,0.2676056338028169,,,0.07142857142857142,0.13333333333333333,,,,5.0,4.0,3.0,7.0,3.0,2.0,17.0,1.0,1.0,,0.16666666666666666,0.4,0.125,,2.0,2.0,1.0,0.2857142857142857,,,,,,,,,,,,True,,,,,,,,,,,,,,
2557,1610612749,Luke Ridnour,Luke Ridnour,2557,MIL,7271.0,121.0,-20.0,217,216.0,54.0,53.0,35.0,433,3.0,7.0,,1.0,1.0,2.0,4.0,5.0,9.0,19.0,1.0,1.0,1.0,4.0,13.0,,2.0,16.0,31.0,5.0,14.0,10.0,57.0,233.0,3.0,5.0,,1.0,7.0,3.0,8.0,3.0,1.0,10.0,6.0,26.0,9.0,,13.0,4.0,2.0,2.0,,2.0,7.0,,9.0,4.0,13.0,4.0,2.0,2.0,6.0,2.0,5.0,4.0,1.0,1.0,,,10.0,1.0,4.0,6.0,13.0,11.0,,1.0,12.0,,5.0,1.0,1.0,1.0,,10.0,54.0,,0.1875,0.1875,0.6,0.35714285714285715,0.35714285714285715,0.5161290322580645,0.6,0.375,0.5222222222222223,0.6,0.4090909090909091,0.5588235294117647,0.5833333333333334,0.4166666666666667,0.3111111111111111,23.643410852713178,0.6,,,0.09090909090909091,0.025,0.06896551724137931,0.05714285714285714,0.08490566037735849,0.034782608695652174,0.034482758620689655,,0.07692307692307693,,,0.1935483870967742,,0.18181818181818182,,0.15555555555555556,0.42857142857142855,0.5,,0.1111111111111111,0.8,0.8,0.5,0.4222222222222222,0.47368421052631576,0.47368421052631576,0.1111111111111111,0.022222222222222223,1.0,1.0,1.0,0.28888888888888886,0.3076923076923077,0.3076923076923077,0.5,0.2,,,,0.18181818181818182,0.5,0.09090909090909091,0.18181818181818182,0.4666666666666667,0.3076923076923077,0.4646877777777777,0.3889333333333333,0.45627727272727275,0.1,0.1388888888888889,0.12280701754385964,0.17543859649122806,13.235483870967741,25.428571428571427,0.2488479262672811,,1.0,0.07142857142857142,0.05555555555555555,,1.0,6.0,1.0,10.0,3.0,13.0,,6.0,29.0,1.0,,0.3333333333333333,0.03225806451612903,0.14285714285714285,,,,3.0,1.0,,1.0,3.0,1.0,1.0,1.0,,,,,,,True,,,,,,,,,,,,,,
2568,1610612749,Carlos Delfino,Carlos Delfino,2568,MIL,3451.0,58.0,-25.0,100,99.0,22.0,15.0,17.0,199,4.0,7.0,,,,2.0,,1.0,,2.0,2.0,6.0,1.0,1.0,6.0,,,4.0,10.0,3.0,12.0,1.0,18.0,124.0,,,2.0,,,,3.0,1.0,1.0,1.0,2.0,6.0,9.0,,6.0,1.0,,1.0,,1.0,5.0,3.0,9.0,1.0,10.0,1.0,1.0,,3.0,,3.0,,,,,,3.0,,,2.0,3.0,1.0,,,2.0,,,,,,,1.0,22.0,,0.25,0.25,1.0,0.25,0.25,0.4,,,0.38636363636363635,,,0.391304347826087,,0.1,0.5454545454545454,22.033898305084747,1.0,1.0,,0.14705882352941177,0.03333333333333333,0.09090909090909091,,0.13333333333333333,0.020833333333333332,,0.07692307692307693,,,0.125,0.18181818181818182,0.125,,,0.3181818181818182,0.5714285714285714,0.8,0.25,0.045454545454545456,,,,0.09090909090909091,,,,0.2727272727272727,0.3333333333333333,0.4,1.0,0.2727272727272727,0.16666666666666666,0.16666666666666666,1.0,,,,,0.5,,0.25,,0.8636363636363636,0.16666666666666666,0.5258704545454546,0.5121,0.5278625,,,,0.05555555555555555,5.66,24.799999999999997,0.22,,,,0.14285714285714285,,,,3.0,5.0,3.0,8.0,2.0,3.0,19.0,1.0,,,0.3,0.2857142857142857,1.0,,2.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,0.08333333333333333,0.16666666666666666,,,,True,,,,,,,,,,,,,,
711,1610612749,Jerry Stackhouse,Jerry Stackhouse,711,MIL,4871.0,81.0,-3.0,153,150.0,37.0,50.0,20.0,303,1.0,4.0,,1.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,2.0,,,7.0,,1.0,4.0,13.0,1.0,9.0,9.0,20.0,147.0,,1.0,,,,1.0,2.0,1.0,2.0,4.0,4.0,4.0,3.0,,6.0,,,1.0,,3.0,3.0,1.0,7.0,1.0,8.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,,,4.0,2.0,,1.0,3.0,7.0,,,10.0,,5.0,,,,,4.0,37.0,,0.5,0.5,1.0,0.1111111111111111,0.125,0.3076923076923077,,0.5,0.25,,0.3333333333333333,0.37037037037037035,,0.5,0.4090909090909091,17.714285714285715,0.5,0.2,,0.05263157894736842,0.02,0.13043478260869565,,0.075,0.013888888888888888,0.05,,,,0.047619047619047616,0.08695652173913043,0.23076923076923078,,,0.18181818181818182,0.25,0.5,1.0,0.13636363636363635,0.3333333333333333,0.3333333333333333,,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.5,0.09090909090909091,0.5,0.5,1.0,0.3181818181818182,,,,1.0,,,,0.3333333333333333,1.0,,0.3333333333333333,0.5909090909090909,,0.47281904761904753,0.5212,0.4765833333333333,0.18518518518518517,0.2777777777777778,,0.2,10.523076923076921,28.211111111111112,0.24183006535947713,1.0,,,,,,,2.0,3.0,1.0,4.0,,2.0,9.0,,,,0.15384615384615385,0.5,,,,,,,,1.0,1.0,,,1.0,0.1111111111111111,,0.14285714285714285,,,True,,,,,,,,,,,,,,
2429,1610612749,Dan Gadzuric,Dan Gadzuric,2429,MIL,2791.0,47.0,11.0,88,88.0,11.0,25.0,11.0,176,3.0,6.0,1.0,3.0,2.0,2.0,,,2.0,2.0,,,,,,,,5.0,8.0,,,1.0,11.0,85.0,2.0,4.0,,,4.0,2.0,2.0,,,4.0,8.0,2.0,,2.0,,,2.0,4.0,,3.0,4.0,2.0,9.0,6.0,15.0,,,,1.0,,,2.0,,1.0,,,3.0,,1.0,6.0,8.0,6.0,3.0,,4.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,11.0,,0.8,1.0,,,,0.625,0.5,1.0,0.625,0.5,1.0,0.6111111111111112,0.5,1.0,,11.881188118811881,0.3333333333333333,1.0,,0.11764705882352941,0.21052631578947367,0.25,0.125,0.15217391304347827,0.17142857142857143,0.1111111111111111,0.375,0.15384615384615385,,0.26666666666666666,,,0.5,0.3333333333333333,0.75,0.5,0.5,0.6666666666666666,,,,,0.25,1.0,1.0,1.0,,,,,,,,,0.75,0.3333333333333333,,,1.0,1.0,,,0.75,,0.49885,0.5339499999999999,0.5677,0.3333333333333333,0.3333333333333333,0.36363636363636365,0.36363636363636365,4.6875,,0.125,,1.0,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,True,,,,,,,,,,,,,,
2056,1610612749,Primoz Brezec,Primoz Brezec,2056,MIL,391.0,7.0,1.0,11,11.0,9.0,3.0,2.0,22,,,,,,,,,1.0,2.0,,,,,,,,1.0,2.0,,,1.0,3.0,8.0,,,,,,1.0,2.0,,1.0,3.0,2.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,2.0,,,2.0,,,,,,,3.0,9.0,,1.0,1.0,,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,,23.076923076923077,,,,,0.14285714285714285,,,,0.14285714285714285,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,0.37145,,0.37145,,,,1.0,15.2,,0.8181818181818182,,,0.5,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,
703,1610612749,Kurt Thomas,Kurt Thomas,703,MIL,2498.0,42.0,-21.0,73,74.0,20.0,16.0,13.0,147,2.0,2.0,1.0,1.0,,,,,1.0,4.0,,,,,,,,3.0,6.0,,,,6.0,88.0,1.0,1.0,,,2.0,,2.0,,,,4.0,2.0,,2.0,,,1.0,2.0,,1.0,4.0,,5.0,3.0,8.0,1.0,1.0,,,,,,,,,,,,,2.0,5.0,3.0,,2.0,,,,2.0,1.0,2.0,1.0,,20.0,,0.6666666666666666,1.0,,,,0.5,1.0,,0.5,1.0,,0.5,1.0,,,6.976744186046512,,,,0.16,0.06451612903225806,0.09090909090909091,0.08333333333333333,0.1388888888888889,0.06976744186046512,0.2,0.05,0.1,,0.1111111111111111,0.1,0.125,,0.5,0.3333333333333333,1.0,1.0,0.5,,,,,0.6666666666666666,0.25,0.25,1.0,,,,,,,,,1.0,1.0,,,,,,,0.3333333333333333,,0.4457166666666666,0.4719,0.36805,,,0.3333333333333333,,11.9,,0.273972602739726,,,,0.3333333333333333,,,,,2.0,,2.0,,1.0,4.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,True,,,,,,,,,,,,,,
