EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,Usage,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceAtRimFGM,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG2M,PenaltyFG3M,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG3APct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,HeaveAttempts,DefTwoPtRebounds,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,LiveBallTurnoverPct,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeFGM,PtsUnassisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,Steals,BadPassSteals,LostBallSteals,NonShootingPenaltyNonTakeFouls,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAssists,DefLongMidRangeReboundPct,SelfOReb,BlockingFoulsDrawn,SelfORebPct,FTOffRebounds,OffFTReboundPct,Offensive Fouls Drawn,ShortMidRangePctBlocked,Corner3FGA,Offensive Fouls,2pt And 1 Free Throw Trips,ShortMidRangePctAssisted,Corner3Frequency,on,SecondChanceArc3FGA,SecondChanceFG3A,Corner3Assists,OffThreePtRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,Loose Ball Fouls Drawn,Blocked3s,BlockedArc3,BlockedCorner3,3SecondViolations,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,StepOutOfBoundsTurnovers,Technical Free Throw Trips,Defensive 3 Seconds Violations,SecondChanceFg3Pct,LongMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Charge Fouls Drawn,DefensiveGoaltends,OffensiveGoaltends,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted
200796,1610612763,Leon Powe,Leon Powe,200796,MEM,598.0,10,22,22,14.0,22,4,44,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,8.0,3.0,7.0,27,1.0,2.0,2.0,1.0,3.0,3.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,5.0,14.0,2.0,1.0,1.0,0.25,0.3333333333333333,0.25,0.3333333333333333,0.35,0.5,0.5,0.25,0.6666666666666666,38.46153846153846,0.2,0.4,0.2,0.18181818181818182,0.5,0.16666666666666666,0.5,0.375,0.3333333333333333,1.0,1.0,0.25,0.375,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.375,0.48935000000000006,0.7248,0.5233333333333333,0.2857142857142857,0.7142857142857143,9.525,0.6363636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201589,1610612763,Darrell Arthur,Darrell Arthur,201589,MEM,497.0,8,19,17,5.0,8,4,36,2.0,2.0,1.0,,,1.0,,1.0,2.0,4.0,,7.0,22,1.0,,2.0,,,,3.0,2.0,,1.0,,,1.0,1.0,,,,3.0,5.0,,0.5,1.0,0.5,,0.7,1.5,0.7,1.0,1.5,,,22.727272727272727,0.16666666666666666,,,0.14285714285714285,,0.2,,0.4,1.0,1.0,0.5,0.2,0.2,,,,1.0,,,0.6,0.5207200000000001,0.5473,0.6108,0.2857142857142857,0.42857142857142855,6.25,0.2631578947368421,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201632,1610612763,Hamed Haddadi,Hamed Haddadi,201632,MEM,1835.0,31,65,61,22.0,28,14,126,3.0,4.0,1.0,2.0,2.0,5.0,,,3.0,9.0,5.0,11.0,68,3.0,2.0,4.0,2.0,3.0,3.0,7.0,4.0,,3.0,1.0,5.0,3.0,8.0,4.0,6.0,,7.0,22.0,,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.3,0.5,0.4230769230769231,0.5,0.5833333333333334,,,18.987341772151897,0.1,0.09090909090909091,0.14285714285714285,0.09090909090909091,0.1111111111111111,0.125,0.125,0.4,0.75,0.75,0.6666666666666666,0.5,,,,,0.3333333333333333,0.5,1.0,0.5,0.5092,0.57,0.5928333333333334,0.36363636363636365,0.6363636363636364,4.788888888888889,0.3384615384615385,8.0,1.0,,1.0,,1.0,,1.0,1.0,,1.0,2.0,,2.0,,,,,,,0.3333333333333333,0.3333333333333333,0.1,0.1,,,,1.0,0.25,,,65.4,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,7.0,1.0,3.0,5.0,4.0,1.0,5.0,5.0,0.5,0.16666666666666666,0.3,0.14285714285714285,1.0,0.23076923076923078,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201970,1610612763,Sam Young,Sam Young,201970,MEM,650.0,11,24,23,14.0,22,5,47,,,,,,2.0,,,,2.0,,,29,,,,,2.0,,,,,,1.0,1.0,,1.0,,,,,14.0,,,,,,,,,,,,,6.8965517241379315,,0.2,0.09090909090909091,,,,0.25,,,,,1.0,,,,,,,,,0.4022,,0.4022,,,6.6,0.5833333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202349,1610612763,Greivis Vasquez,Greivis Vasquez,202349,MEM,1336.0,22,51,49,19.0,27,8,100,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,7.0,7.0,2.0,22.0,48,1.0,,2.0,4.0,4.0,2.0,13.0,,,1.0,2.0,3.0,1.0,4.0,1.0,2.0,,13.0,19.0,,,,1.0,1.0,1.0,1.1,1.0,1.0,1.0833333333333333,,,22.413793103448278,0.047619047619047616,0.2222222222222222,0.11538461538461539,0.041666666666666664,,0.09090909090909091,0.16666666666666666,0.1,1.0,1.0,,0.5,0.1,1.0,1.0,,1.0,0.2,1.0,0.4,0.440055,0.7311,0.46166999999999997,0.09090909090909091,0.5909090909090909,8.757142857142856,0.37254901960784315,13.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,14.0,,2.0,3.0,2.0,,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.3,0.3,0.6666666666666666,0.6666666666666666,,1.0,0.2,1.0,0.6666666666666666,24.8,,1.0,2.0,,2.0,,2.0,,,,1.0,,1.0,,,,,,1.0,0.058823529411764705,0.16666666666666666,,,0.09090909090909091,0.125,5.0,6.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202397,1610612763,Ish Smith,Ish Smith,202397,MEM,460.0,8,17,17,10.0,17,2,34,,,,,,3.0,,,2.0,3.0,,4.0,19,,,,,1.0,,,,,,,2.0,,2.0,,,,,10.0,,,,0.6666666666666666,,0.6666666666666666,,0.6666666666666666,,,,,15.789473684210526,,,0.25,,,,,,,,,1.0,,,,,,,,,0.37566666666666665,,0.3919,,,8.833333333333334,0.5882352941176471,-1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,0.4,,0.3333333333333333,,,,2.0,,2.0,,2.0,,1.0,,4.0,1.0,1.0,,,,0.6666666666666666,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201144,1610612763,Mike Conley,Mike Conley,201144,MEM,499.0,8,14,12,3.0,1,6,26,,1.0,,,,,,,,1.0,2.0,2.0,20,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,3.0,,,,,,,,0.5,,,,,9.523809523809524,0.1111111111111111,0.5,0.1111111111111111,0.1111111111111111,0.25,,0.5,1.0,,,,,,,,,,,,1.0,0.6282,,,,,1.0,0.21428571428571427,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201188,1610612763,Marc Gasol,Marc Gasol,201188,MEM,287.0,5,10,8,6.0,2,3,18,,1.0,,,,,,,,1.0,,,7,,,,,,,,,,,,,1.0,1.0,,,,,6.0,,,,,,,,,,,,,14.285714285714285,,,,,,,,1.0,,,,,,,,,,,,1.0,0.5786,,,,,1.3,0.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201564,1610612763,O.J. Mayo,O.J. Mayo,201564,MEM,1124.0,19,39,36,8.0,4,9,75,2.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,10.0,4.0,10.0,37,2.0,2.0,4.0,1.0,2.0,2.0,4.0,4.0,1.0,,,6.0,,6.0,3.0,4.0,,4.0,8.0,,0.6666666666666666,0.6666666666666666,0.3,0.5,0.2727272727272727,0.5,0.38461538461538464,0.6666666666666666,0.6666666666666666,0.1,,27.083333333333336,,,0.2608695652173913,,,,,0.36363636363636365,0.5,0.5,0.5,0.36363636363636365,0.18181818181818182,0.5,0.5,1.0,0.5,0.5,1.0,0.45454545454545453,0.4962363636363636,0.4561,0.47309999999999997,0.4,0.4,7.140000000000001,0.20512820512820512,6.0,,,1.0,,,,1.0,1.0,,,2.0,,,1.0,,,,,,0.5,0.5,0.09090909090909091,0.09090909090909091,,,,,,,,25.5,,6.0,,,,,,,,,1.0,,2.0,,,,,,,0.3333333333333333,0.1111111111111111,0.3333333333333333,,0.15384615384615385,0.16666666666666666,,,2.0,,2.0,,2.0,,4.0,2.0,2.0,,,,,,,0.6666666666666666,,,,,,1.0,0.25,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2203,1610612763,Shane Battier,Shane Battier,2203,MEM,992.0,17,35,32,7.0,5,7,67,1.0,2.0,1.0,,1.0,1.0,,,2.0,3.0,1.0,5.0,28,2.0,,2.0,,1.0,,,4.0,,,1.0,2.0,1.0,3.0,1.0,1.0,,,7.0,,1.0,1.0,0.6666666666666666,,0.5,,0.625,0.5,,,,11.904761904761905,,0.2,0.1,,,,,0.5,0.5,0.5,1.0,0.25,,,,,0.5,1.0,,0.75,0.44111249999999996,0.32885,0.3102,0.4,,2.8333333333333335,0.2,15.0,,,,,,,1.0,1.0,,,,,,,,,,,,0.5,0.5,0.25,,,,,,,,,22.6,,1.0,,1.0,,,1.0,,,,1.0,,1.0,,,,,,,0.06666666666666667,,0.3333333333333333,,0.25,0.3333333333333333,1.0,,1.0,,1.0,,,,2.0,,,,,0.5,1.0,1.0,1.0,,,,,1.0,1.0,,,1.0,1.0,1.0,1.0,0.25,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
