EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,BadPassSteals,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SecondChanceAtRimFrequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,ThreePtAssists,Arc3Assists,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,ShootingFouls,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,PtsPutbacks,Travels,SecondChanceFg2Pct,SecondChanceEfgPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,SelfOReb,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAssists,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,BlockingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Corner3Assists,BlockedShortMidRange,DefensiveGoaltends,Charge Fouls Drawn,on,SecondChanceTurnovers,Charge Fouls,Offensive Fouls,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffCorner3ReboundPct,Offensive Fouls Drawn,StepOutOfBoundsTurnovers,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,Fg3aBlocked,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,BlockingFouls,BlockedCorner3
101107,1610612737,Marvin Williams,Marvin Williams,101107,ATL,1776.0,30,13,59,57,23.0,31.0,6.0,116,1.0,1.0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,1.0,4.0,9,1.0,1.0,1.0,12.0,53,1.0,2.0,1.0,1.0,5.0,6.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,23.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.4444444444444444,0.5,0.55,0.8333333333333334,0.55,0.8333333333333334,0.1,18.46153846153846,1.0,0.3333333333333333,0.047619047619047616,0.125,0.06896551724137931,0.07142857142857142,0.16666666666666666,0.1,1.0,1.0,1.0,0.1,1.0,1.0,0.7,0.2857142857142857,0.2857142857142857,1.0,0.1,1.0,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.392405,0.40768333333333334,0.4166666666666667,17.22222222222222,25.5,0.3898305084745763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200756,1610612737,Hilton Armstrong,Hilton Armstrong,200756,ATL,1129.0,19,14,35,35,19.0,26.0,7.0,70,1.0,3.0,,1.0,,,,,,,1.0,4,,,3.0,5.0,24,,3.0,,,3.0,,2.0,,,,1.0,1.0,1.0,2.0,,4.0,2.0,6.0,9,1.0,,,,,1.0,,1.0,,4.0,6.0,,3.0,19.0,1.0,,,,,,,0.25,,0.25,,0.35714285714285715,0.25,,18.6046511627907,,0.6666666666666666,0.3076923076923077,,0.2222222222222222,0.3,,0.75,0.3333333333333333,1.0,,0.25,,,,,,,,,,,,,0.75,,0.590425,0.5718333333333333,0.6,1.875,,0.5428571428571428,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.2,0.5,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5822,0.3333333333333333,0.3333333333333333,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201952,1610612737,Jeff Teague,Jeff Teague,201952,ATL,653.0,11,5,21,21,11.0,21.0,3.0,42,1.0,2.0,,,,2.0,,1.0,,,1.0,4,,1.0,3.0,5.0,16,,1.0,,,2.0,,2.0,,1.0,,1.0,2.0,,5.0,1.0,,,1.0,1,,,,,,1.0,1.0,1.0,,2.0,4.0,,2.0,11.0,,,,,,,,0.25,,0.2,,0.35714285714285715,0.5,0.2,32.0,,,,0.2,0.08333333333333333,,0.2,0.4,0.5,0.5,,,,,0.4,,,,0.2,,,,,,0.6,,0.5180999999999999,0.8029,0.4,10.625,25.0,0.5238095238095238,,1.0,,,,2.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,1.0,,0.2857142857142857,0.3333333333333333,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,1610612737,Josh Powell,Josh Powell,2694,ATL,2858.0,48,8,89,89,33.0,48.0,10.0,178,2.0,4.0,1.0,2.0,2.0,3.0,,,,,5.0,9,,,,10.0,91,2.0,3.0,,,4.0,8.0,2.0,,,,1.0,1.0,1.0,2.0,2.0,3.0,1.0,6.0,9,,,,,,2.0,1.0,8.0,2.0,,,,4.0,33.0,2.0,0.8,1.0,,,,,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,0.5555555555555556,0.6666666666666666,,10.891089108910892,,0.1111111111111111,0.10714285714285714,0.13333333333333333,0.11627906976744186,0.06666666666666667,0.07692307692307693,0.4444444444444444,0.5,0.6666666666666666,0.5,0.2222222222222222,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,,,,,,,0.4444444444444444,,0.46932222222222225,0.4955333333333334,0.4,8.6,,0.3707865168539326,2.0,1.0,3.0,,4.0,,1.0,,3.0,3.0,,2.0,1.0,,,,,0.6666666666666666,0.1111111111111111,0.25,0.08823529411764706,,0.075,0.125,,0.25,0.6666666666666666,0.3333333333333333,0.5603666666666667,,,0.4,,,,,4.0,1.0,1.0,2.0,2.0,1.0,0.6666666666666666,0.6666666666666666,0.11764705882352941,0.1111111111111111,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2863,1610612737,Damien Wilkins,Damien Wilkins,2863,ATL,1207.0,20,8,39,38,19.0,27.0,8.0,77,2.0,2.0,,1.0,1.0,1.0,,2.0,,2.0,3.0,4,,2.0,,6.0,30,2.0,2.0,,2.0,4.0,2.0,4.0,,2.0,,1.0,1.0,,2.0,,3.0,,3.0,4,,,,,,,,1.0,,,,,4.0,19.0,,0.3333333333333333,0.5,,,,,0.75,1.0,0.5,0.5,0.5,0.5,0.3333333333333333,12.5,,,0.21428571428571427,,0.15789473684210525,0.3,,0.3333333333333333,1.0,1.0,,0.16666666666666666,,,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,,,,0.5,,0.6666666666666666,,0.4695666666666667,0.41585,0.6666666666666666,5.2749999999999995,26.6,0.48717948717948717,1.0,1.0,1.0,,2.0,,,,1.0,1.0,,,,,,,,1.0,,,0.0625,,0.05263157894736842,,,,1.0,0.25,0.6944,,,0.3333333333333333,,,1.0,,,1.0,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202377,1610612737,Pape Sy,Pape Sy,202377,ATL,658.0,11,6,18,20,10.0,11.0,5.0,38,1.0,1.0,1.0,1.0,,1.0,,,,,2.0,3,,,2.0,6.0,13,1.0,1.0,,,3.0,2.0,2.0,,,,3.0,3.0,,6.0,,,,,1,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,2.0,4.0,,3.0,10.0,,0.5,0.5,,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6,0.75,,26.08695652173913,1.0,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,0.3333333333333333,,0.5489333333333334,0.9069,0.5,9.200000000000001,,0.5555555555555556,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,2.0,,,0.25,,,0.14285714285714285,,0.125,,,,,1.0,0.3801,0.4,0.4,0.16666666666666666,,,2.0,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,1610612737,Jamal Crawford,Jamal Crawford,2037,ATL,1450.0,24,-4,48,47,15.0,23.0,2.0,95,1.0,1.0,2.0,3.0,2.0,6.0,1.0,2.0,,1.0,5.0,10,2.0,3.0,1.0,17.0,59,1.0,2.0,1.0,2.0,6.0,6.0,4.0,3.0,2.0,1.0,4.0,4.0,2.0,8.0,,3.0,,3.0,3,,,,,,,,2.0,,2.0,2.0,,6.0,15.0,,0.6,0.6,0.5,0.6666666666666666,0.5,0.6666666666666666,0.5,0.5,0.6153846153846154,0.625,0.6071428571428571,0.6,0.23076923076923078,27.45098039215686,,,0.23076923076923078,,0.14285714285714285,0.25,,0.07692307692307693,1.0,1.0,1.0,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.46153846153846156,0.3333333333333333,0.3333333333333333,0.5,0.15384615384615385,0.5,0.5,,0.25,,0.3076923076923077,0.5,0.4291923076923077,0.43171249999999994,0.35294117647058826,13.720000000000002,24.833333333333332,0.3125,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,0.3333333333333333,,,,0.07142857142857142,0.09090909090909091,,,,2.0,,2.0,,,,,,,,,0.16666666666666666,,0.5,,,,1.0,,2.0,1.0,,,0.5,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.07692307692307693,1.0,1.0,1.0,0.25,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201143,1610612737,Al Horford,Al Horford,201143,ATL,969.0,16,3,30,29,8.0,11.0,,59,1.0,1.0,,,2.0,4.0,,,,,3.0,5,,,2.0,8.0,38,1.0,1.0,,,4.0,4.0,2.0,,,,,1.0,,3.0,3.0,1.0,1.0,5.0,5,,,,,,,,,,3.0,2.0,,4.0,8.0,,0.6666666666666666,0.6666666666666666,,,,,0.6,1.0,0.6,1.0,0.6666666666666666,1.0,,20.0,,0.25,0.1,0.6,0.26666666666666666,,0.75,0.2,1.0,1.0,,,,,0.8,0.5,0.5,1.0,,,,,,,0.2,,0.38149999999999995,0.3055,0.5,14.859999999999996,,0.26666666666666666,,1.0,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,1.0,,,,,,,0.2,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2207,1610612737,Joe Johnson,Joe Johnson,2207,ATL,975.0,16,-5,27,28,7.0,11.0,2.0,55,,,1.0,3.0,2.0,3.0,1.0,1.0,,,3.0,6,1.0,1.0,,9.0,41,2.0,2.0,,,4.0,,6.0,3.0,1.0,1.0,2.0,2.0,,4.0,1.0,1.0,1.0,3.0,3,,,,,,,,1.0,,1.0,2.0,,4.0,7.0,,,,1.0,1.0,,1.0,0.5,1.0,0.6428571428571429,1.0,0.5625,1.0,0.14285714285714285,26.666666666666668,,0.3333333333333333,0.125,0.2,0.15384615384615385,,0.2,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.14285714285714285,1.0,1.0,1.0,,,0.14285714285714285,1.0,0.41027142857142856,0.43445,0.4444444444444444,14.6,30.7,0.25925925925925924,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.125,0.14285714285714285,,,,2.0,,1.0,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,1610612737,Kirk Hinrich,Kirk Hinrich,2550,ATL,1388.0,23,3,43,43,14.0,17.0,3.0,86,1.0,2.0,,1.0,5.0,5.0,1.0,2.0,,,6.0,8,1.0,2.0,,15.0,46,2.0,2.0,,,4.0,2.0,10.0,3.0,2.0,1.0,2.0,3.0,,7.0,1.0,,,1.0,1,,,2.0,,2.0,2.0,,2.0,,,,,4.0,14.0,,0.16666666666666666,0.16666666666666666,1.0,0.5,,0.5,0.75,1.0,0.75,1.0,0.75,1.0,0.2,25.531914893617024,1.0,,,0.1,0.043478260869565216,,0.125,0.2,0.5,1.0,,0.1,,,0.5,1.0,1.0,0.2,0.2,0.5,0.5,1.0,,,0.4,0.5,0.428515,0.4016,0.26666666666666666,12.925,25.049999999999997,0.32558139534883723,1.0,,2.0,,2.0,,1.0,,,,,,,,,,,0.5,0.125,0.5,,,,,,,0.5,,0.39355,,,0.13333333333333333,1.0,,2.0,,2.0,,,1.0,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
