EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,SecondChanceFtPoints,OffThreePtRebounds,FTOffRebounds,Travels,BlockingFouls,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,DefensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,OffensiveGoaltends,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,PtsUnassisted3s,StepOutOfBoundsTurnovers,BlockedLongMidRange,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedCorner3,Corner3PctBlocked,on,3pt And 1 Free Throw Trips,Clear Path Fouls
101144,1610612753,Von Wafer,Von Wafer,101144,ORL,14780.0,246,-13,434,446,104,86,41.0,880,16.0,28.0,1.0,1.0,6.0,10.0,7.0,12.0,5.0,21.0,1.0,5.0,2.0,6.0,17.0,2.0,5.0,28.0,61.0,7.0,22.0,13.0,90.0,473,2.0,4.0,4.0,7.0,19.0,2.0,7.0,5.0,25.0,14.0,42.0,21.0,2.0,1.0,16.0,6.0,1.0,13.0,3.0,16.0,2.0,1.0,8.0,3.0,2.0,35.0,1.0,6.0,8.0,2.0,16.0,1.0,17.0,1.0,3.0,2.0,1.0,13.0,1.0,4.0,5.0,1.0,9.0,18.0,3.0,5.0,9.0,18.0,1.0,1.0,10.0,1.0,19.0,1.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,25.0,104,3.0,0.25,0.25925925925925924,1.0,0.3181818181818182,0.2857142857142857,0.3333333333333333,0.45901639344262296,0.5,0.3684210526315789,0.463855421686747,0.5,0.38461538461538464,0.48333333333333334,0.5,0.4166666666666667,0.26506024096385544,0.01639344262295082,0.03571428571428571,22.31404958677686,0.7222222222222222,0.11764705882352941,0.05063291139240506,0.0078125,0.11764705882352941,0.06698564593301436,0.005050505050505051,0.024390243902439025,0.023255813953488372,0.03636363636363636,0.08333333333333333,0.13636363636363635,0.022727272727272728,0.3373493975903614,0.5714285714285714,0.5925925925925926,0.25,0.14457831325301204,0.5833333333333334,0.5833333333333334,0.2857142857142857,0.25301204819277107,0.23809523809523808,0.23809523809523808,0.2,0.060240963855421686,0.2,0.2,1.0,0.20481927710843373,0.35294117647058826,0.35294117647058826,1.0,0.25,1.0,0.38461538461538464,0.6,0.07692307692307693,0.19230769230769232,0.4,0.6024096385542169,0.375,0.504190243902439,0.442925,0.504814,0.05747126436781609,0.07692307692307693,0.044444444444444446,0.2777777777777778,9.132786885245903,25.827272727272728,0.23963133640552994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1716,1610612753,Larry Hughes,Larry Hughes,1716,ORL,1175.0,20,-4,36,37,18,12,4.0,73,,,,,,,,1.0,,,,,,,1.0,,1.0,,1.0,,1.0,,,37,,,,,,,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,2.0,,,,,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,0.5,,,7.5,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,0.5,,,,,,,,,1.0,,0.5,,0.44937499999999997,0.50115,0.50115,,,,,12.0,27.3,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
201175,1610612753,Glen Davis,Glen Davis,201175,ORL,44528.0,742,-26,1332,1353,364,268,153.0,2685,51.0,92.0,11.0,23.0,10.0,17.0,23.0,71.0,36.0,109.0,,,,2.0,11.0,1.0,5.0,110.0,272.0,2.0,11.0,75.0,301.0,1406,15.0,34.0,39.0,25.0,63.0,1.0,5.0,15.0,68.0,142.0,78.0,6.0,14.0,1.0,10.0,2.0,24.0,18.0,6.0,24.0,2.0,4.0,13.0,,5.0,54.0,31.0,27.0,87.0,8.0,122.0,38.0,160.0,4.0,17.0,11.0,6.0,17.0,3.0,12.0,22.0,3.0,5.0,39.0,6.0,9.0,24.0,58.0,3.0,9.0,73.0,2.0,100.0,9.0,,49.0,6.0,13.0,7.0,13.0,1.0,68.0,364,5.0,0.6454545454545455,0.6893203883495146,1.0,0.18181818181818182,0.2,0.2,0.40441176470588236,0.4411764705882353,0.3968253968253968,0.3992932862190813,0.4411764705882353,0.3897058823529412,0.4574468085106383,0.47560975609756095,0.44155844155844154,0.038869257950530034,0.08823529411764706,0.15217391304347827,24.272486772486772,0.4358974358974359,0.26666666666666666,0.17682926829268292,0.07226107226107226,0.16666666666666666,0.1743119266055046,0.06045751633986928,0.12318840579710146,0.13846153846153847,0.16666666666666666,0.2087378640776699,0.18803418803418803,0.02857142857142857,0.3250883392226148,0.5543478260869565,0.6538461538461539,0.6078431372549019,0.2508833922261484,0.323943661971831,0.3709677419354839,0.4782608695652174,0.38515901060070673,0.3302752293577982,0.3333333333333333,0.8055555555555556,,,,,0.038869257950530034,0.18181818181818182,0.18181818181818182,1.0,0.6764705882352942,0.4782608695652174,0.25,0.5882352941176471,,0.07352941176470588,0.2,0.36395759717314485,0.2,0.45927562277580064,0.5589666666666667,0.42709104477611937,0.15170278637770898,0.15705128205128205,0.12956810631229235,0.22591362126245848,9.893014705882353,28.95454545454545,0.2732732732732733,,,,9.0,6.0,1.0,2.0,3.0,3.0,3.0,6.0,1.0,6.0,7.0,2.0,1.0,2.0,0.1267605633802817,0.009174311926605505,0.01818181818181818,0.03278688524590164,0.07142857142857142,0.0335195530726257,0.033112582781456956,0.03125,0.1111111111111111,0.5384615384615384,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
201583,1610612753,Ryan Anderson,Ryan Anderson,201583,ORL,36363.0,606,106,1123,1121,268,181,136.0,2244,48.0,77.0,22.0,37.0,11.0,16.0,7.0,14.0,6.0,19.0,14.0,28.0,7.0,44.0,98.0,8.0,17.0,61.0,110.0,58.0,126.0,58.0,354.0,1111,22.0,39.0,66.0,11.0,20.0,14.0,24.0,18.0,82.0,72.0,50.0,174.0,26.0,,98.0,44.0,12.0,8.0,7.0,15.0,5.0,2.0,3.0,4.0,1.0,37.0,44.0,21.0,49.0,5.0,75.0,66.0,141.0,5.0,14.0,9.0,5.0,11.0,1.0,7.0,7.0,3.0,4.0,18.0,6.0,2.0,18.0,43.0,,2.0,57.0,5.0,67.0,8.0,2.0,25.0,7.0,8.0,5.0,9.0,1.0,82.0,268,7.0,0.5901639344262295,0.75,1.0,0.4603174603174603,0.5833333333333334,0.4603174603174603,0.5545454545454546,0.5641025641025641,0.55,0.6271186440677966,0.5108695652173914,0.7272727272727273,0.6711026615969582,0.6,0.7735849056603774,0.5338983050847458,0.10909090909090909,0.15584415584415584,21.782945736434108,0.6111111111111112,0.18518518518518517,0.12039312039312039,0.14012738853503184,0.14,0.12567324955116696,0.12045889101338432,0.1794871794871795,0.12096774193548387,0.1297709923664122,0.1118421052631579,0.12612612612612611,0.049019607843137254,0.326271186440678,0.6233766233766234,0.7384615384615385,0.5833333333333334,0.059322033898305086,0.5,0.5,0.2857142857142857,0.08050847457627118,0.3157894736842105,0.3157894736842105,1.0,0.11864406779661017,0.5,0.5,1.0,0.4152542372881356,0.4489795918367347,0.4489795918367347,1.0,0.8043478260869565,0.5945945945945946,0.36363636363636365,0.6875,0.1590909090909091,0.38636363636363635,0.47058823529411764,0.8601694915254238,0.4489795918367347,0.5467934322033897,0.5794555555555557,0.5408136363636364,0.109375,0.1968503937007874,0.1864406779661017,0.23163841807909605,5.651818181818181,25.02539682539683,0.23864648263579696,4.0,7.0,0.08695652173913043,19.0,19.0,3.0,,2.0,3.0,5.0,4.0,,3.0,6.0,,,3.0,,,0.07317073170731707,0.09090909090909091,0.1111111111111111,0.12149532710280374,0.09142857142857143,0.08823529411764706,0.1794871794871795,0.6666666666666666,0.18181818181818182,1.0,3.0,6.0,1.0,3.0,1.0,1.0,1.0,0.14285714285714285,0.06521739130434782,0.3333333333333333,1.0,0.8571428571428571,0.023255813953488372,,,,,,,,,,,,True,,
2768,1610612753,Chris Duhon,Chris Duhon,2768,ORL,73555.0,1226,-15,2238,2261,631,472,254.0,4499,21.0,39.0,2.0,2.0,11.0,19.0,5.0,21.0,9.0,24.0,12.0,23.0,6.0,38.0,96.0,10.0,27.0,35.0,84.0,50.0,119.0,17.0,237.0,2291,3.0,4.0,16.0,13.0,32.0,14.0,33.0,7.0,75.0,16.0,54.0,108.0,2.0,2.0,94.0,38.0,9.0,93.0,58.0,151.0,46.0,12.0,54.0,13.0,26.0,360.0,8.0,26.0,61.0,1.0,88.0,14.0,102.0,2.0,35.0,24.0,11.0,51.0,12.0,33.0,30.0,5.0,18.0,81.0,5.0,17.0,32.0,71.0,,1.0,35.0,8.0,21.0,1.0,1.0,4.0,5.0,7.0,2.0,9.0,,75.0,631,4.0,0.22857142857142856,0.23529411764705882,0.72,0.42016806722689076,0.42424242424242425,0.42735042735042733,0.4166666666666667,0.75,0.40625,0.541871921182266,0.5357142857142857,0.5230769230769231,0.5566037735849056,0.5714285714285714,0.5357142857142857,0.5862068965517241,0.10714285714285714,0.07692307692307693,11.549073709105242,0.6296296296296297,0.017857142857142856,0.07367149758454106,0.012030075187969926,0.0931899641577061,0.07859078590785908,0.012757605495583905,0.013513513513513514,0.06637168141592921,0.06037735849056604,0.08902077151335312,0.09134615384615384,0.020202020202020204,0.1921182266009852,0.5384615384615384,0.5833333333333334,0.09523809523809523,0.10344827586206896,0.23809523809523808,0.3333333333333333,0.2,0.11822660098522167,0.375,0.375,0.5555555555555556,0.11330049261083744,0.5217391304347826,0.5217391304347826,0.9166666666666666,0.4729064039408867,0.3958333333333333,0.3958333333333333,0.6578947368421053,0.14285714285714285,1.0,0.2923076923076923,0.5789473684210527,0.09230769230769231,0.4153846153846154,0.37037037037037035,0.7783251231527094,0.40425531914893614,0.5175537313432834,0.46817777777777775,0.5166285714285713,0.024154589371980676,0.04597701149425287,0.06751054852320675,0.31645569620253167,8.242857142857142,25.810084033613443,0.2819481680071492,8.0,10.0,0.5714285714285714,1.0,5.0,1.0,8.0,9.0,1.0,4.0,1.0,1.0,2.0,4.0,,,4.0,0.2857142857142857,,0.01,0.014124293785310734,0.021164021164021163,0.003937007874015748,0.013513513513513514,0.017241379310344827,0.09859154929577464,0.4444444444444444,,,2.0,4.0,3.0,1.0,2.0,2.0,,0.3,0.14285714285714285,,,0.6666666666666666,0.008333333333333333,3.0,42.0,4.0,3.0,0.375,0.3333333333333333,,,,,,True,,
201947,1610612753,Earl Clark,Earl Clark,201947,ORL,16248.0,271,-71,493,502,147,135,51.0,995,14.0,24.0,2.0,6.0,5.0,9.0,4.0,14.0,11.0,32.0,,,,,,,,29.0,70.0,,,5.0,63.0,526,4.0,11.0,8.0,8.0,16.0,,,4.0,20.0,42.0,16.0,,6.0,,,,8.0,4.0,4.0,8.0,3.0,1.0,,1.0,3.0,20.0,13.0,13.0,32.0,1.0,46.0,18.0,64.0,1.0,5.0,5.0,,6.0,,2.0,7.0,1.0,4.0,13.0,3.0,3.0,21.0,39.0,,4.0,8.0,2.0,7.0,1.0,,3.0,1.0,18.0,9.0,18.0,1.0,20.0,147,1.0,0.7241379310344828,0.8076923076923077,,,,,0.4142857142857143,0.36363636363636365,0.5,0.4142857142857143,0.36363636363636365,0.5,0.4315068493150685,0.36363636363636365,0.5555555555555556,,0.11428571428571428,0.20833333333333334,15.467625899280577,0.46153846153846156,0.06666666666666667,0.17679558011049723,0.07975460122699386,0.25,0.19313304721030042,0.07563025210084033,0.02857142857142857,0.18518518518518517,0.12903225806451613,0.2153846153846154,0.22727272727272727,0.030303030303030304,0.34285714285714286,0.5833333333333334,0.7368421052631579,0.6428571428571429,0.2,0.2857142857142857,0.36363636363636365,0.5,0.45714285714285713,0.34375,0.34375,0.9090909090909091,,,,,,,,,0.5454545454545454,0.3333333333333333,0.5625,0.5555555555555556,,,,0.34285714285714286,,0.47797999999999996,0.47194,0.5463499999999999,0.041666666666666664,0.041666666666666664,0.12698412698412698,0.31746031746031744,10.887142857142855,,0.29817444219066935,,,,,5.0,,2.0,1.0,2.0,,1.0,,8.0,10.0,2.0,,2.0,0.21428571428571427,,,0.06666666666666667,0.14035087719298245,0.056338028169014086,0.05970149253731343,0.125,0.375,0.5555555555555556,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,True,,
2730,1610612753,Dwight Howard,Dwight Howard,2730,ORL,42381.0,706,22,1307,1316,448,308,148.0,2623,105.0,158.0,28.0,41.0,28.0,49.0,40.0,86.0,,1.0,,,,,5.0,,5.0,145.0,245.0,,5.0,115.0,405.0,1274,31.0,46.0,76.0,40.0,71.0,,5.0,59.0,139.0,140.0,150.0,,50.0,4.0,1.0,,14.0,14.0,23.0,37.0,23.0,,7.0,4.0,3.0,97.0,48.0,51.0,139.0,11.0,201.0,63.0,264.0,6.0,36.0,22.0,14.0,26.0,5.0,6.0,44.0,7.0,20.0,70.0,7.0,24.0,17.0,44.0,1.0,17.0,175.0,1.0,218.0,24.0,,84.0,37.0,42.0,22.0,42.0,5.0,139.0,448,35.0,0.4827586206896552,0.5833333333333334,,,,,0.5918367346938775,0.6739130434782609,0.5633802816901409,0.58,0.6739130434782609,0.5263157894736842,0.5835734870317003,0.6129032258064516,0.5515873015873016,0.02,0.05714285714285714,0.0379746835443038,28.194726166328604,0.37142857142857144,0.3793103448275862,0.26990291262135924,0.12631578947368421,0.30357142857142855,0.2781844802342606,0.11072056239015818,0.18248175182481752,0.22727272727272727,0.26973684210526316,0.2943722943722944,0.31451612903225806,0.06976744186046512,0.632,0.6645569620253164,0.6907894736842105,0.5333333333333333,0.344,0.46511627906976744,0.5128205128205128,0.35,0.004,,,,,,,,0.02,,,,0.8913043478260869,0.6829268292682927,0.6447368421052632,0.5714285714285714,,0.06578947368421052,,0.652,,0.5142373983739837,0.5729153846153846,0.5151569444444443,0.2709677419354839,0.2754098360655738,0.18765432098765433,0.3432098765432099,3.5053061224489808,53.94,0.342769701606733,,,,14.0,15.0,,6.0,1.0,2.0,,14.0,2.0,19.0,26.0,4.0,5.0,2.0,0.09302325581395349,,,0.07936507936507936,0.06140350877192982,0.12403100775193798,0.08974358974358974,0.030303030303030304,0.2727272727272727,0.6190476190476191,0.07142857142857142,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,1.0,0.2,0.2,,,True,,
200755,1610612753,JJ Redick,JJ Redick,200755,ORL,47110.0,785,-53,1441,1458,397,311,164.0,2899,15.0,34.0,1.0,4.0,3.0,7.0,9.0,34.0,30.0,98.0,12.0,15.0,5.0,32.0,88.0,8.0,26.0,54.0,166.0,44.0,103.0,72.0,312.0,1492,2.0,16.0,17.0,12.0,39.0,12.0,31.0,35.0,95.0,54.0,54.0,111.0,,,88.0,32.0,10.0,55.0,34.0,89.0,23.0,11.0,35.0,5.0,15.0,212.0,9.0,16.0,43.0,5.0,64.0,11.0,75.0,4.0,13.0,11.0,2.0,19.0,7.0,7.0,19.0,5.0,12.0,38.0,2.0,9.0,16.0,36.0,1.0,2.0,72.0,5.0,80.0,4.0,12.0,25.0,8.0,5.0,2.0,5.0,,95.0,397,8.0,0.5,0.5,0.8409090909090909,0.42718446601941745,0.3870967741935484,0.42718446601941745,0.3253012048192771,0.125,0.3076923076923077,0.44609665427509293,0.2826086956521739,0.42857142857142855,0.5,0.34,0.5348837209302325,0.3828996282527881,0.060240963855421686,0.14705882352941177,20.622330689444784,0.5,0.14705882352941177,0.08333333333333333,0.020134228187919462,0.08743169398907104,0.0844062947067239,0.016442451420029897,0.02158273381294964,0.06993006993006994,0.04430379746835443,0.12093023255813953,0.09774436090225563,0.02564102564102564,0.12639405204460966,0.4411764705882353,0.5172413793103449,0.6666666666666666,0.12639405204460966,0.2647058823529412,0.3,0.4444444444444444,0.3643122676579926,0.30612244897959184,0.30927835051546393,0.43333333333333335,0.055762081784386616,0.8,0.8,1.0,0.3271375464684015,0.36363636363636365,0.36363636363636365,0.78125,0.17391304347826086,0.25,0.1,0.42857142857142855,0.07142857142857142,0.37142857142857144,0.3076923076923077,0.5092936802973977,0.36363636363636365,0.48233698884758375,0.4697333333333334,0.4745100000000001,0.09246575342465753,0.13368983957219252,0.05448717948717949,0.30448717948717946,13.018072289156626,25.3495145631068,0.27550312283136713,7.0,7.0,0.30434782608695654,4.0,2.0,,4.0,,2.0,6.0,1.0,4.0,3.0,2.0,,,5.0,0.11764705882352941,0.01020408163265306,,0.009009009009009009,0.023622047244094488,0.016574585635359115,0.0053475935828877,0.02857142857142857,0.06,0.4,,,,4.0,3.0,2.0,,,,0.42857142857142855,,,,0.8,0.01904761904761905,3.0,21.0,,,0.42857142857142855,1.0,,,,,,True,,
2045,1610612753,Hedo Turkoglu,Hedo Turkoglu,2045,ORL,29746.0,496,35,900,912,238,160,101.0,1812,15.0,28.0,,1.0,3.0,7.0,5.0,12.0,16.0,39.0,3.0,8.0,4.0,26.0,73.0,8.0,17.0,36.0,79.0,29.0,81.0,29.0,188.0,924,1.0,3.0,8.0,7.0,18.0,9.0,21.0,12.0,53.0,12.0,60.0,51.0,,1.0,72.0,26.0,2.0,37.0,32.0,69.0,16.0,16.0,26.0,2.0,9.0,170.0,9.0,18.0,40.0,5.0,63.0,10.0,73.0,3.0,12.0,5.0,7.0,27.0,14.0,22.0,24.0,,5.0,51.0,3.0,14.0,21.0,47.0,,5.0,35.0,2.0,39.0,3.0,,14.0,7.0,6.0,3.0,7.0,,53.0,238,6.0,0.16666666666666666,0.16666666666666666,0.5862068965517241,0.35802469135802467,0.42857142857142855,0.3625,0.45569620253164556,0.3333333333333333,0.3888888888888889,0.496875,0.3076923076923077,0.5256410256410257,0.5280898876404494,0.3076923076923077,0.5760869565217391,0.50625,0.02531645569620253,,22.36328125,0.5294117647058824,0.19230769230769232,0.11049723756906077,0.03488372093023256,0.18,0.12554112554112554,0.02493765586034913,0.010526315789473684,0.10784313725490197,0.10185185185185185,0.11842105263157894,0.14705882352941177,0.033707865168539325,0.175,0.5357142857142857,0.5357142857142857,0.2,0.075,0.4166666666666667,0.5,0.2,0.24375,0.41025641025641024,0.41025641025641024,0.125,0.05,0.375,0.375,0.6666666666666666,0.45625,0.3561643835616438,0.3561643835616438,0.5769230769230769,0.07692307692307693,,0.1794871794871795,0.42857142857142855,0.10256410256410256,0.4358974358974359,0.47058823529411764,0.68125,0.3611111111111111,0.5025607594936708,0.48959375000000005,0.49680921052631577,0.08187134502923976,0.15555555555555556,0.0425531914893617,0.28191489361702127,11.463291139240509,26.13086419753086,0.2644444444444444,9.0,10.0,0.6923076923076923,,1.0,,,,3.0,,1.0,1.0,3.0,3.0,,,4.0,0.16666666666666666,,,0.006993006993006993,0.0684931506849315,0.03333333333333333,0.008695652173913044,,0.25,0.42857142857142855,,,1.0,1.0,2.0,,1.0,,,0.2,0.07692307692307693,,,0.25,,2.0,36.0,3.0,,0.2222222222222222,1.0,,,,1.0,,True,,
2202,1610612753,Jason Richardson,Jason Richardson,2202,ORL,25311.0,422,1,787,794,260,192,85.0,1581,22.0,45.0,4.0,7.0,4.0,13.0,8.0,25.0,12.0,33.0,12.0,24.0,7.0,14.0,51.0,4.0,17.0,42.0,103.0,26.0,75.0,12.0,174.0,783,5.0,10.0,14.0,9.0,35.0,5.0,24.0,3.0,36.0,42.0,42.0,63.0,,,51.0,14.0,9.0,24.0,15.0,39.0,9.0,6.0,17.0,5.0,2.0,93.0,6.0,9.0,37.0,3.0,49.0,7.0,56.0,1.0,17.0,9.0,8.0,14.0,5.0,11.0,7.0,1.0,3.0,21.0,1.0,10.0,12.0,17.0,,,23.0,1.0,20.0,1.0,1.0,6.0,4.0,5.0,2.0,5.0,,36.0,260,3.0,0.5,0.5,0.8076923076923077,0.3466666666666667,0.20833333333333334,0.3466666666666667,0.4077669902912621,0.5,0.2571428571428571,0.4550561797752809,0.43333333333333335,0.2796610169491525,0.4625668449197861,0.4375,0.2857142857142857,0.42134831460674155,0.08737864077669903,0.13333333333333333,23.33709131905299,0.6666666666666666,0.13043478260869565,0.12374581939799331,0.028037383177570093,0.08181818181818182,0.11246943765281174,0.017142857142857144,0.05263157894736842,0.13095238095238096,0.1346153846153846,0.10810810810810811,0.08139534883720931,0.010309278350515464,0.25280898876404495,0.4888888888888889,0.5641025641025641,0.6363636363636364,0.1404494382022472,0.32,0.34782608695652173,0.375,0.1853932584269663,0.36363636363636365,0.375,0.3333333333333333,0.1348314606741573,0.5,0.5,1.0,0.28651685393258425,0.27450980392156865,0.27450980392156865,0.6428571428571429,0.4666666666666667,0.5714285714285714,0.22033898305084745,0.3076923076923077,0.11864406779661017,0.288135593220339,0.23529411764705882,0.6741573033707865,0.27450980392156865,0.5159180790960453,0.4955653846153846,0.48764655172413796,0.03278688524590164,0.05555555555555555,0.08045977011494253,0.20689655172413793,9.214563106796117,25.06,0.3303684879288437,4.0,5.0,0.26666666666666666,1.0,,1.0,,,,1.0,2.0,,2.0,3.0,,,,0.08,0.030303030303030304,0.02564102564102564,,0.03278688524590164,,,,0.08333333333333333,0.6,0.5,,1.0,1.0,1.0,,,,,0.2,0.06666666666666667,,,0.14285714285714285,,1.0,15.0,1.0,1.0,0.25,1.0,,,,,,True,,
