EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,Clear Path Fouls,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,Avg3ptShotDistance,HeaveAttempts,BlockedCorner3,DefensiveGoaltends,3pt And 1 Free Throw Trips,on,Corner3PctBlocked
101138,1610612738,Brandon Bass,Brandon Bass,101138,BOS,57443.0,957,177.0,1802,1776,343.0,397,161.0,3578,49.0,88.0,13.0,21.0,10.0,17.0,24.0,49.0,77.0,150.0,150.0,287.0,51.0,351.0,1773,18.0,31.0,14.0,50.0,31.0,55.0,21.0,83.0,228.0,72.0,26.0,24.0,19.0,12.0,31.0,8.0,4.0,7.0,2.0,10.0,74.0,13.0,34.0,4.0,33.0,88.0,10.0,131,51.0,182,2.0,20.0,12.0,8.0,17.0,2.0,8.0,12.0,1.0,9.0,1.0,1.0,29.0,4.0,5.0,48.0,4.0,71,1.0,6.0,3.0,49.0,1.0,5.0,3.0,2.0,62.0,4.0,27.0,6.0,26.0,1.0,1.0,16.0,3.0,7.0,27.0,16.0,1.0,2.0,3.0,83.0,338.0,3.0,6.0,0.76,0.8321167883211679,0.5226480836236934,0.5806451612903226,0.5636363636363636,0.5226480836236934,0.5806451612903226,0.5636363636363636,0.555379746835443,0.625,0.6102941176470589,0.08362369337979095,0.22727272727272727,0.08163265306122448,17.424242424242422,0.5862068965517241,0.2564102564102564,0.10256410256410256,0.13814756671899528,0.05448717948717949,0.12992125984251968,0.08024691358024691,0.13580246913580246,0.05979643765903308,0.07065217391304347,0.03571428571428571,0.05333333333333334,0.04424778761061947,0.16326530612244897,0.16532258064516128,0.13333333333333333,0.11160714285714286,0.1358695652173913,0.11428571428571428,0.017699115044247787,0.5925925925925926,0.30662020905923343,0.5568181818181818,0.7205882352941176,0.6530612244897959,0.17073170731707318,0.4897959183673469,0.5333333333333333,0.5,0.5226480836236934,0.5133333333333333,0.5133333333333333,0.9090909090909091,0.6774193548387096,0.6190476190476191,0.07692307692307693,0.3090909090909091,0.5882352941176471,0.30662020905923343,0.47948362369337966,0.5586,0.4814018181818182,0.08709677419354839,0.08709677419354839,0.14245014245014245,0.23646723646723647,11.135888501742157,0.19034406215316316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1718,1610612738,Paul Pierce,Paul Pierce,1718,BOS,76108.0,1268,260.0,2404,2384,535.0,528,214.0,4788,102.0,163.0,10.0,14.0,17.0,29.0,23.0,63.0,52.0,135.0,177.0,361.0,180.0,720.0,2342,14.0,21.0,7.0,56.0,34.0,68.0,55.0,159.0,182.0,172.0,4.0,25.0,148.0,21.0,169.0,10.0,11.0,51.0,18.0,79.0,359.0,3.0,18.0,1.0,29.0,119.0,9.0,157,22.0,179,10.0,42.0,28.0,14.0,55.0,9.0,28.0,31.0,6.0,27.0,2.0,5.0,86.0,5.0,24.0,46.0,4.0,80,2.0,7.0,6.0,170.0,3.0,2.0,2.0,6.0,212.0,19.0,86.0,22.0,11.0,,,5.0,2.0,4.0,11.0,8.0,,,2.0,154.0,523.0,7.0,19.0,0.5141242937853108,0.52,0.4903047091412742,0.6666666666666666,0.5,0.5027932960893855,0.5697674418604651,0.49056603773584906,0.5660828025477707,0.5978260869565217,0.572992700729927,0.06925207756232687,0.10429447852760736,0.07936507936507936,26.90278824415976,0.6395348837209303,0.1836734693877551,0.020833333333333332,0.14049586776859505,0.02197802197802198,0.08454810495626822,0.01327433628318584,0.12436974789915967,0.020095693779904306,0.024193548387096774,0.03954802259887006,0.012690355329949238,0.012903225806451613,0.014084507042253521,0.10891089108910891,0.14754098360655737,0.16666666666666666,0.08979591836734693,0.07142857142857142,0.03759398496240601,0.7272727272727273,0.30353817504655495,0.6257668711656442,0.6986301369863014,0.5588235294117647,0.11731843575418995,0.36507936507936506,0.39655172413793105,0.4782608695652174,0.25139664804469275,0.3851851851851852,0.3939393939393939,0.4423076923076923,0.32558139534883723,0.7142857142857143,0.6,0.27358490566037735,0.5862068965517241,0.6312849162011173,0.5279537243947858,0.5745629032258065,0.5044735849056604,0.14521452145214522,0.20093457943925233,0.07777777777777778,0.22083333333333333,8.849307479224379,0.22254575707154742,10.0,30.0,3.0,7.0,1.0,4.0,52.0,146.0,4.0,15.0,11.0,34.0,62.0,176.0,7.0,22.0,12.0,38.0,168.0,18.0,146.0,52.0,3.0,1.0,9.0,2.0,0.9032258064516129,0.3522727272727273,0.3181818181818182,0.3157894736842105,0.3522727272727273,0.32774674115456237,0.017045454545454544,0.022222222222222223,0.02054794520547945,0.055865921787709494,0.3333333333333333,0.3333333333333333,1.0,0.2718808193668529,0.3561643835616438,0.36363636363636365,0.8846153846153846,0.16279069767441862,0.42857142857142855,1.0,0.3488372093023256,0.26666666666666666,1.0,0.03773584905660377,0.25,0.32075471698113206,0.3235294117647059,0.3561643835616438,0.011235955056179775,25.177840909090914,,,,,True,
200765,1610612738,Rajon Rondo,Rajon Rondo,200765,BOS,71643.0,1194,224.0,2275,2250,519.0,529,206.0,4525,99.0,175.0,9.0,14.0,15.0,32.0,12.0,37.0,31.0,81.0,142.0,293.0,67.0,366.0,2224,15.0,24.0,3.0,33.0,24.0,61.0,30.0,81.0,92.0,192.0,14.0,28.0,315.0,77.0,392.0,49.0,28.0,136.0,28.0,151.0,861.0,14.0,25.0,,32.0,75.0,4.0,111,39.0,150,4.0,61.0,38.0,23.0,59.0,20.0,43.0,36.0,5.0,16.0,,2.0,95.0,3.0,29.0,12.0,,62,1.0,3.0,6.0,109.0,2.0,2.0,8.0,5.0,112.0,8.0,42.0,18.0,2.0,,,2.0,,,2.0,1.0,,,,80.0,510.0,10.0,14.0,0.323943661971831,0.34074074074074073,0.48464163822525597,0.625,0.39344262295081966,0.482258064516129,0.6,0.375,0.505524861878453,0.6111111111111112,0.44505494505494503,0.09556313993174062,0.12571428571428572,0.08108108108108109,18.207171314741036,0.6210526315789474,0.09302325581395349,,0.09270704573547589,0.0319693094629156,0.10256410256410256,0.06635071090047394,0.09545049063336307,0.03927492447129909,0.03347280334728033,0.028901734104046242,0.032432432432432434,0.060810810810810814,0.07936507936507936,0.07885304659498207,0.09917355371900827,0.10069444444444445,0.11848341232227488,0.06930693069306931,0.031746031746031744,0.5,0.5645161290322581,0.5657142857142857,0.6470588235294118,0.31313131313131315,0.11935483870967742,0.32432432432432434,0.35294117647058826,0.16666666666666666,0.26129032258064516,0.38271604938271603,0.3974358974358974,0.41935483870967744,0.56,0.6428571428571429,,0.47058823529411764,0.46875,0.6193548387096774,0.5460364516129033,0.5330068181818182,0.504697794117647,0.12209302325581395,0.12844036697247707,0.09016393442622951,0.22131147540983606,6.925597269624573,0.22813186813186814,,1.0,,,,,5.0,16.0,,1.0,1.0,7.0,5.0,17.0,,1.0,1.0,7.0,6.0,9.0,16.0,5.0,1.0,,,,0.4,0.29411764705882354,,0.14285714285714285,0.29411764705882354,0.054838709677419356,0.058823529411764705,0.037037037037037035,0.0625,0.0032258064516129032,,,,0.05161290322580645,0.3125,0.3333333333333333,0.4,,,,0.04,,,,,0.10294117647058823,0.14285714285714285,0.3125,,25.476470588235294,,,,,True,
202340,1610612738,Avery Bradley,Avery Bradley,202340,BOS,48641.0,811,135.0,1493,1502,242.0,269,120.0,2995,63.0,96.0,6.0,14.0,6.0,13.0,3.0,16.0,28.0,79.0,94.0,191.0,27.0,251.0,1439,8.0,21.0,4.0,20.0,10.0,27.0,6.0,29.0,136.0,52.0,6.0,15.0,38.0,12.0,50.0,10.0,2.0,10.0,6.0,22.0,112.0,2.0,23.0,,18.0,38.0,1.0,57,25.0,82,3.0,21.0,8.0,13.0,21.0,2.0,11.0,17.0,8.0,10.0,3.0,,38.0,2.0,4.0,23.0,2.0,68,2.0,2.0,1.0,46.0,1.0,2.0,7.0,3.0,36.0,2.0,17.0,2.0,12.0,,,7.0,2.0,3.0,12.0,10.0,,,,28.0,239.0,7.0,,0.723404255319149,0.7472527472527473,0.49214659685863876,0.38095238095238093,0.37037037037037035,0.5185185185185185,0.36363636363636365,0.3709677419354839,0.5386266094420601,0.4166666666666667,0.4142857142857143,0.07853403141361257,0.11458333333333333,0.1875,16.56441717791411,0.5526315789473685,0.03125,,0.06418918918918919,0.045364891518737675,0.09278350515463918,0.015873015873015872,0.07124681933842239,0.03949447077409163,0.0684931506849315,0.05042016806722689,0.028925619834710745,0.024390243902439025,,0.05970149253731343,0.03680981595092025,0.08771929824561403,0.08666666666666667,0.11363636363636363,0.03260869565217391,0.8333333333333334,0.4444444444444444,0.65625,0.7411764705882353,0.6825396825396826,0.07407407407407407,0.1875,0.23076923076923078,0.6666666666666666,0.36574074074074076,0.35443037974683544,0.358974358974359,0.8214285714285714,0.6363636363636364,0.42857142857142855,0.3333333333333333,0.41935483870967744,0.46153846153846156,0.5601851851851852,0.5458527906976745,0.5377736842105263,0.5245933333333332,0.0735930735930736,0.0825242718446602,0.0796812749003984,0.11553784860557768,9.077486910994766,0.1620897521768252,11.0,20.0,,1.0,1.0,2.0,1.0,5.0,,,,2.0,12.0,25.0,,1.0,1.0,4.0,36.0,,4.0,1.0,,,,,1.0,0.48,,0.25,0.5,0.11574074074074074,,0.012658227848101266,,0.09259259259259259,0.55,0.55,1.0,0.023148148148148147,0.2,0.2,1.0,0.045454545454545456,,,,,,0.06451612903225806,0.5,0.06451612903225806,,0.25,,24.524,1.0,,,,True,
708,1610612738,Kevin Garnett,Kevin Garnett,708,BOS,111854.0,1864,269.0,3485,3463,697.0,751,305.0,6948,107.0,169.0,14.0,26.0,24.0,35.0,93.0,211.0,188.0,388.0,388.0,768.0,162.0,947.0,3396,29.0,60.0,14.0,75.0,62.0,121.0,58.0,185.0,594.0,182.0,20.0,24.0,128.0,47.0,175.0,33.0,14.0,87.0,9.0,32.0,397.0,16.0,47.0,3.0,105.0,289.0,34.0,428,66.0,494,13.0,56.0,41.0,15.0,54.0,10.0,42.0,53.0,8.0,12.0,,10.0,107.0,5.0,19.0,55.0,,141,,15.0,21.0,176.0,2.0,18.0,5.0,1.0,189.0,9.0,70.0,24.0,60.0,1.0,,52.0,1.0,7.0,61.0,42.0,,3.0,11.0,179.0,685.0,14.0,21.0,0.7654639175257731,0.7857142857142857,0.5052083333333334,0.48333333333333334,0.512396694214876,0.5051480051480052,0.5,0.5120967741935484,0.5446635730858469,0.5441176470588235,0.5828025477707006,0.03125,0.08875739644970414,0.04265402843601896,25.27386541471048,0.5046728971962616,0.43037974683544306,0.04054054054054054,0.22755905511811023,0.03926482873851295,0.22975929978118162,0.04833836858006042,0.22814128546612622,0.0412303664921466,0.04815864022662889,0.03767123287671233,0.034420289855072464,0.05726872246696035,0.028846153846153848,0.19954648526077098,0.2601626016260163,0.22826086956521738,0.2347560975609756,0.21705426356589147,0.03651685393258427,0.6885245901639344,0.2175032175032175,0.6331360946745562,0.6948051948051948,0.822429906542056,0.27155727155727155,0.44075829383886256,0.4603960396039604,0.4838709677419355,0.49935649935649934,0.4845360824742268,0.4845360824742268,0.8723404255319149,0.4262295081967213,0.5384615384615384,0.42857142857142855,0.28225806451612906,0.6857142857142857,0.22908622908622908,0.45112741312741284,0.4721125,0.4553612903225806,0.08353221957040573,0.08443908323281062,0.0791974656810982,0.19535374868004224,12.198437500000006,0.2,,,,,,,3.0,9.0,1.0,1.0,1.0,3.0,3.0,9.0,1.0,1.0,1.0,3.0,6.0,3.0,9.0,3.0,,,10.0,,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.011583011583011582,,,,,,,,0.011583011583011582,0.3333333333333333,0.3333333333333333,0.6666666666666666,,,,0.01639344262295082,1.0,1.0,,,0.024193548387096774,0.3333333333333333,0.3333333333333333,,25.6,,1.0,4.0,,True,
2039,1610612738,Keyon Dooling,Keyon Dooling,2039,BOS,20065.0,334,-28.0,610,599,111.0,115,44.0,1209,10.0,17.0,2.0,2.0,1.0,1.0,1.0,6.0,9.0,21.0,20.0,44.0,18.0,85.0,626,2.0,2.0,,4.0,3.0,8.0,10.0,25.0,20.0,20.0,2.0,4.0,18.0,5.0,23.0,4.0,1.0,6.0,1.0,11.0,51.0,,1.0,,5.0,9.0,1.0,15,1.0,16,,8.0,6.0,2.0,10.0,1.0,4.0,13.0,3.0,6.0,2.0,1.0,23.0,,4.0,9.0,,33,1.0,,4.0,25.0,1.0,1.0,5.0,1.0,21.0,,6.0,4.0,1.0,,,,,1.0,1.0,,,,,25.0,111.0,6.0,4.0,0.5,0.5263157894736842,0.45454545454545453,1.0,0.375,0.3941176470588235,0.5,0.5,0.4421052631578947,0.5,0.625,0.09090909090909091,0.23529411764705882,,17.960426179604262,0.43478260869565216,0.0625,,0.04072398190045249,0.00510204081632653,0.0684931506849315,,0.047619047619047616,0.0038461538461538464,0.02127659574468085,,,,,0.014492753623188406,0.06349206349206349,0.0449438202247191,0.06896551724137931,0.06666666666666667,,,0.2,0.5882352941176471,0.7692307692307693,0.5,0.07058823529411765,0.16666666666666666,0.16666666666666666,,0.24705882352941178,0.42857142857142855,0.42857142857142855,0.5555555555555556,0.5,1.0,0.5,0.06666666666666667,1.0,0.6823529411764706,0.5130358823529411,0.5116333333333333,0.4614733333333333,0.06593406593406594,0.12,0.047058823529411764,0.29411764705882354,11.286363636363635,0.1819672131147541,3.0,15.0,,,2.0,4.0,6.0,26.0,,2.0,1.0,3.0,9.0,41.0,,2.0,3.0,7.0,24.0,3.0,26.0,6.0,,,1.0,,0.8888888888888888,0.21951219512195122,,0.42857142857142855,0.21951219512195122,0.4823529411764706,,,,0.17647058823529413,0.2,0.2,1.0,0.3058823529411765,0.23076923076923078,0.23076923076923078,0.8333333333333334,,,,0.5,,,0.26666666666666666,0.5,0.2,0.3333333333333333,0.23076923076923078,,24.775609756097555,,,,,True,
200797,1610612738,Ryan Hollins,Ryan Hollins,200797,BOS,1428.0,24,-5.0,41,42,4.0,3,4.0,83,2.0,3.0,1.0,1.0,,,1.0,1.0,,,3.0,4.0,2.0,8.0,46,1.0,1.0,1.0,3.0,,,,,4.0,2.0,2.0,,,,,,,,,,,,1.0,,,1.0,1.0,2,1.0,3,,,,,,,,1.0,1.0,,,,1.0,,,4.0,,4,,,,3.0,1.0,,,,5.0,1.0,3.0,,1.0,,,1.0,,,1.0,1.0,,,,,4.0,,,0.6666666666666666,1.0,0.75,1.0,,0.75,1.0,,0.6666666666666666,1.5,,,,,15.555555555555555,,0.3333333333333333,,0.058823529411764705,0.06666666666666667,,,0.05555555555555555,0.05555555555555555,,,0.14285714285714285,,,0.3333333333333333,,,,,,1.0,0.75,0.6666666666666666,0.6666666666666666,0.5,0.25,1.0,1.0,1.0,,,,,1.0,1.0,,,,0.75,0.6172,0.6437,,0.5,0.5,0.375,,3.325,0.0975609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
2554,1610612738,Mickael Pietrus,Mickael Pietrus,2554,BOS,30192.0,503,74.0,953,944,234.0,267,95.0,1897,19.0,32.0,4.0,7.0,4.0,8.0,2.0,4.0,13.0,26.0,34.0,62.0,11.0,163.0,919,4.0,8.0,,23.0,6.0,12.0,2.0,29.0,38.0,30.0,6.0,4.0,8.0,2.0,10.0,2.0,,4.0,3.0,1.0,22.0,1.0,10.0,1.0,13.0,36.0,1.0,50,12.0,62,2.0,13.0,8.0,5.0,4.0,5.0,4.0,13.0,2.0,,1.0,3.0,17.0,2.0,2.0,22.0,3.0,48,1.0,4.0,,26.0,3.0,2.0,4.0,3.0,16.0,,5.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,5.0,4.0,,,,28.0,226.0,9.0,2.0,0.5588235294117647,0.6129032258064516,0.5483870967741935,0.5,0.5,0.5135135135135135,0.6764705882352942,0.45,0.5224358974358975,0.6764705882352942,0.4393939393939394,0.06451612903225806,0.09375,0.25,16.336166194523134,0.23529411764705882,0.037037037037037035,0.043478260869565216,0.10588235294117647,0.03257328990228013,0.10833333333333334,0.008403361344537815,0.10652173913043478,0.025821596244131457,0.03225806451612903,0.025,0.03731343283582089,0.011904761904761904,,0.09166666666666666,0.08888888888888889,0.13076923076923078,0.08139534883720931,0.17647058823529413,0.02564102564102564,0.8,0.21621621621621623,0.59375,0.6551724137931034,0.5789473684210527,0.02702702702702703,0.5,0.6666666666666666,0.5,0.17567567567567569,0.5,0.5,0.5384615384615384,0.4117647058823529,0.5714285714285714,0.25,0.26666666666666666,0.5,0.7972972972972973,0.5536291095890412,0.6049499999999999,0.5512035714285715,0.032679738562091505,0.07462686567164178,0.1411042944785276,0.17791411042944785,9.885483870967741,0.24554039874081846,14.0,37.0,4.0,6.0,4.0,6.0,14.0,49.0,1.0,3.0,1.0,12.0,28.0,86.0,5.0,9.0,5.0,18.0,78.0,6.0,48.0,14.0,,,,,0.9285714285714286,0.32558139534883723,0.5555555555555556,0.2777777777777778,0.32941176470588235,0.581081081081081,,,,0.25,0.3783783783783784,0.3783783783783784,1.0,0.3310810810810811,0.2857142857142857,0.2857142857142857,0.8571428571428571,0.35294117647058826,0.6666666666666666,1.0,0.17647058823529413,0.3333333333333333,1.0,0.2,0.6666666666666666,0.4,0.08333333333333333,0.2916666666666667,,24.99418604651163,1.0,,,,True,
2605,1610612738,Marquis Daniels,Marquis Daniels,2605,BOS,13204.0,220,-24.0,403,408,82.0,114,28.0,811,20.0,36.0,5.0,7.0,1.0,1.0,2.0,16.0,2.0,8.0,24.0,60.0,5.0,53.0,403,5.0,7.0,2.0,12.0,2.0,5.0,,4.0,36.0,12.0,4.0,10.0,15.0,4.0,19.0,2.0,2.0,7.0,3.0,5.0,42.0,,9.0,,9.0,11.0,2.0,22,9.0,31,3.0,5.0,4.0,1.0,11.0,2.0,4.0,5.0,1.0,7.0,1.0,,16.0,3.0,2.0,11.0,,19,,4.0,,11.0,,1.0,,,5.0,1.0,3.0,,4.0,1.0,1.0,3.0,1.0,,5.0,1.0,,,,4.0,80.0,1.0,,0.75,0.8181818181818182,0.4,0.7142857142857143,0.4,0.375,0.7142857142857143,0.2857142857142857,0.4015151515151515,0.75,0.2857142857142857,0.16666666666666666,0.19444444444444445,0.125,18.85057471264368,0.6875,0.15384615384615385,,0.07692307692307693,0.06338028169014084,0.16981132075471697,,0.10204081632653061,0.05232558139534884,0.07317073170731707,0.09803921568627451,0.02,,,0.05660377358490566,0.05714285714285714,0.10909090909090909,0.16216216216216217,0.1875,0.10344827586206896,0.2,0.5625,0.5555555555555556,0.6896551724137931,0.8,0.25,0.125,0.14285714285714285,,0.125,0.25,0.2857142857142857,1.0,1.0,0.7142857142857143,0.6,0.14285714285714285,1.0,0.625,0.519952380952381,0.5572142857142856,0.440325,0.045454545454545456,0.04838709677419355,0.22641509433962265,0.07547169811320754,5.431666666666667,0.20347394540942929,,3.0,,,,1.0,,1.0,,,,1.0,,4.0,,,,2.0,,,,,,,,,,,,,,0.0625,,0.125,,0.046875,,,,0.015625,,,,,,,,,,0.14285714285714285,,0.14285714285714285,,,,34.9,1.0,,,,True,
951,1610612738,Ray Allen,Ray Allen,951,BOS,60437.0,1007,133.0,1908,1876,427.0,428,167.0,3784,31.0,53.0,3.0,6.0,7.0,14.0,17.0,39.0,28.0,71.0,76.0,163.0,66.0,428.0,1866,5.0,13.0,3.0,31.0,18.0,42.0,15.0,96.0,102.0,50.0,2.0,10.0,66.0,7.0,73.0,2.0,5.0,29.0,11.0,26.0,153.0,,10.0,,20.0,51.0,1.0,72,10.0,82,2.0,32.0,19.0,13.0,22.0,4.0,15.0,16.0,2.0,7.0,2.0,,38.0,2.0,10.0,19.0,,45,3.0,3.0,4.0,53.0,,,2.0,1.0,70.0,4.0,18.0,4.0,5.0,,,4.0,1.0,,5.0,,,,,90.0,419.0,3.0,1.0,0.6710526315789473,0.68,0.4662576687116564,0.38461538461538464,0.42857142857142855,0.567398119122257,0.5,0.5192307692307693,0.5988200589970502,0.5172413793103449,0.5481927710843374,0.06134969325153374,0.11320754716981132,0.05128205128205128,17.969494756911345,0.5789473684210527,0.023809523809523808,,0.07611940298507462,0.015267175572519083,0.0823045267489712,,0.07776560788608981,0.011890606420927468,0.025,0.006369426751592357,0.013422818791946308,,,0.07692307692307693,0.06666666666666667,0.084070796460177,0.08771929824561403,0.06944444444444445,0.0125,,0.16614420062695925,0.5849056603773585,0.6595744680851063,0.6451612903225806,0.12225705329153605,0.4358974358974359,0.4594594594594595,0.5294117647058824,0.2225705329153605,0.39436619718309857,0.4057971014492754,0.7857142857142857,0.21428571428571427,0.5,0.3333333333333333,0.1794871794871795,0.5,0.6551724137931034,0.5219047021943574,0.4953931818181818,0.5076532051282051,0.0626865671641791,0.1016949152542373,0.07242990654205607,0.22429906542056074,10.626993865030673,0.22379454926624737,28.0,60.0,3.0,8.0,4.0,11.0,42.0,96.0,3.0,7.0,11.0,25.0,70.0,156.0,6.0,15.0,15.0,36.0,207.0,3.0,96.0,42.0,2.0,,23.0,3.0,0.9857142857142858,0.44871794871794873,0.4,0.4166666666666667,0.44871794871794873,0.4890282131661442,0.01282051282051282,0.028169014084507043,0.020833333333333332,0.18808777429467086,0.4666666666666667,0.4666666666666667,1.0,0.30094043887147337,0.4375,0.44680851063829785,0.9761904761904762,0.2857142857142857,0.375,1.0,0.25,0.42857142857142855,1.0,0.14102564102564102,0.36363636363636365,0.32051282051282054,0.44,0.4375,0.0189873417721519,24.477564102564102,,,,1.0,True,
