EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyFtPoints,PtsPutbacks,OffThreePtRebounds,FTOffRebounds,FTDefRebounds,DeadBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,OffensiveGoaltends,Defensive 3 Seconds Violations,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,BlockingFouls,SecondChanceFtPoints,ShortMidRangeAssists,LostBallTurnovers,Travels,Offensive Fouls,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,BlockedLongMidRange,Corner3Assists,NonShootingFoulsDrawn,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,NonShootingPenaltyNonTakeFoulsDrawn,on,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,Fg3aBlocked,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Arc3PctBlocked,DefensiveGoaltends,HeaveAttempts,PenaltyCorner3FGM,PenaltyCorner3Accuracy,3SecondViolations,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted
101126,1610612741,Nate Robinson,Nate Robinson,101126,CHI,3348.0,56,26.0,97,98,24.0,29,12,195,5.0,6.0,1.0,1.0,2.0,3.0,3.0,5.0,5.0,9.0,1.0,1.0,2.0,7.0,1.0,13.0,20.0,3.0,8.0,2.0,37.0,98,2.0,2.0,4.0,4.0,6.0,1.0,8.0,10.0,16.0,9.0,7.0,2.0,1.0,7.0,3.0,10.0,3.0,4.0,3.0,23.0,2.0,1.0,3.0,4.0,2.0,6.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,8.0,24.0,2.0,0.38461538461538464,0.38461538461538464,1.0,0.375,0.375,0.65,1.0,0.6666666666666666,0.625,1.0,0.5714285714285714,0.6428571428571429,1.0,0.5714285714285714,0.2857142857142857,0.05,0.2,25.663716814159294,1.0,0.08571428571428572,0.05714285714285714,0.07692307692307693,0.08333333333333333,0.045454545454545456,0.25,0.16666666666666666,0.1111111111111111,0.1,0.1,0.21428571428571427,0.8333333333333334,0.8333333333333334,0.4,0.17857142857142858,0.6,0.75,0.6666666666666666,0.32142857142857145,0.5555555555555556,0.5555555555555556,0.2,0.03571428571428571,1.0,1.0,1.0,0.25,0.2857142857142857,0.2857142857142857,1.0,0.5,1.0,0.42857142857142855,0.6666666666666666,0.14285714285714285,0.5,0.2857142857142857,0.4705392857142857,0.44820000000000004,0.5036928571428572,0.03571428571428571,0.05,0.10810810810810811,0.21621621621621623,10.559999999999999,25.775,0.24742268041237114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1737,1610612741,Nazr Mohammed,Nazr Mohammed,1737,CHI,6837.0,114,6.0,205,205,46.0,74,23,410,11.0,19.0,4.0,8.0,4.0,6.0,4.0,10.0,6.0,12.0,,,,,,21.0,41.0,,,4.0,46.0,223,5.0,11.0,10.0,7.0,13.0,,16.0,28.0,14.0,,,,4.0,4.0,,4.0,,3.0,1.0,8.0,9.0,4.0,13.0,18.0,14.0,32.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,15.0,5.0,,7.0,1.0,,4.0,16.0,45.0,1.0,0.6666666666666666,0.7777777777777778,,,,0.5121951219512195,0.45454545454545453,0.5384615384615384,0.5121951219512195,0.45454545454545453,0.5384615384615384,0.5227272727272727,0.45454545454545453,0.5714285714285714,,0.0975609756097561,,20.085470085470085,0.3333333333333333,0.18840579710144928,0.1232876712328767,0.15384615384615385,0.17894736842105263,0.1276595744680851,0.11538461538461539,0.22727272727272727,0.16666666666666666,0.15,0.0625,0.4634146341463415,0.5789473684210527,0.7333333333333333,0.6363636363636364,0.24390243902439024,0.4,0.4,0.75,0.2926829268292683,0.5,0.5,0.6666666666666666,,,,,,,,,0.7272727272727273,0.5,0.46153846153846156,0.6666666666666666,,0.4634146341463415,,0.4441121951219512,0.4849499999999999,0.40592307692307694,0.09090909090909091,0.09090909090909091,0.21739130434782608,0.34782608695652173,8.097560975609756,,0.22439024390243903,2.0,6.0,3.0,2.0,1.0,2.0,1.0,2.0,8.0,1.0,2.0,1.0,7.0,6.0,1.0,7.0,2.0,1.0,2.0,0.21052631578947367,0.2,0.2857142857142857,0.14285714285714285,0.15,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.17647058823529413,0.16666666666666666,0.2857142857142857,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1888,1610612741,Richard Hamilton,Richard Hamilton,1888,CHI,769.0,13,9.0,22,22,,2,3,44,,,,,,,1.0,5.0,1.0,1.0,,,1.0,1.0,,2.0,6.0,1.0,1.0,,7.0,14,,,,,,,,2.0,2.0,3.0,1.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,1.0,2.0,,,,,,,,,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,,,0.5,,,0.5,,,0.14285714285714285,,,25.925925925925924,,0.1111111111111111,,,0.06666666666666667,,,,,,,,,,,0.7142857142857143,0.2,0.2,,0.14285714285714285,1.0,1.0,1.0,,,,,0.14285714285714285,1.0,1.0,1.0,,,,,,0.14285714285714285,1.0,0.4244214285714286,,,,,,,12.333333333333334,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201959,1610612741,Taj Gibson,Taj Gibson,201959,CHI,3715.0,62,-13.0,106,108,14.0,16,9,214,5.0,8.0,1.0,2.0,1.0,1.0,4.0,6.0,3.0,7.0,,,,,,12.0,21.0,,,3.0,27.0,133,1.0,3.0,3.0,2.0,2.0,,4.0,16.0,8.0,,,,2.0,4.0,,4.0,,3.0,,8.0,3.0,1.0,4.0,6.0,4.0,10.0,,1.0,,1.0,2.0,,4.0,9.0,6.0,1.0,3.0,1.0,,2.0,4.0,14.0,,0.6666666666666666,0.7272727272727273,,,,0.5714285714285714,0.3333333333333333,1.0,0.5714285714285714,0.3333333333333333,1.0,0.6136363636363636,0.5,1.0,,0.09523809523809523,,22.033898305084747,0.5,0.11764705882352941,0.08108108108108109,0.06666666666666667,0.10204081632653061,0.08888888888888889,0.1875,0.125,0.13333333333333333,0.09090909090909091,,0.38095238095238093,0.625,0.8333333333333334,0.6,0.2857142857142857,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.42857142857142855,0.42857142857142855,1.0,,,,,,,,,0.6666666666666666,0.5,0.5,1.0,,0.38095238095238093,,0.44243809523809524,0.4497333333333334,0.50875,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.14814814814814814,8.719047619047618,,0.1320754716981132,,2.0,1.0,,1.0,2.0,,,4.0,,1.0,1.0,1.0,1.0,,1.0,,,1.0,0.25,0.25,,0.125,,,0.14285714285714285,,0.09090909090909091,,,,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202710,1610612741,Jimmy Butler,Jimmy Butler,202710,CHI,4132.0,69,11.0,125,126,32.0,49,13,251,1.0,1.0,,,,,,2.0,3.0,6.0,1.0,1.0,2.0,3.0,1.0,4.0,9.0,3.0,4.0,2.0,19.0,123,1.0,2.0,2.0,1.0,2.0,1.0,2.0,8.0,,6.0,3.0,2.0,1.0,4.0,,4.0,,2.0,1.0,8.0,,1.0,3.0,4.0,,4.0,,1.0,,1.0,1.0,1.0,3.0,5.0,4.0,,4.0,,,2.0,2.0,31.0,,1.0,1.0,0.6666666666666666,0.75,0.75,0.4444444444444444,0.5,0.5,0.6538461538461539,0.5,0.3333333333333333,0.6333333333333333,0.5,0.3333333333333333,0.3076923076923077,0.1111111111111111,0.5,12.857142857142858,0.3333333333333333,0.06521739130434782,,0.045454545454545456,0.058823529411764705,,,0.05555555555555555,0.125,,,0.07692307692307693,1.0,1.0,1.0,0.15384615384615385,,,,0.46153846153846156,0.5,0.5,1.0,0.07692307692307693,1.0,1.0,1.0,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,,,,,0.3333333333333333,0.38461538461538464,0.6666666666666666,0.47600769230769235,0.4323,0.43185,0.13333333333333333,0.18181818181818182,0.10526315789473684,0.10526315789473684,14.41111111111111,24.975,0.256,,,,,,2.0,,,3.0,,,,3.0,1.0,1.0,3.0,2.0,,,,,,,,,,,,0.16666666666666666,0.6666666666666666,,,1.0,,,,3.0,1.0,1.0,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,1610612741,Carlos Boozer,Carlos Boozer,2430,CHI,2371.0,40,14.0,74,72,26.0,35,9,146,2.0,5.0,,1.0,,1.0,1.0,3.0,3.0,6.0,,,,,,6.0,14.0,,,4.0,16.0,67,,1.0,2.0,2.0,5.0,,4.0,8.0,4.0,,,,1.0,2.0,,2.0,,,1.0,4.0,2.0,3.0,6.0,9.0,3.0,12.0,1.0,,,,2.0,1.0,3.0,,5.0,,4.0,2.0,,3.0,4.0,26.0,,0.6666666666666666,0.6666666666666666,,,,0.42857142857142855,,0.4,0.42857142857142855,,0.4,0.5333333333333333,0.5,0.4,,0.07142857142857142,,21.42857142857143,0.6666666666666666,0.20689655172413793,0.07692307692307693,0.3333333333333333,0.23684210526315788,0.08571428571428572,0.2,0.16666666666666666,0.2727272727272727,0.2857142857142857,0.14285714285714285,0.35714285714285715,0.4,0.5,1.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,,0.42857142857142855,0.5,0.5,0.6666666666666666,,,,,,,,,1.0,,0.2,,,0.35714285714285715,,0.46720000000000006,,0.42718,0.2,0.2,0.125,0.25,9.62142857142857,,0.35135135135135137,,,1.0,,,1.0,,2.0,,,,,,,,,,,,0.2,,,0.1111111111111111,,0.1,0.125,,0.16666666666666666,0.5,,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2736,1610612741,Luol Deng,Luol Deng,2736,CHI,3589.0,60,18.0,112,109,35.0,38,9,221,4.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,6.0,,1.0,,4.0,2.0,9.0,14.0,,5.0,3.0,21.0,112,2.0,2.0,4.0,2.0,4.0,2.0,5.0,10.0,8.0,,4.0,,,7.0,1.0,8.0,,2.0,4.0,17.0,1.0,3.0,8.0,12.0,1.0,13.0,,1.0,1.0,,1.0,1.0,3.0,,6.0,1.0,4.0,1.0,,2.0,5.0,34.0,,0.5555555555555556,0.625,,,,0.6428571428571429,1.0,0.5,0.47368421052631576,1.0,0.3333333333333333,0.5,1.0,0.35714285714285715,0.2631578947368421,,,18.852459016393443,0.3333333333333333,0.21621621621621623,0.029411764705882353,0.23076923076923078,0.22,0.022222222222222223,,0.16666666666666666,0.23529411764705882,0.25,,0.2631578947368421,0.8,0.8,0.5,0.15789473684210525,0.3333333333333333,0.3333333333333333,,0.3157894736842105,0.6666666666666666,0.6666666666666666,0.75,0.05263157894736842,,,,0.21052631578947367,,,,1.0,1.0,0.16666666666666666,1.0,0.3333333333333333,0.5263157894736842,,0.4612421052631579,0.5448,0.4558583333333333,0.1,0.13333333333333333,0.19047619047619047,0.23809523809523808,10.77142857142857,25.12,0.3125,1.0,2.0,,,1.0,2.0,,,,,,,,,,,,,,,0.25,,,0.08333333333333333,,,,0.25,,,,,1.0,,2.0,,,,,,,1.0,1.0,0.5,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201149,1610612741,Joakim Noah,Joakim Noah,201149,CHI,32.0,1,,2,2,,2,1,4,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1.0,,1.0,,1.0,,2.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.333333333333336,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201158,1610612741,Marco Belinelli,Marco Belinelli,201158,CHI,2971.0,50,-4.0,89,89,15.0,35,10,178,5.0,9.0,,,,,1.0,3.0,2.0,5.0,,1.0,2.0,5.0,,8.0,17.0,2.0,6.0,5.0,27.0,110,,2.0,,2.0,2.0,,6.0,10.0,6.0,6.0,5.0,2.0,2.0,3.0,4.0,7.0,3.0,1.0,1.0,18.0,,1.0,1.0,3.0,,3.0,,4.0,2.0,2.0,2.0,1.0,4.0,6.0,9.0,3.0,5.0,1.0,,1.0,4.0,14.0,,0.625,0.625,1.0,0.3333333333333333,0.3333333333333333,0.47058823529411764,,1.0,0.4782608695652174,,1.0,0.54,,1.0,0.2608695652173913,0.11764705882352941,,29.0,0.5,0.041666666666666664,,0.14285714285714285,0.06451612903225806,,,,0.1,0.25,,0.391304347826087,0.5555555555555556,0.7142857142857143,0.6,0.13043478260869565,0.3333333333333333,0.3333333333333333,1.0,0.21739130434782608,0.4,0.4,0.5,0.043478260869565216,,,,0.21739130434782608,0.4,0.4,1.0,,,,,,0.6521739130434783,0.4,0.4902195652173913,0.44782500000000003,0.35945,0.043478260869565216,0.058823529411764705,,0.2222222222222222,8.005882352941176,25.5,0.16853932584269662,2.0,,,,1.0,2.0,,1.0,2.0,1.0,,,,,,,,,,0.2222222222222222,0.3333333333333333,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,2.0,,,1.0,1.0,0.3333333333333333,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201161,1610612741,Daequan Cook,Daequan Cook,201161,CHI,1175.0,20,-20.0,34,34,5.0,20,6,68,,,,,,,,1.0,,,,1.0,,3.0,1.0,,1.0,,4.0,,,52,,,,,1.0,1.0,,,,,3.0,,,2.0,,2.0,,,1.0,4.0,,,1.0,1.0,,1.0,,1.0,1.0,,,,2.0,4.0,,,,,,,,5.0,,,,,,,,,,,,,,,,0.8,,,16.27906976744186,,0.1111111111111111,,,0.1,,,,0.2,,,,,,,0.2,,,,,,,,0.2,,,,0.6,,,,,,,,0.5,0.8,,0.47702,,0.37775000000000003,,,,,13.5,25.45,0.14705882352941177,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
