EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGM,PenaltyFG3M,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,BlockingFouls,Charge Fouls Drawn,PenaltyFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,PenaltyArc3Accuracy,SecondChanceFtPoints,SelfOReb,LostBallTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimPctAssisted,LongMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceFg3Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,PenaltyCorner3FGM,BlockedCorner3,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,SecondChanceArc3PctAssisted,on,HeaveAttempts,LongMidRangePctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,SecondChanceCorner3FGM,BlockedLongMidRange,SecondChanceCorner3Accuracy,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3PctAssisted
1740,1610612748,Rashard Lewis,Rashard Lewis,1740,MIA,6462.0,108,16.0,192,194,69.0,81,16,386,3.0,7.0,1.0,1.0,1.0,1.0,4.0,6.0,2.0,3.0,11.0,6.0,2.0,8.0,1.0,7.0,15.0,5.0,19.0,2.0,31.0,206,1.0,1.0,2.0,2.0,5.0,7.0,2.0,6.0,10.0,4.0,15.0,2.0,8.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,3.0,10.0,13.0,2.0,15,2.0,1.0,1.0,2.0,1.0,2.0,5.0,14.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,6.0,69.0,2.0,0.7142857142857143,0.8333333333333334,1.0,0.2631578947368421,0.2631578947368421,0.4666666666666667,1.0,0.4,0.4264705882352941,1.0,0.16666666666666666,0.44285714285714284,1.0,0.23076923076923078,0.5588235294117647,17.619047619047617,0.19230769230769232,0.025,0.0967741935483871,0.02564102564102564,0.1566265060240964,0.02531645569620253,0.06666666666666667,0.04,0.3333333333333333,0.125,0.1111111111111111,0.047619047619047616,0.2,0.75,0.20588235294117646,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.17647058823529413,0.6666666666666666,0.6666666666666666,1.0,0.058823529411764705,0.3235294117647059,0.2727272727272727,0.2727272727272727,1.0,0.23529411764705882,0.25,0.25,1.0,1.0,1.0,0.08333333333333333,1.0,0.5,0.08333333333333333,0.7647058823529411,0.25,0.5108338235294119,0.6795,0.49100000000000005,0.02857142857142857,0.0625,0.06451612903225806,0.1935483870967742,5.453333333333333,24.236842105263158,0.359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
201596,1610612748,Mario Chalmers,Mario Chalmers,201596,MIA,4424.0,74,13.0,133,136,35.0,59,12,269,1.0,2.0,,,,1.0,,5.0,1.0,1.0,4.0,,1.0,2.0,2.0,1.0,8.0,2.0,6.0,3.0,11.0,140,,1.0,,,1.0,2.0,,3.0,,2.0,6.0,,2.0,1.0,4.0,2.0,6.0,,3.0,,14.0,,,3.0,2.0,6.0,,6,3.0,2.0,1.0,3.0,,4.0,1.0,9.0,2.0,6.0,,4.0,2.0,,,,,3.0,35.0,,,,1.0,0.3333333333333333,0.3333333333333333,0.125,,,0.2857142857142857,,0.5,0.34375,,0.5,0.42857142857142855,13.422818791946309,0.05,,0.13636363636363635,,0.08064516129032258,,,,0.05,,0.14285714285714285,0.14285714285714285,0.125,,0.14285714285714285,0.5,0.5,,0.35714285714285715,,,,0.07142857142857142,0.2857142857142857,0.25,0.25,1.0,0.14285714285714285,0.5,0.5,1.0,,,0.3333333333333333,,,0.6666666666666666,0.5714285714285714,0.5,0.4778178571428571,0.3811,0.5054666666666666,0.125,0.2,,0.2727272727272727,7.625,23.833333333333332,0.2631578947368421,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.125,0.2,0.25,0.25,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2365,1610612748,Chris Andersen,Chris Andersen,2365,MIA,19022.0,317,18.0,553,575,141.0,187,55,1128,33.0,49.0,12.0,20.0,7.0,10.0,,1.0,6.0,,,,,1.0,,33.0,56.0,,1.0,26.0,92.0,611,12.0,21.0,29.0,7.0,11.0,,13.0,27.0,44.0,22.0,,18.0,1.0,,3.0,2.0,5.0,1.0,3.0,,12.0,5.0,21.0,30.0,42.0,81.0,26.0,107,5.0,4.0,1.0,6.0,1.0,9.0,17.0,34.0,3.0,30.0,2.0,38.0,15.0,18.0,15.0,18.0,8.0,27.0,141.0,2.0,0.6666666666666666,0.9166666666666666,,,,0.5892857142857143,0.5714285714285714,0.6363636363636364,0.5789473684210527,0.5714285714285714,0.6363636363636364,0.6052631578947368,0.5576923076923077,0.6428571428571429,0.017543859649122806,13.843648208469055,0.2625,0.14788732394366197,0.33707865168539325,0.05319148936170213,0.2891566265060241,0.11016949152542373,0.20833333333333334,0.031746031746031744,0.2222222222222222,0.33962264150943394,0.22727272727272727,0.36666666666666664,0.27586206896551724,0.4444444444444444,0.8596491228070176,0.673469387755102,0.7857142857142857,0.6666666666666666,0.017543859649122806,,,,0.10526315789473684,,,,,0.017543859649122806,,,,0.9523809523809523,0.6,0.9090909090909091,0.7,,,0.8771929824561403,,0.5822728070175438,0.5895,0.5825454545454546,0.20833333333333334,0.2112676056338028,0.31521739130434784,0.29347826086956524,3.067857142857143,26.6,0.2549728752260398,,,8.0,1.0,,9.0,3.0,1.0,2.0,,1.0,,0.14285714285714285,1.0,0.3333333333333333,0.6428571428571429,,5.0,1.0,2.0,1.0,2.0,6.0,4.0,3.0,2.0,1.0,4.0,0.14285714285714285,0.13333333333333333,0.10204081632653061,0.0967741935483871,0.07692307692307693,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2544,1610612748,LeBron James,LeBron James,2544,MIA,12761.0,213,37.0,376,387,127.0,179,39,763,20.0,29.0,3.0,6.0,7.0,10.0,8.0,20.0,24.0,,1.0,1.0,14.0,34.0,15.0,41.0,73.0,14.0,35.0,49.0,173.0,396,4.0,9.0,12.0,15.0,22.0,16.0,22.0,73.0,24.0,58.0,9.0,6.0,34.0,14.0,15.0,15.0,30.0,6.0,12.0,3.0,75.0,4.0,3.0,13.0,15.0,31.0,7.0,38,9.0,6.0,3.0,7.0,,19.0,3.0,10.0,,42.0,,57.0,20.0,3.0,3.0,4.0,3.0,73.0,127.0,2.0,0.2926829268292683,0.3157894736842105,0.21428571428571427,0.4,0.4,0.5616438356164384,0.4444444444444444,0.6818181818181818,0.5740740740740741,0.5,0.6710526315789473,0.6417910447761194,0.5,0.73,0.32407407407407407,36.27684964200477,0.15,0.03333333333333333,0.23636363636363636,0.05333333333333334,0.18064516129032257,0.04242424242424243,0.03125,0.06,0.15384615384615385,,0.3,0.23684210526315788,0.23529411764705882,0.75,0.26851851851851855,0.6896551724137931,0.7692307692307693,0.45,0.18518518518518517,0.4,0.4,0.125,0.2222222222222222,0.009259259259259259,,,,0.3148148148148148,0.4117647058823529,0.4117647058823529,0.21428571428571427,0.5454545454545454,0.5,0.2631578947368421,0.7,0.02631578947368421,0.39473684210526316,0.5925925925925926,0.4117647058823529,0.4838287037037038,0.5481499999999999,0.4763184210526316,0.16666666666666666,0.2222222222222222,0.06936416184971098,0.42196531791907516,9.241095890410959,25.839999999999996,0.3377659574468085,7.0,7.0,3.0,9.0,,3.0,12.0,8.0,5.0,,1.0,0.4375,0.0410958904109589,,0.631578947368421,0.25,0.4666666666666667,1.0,2.0,4.0,,,,8.0,,,,7.0,0.10344827586206896,0.06666666666666667,,0.04,0.04081632653061224,,13.0,1.0,2.0,1.0,2.0,33.0,5.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5416666666666666,0.5416666666666666,0.15384615384615385,0.18181818181818182,0.5,0.027777777777777776,,,,,,,,,,,True,,,,,,,,,,
2548,1610612748,Dwyane Wade,Dwyane Wade,2548,MIA,9927.0,165,-6.0,285,299,42.0,64,28,584,12.0,21.0,2.0,2.0,,1.0,18.0,28.0,17.0,,1.0,,4.0,6.0,1.0,36.0,66.0,4.0,7.0,22.0,106.0,323,3.0,4.0,6.0,4.0,6.0,1.0,5.0,16.0,14.0,58.0,3.0,4.0,6.0,4.0,9.0,14.0,23.0,5.0,6.0,1.0,60.0,1.0,2.0,4.0,6.0,11.0,3.0,14,5.0,3.0,2.0,4.0,,12.0,6.0,10.0,,22.0,,33.0,16.0,1.0,,1.0,,16.0,42.0,2.0,0.19444444444444445,0.20588235294117646,0.25,0.5714285714285714,0.5714285714285714,0.5454545454545454,0.75,0.6666666666666666,0.5753424657534246,0.75,0.7857142857142857,0.6022727272727273,0.75,0.8,0.0958904109589041,31.528662420382165,0.061855670103092786,0.02531645569620253,0.07407407407407407,0.02631578947368421,0.06622516556291391,0.02564102564102564,0.04,0.03125,0.07692307692307693,0.05714285714285714,0.043478260869565216,0.11428571428571428,,,0.2876712328767123,0.5714285714285714,0.631578947368421,0.25,0.3835616438356164,0.6428571428571429,0.6666666666666666,0.1111111111111111,0.2328767123287671,0.0136986301369863,,,,0.0821917808219178,0.6666666666666666,0.6666666666666666,0.25,0.5,1.0,0.14285714285714285,,,0.14285714285714285,0.3835616438356164,0.6666666666666666,0.46104383561643836,0.5445666666666668,0.3994142857142858,0.18604651162790697,0.20253164556962025,0.05660377358490566,0.1509433962264151,8.678787878787878,24.371428571428574,0.14736842105263157,1.0,1.0,3.0,9.0,2.0,1.0,8.0,4.0,3.0,,,1.0,0.045454545454545456,0.03571428571428571,0.6666666666666666,0.2,1.0,,,4.0,1.0,,1.0,2.0,1.0,,,1.0,0.09523809523809523,,0.034482758620689655,,,,6.0,,,,,9.0,2.0,1.0,1.0,,,3.0,,,,,,0.35294117647058826,0.35294117647058826,0.3333333333333333,,,,1.0,,,,,,,,,,True,,,,,,,,,,
2592,1610612748,James Jones,James Jones,2592,MIA,2468.0,41,17.0,71,69,19.0,31,13,140,1.0,1.0,,,,,,1.0,2.0,1.0,4.0,1.0,2.0,6.0,2.0,1.0,4.0,3.0,10.0,,11.0,72,,,,,1.0,3.0,,,,2.0,9.0,,6.0,2.0,,2.0,2.0,1.0,,,6.0,1.0,1.0,,1.0,1.0,2.0,3,1.0,,1.0,,,,4.0,7.0,,2.0,1.0,,,,,,,,19.0,2.0,,,1.0,0.3,0.3,0.25,,,0.39285714285714285,,,0.39285714285714285,,,0.7142857142857143,16.47058823529412,0.1111111111111111,0.05,,0.047619047619047616,0.05263157894736842,0.04878048780487805,,,0.25,,,,,,0.07142857142857142,1.0,1.0,,0.07142857142857142,,,,0.14285714285714285,0.2857142857142857,0.25,0.25,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,,0.25,0.5,0.7857142857142857,0.3333333333333333,0.50365,,0.5245124999999999,,,,,11.3,24.53,0.2676056338028169,,,1.0,1.0,,,,,,,1.0,,0.25,1.0,,,,,2.0,,,,,,,,,,,,0.125,0.1111111111111111,0.25,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,True,,,,,,,,,,
951,1610612748,Ray Allen,Ray Allen,951,MIA,16954.0,283,4.0,490,513,122.0,144,46,1003,10.0,13.0,2.0,3.0,2.0,3.0,3.0,11.0,10.0,8.0,16.0,3.0,7.0,25.0,9.0,15.0,34.0,15.0,41.0,11.0,86.0,549,2.0,5.0,4.0,5.0,9.0,12.0,4.0,26.0,10.0,20.0,36.0,2.0,25.0,7.0,17.0,5.0,22.0,2.0,13.0,2.0,49.0,1.0,6.0,11.0,13.0,24.0,7.0,31,9.0,7.0,2.0,8.0,,16.0,16.0,23.0,,15.0,3.0,12.0,4.0,,,1.0,1.0,26.0,122.0,2.0,0.3333333333333333,0.35714285714285715,0.8,0.36585365853658536,0.36585365853658536,0.4411764705882353,0.4,0.5555555555555556,0.5,0.3333333333333333,0.5238095238095238,0.5375,0.3333333333333333,0.5652173913043478,0.5466666666666666,17.744916820702404,0.09090909090909091,0.046153846153846156,0.14666666666666667,0.012658227848101266,0.11009174311926606,0.03349282296650718,,0.019230769230769232,0.07142857142857142,0.1111111111111111,0.09523809523809523,0.16,0.12,1.0,0.17333333333333334,0.7692307692307693,0.8333333333333334,0.4,0.14666666666666667,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.13333333333333333,0.21333333333333335,0.5,0.5,0.875,0.3333333333333333,0.28,0.28,0.7142857142857143,0.5,0.6666666666666666,0.14285714285714285,0.6666666666666666,0.14285714285714285,0.42857142857142855,0.72,0.28,0.512428,0.47307499999999997,0.48398809523809533,0.06329113924050633,0.10810810810810811,0.046511627906976744,0.3023255813953488,8.985294117647058,24.49512195121951,0.24897959183673468,2.0,4.0,1.0,3.0,2.0,,8.0,7.0,2.0,,,0.3333333333333333,0.029411764705882353,,0.5,,0.2222222222222222,,3.0,1.0,,,,1.0,,,,1.0,0.07692307692307693,0.025,0.10638297872340426,,0.06976744186046512,,2.0,,,,1.0,9.0,5.0,2.0,1.0,1.0,,1.0,,1.0,1.0,,,0.2,0.2,,,,0.023809523809523808,,1.0,2.0,1.0,0.16666666666666666,0.6666666666666666,,,,,True,,,,,,,,,,
202708,1610612748,Norris Cole,Norris Cole,202708,MIA,13403.0,223,20.0,390,406,99.0,119,38,796,8.0,15.0,1.0,1.0,4.0,5.0,1.0,4.0,6.0,7.0,12.0,3.0,3.0,11.0,3.0,12.0,25.0,10.0,23.0,6.0,60.0,433,1.0,1.0,6.0,6.0,9.0,6.0,3.0,18.0,8.0,16.0,30.0,,11.0,3.0,10.0,4.0,14.0,3.0,7.0,2.0,32.0,,1.0,7.0,7.0,14.0,1.0,15,6.0,1.0,5.0,4.0,,9.0,4.0,14.0,2.0,9.0,1.0,7.0,3.0,1.0,1.0,1.0,1.0,18.0,99.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.43478260869565216,0.43478260869565216,0.48,1.0,0.6666666666666666,0.5625,0.625,0.5,0.5882352941176471,0.75,0.5294117647058824,0.4791666666666667,13.92111368909513,0.06363636363636363,0.009708737864077669,0.11475409836065574,,0.08187134502923976,0.006097560975609756,,,0.02564102564102564,0.10526315789473684,0.06060606060606061,0.0975609756097561,0.15,1.0,0.3125,0.5333333333333333,0.5714285714285714,0.375,0.08333333333333333,0.25,0.3333333333333333,1.0,0.125,0.25,0.5833333333333334,0.6363636363636364,1.0,0.22916666666666666,0.2727272727272727,0.2727272727272727,1.0,0.25,1.0,0.3333333333333333,0.8,0.2,0.2,0.7916666666666666,0.2727272727272727,0.5131958333333333,0.467925,0.4719466666666667,0.06,0.1111111111111111,0.1,0.3,6.696000000000001,24.704347826086952,0.25384615384615383,,1.0,2.0,1.0,1.0,,5.0,4.0,2.0,,,0.16666666666666666,0.08,0.25,0.5555555555555556,,,1.0,,1.0,,1.0,1.0,1.0,,,,1.0,0.06666666666666667,,0.02564102564102564,,,1.0,3.0,1.0,2.0,1.0,3.0,,2.0,,,,,1.0,,,,,0.3333333333333333,0.5,0.5,,0.5,0.5,,,1.0,1.0,,0.25,0.3333333333333333,1.0,0.043478260869565216,0.08333333333333333,1.0,True,,,,,,,,,,
201563,1610612748,Michael Beasley,Michael Beasley,201563,MIA,155.0,3,,6,5,,5,2,11,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,1.0,2.0,,,,2.0,7,1.0,1.0,2.0,,,,,,,2.0,,2.0,,,,,,,,,,1.0,,,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,0.5,1.0,,0.5,1.0,,,22.22222222222222,,,,0.5,,0.2,,0.5,,,,,,,0.5,1.0,1.0,,,,,,0.5,,,,,,,,,1.0,1.0,,,,,0.5,,0.5211,,,,,1.0,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
2547,1610612748,Chris Bosh,Chris Bosh,2547,MIA,6646.0,111,-41.0,182,201,23.0,35,21,383,7.0,8.0,1.0,1.0,,,1.0,5.0,8.0,6.0,8.0,,1.0,5.0,,11.0,21.0,7.0,13.0,3.0,46.0,228,1.0,1.0,2.0,,,,2.0,2.0,16.0,6.0,21.0,2.0,5.0,1.0,2.0,,2.0,,1.0,,4.0,,1.0,2.0,11.0,13.0,1.0,14,4.0,2.0,2.0,,,,3.0,7.0,,4.0,,4.0,2.0,2.0,2.0,2.0,1.0,2.0,23.0,,0.7272727272727273,0.8,1.0,0.5384615384615384,0.5384615384615384,0.5238095238095238,1.0,,0.6323529411764706,1.0,,0.6388888888888888,1.0,1.0,0.38235294117647056,17.5609756097561,0.16923076923076924,0.01694915254237288,0.06060606060606061,,0.1326530612244898,0.012658227848101266,,,0.11538461538461539,0.24,0.14285714285714285,0.08695652173913043,,0.5,0.23529411764705882,0.875,1.0,0.7142857142857143,0.14705882352941177,0.2,0.2,,0.23529411764705882,0.23529411764705882,0.75,0.75,1.0,0.14705882352941177,0.2,0.2,1.0,1.0,1.0,,,,,0.6176470588235294,0.2,0.5065220588235294,0.639,,0.05555555555555555,0.08695652173913043,0.043478260869565216,0.043478260869565216,9.004761904761905,24.299999999999997,0.12637362637362637,,,1.0,,1.0,,,,,,,,0.047619047619047616,,,,,,1.0,,,1.0,,,,1.0,,,0.125,0.06666666666666667,,,0.06666666666666667,,3.0,,,,,,,,,,,,,,,,,0.375,0.375,1.0,,,,,,,,,,,,,,True,,,,,,,,,,
