EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SecondChanceTurnovers,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,OffensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,LongMidRangeFGM,LongMidRangeFGA,PenaltyArc3FGA,PenaltyFG3A,Charge Fouls Drawn,Loose Ball Fouls Drawn,DefAtRimReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3Frequency,PenaltyCorner3FGA,LongMidRangeAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,PenaltyCorner3Frequency,PenaltyTurnovers,NonShootingPenaltyNonTakeFouls,SelfOReb,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Charge Fouls,Loose Ball Fouls,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,SelfORebPct,Corner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,Technical Free Throw Trips,SecondChanceFg3Pct,PenaltyFg3Pct,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,on,SecondChanceCorner3FGM,SecondChanceCorner3FGA,HeaveAttempts,FTOffRebounds,Travels,Offensive Fouls Drawn,BlockingFoulsDrawn,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockingFouls,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,LongMidRangePctBlocked,PenaltyCorner3FGM,Fg3aBlocked,Blocked3s,BlockedArc3,BlockedLongMidRange,FG3APctBlocked,Arc3PctBlocked,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,Corner3PctBlocked
201978,1610612750,Chase Budinger,Chase Budinger,201978,MIN,1804.0,30,8,58,59,14.0,22.0,7.0,117,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,7.0,60,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,14.0,0.5,0.5,1.0,0.5,0.5,0.5,0.5833333333333334,0.5833333333333334,0.3333333333333333,0.25,0.5,11.940298507462686,0.5,0.25,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.09090909090909091,0.25,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.5191333333333333,0.6701,4.875,25.75,0.2413793103448276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202620,1610612750,Arinze Onuaku,Arinze Onuaku,202620,MIN,4095.0,68,-18,133,136,35.0,48.0,18.0,269,10.0,4.0,3.0,4.0,,,,12.0,14.0,,,27.0,170,5.0,18.0,6.0,,,,1.0,2.0,4.0,1.0,10.0,3.0,7.0,4.0,14.0,21.0,1.0,1.0,,,2.0,2.0,4.0,6.0,3.0,1.0,3.0,2.0,35.0,0.75,0.9,,,,0.8571428571428571,0.8571428571428571,0.75,,0.07142857142857142,0.1,12.82051282051282,,0.5,0.16279069767441862,0.14285714285714285,0.15625,0.23529411764705882,0.2,0.1111111111111111,0.6666666666666666,0.7142857142857143,0.2857142857142857,0.75,0.75,0.6666666666666666,,,,,,0.8,0.7142857142857143,,0.6011928571428571,0.61976,2.357142857142857,,0.2631578947368421,9.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,9.0,5.0,1.0,11.0,4.0,2.0,1.0,1.0,1.0,1.0,6.0,7.0,1.0,1.0,4.0,8.0,3.0,1.0,2.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,0.75,0.7857142857142857,0.13636363636363635,0.05555555555555555,0.11290322580645161,0.14285714285714285,0.1875,0.07142857142857142,0.06666666666666667,0.16666666666666666,0.9,1.0,0.7777777777777778,1.0,1.0,0.3333333333333333,1.0,0.6486,0.17647058823529413,0.17647058823529413,0.3333333333333333,0.4074074074074074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203133,1610612750,Robbie Hummel,Robbie Hummel,203133,MIN,2508.0,42,-21,78,82,21.0,31.0,13.0,160,1.0,1.0,,,,1.0,4.0,5.0,9.0,1.0,4.0,13.0,107,4.0,10.0,,3.0,4.0,1.0,,1.0,1.0,,2.0,1.0,8.0,1.0,10.0,12.0,,,,,,,4.0,6.0,,,,,21.0,1.0,1.0,1.0,0.25,0.25,0.5555555555555556,0.5,0.5,0.3076923076923077,,,13.68421052631579,,0.25,0.2857142857142857,0.09090909090909091,0.23076923076923078,0.2727272727272727,0.3333333333333333,0.2,,0.07692307692307693,,,,,,0.3076923076923077,0.25,0.25,1.0,0.2,0.38461538461538464,0.25,0.4701076923076923,0.49214,17.21111111111111,25.025000000000002,0.2692307692307692,,,1.0,,,,1.0,,,1.0,,2.0,,,,,1.0,1.0,1.0,2.0,,,2.0,,,,,,2.0,,,0.25,,0.2,,0.2,0.038461538461538464,0.08333333333333333,0.05263157894736842,,0.1111111111111111,,0.09090909090909091,,,,,1.0,,,,,,,,0.15384615384615385,5.0,8.0,1.0,1.0,1.0,1.0,0.25,0.6153846153846154,0.625,0.625,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203485,1610612750,Lorenzo Brown,Lorenzo Brown,203485,MIN,2381.0,40,-8,76,77,14.0,25.0,11.0,153,4.0,,2.0,2.0,1.0,1.0,1.0,4.0,8.0,1.0,2.0,11.0,90,1.0,4.0,4.0,3.0,1.0,1.0,1.0,5.0,8.0,2.0,19.0,3.0,3.0,,6.0,8.0,2.0,1.0,,,3.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,14.0,0.5,0.5,1.0,0.5,0.5,0.5,0.55,0.55,0.2,0.125,0.25,14.606741573033707,,,0.13636363636363635,0.21428571428571427,0.16666666666666666,0.125,0.125,0.16666666666666666,1.0,0.4,0.2,1.0,1.0,0.5,0.1,0.1,1.0,1.0,1.0,,0.6,1.0,0.5348550000000001,0.4027,8.1125,24.049999999999997,0.18421052631578946,2.0,,1.0,,,,1.0,,,1.0,,2.0,,3.0,2.0,1.0,2.0,1.0,1.0,2.0,,,1.0,,,,,,2.0,,,1.0,,0.5,,0.5,0.043478260869565216,0.08333333333333333,0.05714285714285714,,0.125,,0.1,0.25,0.5,0.6666666666666666,0.5,1.0,,,,0.563,,,,0.18181818181818182,,2.0,,1.0,,,0.16666666666666666,0.2,,,,,1.0,1.0,1.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203897,1610612750,Zach LaVine,Zach LaVine,203897,MIN,2928.0,49,-4,95,99,27.0,41.0,12.0,194,5.0,1.0,1.0,7.0,1.0,1.0,5.0,7.0,17.0,1.0,6.0,25.0,121,2.0,6.0,8.0,3.0,5.0,1.0,,14.0,17.0,1.0,37.0,2.0,3.0,,5.0,5.0,1.0,,2.0,2.0,1.0,3.0,3.0,6.0,1.0,,1.0,,27.0,0.42857142857142855,0.42857142857142855,1.0,0.16666666666666666,0.16666666666666666,0.4117647058823529,0.3695652173913043,0.44642857142857145,0.2608695652173913,,,27.927927927927925,0.6666666666666666,,0.08823529411764706,0.13333333333333333,0.10204081632653061,0.07142857142857142,0.2,0.16666666666666666,,0.21739130434782608,0.30434782608695654,0.14285714285714285,0.14285714285714285,,0.043478260869565216,0.21739130434782608,0.2,0.2,1.0,0.25,0.4782608695652174,0.2,0.4714782608695652,0.49154999999999993,9.447058823529412,24.96666666666667,0.28421052631578947,4.0,,,1.0,8.0,,,,,2.0,2.0,6.0,,3.0,3.0,,7.0,,,,,,6.0,10.0,5.0,,1.0,,6.0,,,1.0,,0.5,,0.6,,,,,,,,0.1111111111111111,0.8,0.8,0.75,,,,1.0,,0.17857142857142858,0.22727272727272727,,0.24,2.0,5.0,1.0,2.0,,,,0.21739130434782608,0.4,0.4,,0.25,1.0,6.0,1.0,1.0,,0.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203952,1610612750,Andrew Wiggins,Andrew Wiggins,203952,MIN,3455.0,58,-17,113,114,30.0,39.0,15.0,227,8.0,3.0,3.0,7.0,,,4.0,10.0,19.0,,4.0,29.0,142,6.0,8.0,12.0,,4.0,,1.0,2.0,2.0,1.0,4.0,2.0,4.0,,6.0,12.0,,,4.0,1.0,3.0,7.0,,4.0,1.0,1.0,1.0,,30.0,0.4,0.5,,,,0.5263157894736842,0.43478260869565216,0.5370370370370371,0.17391304347826086,0.05263157894736842,,25.563909774436087,0.5714285714285714,,0.10526315789473684,0.10526315789473684,0.10526315789473684,,0.15384615384615385,0.125,,0.34782608695652173,0.30434782608695654,0.42857142857142855,0.5,0.6666666666666666,,0.17391304347826086,,,,0.42857142857142855,0.5217391304347826,,0.4640239130434783,0.4669785714285714,7.3842105263157904,25.275,0.26548672566371684,6.0,3.0,4.0,2.0,9.0,3.0,5.0,4.0,10.0,3.0,2.0,8.0,4.0,,,,1.0,1.0,5.0,6.0,,,8.0,11.0,7.0,,,,8.0,,0.6,0.5,0.6,0.42857142857142855,0.7142857142857143,0.5,0.1282051282051282,0.06666666666666667,0.1111111111111111,0.16666666666666666,0.07142857142857142,0.15384615384615385,0.08333333333333333,0.09090909090909091,0.75,0.75,0.3333333333333333,0.8,0.75,,0.6666666666666666,0.5422750000000001,0.25925925925925924,0.30434782608695654,0.3448275862068966,0.27586206896551724,1.0,4.0,1.0,1.0,,,0.18181818181818182,0.17391304347826086,0.25,0.25,,0.14285714285714285,,,,1.0,,,3.0,,1.0,1.0,3.0,1.0,2.0,3.0,0.14285714285714285,0.08333333333333333,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2755,1610612750,Kevin Martin,Kevin Martin,2755,MIN,2233.0,37,-16,77,76,24.0,30.0,11.0,153,3.0,1.0,2.0,7.0,2.0,3.0,6.0,6.0,15.0,5.0,8.0,35.0,107,5.0,4.0,8.0,12.0,6.0,3.0,,1.0,2.0,,5.0,2.0,,1.0,3.0,4.0,2.0,2.0,2.0,1.0,,2.0,4.0,5.0,,,,,24.0,0.3333333333333333,0.3333333333333333,0.8,0.625,0.625,0.4,0.5869565217391305,0.6538461538461539,0.34782608695652173,,,31.11111111111111,1.0,0.25,,0.18181818181818182,0.06666666666666667,,,0.2,,0.13043478260869565,0.30434782608695654,0.2857142857142857,0.2857142857142857,,0.08695652173913043,0.2608695652173913,0.5,0.5,0.6666666666666666,0.1111111111111111,0.4782608695652174,0.5,0.4569934782608696,0.46325,11.106666666666666,24.85,0.3116883116883117,1.0,,2.0,,8.0,,2.0,,3.0,1.0,3.0,11.0,,1.0,1.0,,1.0,1.0,,1.0,,,5.0,9.0,4.0,1.0,,,11.0,1.0,,0.2,0.375,0.4444444444444444,0.375,0.5,,0.08333333333333333,0.02631578947368421,,,,,0.16666666666666666,0.3333333333333333,0.3333333333333333,,0.5,,,,0.531,0.16,0.23529411764705882,0.08571428571428572,0.3142857142857143,3.0,5.0,4.0,4.0,,,,0.21739130434782608,0.6,0.6,0.6666666666666666,0.4444444444444444,,,,,,,,,,,1.0,,,2.0,,,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,1.0,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203461,1610612750,Anthony Bennett,Anthony Bennett,203461,MIN,660.0,11,-3,21,22,10.0,4.0,3.0,43,4.0,1.0,,,,1.0,2.0,1.0,4.0,1.0,2.0,5.0,29,1.0,2.0,,3.0,2.0,1.0,2.0,1.0,1.0,,2.0,,1.0,,1.0,3.0,1.0,1.0,,,2.0,2.0,,1.0,,,,,10.0,1.0,1.0,1.0,0.5,0.5,0.25,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.5,0.5,32.0,,,0.2,,0.14285714285714285,0.25,,,,0.6666666666666666,,,,,,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,1.0,0.5,0.5950333333333333,0.5130666666666667,1.525,25.2,0.47619047619047616,1.0,,2.0,,,,2.0,,,,,3.0,,,,,1.0,,2.0,2.0,,1.0,,,,,,,3.0,,,,,0.5,,0.5,0.25,,0.2,0.16666666666666666,,0.5,,,0.25,0.5,1.0,1.0,,,,0.55565,,,,0.6,,,2.0,2.0,,,,,,,,0.6666666666666666,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,,,0.5,,,,,,,,0.5,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203940,1610612750,Adreian Payne,Adreian Payne,203940,MIN,411.0,7,-11,14,15,,,,29,,,,,,,,,1.0,,,,24,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,7.142857142857142,,,,,,,,,,,,,,,,,,,,,,,0.4179,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101142,1610612750,Ronny Turiaf,Ronny Turiaf,101142,MIN,1162.0,19,-8,40,43,27.0,5.0,2.0,83,,,,,,,,,,,,,48,,,,,,,,2.0,2.0,,4.0,,,1.0,1.0,1.0,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.675,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,
