EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Charge Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Charge Fouls,Offensive Fouls Drawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3FGM,LostBallOutOfBoundsTurnovers,BlockingFoulsDrawn,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceFtPoints,PtsUnassisted3s,StepOutOfBoundsTurnovers,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceAtRimFGM,SecondChanceCorner3FGM,PtsPutbacks,Loose Ball Fouls Drawn,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,FTOffRebounds,Technical Free Throw Trips,OffFTReboundPct,Blocked3s,BlockedArc3,BlockedLongMidRange,LongMidRangePctBlocked,DefensiveGoaltends,3SecondViolations,on,Defensive 3 Seconds Violations,Corner3PctBlocked,OffensiveGoaltends,BlockedCorner3,Clear Path Fouls
101112,1610612739,Channing Frye,Channing Frye,101112,CLE,13863.0,231,-41.0,444,450,99.0,75.0,34.0,894,8.0,14.0,2.0,1.0,2.0,5.0,10.0,5.0,12.0,6.0,13.0,2.0,19.0,45.0,3.0,3.0,5.0,9.0,18.0,36.0,25.0,58.0,6.0,117.0,513,3.0,7.0,3.0,3.0,15.0,3.0,7.0,5.0,11.0,2.0,23.0,24.0,12.0,75.0,1.0,44.0,19.0,3.0,7.0,5.0,12.0,3.0,2.0,4.0,1.0,2.0,29.0,1.0,5.0,10.0,20.0,2.0,32.0,6.0,38.0,1.0,5.0,2.0,3.0,5.0,1.0,3.0,5.0,2.0,1.0,10.0,1.0,1.0,16.0,1.0,26.0,1.0,3.0,15.0,1.0,7.0,3.0,4.0,1.0,5.0,3.0,2.0,5.0,1.0,21.0,98.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.4310344827586206,1.0,0.4545454545454545,0.4385964912280701,0.5,0.4285714285714285,0.4285714285714285,0.5904255319148937,0.75,0.5833333333333334,0.609375,0.75,0.6052631578947368,0.6170212765957447,0.0833333333333333,0.2142857142857142,21.90082644628099,0.5,0.1176470588235294,0.1481481481481481,0.0485436893203883,0.131578947368421,0.010752688172043,0.1421800947867298,0.0306122448979591,0.0888888888888888,0.03125,0.0138888888888888,0.2352941176470588,0.0967741935483871,0.0943396226415094,0.1272727272727272,0.1428571428571428,0.0217391304347826,0.2,0.1489361702127659,0.5714285714285714,0.7272727272727273,0.75,0.1063829787234042,0.5,0.5,0.4,0.1276595744680851,0.4166666666666667,0.4166666666666667,0.8,0.1382978723404255,0.4615384615384615,0.4615384615384615,1.0,0.4787234042553192,0.4222222222222222,0.4222222222222222,1.0,0.2,0.3,1.0,1.0,0.1111111111111111,0.5,0.1111111111111111,0.5,0.5555555555555556,0.7659574468085106,0.4318181818181818,0.5271804347826088,0.4590999999999999,0.5136499999999999,0.0421052631578947,0.1081081081081081,0.1282051282051282,0.1965811965811965,8.725000000000001,25.591379310344827,0.2229729729729729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
101114,1610612739,Deron Williams,Deron Williams,101114,CLE,2020.0,34,12.0,63,64,17.0,16.0,4.0,127,1.0,1.0,,,,2.0,5.0,2.0,7.0,,,,,3.0,,,,,5.0,13.0,,3.0,5.0,15.0,52,,,,,,1.0,4.0,,,5.0,7.0,,10.0,,,3.0,,,8.0,3.0,11.0,3.0,,3.0,1.0,4.0,25.0,,,3.0,2.0,,5.0,,5.0,,,,,2.0,,2.0,1.0,,,3.0,,1.0,3.0,,5.0,,,5.0,,5.0,1.0,2.0,1.0,,,,,,7.0,17.0,,,,,,,,,0.3846153846153846,,0.25,0.3125,,0.25,0.4166666666666667,,0.5833333333333334,0.1875,,,30.882352941176467,0.6666666666666666,,0.1428571428571428,,0.1578947368421052,,0.1515151515151515,,,,,0.25,0.3333333333333333,,0.1333333333333333,0.25,,,0.0625,1.0,1.0,,0.3125,0.4,0.4,,0.4375,0.2857142857142857,0.2857142857142857,,,,,,0.1875,,,,,,,,,,,,,0.25,,0.428828125,,0.3702,0.1176470588235294,0.1428571428571428,,0.4666666666666667,12.930769230769233,24.933333333333334,0.2698412698412698,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
202682,1610612739,Derrick Williams,Derrick Williams,202682,CLE,6093.0,102,-31.0,197,200,80.0,78.0,12.0,397,4.0,7.0,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,,,1.0,1.0,7.0,11.0,4.0,8.0,9.0,35.0,206,1.0,1.0,,,2.0,3.0,3.0,2.0,4.0,1.0,13.0,8.0,6.0,12.0,,4.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,1.0,,5.0,6.0,1.0,12.0,1.0,13.0,,,,,3.0,1.0,2.0,2.0,1.0,,5.0,,1.0,2.0,,5.0,,,7.0,,12.0,,6.0,,,,,,,13.0,79.0,,0.5714285714285714,0.5714285714285714,1.0,0.5,,0.5,0.5,0.6363636363636364,1.0,1.0,0.6842105263157895,1.0,0.8571428571428571,0.7,1.0,0.8125,0.4210526315789473,0.0909090909090909,0.1428571428571428,14.354066985645934,0.6,0.125,0.109090909090909,,0.131578947368421,0.0454545454545454,0.1182795698924731,0.0116279069767441,,,0.0555555555555555,,,0.25,0.125,0.1666666666666666,,,0.3684210526315789,0.5714285714285714,0.6666666666666666,0.75,0.1578947368421052,0.6666666666666666,0.6666666666666666,0.5,0.0526315789473684,1.0,1.0,,0.2105263157894736,0.25,0.25,1.0,0.2105263157894736,0.75,0.75,1.0,,,,,0.1428571428571428,1.0,0.4285714285714285,0.1428571428571428,1.0,0.7894736842105263,0.75,0.5659526315789474,0.3883,0.5160571428571429,0.24,0.3529411764705882,0.0571428571428571,0.3714285714285714,4.245454545454546,24.062500000000004,0.4060913705583756,,,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
202697,1610612739,Iman Shumpert,Iman Shumpert,202697,CLE,10401.0,173,1.0,350,354,109.0,124.0,29.0,704,7.0,9.0,,1.0,3.0,,4.0,6.0,15.0,1.0,7.0,,6.0,11.0,1.0,2.0,,,13.0,28.0,7.0,18.0,10.0,57.0,367,,,1.0,3.0,4.0,3.0,12.0,,,6.0,12.0,6.0,20.0,15.0,,11.0,6.0,1.0,12.0,3.0,15.0,,3.0,7.0,2.0,3.0,33.0,2.0,1.0,9.0,11.0,,20.0,3.0,23.0,,4.0,2.0,2.0,4.0,2.0,4.0,5.0,,,9.0,1.0,3.0,7.0,,14.0,,,12.0,,13.0,1.0,5.0,2.0,3.0,3.0,,3.0,1.0,12.0,109.0,2.0,0.2307692307692307,0.2307692307692307,0.7142857142857143,0.3888888888888889,0.3333333333333333,,0.3888888888888889,0.4642857142857143,,0.25,0.5108695652173914,0.5,0.25,0.5480769230769231,0.5,0.375,0.391304347826087,0.0357142857142857,0.1111111111111111,15.926892950391643,0.4444444444444444,,0.0990990990990991,0.010752688172043,0.1363636363636363,0.0357142857142857,0.1129943502824858,0.0201342281879194,,0.0256410256410256,0.0277777777777777,0.0833333333333333,0.0606060606060606,0.1428571428571428,0.1568627450980392,0.0666666666666666,,0.3333333333333333,0.1956521739130435,0.7777777777777778,0.875,0.1428571428571428,0.0869565217391304,,,,0.3260869565217391,0.4,0.4,0.3333333333333333,0.1521739130434782,0.1428571428571428,0.1428571428571428,1.0,0.2391304347826087,0.5454545454545454,0.5454545454545454,0.6666666666666666,,0.6666666666666666,0.5,1.0,0.25,0.3333333333333333,,,,0.5869565217391305,0.5454545454545454,0.4922304347826086,0.5835,0.4247833333333333,0.1,0.15625,0.0701754385964912,0.2105263157894736,11.517857142857142,25.14444444444444,0.3114285714285714,1.0,2.0,2.0,,,,,1.0,1.0,6.0,1.0,0.05,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
202732,1610612739,DeAndre Liggins,DeAndre Liggins,202732,CLE,45108.0,752,47.0,1489,1508,420.0,351.0,155.0,2997,31.0,63.0,5.0,12.0,21.0,1.0,12.0,3.0,16.0,13.0,28.0,8.0,4.0,17.0,,,1.0,5.0,35.0,91.0,17.0,45.0,23.0,144.0,1605,3.0,8.0,2.0,2.0,14.0,13.0,37.0,6.0,13.0,8.0,52.0,32.0,38.0,48.0,2.0,15.0,4.0,15.0,28.0,26.0,54.0,19.0,7.0,21.0,6.0,1.0,134.0,5.0,12.0,38.0,45.0,1.0,84.0,17.0,101.0,1.0,45.0,22.0,23.0,17.0,6.0,14.0,25.0,3.0,6.0,42.0,2.0,14.0,36.0,4.0,78.0,1.0,1.0,45.0,3.0,37.0,5.0,17.0,4.0,14.0,8.0,6.0,14.0,2.0,52.0,419.0,10.0,0.4571428571428571,0.4705882352941176,0.9411764705882352,0.3777777777777777,1.0,0.4615384615384615,0.3953488372093023,0.3846153846153846,0.375,0.3513513513513513,0.4448529411764705,0.6,0.44,0.4736842105263157,0.6363636363636364,0.4642857142857143,0.3308823529411764,0.1648351648351648,0.1428571428571428,11.568276684555755,0.4047619047619047,0.025,0.1018099547511312,0.0289156626506024,0.1423220973782771,0.0193050193050193,0.1170662905500705,0.0252225519287833,0.0240963855421686,0.040983606557377,0.0171428571428571,0.0891719745222929,0.0575539568345323,0.1575342465753424,0.145,0.1343283582089552,0.0153846153846153,0.1428571428571428,0.4632352941176471,0.492063492063492,0.5740740740740741,0.4838709677419355,0.088235294117647,0.0833333333333333,0.1666666666666666,,0.1176470588235294,0.1875,0.1875,0.3333333333333333,0.2058823529411764,0.4642857142857143,0.4642857142857143,1.0,0.125,0.2352941176470588,0.2352941176470588,0.75,0.5,,,,0.42,0.5714285714285714,0.16,0.1,0.2,0.7941176470588235,0.2666666666666666,0.5534776119402984,0.4886428571428571,0.5156875,0.1148648648648648,0.1650485436893204,0.0972222222222222,0.3611111111111111,5.406593406593408,24.857777777777788,0.2820685023505708,5.0,9.0,4.0,5.0,3.0,1.0,0.625,2.0,2.0,3.0,3.0,0.0238095238095238,0.2,3.0,2.0,2.0,1.0,0.5,0.0236220472440944,0.6,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,True,,,,,
2210,1610612739,Richard Jefferson,Richard Jefferson,2210,CLE,16140.0,269,-76.0,531,537,179.0,162.0,45.0,1068,15.0,22.0,3.0,5.0,5.0,3.0,7.0,1.0,8.0,9.0,16.0,5.0,3.0,17.0,,,3.0,6.0,19.0,37.0,12.0,33.0,10.0,84.0,617,2.0,3.0,1.0,2.0,8.0,9.0,11.0,6.0,11.0,3.0,39.0,24.0,14.0,33.0,,17.0,3.0,4.0,9.0,5.0,14.0,4.0,1.0,6.0,1.0,2.0,33.0,5.0,1.0,7.0,12.0,3.0,22.0,6.0,28.0,,4.0,3.0,1.0,4.0,2.0,3.0,7.0,1.0,1.0,11.0,,2.0,19.0,3.0,39.0,,3.0,19.0,,17.0,2.0,7.0,2.0,,,,,,39.0,178.0,5.0,0.631578947368421,0.631578947368421,0.9166666666666666,0.3636363636363636,0.5,0.5454545454545454,0.3636363636363636,0.5135135135135135,0.6666666666666666,0.8181818181818182,0.5285714285714286,0.7,0.8181818181818182,0.5454545454545454,0.6666666666666666,0.78,0.4714285714285714,0.1081081081081081,0.0909090909090909,14.915254237288137,0.3636363636363636,0.2,0.0794701986754966,0.0068965517241379,0.0760869565217391,0.0531914893617021,0.0781893004115226,0.0251046025104602,,,0.0571428571428571,0.0357142857142857,0.1666666666666666,0.0566037735849056,0.0845070422535211,0.0476190476190476,,,0.3142857142857143,0.6818181818181818,0.75,0.6666666666666666,0.1,0.4285714285714285,0.6,0.3333333333333333,0.1142857142857142,0.125,0.125,1.0,0.2285714285714285,0.5625,0.5625,1.0,0.2428571428571428,0.1764705882352941,0.1875,0.6666666666666666,0.6,,,,0.2272727272727272,1.0,0.2272727272727272,0.2727272727272727,0.5,0.7857142857142857,0.1764705882352941,0.5311835714285714,0.6378874999999999,0.5063090909090909,0.1066666666666666,0.1666666666666666,0.0952380952380952,0.4642857142857143,6.48108108108108,24.77575757575758,0.3370998116760829,,2.0,2.0,3.0,,,0.6,2.0,1.0,3.0,1.0,0.0416666666666666,0.4,2.0,1.0,,2.0,0.2857142857142857,0.0222222222222222,0.6666666666666666,0.5,0.5,1.0,1.0,1.0,1.0,0.0303030303030303,0.0588235294117647,0.0303030303030303,,,,,,,,,,True,,,,,
2592,1610612739,James Jones,James Jones,2592,CLE,7780.0,130,-55.0,261,264,135.0,138.0,15.0,525,1.0,1.0,,,,1.0,2.0,2.0,3.0,2.0,3.0,2.0,10.0,15.0,,,7.0,8.0,4.0,6.0,12.0,18.0,5.0,49.0,279,,,,,1.0,2.0,3.0,9.0,10.0,3.0,34.0,4.0,4.0,33.0,,15.0,10.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,5.0,,,3.0,8.0,3.0,14.0,,14.0,,1.0,1.0,,3.0,,2.0,1.0,1.0,,4.0,,3.0,3.0,1.0,12.0,1.0,1.0,3.0,,7.0,,,2.0,2.0,2.0,,2.0,2.0,34.0,134.0,3.0,0.5,0.5,0.9166666666666666,0.6666666666666666,,0.9,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.9166666666666666,,1.1923076923076923,0.9074074074074074,0.5,1.1333333333333333,0.75,0.1666666666666666,,11.1913357400722,0.75,0.3,0.1212121212121212,,0.06,,0.0948275862068965,,,,,0.0476190476190476,0.1,0.2,0.0652173913043478,,,1.0,0.0416666666666666,1.0,1.0,,0.0833333333333333,0.5,1.0,1.0,0.125,0.6666666666666666,0.6666666666666666,0.5,0.125,0.6666666666666666,0.6666666666666666,1.0,0.625,0.6666666666666666,0.6666666666666666,0.9,,,,,,,0.1538461538461538,0.6153846153846154,0.875,0.7916666666666666,0.6666666666666666,0.4894270833333332,,0.4550461538461539,0.04,,0.0204081632653061,0.6938775510204082,13.35,25.25,0.5172413793103449,,,2.0,2.0,,,1.0,,1.0,3.0,,,,,,,1.0,0.5,,,,,,,,1.0,,,0.0526315789473684,,,,,,,,,,True,,,,,
2544,1610612739,LeBron James,LeBron James,2544,CLE,26388.0,440,118.0,863,872,152.0,84.0,101.0,1735,66.0,91.0,6.0,20.0,24.0,14.0,45.0,12.0,28.0,3.0,6.0,1.0,21.0,53.0,1.0,6.0,1.0,8.0,92.0,164.0,24.0,59.0,62.0,318.0,915,4.0,14.0,1.0,7.0,16.0,23.0,33.0,1.0,9.0,26.0,75.0,78.0,106.0,21.0,,53.0,21.0,10.0,44.0,52.0,96.0,28.0,24.0,32.0,7.0,5.0,244.0,6.0,10.0,33.0,36.0,3.0,72.0,17.0,89.0,2.0,14.0,9.0,5.0,29.0,13.0,23.0,24.0,6.0,2.0,53.0,5.0,9.0,4.0,,15.0,,3.0,80.0,2.0,87.0,13.0,41.0,6.0,7.0,6.0,1.0,7.0,5.0,75.0,152.0,,0.4239130434782608,0.4239130434782608,0.2916666666666667,0.4067796610169492,0.1428571428571428,0.1111111111111111,0.4067796610169492,0.5609756097560976,0.2857142857142857,0.696969696969697,0.5739910313901345,0.2619047619047619,0.5833333333333334,0.6124031007751938,0.32,0.6607142857142857,0.2645739910313901,0.0609756097560975,0.0989010989010989,31.445904954499493,0.5471698113207547,0.2,0.1384615384615384,0.0460829493087557,0.1976047904191616,0.0338983050847457,0.1615925058548009,0.0406091370558375,0.075268817204301,,0.0258620689655172,0.0769230769230769,0.1444444444444444,0.2025316455696202,0.2368421052631578,0.1132075471698113,0.0208333333333333,0.7142857142857143,0.4080717488789238,0.7252747252747253,0.8048780487804879,0.5,0.2017937219730941,0.3111111111111111,0.3181818181818182,0.3571428571428571,0.1255605381165919,0.4285714285714285,0.4285714285714285,0.0833333333333333,0.0269058295964125,0.5,0.5,0.3333333333333333,0.2376681614349775,0.3962264150943396,0.3962264150943396,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.1666666666666666,,0.5714285714285714,0.8333333333333334,0.0238095238095238,0.1904761904761904,0.125,0.672645739910314,0.3962264150943396,0.5408479820627803,0.5178821428571428,0.5522273809523809,0.1666666666666666,0.2135416666666666,0.050314465408805,0.2358490566037736,6.21890243902439,25.89661016949153,0.1761297798377752,3.0,2.0,6.0,,2.0,4.0,,1.0,5.0,51.0,,0.0491803278688524,0.0476190476190476,2.0,,,3.0,0.0222222222222222,0.0394736842105263,0.3333333333333333,1.0,,,,,1.0,,,0.0166666666666666,1.0,3.0,0.04,,,,,,,True,,,,,
1627770,1610612739,Kay Felder,Kay Felder,1627770,CLE,5001.0,83,-29.0,173,175,74.0,105.0,10.0,348,8.0,17.0,,2.0,6.0,2.0,4.0,8.0,22.0,,,,,3.0,,,,1.0,18.0,43.0,,3.0,9.0,45.0,197,,,,,,6.0,17.0,,1.0,3.0,15.0,8.0,28.0,,,3.0,,4.0,7.0,11.0,18.0,5.0,6.0,5.0,,2.0,47.0,,,2.0,3.0,2.0,7.0,,7.0,,3.0,2.0,1.0,3.0,,3.0,6.0,,4.0,9.0,,2.0,2.0,,6.0,,,7.0,,12.0,,4.0,2.0,1.0,,,2.0,2.0,15.0,74.0,2.0,0.2222222222222222,0.2222222222222222,,,,,,0.4186046511627907,,0.3529411764705882,0.391304347826087,,0.3333333333333333,0.4326923076923077,,0.3571428571428571,0.0652173913043478,0.0930232558139534,0.1764705882352941,33.15217391304348,0.3333333333333333,0.2222222222222222,0.0789473684210526,,0.0714285714285714,,0.0757575757575757,,,,,0.0769230769230769,,0.125,0.0384615384615384,0.5,,1.0,0.3695652173913043,0.4705882352941176,0.5714285714285714,0.5,0.0869565217391304,0.5,0.6666666666666666,,0.4782608695652174,0.3636363636363636,0.3636363636363636,,,,,,0.0652173913043478,,,,,,,,0.3333333333333333,0.3333333333333333,,0.0555555555555555,,0.4347826086956521,,0.476425,,0.4312333333333333,0.08,0.0851063829787234,,0.3333333333333333,10.504651162790696,24.866666666666664,0.4277456647398844,2.0,,2.0,,,1.0,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,True,,,,,
201567,1610612739,Kevin Love,Kevin Love,201567,CLE,21404.0,357,177.0,720,722,149.0,107.0,93.0,1442,22.0,40.0,18.0,9.0,11.0,15.0,34.0,9.0,24.0,18.0,43.0,5.0,25.0,60.0,4.0,5.0,3.0,9.0,46.0,98.0,43.0,103.0,60.0,281.0,716,12.0,21.0,7.0,14.0,51.0,13.0,20.0,7.0,14.0,29.0,76.0,52.0,40.0,123.0,,60.0,25.0,10.0,14.0,6.0,20.0,2.0,4.0,12.0,2.0,,46.0,4.0,17.0,30.0,55.0,6.0,91.0,22.0,113.0,3.0,8.0,6.0,2.0,14.0,3.0,8.0,7.0,6.0,1.0,21.0,2.0,3.0,7.0,2.0,10.0,,2.0,42.0,1.0,68.0,4.0,24.0,8.0,2.0,2.0,,2.0,1.0,76.0,149.0,1.0,0.5652173913043478,0.6666666666666666,0.9534883720930232,0.4174757281553398,0.5,0.5,0.4174757281553398,0.4693877551020408,0.5714285714285714,0.65,0.5497512437810945,0.6428571428571429,0.6911764705882353,0.6038961038961039,0.6538461538461539,0.7708333333333334,0.5124378109452736,0.1020408163265306,0.175,30.215827338129497,0.6666666666666666,0.5,0.2582159624413145,0.086734693877551,0.2307692307692307,0.0303030303030303,0.2478134110787172,0.0640243902439024,0.08,0.0833333333333333,0.0253164556962025,0.3134328358208955,0.2183908045977011,0.2542372881355932,0.1914893617021276,0.3333333333333333,0.0297029702970297,0.5,0.1990049751243781,0.55,0.6666666666666666,0.5454545454545454,0.1691542288557214,0.4411764705882353,0.4838709677419355,0.5333333333333333,0.1194029850746268,0.375,0.375,0.6666666666666666,0.2139303482587064,0.4186046511627907,0.4186046511627907,0.9444444444444444,0.2985074626865671,0.4166666666666667,0.4166666666666667,0.96,0.5142857142857142,0.1428571428571428,0.8,1.0,0.3235294117647059,0.8181818181818182,0.1470588235294117,0.2647058823529412,0.3333333333333333,0.7114427860696517,0.4166666666666667,0.5378843283582089,0.5491630434782608,0.5490529411764706,0.116591928251121,0.2033898305084746,0.1814946619217081,0.2704626334519573,7.536734693877553,24.61359223300971,0.2069444444444444,,,8.0,4.0,1.0,1.0,0.8,9.0,6.0,6.0,,0.0377358490566037,0.2571428571428571,11.0,3.0,14.0,2.0,0.088235294117647,0.0958904109589041,0.6111111111111112,0.2727272727272727,0.3333333333333333,1.0,,,2.0,,,0.019047619047619,1.0,2.0,0.0555555555555555,,,,,,,True,,,,,
