EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,Usage,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,FTOffRebounds,DefTwoPtRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,Loose Ball Fouls,Offensive Fouls,Offensive Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceAtRimFGM,PtsUnassisted3s,HeaveAttempts,Fg3aBlocked,OffThreePtRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,BlockingFouls,Clear Path Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PtsPutbacks,Charge Fouls,OffensiveGoaltends,OffCorner3ReboundPct,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,Arc3PctBlocked,SecondChanceCorner3Frequency,Blocked3s,BlockedCorner3,3SecondViolations,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,on,BlockedArc3
1626199,1610612759,Darrun Hilliard,Darrun Hilliard,1626199,SAS,756.0,13,2,25,24,7.0,10.0,1,49,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,26,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,7.0,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,15.384615384615383,0.125,0.08333333333333333,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.46388333333333337,0.25,0.3333333333333333,0.5,12.049999999999999,22.8,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1627854,1610612759,Bryn Forbes,Bryn Forbes,1627854,SAS,25559.0,426,-10,839,835,177.0,164.0,81,1674,23.0,11.0,23.0,10.0,24.0,57.0,54.0,19.0,148.0,928,7.0,33.0,16.0,9.0,19.0,4.0,47.0,10.0,31.0,33.0,13.0,32.0,15.0,23.0,6.0,33.0,177.0,0.42105263157894735,0.581081081081081,0.6115702479338843,0.6111111111111112,0.4864864864864865,13.807982740021576,0.06896551724137931,0.08051948051948052,0.08403361344537816,0.2072072072072072,0.2072072072072072,0.4782608695652174,0.4782608695652174,0.09009009009009009,0.5855855855855856,0.48782252252252256,0.07563025210084033,0.09523809523809523,0.22297297297297297,10.968421052631578,25.133333333333333,0.21096543504171633,6.0,11.0,1.0,1.0,1.0,7.0,6.0,2.0,4.0,21.0,44.0,1.0,4.0,4.0,8.0,27.0,1.0,4.0,1.0,4.0,1.0,6.0,4.0,12.0,6.0,12.0,32.0,81.0,44.0,21.0,1.0,10.0,5.0,6.0,3.0,1.0,1.0,1.0,21.0,2.0,1.0,10.0,7.0,3.0,3.0,3.0,5.0,2.0,8.0,4.0,3.0,3.0,1.0,3.0,2.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.25,0.5,0.5,0.25,0.3333333333333333,0.3125,0.5416666666666666,0.3333333333333333,0.017543859649122806,0.043478260869565216,0.375,0.04,0.0875,0.0034965034965034965,0.002583979328165375,0.008771929824561403,0.04819277108433735,0.08641975308641975,0.13157894736842105,0.017241379310344827,0.0990990990990991,0.5454545454545454,0.5454545454545454,0.6666666666666666,0.30434782608695654,0.3181818181818182,0.7142857142857143,0.6363636363636364,0.6,0.6,1.0,0.3963963963963964,0.4772727272727273,0.4772727272727273,1.0,0.125,0.5,0.25,1.0,0.041666666666666664,1.0,0.16666666666666666,0.5,0.3333333333333333,0.5,0.4772727272727273,0.42819,0.4784249999999999,0.05357142857142857,0.04054054054054054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1938,1610612759,Manu Ginobili,Manu Ginobili,1938,SAS,24106.0,402,25,816,796,266.0,268.0,92,1612,34.0,5.0,15.0,10.0,38.0,88.0,52.0,37.0,173.0,871,18.0,62.0,36.0,8.0,49.0,5.0,106.0,13.0,40.0,44.0,15.0,40.0,45.0,45.0,12.0,62.0,266.0,0.4318181818181818,0.4857142857142857,0.5283018867924528,0.4915254237288136,0.37142857142857144,21.41304347826087,0.09352517985611511,0.09711286089238845,0.08849557522123894,0.24285714285714285,0.10714285714285714,0.3333333333333333,0.35714285714285715,0.07142857142857142,0.65,0.49897226277372264,0.08609271523178808,0.12244897959183673,0.3583815028901734,6.976136363636365,26.188461538461542,0.32598039215686275,17.0,39.0,3.0,3.0,14.0,16.0,4.0,2.0,4.0,16.0,42.0,,2.0,6.0,18.0,20.0,3.0,7.0,,2.0,,6.0,10.0,27.0,8.0,22.0,40.0,57.0,41.0,16.0,8.0,41.0,3.0,28.0,7.0,6.0,3.0,,24.0,4.0,1.0,17.0,10.0,7.0,30.0,22.0,9.0,1.0,39.0,1.0,1.0,7.0,,1.0,8.0,0.5263157894736842,0.5263157894736842,0.95,0.38461538461538464,,0.36363636363636365,0.39215686274509803,0.42857142857142855,0.37037037037037035,0.3333333333333333,0.4489795918367347,0.3333333333333333,0.09090909090909091,0.058823529411764705,0.7692307692307693,,0.09917355371900827,0.011320754716981131,0.010899182561307902,,0.05333333333333334,0.07317073170731707,0.16470588235294117,0.014492753623188406,0.2785714285714286,0.4358974358974359,0.5,0.6470588235294118,0.47058823529411764,0.5,0.375,0.6,0.4,0.4444444444444444,1.0,0.3,0.38095238095238093,0.38095238095238093,0.9375,0.3333333333333333,0.2222222222222222,,,0.2857142857142857,0.21428571428571427,0.08163265306122448,0.5,0.3673469387755102,0.3333333333333333,0.3902439024390244,0.5064750000000001,0.5028967391304348,0.018867924528301886,0.03468208092485549,2.0,3.0,1.0,1.0,1.0,3.0,4.0,2.0,8.0,1.0,15.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,5.0,3.0,1.0,1.0,5.0,3.0,3.0,7.0,0.019230769230769232,0.1282051282051282,0.06666666666666667,0.1,0.125,0.00980392156862745,0.01,0.02631578947368421,0.014084507042253521,0.11538461538461539,0.6,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,True,
2200,1610612759,Pau Gasol,Pau Gasol,2200,SAS,35237.0,587,18,1158,1147,211.0,175.0,113,2305,47.0,18.0,48.0,16.0,86.0,176.0,34.0,56.0,264.0,1191,17.0,33.0,44.0,11.0,65.0,10.0,141.0,65.0,164.0,213.0,30.0,41.0,64.0,73.0,36.0,33.0,211.0,0.48863636363636365,0.49523809523809526,0.5432098765432098,0.515625,0.1619047619047619,22.0404984423676,0.3125,0.2654109589041096,0.2909090909090909,0.22380952380952382,0.22857142857142856,0.375,0.375,0.0761904761904762,0.5476190476190477,0.4986469047619047,0.1506276150627615,0.17560975609756097,0.125,8.013636363636362,24.373529411764704,0.18221070811744386,52.0,81.0,30.0,7.0,12.0,16.0,5.0,,,7.0,18.0,,1.0,,1.0,12.0,18.0,39.0,,1.0,6.0,42.0,8.0,20.0,,1.0,128.0,36.0,18.0,7.0,11.0,54.0,1.0,32.0,12.0,10.0,37.0,1.0,90.0,49.0,9.0,11.0,7.0,4.0,32.0,22.0,8.0,,40.0,3.0,1.0,,,,4.0,0.7441860465116279,0.8888888888888888,1.0,0.35294117647058826,,,0.35294117647058826,0.46153846153846156,0.4,0.45,0.38095238095238093,0.4772727272727273,0.0625,0.1276595744680851,0.8,0.041666666666666664,0.2393617021276596,0.09660574412532637,0.08823529411764706,0.12666666666666668,0.24561403508771928,0.23448275862068965,0.23931623931623933,0.09,0.38571428571428573,0.6419753086419753,0.6842105263157895,0.6923076923076923,0.3404255319148936,0.3902439024390244,0.625,1.0,0.3125,0.3125,1.0,0.08571428571428572,0.3888888888888889,0.3888888888888889,1.0,0.75,0.025,,,0.5714285714285714,0.5833333333333334,,,0.047619047619047616,,0.3888888888888889,0.5916014705882352,0.5212428571428571,,0.1590909090909091,14.0,,,,11.0,9.0,3.0,1.0,10.0,4.0,4.0,3.0,,1.0,10.0,,7.0,,26.0,16.0,1.0,9.0,26.0,15.0,,4.0,,0.06172839506172839,,,0.391304347826087,0.06832298136645963,0.14285714285714285,0.02962962962962963,0.05714285714285714,0.3953488372093023,0.5769230769230769,0.4666666666666667,0.07142857142857142,28.0,1.0,2.0,0.08928571428571429,,,,,,,,,,,,,True,
2225,1610612759,Tony Parker,Tony Parker,2225,SAS,64256.0,1071,-12,2106,2092,440.0,428.0,226,4198,74.0,53.0,134.0,28.0,168.0,351.0,37.0,55.0,421.0,2279,25.0,78.0,240.0,73.0,195.0,47.0,463.0,31.0,88.0,95.0,21.0,52.0,74.0,78.0,33.0,78.0,440.0,0.47863247863247865,0.47164948453608246,0.49763593380614657,0.45348837209302323,0.09536082474226804,20.813904196693514,0.08493150684931507,0.08739837398373984,0.0958904109589041,0.19072164948453607,0.34536082474226804,0.39552238805970147,0.4015151515151515,0.07216494845360824,0.4639175257731959,0.4959372093023255,0.07990314769975787,0.08776595744680851,0.18527315914489312,9.484330484330483,24.618918918918922,0.20892687559354226,88.0,143.0,4.0,16.0,27.0,27.0,8.0,1.0,4.0,2.0,9.0,,,,3.0,10.0,7.0,13.0,,1.0,,14.0,25.0,63.0,1.0,7.0,96.0,27.0,8.0,2.0,21.0,122.0,26.0,56.0,25.0,41.0,6.0,,55.0,7.0,2.0,28.0,19.0,9.0,46.0,30.0,22.0,4.0,68.0,5.0,,2.0,,,10.0,0.2857142857142857,0.2891566265060241,0.9,0.2702702702702703,,0.14285714285714285,0.2777777777777778,0.5384615384615384,0.3968253968253968,0.5,0.37857142857142856,0.5,0.05982905982905983,0.04054054054054054,0.6764705882352942,,0.0888529886914378,0.008534850640113799,0.006993006993006993,0.011152416356877323,0.075,0.09523809523809523,0.09574468085106383,0.01098901098901099,0.36855670103092786,0.6153846153846154,0.6929133858267716,0.22727272727272727,0.36486486486486486,0.38028169014084506,0.37037037037037035,0.33962264150943394,0.2857142857142857,0.2857142857142857,1.0,0.023195876288659795,0.2222222222222222,0.25,0.5,0.2857142857142857,,,,0.38571428571428573,0.5925925925925926,0.05714285714285714,0.25,0.04285714285714286,,0.25,0.4995083333333333,0.48642173913043485,,0.0332541567695962,3.0,3.0,1.0,1.0,1.0,2.0,10.0,3.0,16.0,1.0,16.0,3.0,,1.0,,6.0,8.0,,1.0,,,1.0,1.0,1.0,8.0,10.0,0.02702702702702703,0.11188811188811189,0.014925373134328358,,0.0392156862745098,0.003355704697986577,0.009900990099009901,0.004310344827586207,0.004784688995215311,0.0410958904109589,1.0,0.75,,4.0,2.0,,,1.0,3.0,0.1111111111111111,0.07142857142857142,,,,,,,,,True,
1628401,1610612759,Derrick White,Derrick White,1628401,SAS,138.0,2,-8,4,6,1.0,,1,10,,,,,,,,,,12,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
201980,1610612759,Danny Green,Danny Green,201980,SAS,31114.0,519,12,1009,1001,172.0,147.0,111,2010,16.0,8.0,16.0,30.0,24.0,55.0,93.0,14.0,179.0,1086,9.0,41.0,20.0,7.0,27.0,4.0,61.0,21.0,58.0,72.0,20.0,35.0,14.0,19.0,6.0,41.0,172.0,0.43636363636363634,0.5574324324324325,0.5737179487179487,0.5857142857142857,0.6283783783783784,14.991181657848324,0.1076923076923077,0.11585365853658537,0.12080536912751678,0.10810810810810811,0.10810810810810811,0.5,0.5,0.20270270270270271,0.7837837837837838,0.5253540540540541,0.05194805194805195,0.1,0.22905027932960895,8.145454545454545,24.973118279569892,0.17046580773042616,10.0,23.0,3.0,2.0,4.0,6.0,13.0,2.0,5.0,26.0,63.0,2.0,7.0,6.0,16.0,39.0,3.0,4.0,2.0,9.0,2.0,14.0,4.0,9.0,8.0,21.0,28.0,117.0,63.0,26.0,3.0,20.0,3.0,7.0,6.0,7.0,10.0,,36.0,14.0,3.0,22.0,13.0,9.0,11.0,9.0,3.0,,14.0,1.0,1.0,,1.0,2.0,2.0,0.5833333333333334,0.6363636363636364,1.0,0.41935483870967744,0.2222222222222222,0.38095238095238093,0.41935483870967744,0.75,0.4444444444444444,0.46153846153846156,0.5333333333333333,0.5,0.05454545454545454,0.0625,0.7857142857142857,,0.12121212121212122,0.02881844380403458,0.02857142857142857,0.006711409395973154,0.16129032258064516,0.07874015748031496,0.14285714285714285,0.036585365853658534,0.1554054054054054,0.43478260869565216,0.47619047619047616,0.4,0.375,0.4,0.6666666666666666,0.75,0.43333333333333335,0.43333333333333335,1.0,0.42567567567567566,0.4126984126984127,0.4126984126984127,1.0,0.23076923076923078,0.5384615384615384,0.2857142857142857,1.0,0.13333333333333333,0.5,0.16666666666666666,0.4,0.5333333333333333,0.375,0.4126984126984127,0.59048,0.5090966666666668,0.02127659574468085,0.0782122905027933,2.0,,,,4.0,1.0,1.0,,2.0,1.0,3.0,1.0,,,1.0,,1.0,,18.0,15.0,,3.0,19.0,14.0,1.0,2.0,,0.08695652173913043,,,0.043478260869565216,0.027972027972027972,0.024096385542168676,0.06086956521739131,0.029411764705882353,0.06521739130434782,0.7368421052631579,0.6666666666666666,,4.0,,,0.024390243902439025,2.0,,,0.15384615384615385,1.0,1.0,1.0,,,,,,True,
202722,1610612759,Davis Bertans,Davis Bertans,202722,SAS,17255.0,288,-20,569,559,122.0,98.0,60,1128,7.0,6.0,14.0,13.0,19.0,35.0,73.0,5.0,103.0,606,3.0,22.0,8.0,6.0,15.0,3.0,36.0,14.0,39.0,44.0,17.0,29.0,17.0,6.0,1.0,22.0,122.0,0.5428571428571428,0.4537037037037037,0.46396396396396394,0.5,0.6759259259259259,18.681318681318682,0.1346153846153846,0.1377952755905512,0.17073170731707318,0.06481481481481481,0.12962962962962962,0.42857142857142855,0.46153846153846156,0.12037037037037036,0.8055555555555556,0.5114212962962963,0.009174311926605505,0.027777777777777776,0.21359223300970873,9.925714285714285,25.342465753424662,0.21441124780316345,9.0,14.0,2.0,4.0,4.0,4.0,5.0,,2.0,15.0,60.0,,4.0,3.0,12.0,20.0,3.0,4.0,,5.0,,6.0,5.0,6.0,3.0,14.0,30.0,60.0,60.0,15.0,2.0,9.0,3.0,6.0,1.0,2.0,2.0,1.0,21.0,5.0,,7.0,6.0,1.0,4.0,4.0,4.0,1.0,8.0,2.0,,2.0,,,2.0,0.7894736842105263,0.8823529411764706,1.0,0.273972602739726,,0.21428571428571427,0.273972602739726,0.75,0.8333333333333334,0.3333333333333333,0.475,0.3333333333333333,0.05714285714285714,,0.5,0.08333333333333333,0.14,0.011049723756906077,0.013888888888888888,0.015873015873015872,0.11320754716981132,0.19230769230769232,0.1111111111111111,,0.12962962962962962,0.6428571428571429,0.6923076923076923,0.6666666666666666,0.5714285714285714,0.5714285714285714,1.0,0.8333333333333334,0.38461538461538464,0.38461538461538464,1.0,0.5555555555555556,0.25,0.25,1.0,0.2222222222222222,0.4444444444444444,,,0.2,1.0,0.1,,0.6,0.25,0.25,0.61929,0.5475975,,0.05825242718446602,2.0,,,,2.0,4.0,1.0,2.0,,,1.0,,,1.0,5.0,,,,8.0,6.0,,2.0,8.0,6.0,3.0,2.0,,0.07142857142857142,0.07142857142857142,,0.23529411764705882,0.018691588785046728,0.014925373134328358,,0.023809523809523808,,0.75,1.0,,4.0,,,,1.0,,,0.1111111111111111,,,,,,,,,True,
200746,1610612759,LaMarcus Aldridge,LaMarcus Aldridge,200746,SAS,36850.0,614,45,1179,1164,182.0,223.0,136,2343,117.0,36.0,85.0,7.0,170.0,312.0,21.0,81.0,451.0,1265,22.0,78.0,184.0,16.0,28.0,13.0,72.0,35.0,107.0,175.0,29.0,45.0,84.0,100.0,49.0,78.0,182.0,0.5448717948717948,0.5555555555555556,0.5973333333333334,0.6190476190476191,0.06306306306306306,29.954954954954953,0.1891891891891892,0.17773788150807898,0.1643835616438356,0.35135135135135137,0.2552552552552553,0.4235294117647059,0.4235294117647059,0.021021021021021023,0.3933933933933934,0.4764618618618618,0.13243243243243244,0.14040114613180515,0.1729490022172949,8.897756410256408,24.447619047619046,0.15436810856658184,82.0,110.0,39.0,16.0,21.0,52.0,5.0,,,5.0,14.0,1.0,2.0,,1.0,10.0,40.0,59.0,1.0,2.0,24.0,107.0,28.0,50.0,,1.0,156.0,30.0,14.0,5.0,6.0,12.0,3.0,4.0,1.0,7.0,51.0,,64.0,68.0,7.0,15.0,8.0,7.0,9.0,3.0,15.0,2.0,24.0,4.0,2.0,1.0,,,5.0,0.4588235294117647,0.5492957746478874,1.0,0.47619047619047616,0.5,,0.47619047619047616,0.6779661016949152,0.56,0.680327868852459,0.5490196078431373,0.7328767123287672,0.019230769230769232,0.02564102564102564,0.375,,0.17204301075268819,0.12378640776699029,0.11643835616438356,0.12658227848101267,0.14285714285714285,0.15671641791044777,0.21428571428571427,0.04827586206896552,0.3303303303303303,0.7454545454545455,0.7663551401869159,0.5121951219512195,0.4444444444444444,0.45614035087719296,0.21153846153846154,0.6944444444444444,0.7142857142857143,0.7142857142857143,1.0,0.042042042042042045,0.35714285714285715,0.38461538461538464,1.0,0.639344262295082,0.03278688524590164,0.5,1.0,0.4117647058823529,0.7619047619047619,,,0.0196078431372549,,0.35714285714285715,0.5636989795918368,0.49077352941176455,,0.23725055432372505,32.0,,,1.0,17.0,8.0,5.0,2.0,6.0,2.0,2.0,2.0,,,6.0,3.0,12.0,4.0,10.0,2.0,,8.0,10.0,4.0,,5.0,0.047619047619047616,0.02727272727272727,,,0.32,0.09883720930232558,0.20388349514563106,0.06622516556291391,0.11382113821138211,0.28205128205128205,0.4,0.8205128205128205,0.09375,56.0,2.0,,0.061224489795918366,,,0.07142857142857142,,,,2.0,2.0,,,,,True,
203530,1610612759,Joffrey Lauvergne,Joffrey Lauvergne,203530,SAS,9351.0,156,-46,313,318,97.0,75.0,28,631,18.0,1.0,1.0,2.0,25.0,51.0,2.0,10.0,60.0,369,3.0,19.0,16.0,5.0,8.0,3.0,21.0,21.0,42.0,57.0,6.0,9.0,13.0,17.0,7.0,19.0,97.0,0.49019607843137253,0.4716981132075472,0.4838709677419355,0.5,0.03773584905660377,20.527859237536656,0.3442622950819672,0.2835820895522388,0.3541666666666667,0.33962264150943394,0.018867924528301886,1.0,1.0,0.03773584905660377,0.6415094339622641,0.5275924528301886,0.11666666666666667,0.1206896551724138,0.31666666666666665,3.649019607843137,22.75,0.30990415335463256,18.0,32.0,11.0,4.0,8.0,6.0,,,1.0,,,,,,,,3.0,12.0,,,,6.0,8.0,16.0,,1.0,34.0,,,,7.0,3.0,2.0,1.0,1.0,1.0,10.0,,17.0,15.0,1.0,1.0,1.0,,1.0,1.0,8.0,,9.0,1.0,,,,,2.0,0.68,0.7727272727272727,,,,,,0.25,0.5,0.25,0.47058823529411764,0.25,0.13725490196078433,0.2222222222222222,0.1111111111111111,,0.2328767123287671,0.10526315789473684,0.11278195488721804,0.08333333333333333,0.20689655172413793,0.23333333333333334,0.2857142857142857,0.05,0.6037735849056604,0.5625,0.6206896551724138,0.7222222222222222,0.3333333333333333,0.42857142857142855,0.5,1.0,,,,,,,,0.9166666666666666,,,,0.47058823529411764,0.5,0.058823529411764705,,,,,0.6665375,0.4994382352941177,,0.1,3.0,,,,5.0,4.0,4.0,3.0,,2.0,1.0,1.0,,,2.0,,,,3.0,3.0,,,3.0,2.0,1.0,1.0,,0.09375,,,0.3333333333333333,0.13157894736842105,0.13793103448275862,0.1,0.1111111111111111,0.3076923076923077,0.6666666666666666,0.2727272727272727,,6.0,,1.0,0.18181818181818182,,,,,,,,,,,,,True,
