EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,Fg2aBlocked,Fg3aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,ShootingFouls,Charge Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,SecondChanceAtRimFGM,PtsPutbacks,BlockedShortMidRange,DefensiveGoaltends,OffensiveGoaltends,OffAtRimReboundPct,OffLongMidRangeReboundPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,LongMidRangePctBlocked,BlockedLongMidRange,Defensive 3 Seconds Violations,on,HeaveAttempts,3SecondViolations
101109,1610612760,Raymond Felton,Raymond Felton,101109,OKC,2464.0,41.0,23.0,82,78,20,16,15.0,160,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,6.0,5.0,59.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,20,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.2777777777777778,0.2777777777777778,0.6666666666666666,10.1010101010101,0.07692307692307693,0.05405405405405406,0.07692307692307693,0.16666666666666666,1.0,0.2222222222222222,0.5,0.5,0.1111111111111111,0.4444444444444444,0.2222222222222222,0.5,0.5,1.0,1.0,0.6666666666666666,0.5,0.5245055555555556,0.609,12.066666666666668,23.549999999999997,0.24390243902439024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1627846,1610612760,Abdel Nader,Abdel Nader,1627846,OKC,34.0,1.0,-3.0,1,2,1,2,,3,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
1629126,1610612760,Deonte Burton,Deonte Burton,1629126,OKC,19.0,,,1,1,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
202331,1610612760,Paul George,Paul George,202331,OKC,12233.0,204.0,3.0,424,422,120,121,48.0,846,2.0,12.0,18.0,15.0,3.0,7.0,32.0,29.0,54.0,15.0,47.0,143.0,462.0,10.0,34.0,39.0,32.0,7.0,9.0,18.0,3.0,45.0,21.0,37.0,43.0,7.0,6.0,1.0,9.0,21.0,5.0,21.0,3.0,1.0,39.0,4.0,1.0,1.0,1.0,1.0,120,0.8666666666666667,0.3191489361702128,0.3191489361702128,0.5370370370370371,0.5099009900990099,0.5778688524590164,0.46534653465346537,30.105263157894736,0.16153846153846155,0.17142857142857143,0.19402985074626866,0.11428571428571428,1.0,0.1188118811881188,0.16666666666666666,0.2222222222222222,0.1782178217821782,0.1485148514851485,0.31683168316831684,0.21875,0.22580645161290322,0.7142857142857143,0.13636363636363635,0.7029702970297029,0.21875,0.5098445544554455,0.4947136363636364,8.214814814814813,24.895744680851063,0.2830188679245283,15.0,24.0,1.0,3.0,6.0,12.0,8.0,1.0,3.0,1.0,2.0,4.0,2.0,7.0,40.0,4.0,5.0,3.0,7.0,2.0,19.0,5.0,12.0,3.0,23.0,42.0,24.0,6.0,7.0,1.0,9.0,5.0,4.0,4.0,2.0,3.0,2.0,1.0,15.0,1.0,6.0,2.0,12.0,1.0,7.0,3.0,5.0,1.0,1.0,1.0,7.0,1.0,4.0,2.0,49.0,1.0,1.0,3.0,13.0,3.0,7.0,42.0,3.0,7.0,0.41379310344827586,0.41379310344827586,0.42857142857142855,0.3,0.8,0.4166666666666667,0.7083333333333334,0.4318181818181818,0.7307692307692307,0.5857142857142857,0.02127659574468085,0.12962962962962962,0.16666666666666666,0.25,0.03125,0.5714285714285714,0.125,0.08333333333333333,0.018518518518518517,0.1875,0.033707865168539325,0.025380710659898477,0.058823529411764705,0.03333333333333333,0.034482758620689655,0.14285714285714285,0.18032786885245902,0.21052631578947367,0.041666666666666664,0.2376237623762376,0.625,0.75,0.4,0.5,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.5333333333333333,0.5333333333333333,1.0,0.08333333333333333,0.25,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.2727272727272727,0.5,0.3333333333333333,0.3181818181818182,0.2857142857142857,0.438,0.1391304347826087,0.19696969696969696,0.061224489795918366,0.13286713286713286,0.2937062937062937,,,,,,,,,,,,,True,,
203457,1610612760,Nerlens Noel,Nerlens Noel,203457,OKC,2969.0,49.0,18.0,102,101,27,21,16.0,203,4.0,7.0,1.0,,,,,12.0,20.0,,,24.0,90.0,,6.0,,,,,,,,3.0,5.0,16.0,1.0,,1.0,3.0,3.0,,9.0,3.0,,4.0,1.0,3.0,2.0,3.0,2.0,27,,,,0.6,0.6,0.5714285714285714,,20.0,0.07894736842105263,0.08163265306122448,,0.08333333333333333,0.6666666666666666,0.35,0.5714285714285714,0.5714285714285714,0.05,,,,,,,0.6,,0.5349950000000001,0.6437799999999999,4.16,,0.2647058823529412,7.0,12.0,5.0,3.0,4.0,1.0,,,,,,,,,,5.0,8.0,,,,10.0,3.0,5.0,,,6.0,18.0,,2.0,,,,,,,3.0,8.0,,1.0,1.0,11.0,,,,,,,,2.0,1.0,3.0,,,1.0,2.0,,,,1.0,,,6.0,,,0.75,1.0,,,0.625,0.6,0.625,0.6,0.625,0.6,,0.1,0.16666666666666666,,,,0.5,,0.25,0.09090909090909091,0.17647058823529413,0.22448979591836735,0.1111111111111111,0.18181818181818182,0.16666666666666666,0.2222222222222222,0.1,,,0.6,0.5833333333333334,0.7,0.7142857142857143,1.0,1.0,1.0,,,,,0.625,,,,,,,0.8,0.75,,,,0.5304333333333333,0.047619047619047616,0.047619047619047616,,0.4166666666666667,0.25,3.0,6.0,1.0,1.0,1.0,0.38461538461538464,0.2,0.6,0.3333333333333333,,,,True,,
201566,1610612760,Russell Westbrook,Russell Westbrook,201566,OKC,9917.0,165.0,-10.0,347,347,97,101,34.0,694,3.0,10.0,16.0,3.0,1.0,8.0,23.0,23.0,59.0,9.0,26.0,94.0,397.0,8.0,42.0,24.0,23.0,8.0,35.0,47.0,7.0,106.0,18.0,36.0,40.0,3.0,2.0,1.0,6.0,19.0,7.0,16.0,2.0,4.0,17.0,1.0,3.0,2.0,3.0,2.0,97,0.8888888888888888,0.34615384615384615,0.34615384615384615,0.3898305084745763,0.4294117647058823,0.49473684210526314,0.3058823529411765,29.842931937172775,0.17142857142857143,0.18181818181818182,0.10909090909090909,0.21428571428571427,0.6666666666666666,0.11764705882352941,0.3,0.375,0.18823529411764706,0.03529411764705882,0.27058823529411763,0.34782608695652173,0.34782608695652173,0.875,0.045454545454545456,0.6941176470588235,0.34782608695652173,0.5259123529411764,0.5216204545454545,7.2847457627118635,25.157692307692308,0.27953890489913547,17.0,33.0,4.0,4.0,7.0,3.0,1.0,,,,1.0,3.0,3.0,7.0,21.0,3.0,6.0,1.0,3.0,3.0,12.0,6.0,14.0,3.0,4.0,25.0,4.0,3.0,6.0,,12.0,4.0,8.0,22.0,6.0,1.0,3.0,,14.0,4.0,4.0,1.0,13.0,,8.0,1.0,5.0,,,,,1.0,,,24.0,4.0,,,14.0,,,25.0,7.0,,0.08695652173913043,0.09090909090909091,0.3333333333333333,0.375,0.5,0.42857142857142855,0.5,0.4772727272727273,0.6,0.5,,0.1016949152542373,0.09090909090909091,0.2,,0.6842105263157895,0.5714285714285714,,0.03529411764705882,0.19718309859154928,0.013333333333333334,0.025,0.06896551724137931,0.019230769230769232,,0.2727272727272727,0.16981132075471697,0.2777777777777778,0.02127659574468085,0.38823529411764707,0.5151515151515151,0.5666666666666667,0.058823529411764705,,0.1875,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.4444444444444444,,,,0.3333333333333333,0.3333333333333333,1.0,0.3181818181818182,0.5714285714285714,,0.3181818181818182,0.42857142857142855,0.5099777777777779,0.14736842105263157,0.2028985507246377,,0.1276595744680851,0.26595744680851063,2.0,2.0,1.0,,,0.02564102564102564,,0.5,,0.0625,,,True,,
202693,1610612760,Markieff Morris,Markieff Morris,202693,OKC,3040.0,51.0,17.0,104,103,30,20,16.0,207,1.0,2.0,1.0,1.0,,2.0,5.0,2.0,7.0,2.0,6.0,17.0,90.0,3.0,2.0,6.0,5.0,2.0,3.0,4.0,,9.0,4.0,6.0,10.0,1.0,1.0,,,2.0,,8.0,1.0,,7.0,,3.0,3.0,3.0,2.0,30,1.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.38461538461538464,0.5,0.46153846153846156,15.447154471544716,0.1111111111111111,0.11764705882352941,0.0625,0.25,0.6666666666666666,0.15384615384615385,0.5,0.5,0.07692307692307693,0.07692307692307693,0.38461538461538464,0.4,0.4,1.0,,0.7692307692307693,0.4,0.5262576923076924,0.4943071428571428,5.771428571428571,24.583333333333332,0.28846153846153844,1.0,4.0,2.0,1.0,2.0,,,,,,,,1.0,3.0,7.0,,2.0,,,2.0,2.0,1.0,4.0,1.0,2.0,7.0,2.0,,1.0,,1.0,1.0,,3.0,,2.0,2.0,,2.0,,4.0,,2.0,,1.0,,1.0,,,,3.0,,,,9.0,1.0,,,4.0,,1.0,7.0,,1.0,0.5,0.5,,0.3333333333333333,,0.25,,0.35714285714285715,0.3333333333333333,0.4375,,0.14285714285714285,0.25,,,1.0,,,0.0625,0.13333333333333333,0.09090909090909091,0.07407407407407407,0.125,0.13333333333333333,,,0.15384615384615385,,,0.3076923076923077,0.25,0.3333333333333333,1.0,,,,,,,,1.0,,,,,,,0.2857142857142857,0.5,,0.42857142857142855,0.3333333333333333,0.5679,0.25,0.4,,0.11764705882352941,0.4117647058823529,,,,,,0.06666666666666667,,,,,,,True,,
203924,1610612760,Jerami Grant,Jerami Grant,203924,OKC,9117.0,152.0,-13.0,317,316,82,100,34.0,633,,2.0,1.0,12.0,3.0,3.0,7.0,10.0,17.0,8.0,19.0,53.0,367.0,4.0,6.0,24.0,7.0,3.0,,3.0,,9.0,9.0,17.0,22.0,3.0,,3.0,2.0,2.0,,12.0,3.0,1.0,14.0,2.0,9.0,8.0,9.0,4.0,82,1.0,0.42105263157894735,0.42105263157894735,0.5882352941176471,0.6111111111111112,0.6309523809523809,0.5277777777777778,12.535612535612536,0.0967741935483871,0.10062893081761007,0.06,0.08695652173913043,0.4444444444444444,0.05555555555555555,,,0.027777777777777776,0.3333333333333333,0.19444444444444445,0.42857142857142855,0.42857142857142855,1.0,0.3333333333333333,0.9166666666666666,0.42857142857142855,0.5869027777777778,0.5832777777777778,2.829411764705882,24.142105263157898,0.2586750788643533,9.0,14.0,2.0,3.0,4.0,1.0,5.0,,2.0,1.0,,,,1.0,9.0,2.0,2.0,,2.0,2.0,6.0,3.0,5.0,1.0,3.0,12.0,14.0,,1.0,,3.0,3.0,,,,2.0,3.0,,7.0,1.0,5.0,,,,,,,,,,3.0,1.0,,1.0,13.0,1.0,,,6.0,,1.0,12.0,5.0,1.0,0.7,0.7777777777777778,,0.25,1.0,0.6,0.5,0.5,0.6,0.5454545454545454,,0.058823529411764705,0.07142857142857142,,,,0.14285714285714285,,0.03896103896103896,0.10606060606060606,0.028985507246376812,0.03424657534246575,,0.0425531914893617,,0.2,0.12,0.0625,,0.3888888888888889,0.6428571428571429,0.6923076923076923,0.6666666666666666,,1.0,1.0,1.0,0.4166666666666667,0.4166666666666667,1.0,0.5,0.5,,,,,,0.4444444444444444,0.75,0.3333333333333333,0.1111111111111111,,0.6163000000000001,0.14634146341463414,0.2727272727272727,,0.11320754716981132,0.22641509433962265,2.0,2.0,1.0,,,0.05555555555555555,0.06666666666666667,1.0,0.5,,,,True,,
203500,1610612760,Steven Adams,Steven Adams,203500,OKC,8029.0,134.0,-16.0,276,277,72,74,27.0,553,9.0,14.0,,,,,,23.0,32.0,,,49.0,323.0,,6.0,,,,,6.0,,18.0,14.0,19.0,27.0,4.0,4.0,,5.0,6.0,2.0,11.0,,4.0,13.0,,4.0,3.0,4.0,3.0,72,,,,0.71875,0.71875,0.7,,13.531353135313532,0.16666666666666666,0.13194444444444445,0.1956521739130435,0.19047619047619047,0.75,0.4375,0.6428571428571429,0.6428571428571429,,,,,,,,0.5625,,0.514475,0.4728,3.625,,0.2608695652173913,14.0,18.0,2.0,1.0,1.0,,,,,,,,,,3.0,2.0,2.0,,,1.0,5.0,3.0,4.0,,1.0,7.0,40.0,,1.0,,6.0,4.0,2.0,,,2.0,5.0,1.0,5.0,,8.0,,1.0,1.0,1.0,,,,,,6.0,,,2.0,8.0,2.0,,,4.0,,1.0,7.0,,1.0,0.8695652173913043,0.8695652173913043,,,1.0,0.75,1.0,0.75,0.8333333333333334,0.7,,0.03125,0.05555555555555555,,,0.16666666666666666,,0.25,0.07936507936507936,0.08333333333333333,0.03389830508474576,0.05737704918032787,0.08695652173913043,0.025,0.05263157894736842,0.058823529411764705,0.06818181818181818,0.125,,0.5625,0.7777777777777778,0.8235294117647058,0.9285714285714286,0.7777777777777778,,,,,,,1.0,,,,,,,0.25,1.0,,,,,0.11764705882352941,0.11764705882352941,,0.10204081632653061,0.14285714285714285,2.0,,,,,,0.25,1.0,1.0,,1.0,,True,,
203471,1610612760,Dennis Schroder,Dennis Schroder,203471,OKC,7381.0,123.0,8.0,259,254,116,112,32.0,513,6.0,9.0,13.0,2.0,1.0,5.0,15.0,17.0,31.0,5.0,17.0,57.0,270.0,9.0,30.0,12.0,15.0,5.0,5.0,12.0,1.0,31.0,6.0,12.0,14.0,4.0,3.0,1.0,1.0,3.0,2.0,7.0,1.0,,11.0,2.0,,,,,116,0.8,0.29411764705882354,0.29411764705882354,0.5483870967741935,0.5104166666666666,0.5277777777777778,0.3541666666666667,19.453924914675767,0.09090909090909091,0.10344827586206896,0.06060606060606061,0.11764705882352941,,0.1875,0.6666666666666666,0.6666666666666666,0.2708333333333333,0.041666666666666664,0.3125,0.3333333333333333,0.3333333333333333,0.8,0.047619047619047616,0.5416666666666666,0.3333333333333333,0.49385425531914895,0.490395,10.667741935483871,25.49411764705882,0.44787644787644787,3.0,9.0,2.0,1.0,3.0,8.0,,,,,2.0,2.0,2.0,8.0,8.0,2.0,4.0,2.0,2.0,,10.0,7.0,12.0,2.0,4.0,24.0,4.0,3.0,2.0,,7.0,4.0,3.0,3.0,1.0,1.0,1.0,,6.0,,2.0,1.0,2.0,,2.0,1.0,,,,,1.0,,2.0,,12.0,,,,5.0,,1.0,24.0,1.0,1.0,0.11764705882352941,0.11764705882352941,1.0,0.2222222222222222,0.5,0.5833333333333334,0.8333333333333334,0.47619047619047616,0.8333333333333334,0.5,,0.06451612903225806,0.2222222222222222,,,0.6666666666666666,,,0.014705882352941176,0.12,0.01818181818181818,0.016260162601626018,,0.02631578947368421,,0.125,0.10526315789473684,0.16666666666666666,0.043478260869565216,0.1875,0.3333333333333333,0.42857142857142855,,,0.6153846153846154,0.6153846153846154,0.25,,,,0.3333333333333333,,,,0.3333333333333333,1.0,1.0,0.14285714285714285,0.3333333333333333,,0.38095238095238093,0.25,0.533675,0.09433962264150944,0.1388888888888889,,0.17543859649122806,0.42105263157894735,1.0,,,,,,0.06666666666666667,0.5,,,,,True,,
