EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Fouls,Charge Fouls,Offensive Fouls,FoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyArc3FGM,PenaltyFG3M,AtRimAssists,LostBallSteals,RecoveredBlocks,PenaltyFg3Pct,BlocksRecoveredPct,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,LongMidRangeFGM,LongMidRangeFGA,SecondChanceCorner3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFtPoints,PtsPutbacks,Corner3Assists,SelfOReb,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,ShootingFouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,SelfORebPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,OffThreePtRebounds,BlockedShortMidRange,OffThreePtReboundPct,OffCorner3ReboundPct,DefLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,SecondChanceArc3FGA,Offensive Fouls Drawn,OffArc3ReboundPct,SecondChanceArc3Frequency,Travels,Loose Ball Fouls Drawn,LongMidRangePctAssisted,PenaltyCorner3FGM,FTOffRebounds,OffFTReboundPct,PenaltyCorner3Accuracy,LongMidRangeAssists,OffLongMidRangeReboundPct,SecondChanceCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,SecondChanceFg3Pct,FG3APctBlocked,Corner3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,on,LongMidRangePctBlocked
1626220,1610612762,Royce O'Neale,Royce O'Neale,1626220,UTA,3303.0,55,7.0,112,110,43,46,14.0,222,2.0,5.0,3.0,5.0,5.0,1.0,3.0,1.0,3.0,4.0,1.0,7.0,10.0,4.0,7.0,26.0,103,1.0,4.0,2.0,2.0,10.0,4.0,9.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,6.0,3.0,1.0,10.0,1.0,11.0,1.0,1.0,3.0,2.0,2.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,43,2.0,0.7142857142857143,0.7142857142857143,0.75,0.5714285714285714,0.6666666666666666,0.7,0.25,0.7647058823529411,0.16666666666666666,0.7647058823529411,0.16666666666666666,0.4117647058823529,0.2,0.4,17.322834645669293,0.6,0.2,0.12,0.03571428571428571,0.17647058823529413,0.15254237288135594,0.01694915254237288,0.07142857142857142,0.3,0.12,0.3333333333333333,0.29411764705882354,0.4,0.6666666666666666,0.5,0.29411764705882354,1.0,1.0,0.8,0.17647058823529413,0.3333333333333333,0.3333333333333333,1.0,0.23529411764705882,0.75,0.75,0.6666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.7058823529411765,1.0,0.4892656249999999,0.50212,0.07692307692307693,3.38,26.485714285714284,0.38392857142857145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1627777,1610612762,Georges Niang,Georges Niang,1627777,UTA,1761.0,29,10.0,59,59,27,23,6.0,118,1.0,1.0,,1.0,3.0,,2.0,2.0,3.0,5.0,2.0,2.0,4.0,3.0,7.0,13.0,54,,1.0,4.0,3.0,4.0,,9.0,,,5.0,3.0,,2.0,,2.0,,,4.0,,2.0,2.0,,4.0,,4.0,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,1.0,3.0,27,,1.0,1.0,1.0,0.42857142857142855,0.42857142857142855,0.5,,0.5909090909090909,0.3,0.5909090909090909,0.3,0.6363636363636364,,,16.923076923076923,,,0.13333333333333333,,0.16666666666666666,0.14814814814814814,,,0.25,0.18181818181818182,,0.09090909090909091,1.0,1.0,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.18181818181818182,,,,0.45454545454545453,0.6,0.6,1.0,,0.4,0.4,0.7272727272727273,0.6,0.5015136363636363,0.4849200000000001,0.23076923076923078,5.0249999999999995,25.11428571428571,0.4576271186440678,1.0,1.0,2.0,1.0,1.0,0.25,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1628378,1610612762,Donovan Mitchell,Donovan Mitchell,1628378,UTA,6904.0,115,-31.0,234,235,47,44,32.0,469,12.0,21.0,4.0,2.0,18.0,1.0,3.0,,4.0,19.0,6.0,16.0,43.0,5.0,22.0,61.0,273,2.0,8.0,6.0,17.0,8.0,24.0,9.0,6.0,1.0,18.0,4.0,7.0,6.0,5.0,11.0,4.0,2.0,27.0,3.0,3.0,1.0,2.0,6.0,3.0,9.0,7.0,5.0,9.0,5.0,4.0,4.0,13.0,1.0,2.0,11.0,,,17.0,,,,,,17.0,47,1.0,0.25,0.26666666666666666,0.6,0.22727272727272727,0.23809523809523808,0.37209302325581395,0.25,0.36153846153846153,0.35714285714285715,0.41216216216216217,0.4722222222222222,0.3384615384615385,0.16279069767441862,0.23809523809523808,32.46268656716418,0.6923076923076923,0.2857142857142857,0.021739130434782608,0.05084745762711865,0.05172413793103448,0.038461538461538464,0.026785714285714284,0.043478260869565216,,0.07317073170731707,,0.3230769230769231,0.5714285714285714,0.75,0.3333333333333333,0.27692307692307694,0.1111111111111111,0.125,,0.046153846153846156,0.3333333333333333,0.3333333333333333,1.0,0.2923076923076923,0.21052631578947367,0.21052631578947367,0.5,0.2857142857142857,,0.42857142857142855,0.6615384615384615,0.2222222222222222,0.47628571428571437,0.4660307692307692,0.2786885245901639,6.38139534883721,27.49090909090909,0.20085470085470086,2.0,2.0,4.0,2.0,,0.3333333333333333,,0.3333333333333333,1.0,1.0,1.0,2.0,4.0,2.0,14.0,2.0,2.0,2.0,2.0,6.0,7.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,21.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,0.5,0.6,0.1111111111111111,0.06666666666666667,0.05,0.08571428571428572,0.06153846153846154,0.5,0.5,0.25,1.0,0.5,0.25,0.5205375,0.136986301369863,0.17647058823529413,0.045454545454545456,0.09836065573770492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
202324,1610612762,Derrick Favors,Derrick Favors,202324,UTA,4685.0,78,4.0,151,153,39,45,18.0,304,18.0,25.0,5.0,1.0,3.0,,3.0,,,,,19.0,28.0,,3.0,47.0,156,3.0,5.0,,10.0,30.0,8.0,,,,,,5.0,2.0,2.0,4.0,2.0,,10.0,6.0,7.0,7.0,2.0,16.0,8.0,24.0,4.0,4.0,2.0,,2.0,2.0,4.0,1.0,1.0,10.0,1.0,,10.0,5.0,,,3.0,5.0,10.0,39,3.0,0.7894736842105263,0.9375,,,,0.6785714285714286,0.6,0.6129032258064516,0.6,0.618421052631579,0.5555555555555556,0.0967741935483871,0.17857142857142858,0.16,24.705882352941178,0.5,0.2857142857142857,0.19444444444444445,0.1875,0.19444444444444445,0.19444444444444445,0.11940298507462686,0.07142857142857142,,0.21428571428571427,0.125,0.8064516129032258,0.72,0.8571428571428571,0.8333333333333334,0.0967741935483871,0.3333333333333333,0.5,,0.0967741935483871,,,,,,,,1.0,,,0.9032258064516129,,0.5653370967741935,0.56814,0.2127659574468085,1.992857142857143,23.03333333333333,0.2582781456953642,,,2.0,,2.0,,0.4,,5.0,7.0,3.0,,,,9.0,5.0,8.0,,2.0,12.0,4.0,6.0,,,,1.0,,6.0,,15.0,1.0,,,6.0,,2.0,2.0,0.625,0.625,0.6,0.3333333333333333,0.29411764705882354,0.2857142857142857,,,,,0.875,0.7142857142857143,,0.6,0.5352428571428572,0.16666666666666666,0.18181818181818182,,0.2553191489361702,2.0,2.0,0.05714285714285714,0.16666666666666666,0.75,0.4,,,,,,,,,,,,,,,,,,,,,,,,,True,
204060,1610612762,Joe Ingles,Joe Ingles,204060,UTA,9036.0,151,-33.0,304,306,78,82,37.0,610,4.0,7.0,2.0,,1.0,,7.0,2.0,8.0,22.0,6.0,4.0,8.0,8.0,29.0,32.0,342,1.0,2.0,8.0,8.0,6.0,2.0,21.0,3.0,,22.0,8.0,,17.0,8.0,25.0,6.0,5.0,58.0,2.0,12.0,8.0,1.0,21.0,3.0,24.0,11.0,7.0,6.0,6.0,2.0,,8.0,1.0,1.0,14.0,,,4.0,,,,,,8.0,78,1.0,0.75,0.75,0.875,0.27586206896551724,0.27586206896551724,0.5,0.5,0.43243243243243246,0.4,0.43243243243243246,0.4,0.7837837837837838,,,13.119533527696792,0.75,0.1,0.12698412698412698,0.027777777777777776,0.15384615384615385,0.14184397163120568,0.020689655172413793,0.03225806451612903,0.03571428571428571,0.14035087719298245,0.19047619047619047,0.1891891891891892,0.5714285714285714,0.5714285714285714,0.75,0.02702702702702703,,,,0.1891891891891892,,,,0.5945945945945946,0.36363636363636365,0.36363636363636365,0.875,0.2,0.2,0.6,0.972972972972973,0.36363636363636365,0.5417270270270269,0.522,0.25,2.775,25.324137931034485,0.2565789473684211,2.0,2.0,12.0,4.0,,0.25,,0.3333333333333333,,2.0,1.0,,,1.0,,,2.0,2.0,,,,,2.0,2.0,2.0,,,6.0,,,,,,,,,,,,,,0.029411764705882353,0.25,0.08,,,,0.5,,0.25,0.5,0.5302,,,,,1.0,,0.0136986301369863,,,,1.0,1.0,0.021739130434782608,0.25,,,,,,,,,,,,,,,,,,,,,True,
201937,1610612762,Ricky Rubio,Ricky Rubio,201937,UTA,5929.0,99,-28.0,203,208,46,38,21.0,411,6.0,9.0,1.0,7.0,14.0,,4.0,,2.0,7.0,2.0,16.0,27.0,2.0,11.0,49.0,252,2.0,3.0,2.0,12.0,18.0,14.0,6.0,,1.0,6.0,2.0,2.0,18.0,6.0,24.0,5.0,2.0,54.0,2.0,3.0,6.0,,9.0,3.0,12.0,8.0,5.0,8.0,7.0,4.0,1.0,12.0,,4.0,10.0,,,14.0,1.0,,,1.0,1.0,12.0,46,1.0,0.5625,0.6,1.0,0.18181818181818182,0.2,0.5925925925925926,0.6666666666666666,0.5,0.4,0.5444444444444444,0.6666666666666666,0.2894736842105263,0.07407407407407407,0.1111111111111111,25.110132158590307,0.6666666666666666,,0.15,0.04878048780487805,0.058823529411764705,0.0989010989010989,0.03614457831325301,,0.10526315789473684,0.05555555555555555,0.06666666666666667,0.23684210526315788,0.6666666666666666,0.75,0.5,0.3684210526315789,0.5,0.5384615384615384,0.7142857142857143,0.10526315789473684,,,,0.18421052631578946,0.2857142857142857,0.2857142857142857,1.0,0.2,,0.4,0.5263157894736842,0.3333333333333333,0.4969891891891892,0.45344999999999996,0.24489795918367346,8.385185185185184,28.818181818181817,0.22660098522167488,,,16.0,3.0,,,,,,,,3.0,4.0,,11.0,1.0,3.0,,,2.0,8.0,2.0,1.0,1.0,1.0,,1.0,3.0,2.0,14.0,,,,5.0,,2.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.07142857142857142,0.10526315789473684,0.15789473684210525,0.058823529411764705,0.10526315789473684,0.75,0.75,,,,,0.45645,0.11627906976744186,0.15625,,0.04081632653061224,1.0,,0.023809523809523808,0.05555555555555555,0.5,,,1.0,,,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,True,
2594,1610612762,Kyle Korver,Kyle Korver,2594,UTA,967.0,16,-11.0,31,32,14,18,3.0,63,,,,,,1.0,1.0,1.0,,1.0,1.0,,,1.0,2.0,5.0,40,,,2.0,3.0,,,3.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,4.0,,,2.0,,,,,,3.0,14,1.0,,,1.0,0.5,0.5,,,0.75,0.75,0.8333333333333334,0.75,1.0,,,9.09090909090909,,,,,,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,0.5,,,,,0.5,0.5,1.0,,0.58185,0.58185,0.6,,24.55,0.45161290322580644,,1.0,,,,0.5,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,0.3333333333333333,,0.3333333333333333,,,,,,,,,1.0,,,,,,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,True,
200757,1610612762,Thabo Sefolosha,Thabo Sefolosha,200757,UTA,1101.0,18,-4.0,34,36,13,15,9.0,70,1.0,1.0,1.0,,1.0,,2.0,2.0,,1.0,,1.0,3.0,,3.0,2.0,44,1.0,2.0,2.0,2.0,2.0,,,,,1.0,,,,,,,,,,2.0,1.0,1.0,4.0,1.0,5.0,,,1.0,,,1.0,1.0,1.0,,3.0,,,,,,,,,2.0,13,,1.0,1.0,,,,0.3333333333333333,0.5,0.16666666666666666,0.25,0.16666666666666666,0.25,0.5,,,16.27906976744186,1.0,1.0,0.14285714285714285,,0.25,0.2,0.047619047619047616,,0.25,0.3333333333333333,,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,,,,0.3333333333333333,,,,0.16666666666666666,,,,0.25,0.5,,0.6666666666666666,,0.47815,0.4873375,1.0,8.766666666666667,25.23333333333333,0.38235294117647056,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.16666666666666666,,,,,,1.0,,,,,,1.0,,0.1111111111111111,,,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,True,
203497,1610612762,Rudy Gobert,Rudy Gobert,203497,UTA,5624.0,94,-45.0,196,197,39,38,23.0,393,12.0,17.0,4.0,,3.0,,,,,,,12.0,20.0,,,32.0,238,2.0,6.0,,4.0,20.0,4.0,,,,,,2.0,2.0,3.0,5.0,2.0,,13.0,7.0,7.0,7.0,2.0,16.0,12.0,28.0,1.0,1.0,2.0,2.0,3.0,,5.0,1.0,,9.0,,2.0,11.0,8.0,1.0,1.0,6.0,9.0,4.0,39,,0.8333333333333334,0.9090909090909091,,,,0.6,0.3333333333333333,0.6,0.3333333333333333,0.64,0.3333333333333333,,0.1,0.058823529411764705,13.574660633484163,0.4,0.5,0.20588235294117646,0.15217391304347827,0.1346153846153846,0.16279069767441862,0.13186813186813187,0.2631578947368421,0.23076923076923078,0.11428571428571428,0.17647058823529413,0.85,0.7058823529411765,0.75,0.8333333333333334,0.15,,,,,,,,,,,,0.6666666666666666,,,0.85,,0.5607650000000001,0.4835166666666666,0.125,2.32,,0.1989795918367347,,,1.0,,4.0,,0.4444444444444444,,2.0,5.0,2.0,,,,8.0,2.0,6.0,,3.0,7.0,,2.0,1.0,1.0,1.0,,,5.0,1.0,11.0,1.0,,,6.0,,,,0.3333333333333333,0.3333333333333333,0.4375,0.3333333333333333,0.047619047619047616,0.16666666666666666,0.16666666666666666,,,,0.8333333333333334,0.4,,0.5,0.622625,0.24,0.24,,0.21875,5.0,2.0,0.1111111111111111,0.16666666666666666,0.3333333333333333,,,,0.07407407407407407,,,,,,,,,1.0,0.16666666666666666,,,,,,,,,,,,True,
203109,1610612762,Jae Crowder,Jae Crowder,203109,UTA,4819.0,80,-32.0,163,162,32,47,18.0,325,4.0,5.0,1.0,,2.0,2.0,6.0,1.0,5.0,15.0,4.0,4.0,9.0,7.0,21.0,39.0,183,1.0,2.0,5.0,7.0,4.0,4.0,21.0,,,15.0,5.0,1.0,2.0,1.0,3.0,1.0,,7.0,,9.0,4.0,1.0,14.0,1.0,15.0,5.0,3.0,,,,,,,,5.0,,,9.0,,,,,,7.0,32,,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.4444444444444444,0.5,0.48333333333333334,0.14285714285714285,0.5416666666666666,0.35,0.7,0.1111111111111111,,19.78021978021978,,0.25,0.125,,0.2,0.16883116883116883,0.011627906976744186,,0.2727272727272727,0.18181818181818182,0.25,0.16666666666666666,0.8,0.8,0.5,0.06666666666666667,,,,0.2,0.3333333333333333,0.4,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.8666666666666667,0.3333333333333333,0.5416533333333333,0.5126999999999999,0.1794871794871795,7.633333333333334,25.1,0.19631901840490798,,,2.0,2.0,,,,,,,1.0,,2.0,2.0,10.0,,,4.0,,6.0,5.0,,,,,,,2.0,,15.0,1.0,,,4.0,2.0,1.0,1.0,,0.75,0.75,0.5,,0.0625,,0.06666666666666667,,,,,0.5,1.0,0.40425,0.17142857142857143,0.3333333333333333,0.08695652173913043,0.15384615384615385,1.0,,0.022727272727272728,,,,2.0,,0.037037037037037035,0.5,,,,,,,,,,1.0,1.0,2.0,1.0,0.5,0.047619047619047616,0.16666666666666666,0.5,1.0,0.5,1.0,True,
