EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,Steals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,FG3APct,Usage,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Technical Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyArc3FGM,PtsAssisted2s,ShortMidRangeAssists,Travels,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctBlocked,AtRimPctAssisted,ShortMidRangePctAssisted,PenaltyArc3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,PtsPutbacks,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceFg2Pct,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceCorner3FGA,Offensive Fouls,Defensive 3 Seconds Violations,LongMidRangePctAssisted,SecondChanceCorner3Frequency,DefensiveGoaltends,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,Charge Fouls,Blocked3s,BlockedArc3,BlockedShortMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,BlockedLongMidRange,on,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3PctAssisted,BlockedCorner3,OffensiveGoaltends,SecondChanceAtRimPctAssisted,Arc3PctBlocked,Clear Path Fouls,3SecondViolations
1628372,1610612752,Dennis Smith Jr.,Dennis Smith Jr.,1628372,NYK,147.0,2,-3,5,5,4,5,10,1.0,1.0,1.0,2.0,2.0,5,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4,0.5,0.5,1.0,40.0,1.0,1.0,1.0,0.48315,0.48315,0.5,1.0,1.0,25.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1628373,1610612752,Frank Ntilikina,Frank Ntilikina,1628373,NYK,19317.0,322,-34,638,650,135,176,1288,28.0,2.0,48.0,8.0,89.0,694,4.0,4.0,11.0,27.0,18.0,5.0,18.0,45.0,16.0,18.0,5.0,9.0,131,0.5114942528735632,0.5,0.6075949367088608,13.900709219858156,0.35443037974683544,0.2857142857142857,0.6455696202531646,0.5090371794871794,0.4963642857142857,0.060240963855421686,0.14285714285714285,0.12359550561797752,25.233333333333334,0.2115987460815047,58.0,2.0,3.0,2.0,12.0,2.0,16.0,13.0,20.0,1.0,2.0,10.0,1.0,2.0,6.0,31.0,23.0,3.0,1.0,2.0,1.0,4.0,2.0,3.0,1.0,12.0,66.0,3.0,1.0,10.0,3.0,9.0,10.0,19.0,9.0,1.0,6.0,3.0,48.0,1.0,5.0,10.0,13.0,2.0,25.0,6.0,31.0,1.0,13.0,10.0,1.0,7.0,1.0,3.0,11.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,5.0,3.0,0.9565217391304348,0.4791666666666667,0.5,0.25,0.48936170212765956,0.1935483870967742,0.6666666666666666,0.5126582278481012,0.3,0.5,0.3333333333333333,0.0967741935483871,0.16666666666666666,0.0625,0.9090909090909091,0.2,0.08074534161490683,0.027777777777777776,0.06993006993006994,0.008,0.0756578947368421,0.019672131147540985,0.0379746835443038,0.0392156862745098,0.010526315789473684,0.06944444444444445,0.043478260869565216,0.13953488372093023,0.08163265306122448,0.044444444444444446,0.022222222222222223,0.25,0.0379746835443038,0.6666666666666666,0.6666666666666666,0.1518987341772152,0.16666666666666666,0.2,0.20253164556962025,0.125,0.13333333333333333,0.25316455696202533,0.65,0.65,1.0,0.35714285714285715,0.35714285714285715,0.9,0.4,0.5,1.0,0.2857142857142857,0.5,0.37037037037037035,0.49565000000000003,0.0449438202247191,13.06774193548387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1628995,1610612752,Kevin Knox II,Kevin Knox II,1628995,NYK,3755.0,63,16,134,137,66,54,271,7.0,4.0,10.0,2.0,29.0,123,7.0,,12.0,7.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,12.0,65,0.725,0.6666666666666666,0.5263157894736842,14.864864864864865,0.3684210526315789,0.4444444444444444,0.7894736842105263,0.5067631578947369,0.49629999999999996,0.1,0.2,0.41379310344827586,25.890000000000004,0.4925373134328358,12.0,2.0,5.0,1.0,1.0,,3.0,3.0,3.0,3.0,3.0,4.0,,,3.0,9.0,7.0,,,,,,,2.0,4.0,,21.0,,,4.0,1.0,2.0,2.0,4.0,2.0,,1.0,,10.0,,,2.0,4.0,,6.0,,6.0,,1.0,1.0,,1.0,1.0,,2.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,0.7,,0.5714285714285714,0.7,0.3333333333333333,,0.7105263157894737,,0.6666666666666666,,0.1111111111111111,,,0.5,,0.13333333333333333,,0.05263157894736842,,0.08823529411764706,,,,,0.1875,0.1111111111111111,,0.06896551724137931,,,1.0,0.2631578947368421,0.4,0.5,0.05263157894736842,1.0,1.0,0.15789473684210525,,,0.15789473684210525,1.0,1.0,1.0,0.5714285714285714,0.5714285714285714,1.0,,,,0.3333333333333333,1.0,0.5714285714285714,,,7.7333333333333325,1.0,6.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1629033,1610612752,Theo Pinson,Theo Pinson,1629033,NYK,899.0,15,-9,36,37,31,31,73,3.0,2.0,3.0,,,39,2.0,,,3.0,,,,1.0,,,,,31,,,1.0,10.526315789473685,1.0,1.0,1.0,0.4981,0.496425,,,,26.0,0.8611111111111112,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,3.0,,,3.0,1.0,,4.0,,4.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.14285714285714285,,0.2727272727272727,,0.2222222222222222,,,,,,0.5,,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
203457,1610612752,Nerlens Noel,Nerlens Noel,203457,NYK,7835.0,131,-32,250,258,43,50,508,,,,2.0,16.0,280,,,2.0,,4.0,2.0,3.0,12.0,5.0,2.0,1.0,2.0,41,0.6153846153846154,0.3333333333333333,,9.025270758122744,,,0.75,0.6278666666666667,0.8041,0.07692307692307693,0.07692307692307693,0.125,,0.172,24.0,4.0,9.0,2.0,2.0,1.0,1.0,,,,,,,,7.0,12.0,,3.0,,,,4.0,1.0,3.0,,6.0,,,,,1.0,2.0,2.0,4.0,2.0,,2.0,,10.0,4.0,9.0,12.0,6.0,,18.0,13.0,31.0,1.0,2.0,4.0,1.0,2.0,8.0,2.0,12.0,1.0,3.0,3.0,,,,,,,9.0,9.0,9.0,7.0,,,,,,,,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.08333333333333333,,,0.3333333333333333,,0.08955223880597014,0.12,0.20689655172413793,0.08888888888888889,0.144,0.10833333333333334,0.14285714285714285,0.08,0.10810810810810811,0.06451612903225806,0.17647058823529413,0.05263157894736842,0.18421052631578946,0.25,0.25,0.7777777777777778,0.75,0.4444444444444444,0.5,0.16666666666666666,1.0,1.0,0.08333333333333333,1.0,1.0,,,,,,,,,,,,,,0.6766333333333333,0.25,3.9,,8.0,,2.0,0.5714285714285714,0.6666666666666666,0.1111111111111111,0.75,0.5,,1.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,0.6666666666666666,0.13636363636363635,0.6666666666666666,0.5,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
203944,1610612752,Julius Randle,Julius Randle,203944,NYK,11350.0,189,-33,375,380,72,97,755,18.0,2.0,22.0,14.0,100.0,398,4.0,5.0,22.0,18.0,5.0,2.0,6.0,14.0,24.0,18.0,9.0,22.0,70,0.49019607843137253,0.6111111111111112,0.23157894736842105,28.229665071770338,0.18947368421052632,0.125,0.3894736842105263,0.4569668421052632,0.41275,0.09,0.11538461538461539,0.22,25.25,0.192,36.0,10.0,15.0,12.0,32.0,9.0,26.0,1.0,4.0,,2.0,7.0,,2.0,31.0,73.0,8.0,8.0,,3.0,1.0,9.0,7.0,12.0,1.0,48.0,18.0,6.0,,7.0,2.0,16.0,16.0,32.0,9.0,7.0,12.0,,80.0,1.0,4.0,19.0,36.0,2.0,57.0,5.0,62.0,1.0,3.0,7.0,1.0,4.0,9.0,3.0,16.0,,1.0,1.0,,1.0,,4.0,,2.0,,,,,1.0,2.0,0.75,0.36363636363636365,,0.25,0.36363636363636365,0.4246575342465753,0.5833333333333334,0.45263157894736844,0.36363636363636365,0.53125,0.375,0.0273972602739726,0.0625,,0.4375,0.5,0.36,0.034482758620689655,0.2261904761904762,0.013513513513513514,0.29891304347826086,0.02631578947368421,0.04081632653061224,,0.018867924528301886,0.4186046511627907,0.3,0.3333333333333333,0.1320754716981132,0.3870967741935484,0.0196078431372549,,0.15789473684210525,0.6666666666666666,0.6666666666666666,0.3368421052631579,0.375,0.4,0.2736842105263158,0.34615384615384615,0.34615384615384615,0.042105263157894736,0.25,0.25,,0.3888888888888889,0.3888888888888889,0.8571428571428571,0.18181818181818182,,,0.125,,0.3888888888888889,0.4733625,0.09,10.75890410958904,1.0,14.0,4.0,4.0,0.22580645161290322,0.23333333333333334,,0.2,0.08333333333333333,0.5,1.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,0.5,0.06666666666666667,0.18181818181818182,0.5,0.125,0.5,1.0,2.0,1.0,0.4444444444444444,0.09090909090909091,,,,,,,,,,,,,,,,True,,,,,,,,,
1629011,1610612752,Mitchell Robinson,Mitchell Robinson,1629011,NYK,2946.0,49,-10,97,99,17,23,196,,,,2.0,12.0,110,,,,,2.0,1.0,3.0,5.0,5.0,4.0,2.0,,17,0.42857142857142855,,,12.931034482758621,,,0.9166666666666666,0.655475,0.6014,0.14285714285714285,0.14285714285714285,,,0.17525773195876287,16.0,5.0,11.0,,1.0,,,,,,,,,,5.0,12.0,,9.0,,,2.0,8.0,,1.0,,8.0,,,,,1.0,1.0,2.0,3.0,2.0,,1.0,,8.0,,11.0,2.0,5.0,,7.0,11.0,18.0,2.0,1.0,,,,1.0,,1.0,,,,,1.0,,,,,2.0,2.0,2.0,2.0,,,,,,,,0.4166666666666667,,0.4166666666666667,0.3333333333333333,,0.4,0.08333333333333333,,,,,0.2,0.2894736842105263,0.13333333333333333,,0.175,0.19642857142857142,0.21428571428571427,0.2,,0.25,,0.2857142857142857,0.125,0.14285714285714285,0.3333333333333333,1.0,0.9166666666666666,0.45454545454545453,0.5,0.08333333333333333,,,,,,,,,,,,,,,,,,,0.6598333333333334,0.6666666666666666,1.2416666666666665,,2.0,,,0.2,0.5,0.09090909090909091,0.2,,,3.0,8.0,,1.0,3.0,6.0,,,0.3333333333333333,0.42857142857142855,0.8888888888888888,0.375,1.0,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,True,,,,,,,,,
1629607,1610612752,Jared Harper,Jared Harper,1629607,NYK,735.0,12,-6,30,30,22,28,60,1.0,1.0,1.0,1.0,1.0,28,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,2.0,,1.0,22,0.1,0.16666666666666666,0.25,18.75,0.25,0.5,0.25,0.457975,0.4741,,,1.0,25.9,0.7333333333333333,3.0,,,,3.0,,,,,,,,,,,3.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,3.0,,,2.0,,,2.0,,2.0,,,,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.25,,0.11764705882352941,,,,,,,,0.3333333333333333,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,8.066666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,
1630193,1610612752,Immanuel Quickley,Immanuel Quickley,1630193,NYK,5015.0,84,-1,171,165,41,43,336,31.0,10.0,32.0,34.0,81.0,192,10.0,19.0,36.0,31.0,2.0,,3.0,7.0,23.0,38.0,9.0,34.0,40,0.6666666666666666,0.8571428571428571,0.7272727272727273,34.40860215053763,0.7045454545454546,0.8333333333333334,0.7727272727272727,0.49581136363636363,0.5088083333333334,0.25,0.42857142857142855,0.4444444444444444,26.646875,0.23976608187134502,16.0,1.0,2.0,1.0,8.0,2.0,2.0,,1.0,,,13.0,2.0,2.0,4.0,12.0,13.0,,2.0,2.0,,6.0,1.0,2.0,5.0,8.0,24.0,15.0,,13.0,,2.0,4.0,6.0,3.0,1.0,1.0,1.0,16.0,1.0,1.0,7.0,2.0,1.0,10.0,2.0,12.0,1.0,2.0,1.0,,,4.0,1.0,5.0,,,,,,1.0,,1.0,4.0,,,,,,2.0,0.6153846153846154,0.40625,1.0,0.5,0.40625,0.3333333333333333,0.5,0.5340909090909091,1.5,0.7083333333333334,1.5,,,,0.2,0.25,0.05555555555555555,0.03225806451612903,0.22580645161290322,0.02564102564102564,0.13432835820895522,0.02857142857142857,,0.14285714285714285,0.030303030303030304,0.05,,0.125,0.21739130434782608,0.25,0.037037037037037035,,0.045454545454545456,0.5,0.5,0.18181818181818182,0.125,0.125,0.045454545454545456,1.0,1.0,0.022727272727272728,,,,0.41935483870967744,0.41935483870967744,0.6153846153846154,1.0,1.0,1.0,,,0.41935483870967744,0.53115,0.07407407407407407,7.983333333333332,5.0,,,3.0,,,,,,0.5,,,1.0,2.0,,,,,,,,,0.16666666666666666,0.5,,1.0,,,,,2.0,5.0,0.14285714285714285,,,,,,,,,,,,True,,,,,,,,,
1629628,1610612752,RJ Barrett,RJ Barrett,1629628,NYK,8164.0,136,-36,268,278,44,68,546,7.0,3.0,16.0,14.0,69.0,299,4.0,3.0,11.0,7.0,2.0,,5.0,11.0,16.0,23.0,11.0,11.0,41,0.45394736842105265,0.4230769230769231,0.24615384615384617,28.23920265780731,0.1076923076923077,0.3,0.7538461538461538,0.5327853846153846,0.48253,0.14666666666666667,0.1864406779661017,0.15942028985507245,24.2125,0.16417910447761194,24.0,22.0,33.0,1.0,12.0,,4.0,1.0,9.0,,1.0,2.0,,,23.0,49.0,3.0,5.0,,3.0,,4.0,4.0,6.0,,30.0,9.0,,,2.0,4.0,5.0,3.0,8.0,,3.0,5.0,,19.0,1.0,3.0,14.0,9.0,1.0,24.0,4.0,28.0,2.0,2.0,7.0,1.0,5.0,2.0,2.0,9.0,,4.0,2.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,0.1875,,,0.1875,0.46938775510204084,0.6666666666666666,0.4230769230769231,0.25,0.4,0.25,0.08163265306122448,0.08333333333333333,,0.7777777777777778,0.25,0.12857142857142856,0.034482758620689655,0.2,0.02127659574468085,0.16428571428571428,0.029850746268656716,,0.041666666666666664,,0.07692307692307693,0.13636363636363635,0.18181818181818182,0.21739130434782608,0.16666666666666666,0.0625,,0.5076923076923077,0.6666666666666666,0.7333333333333333,0.18461538461538463,0.08333333333333333,0.09090909090909091,0.06153846153846154,,,0.13846153846153847,0.1111111111111111,0.125,1.0,0.2857142857142857,0.2857142857142857,1.0,,,,0.1,,0.2857142857142857,0.5457428571428572,0.057971014492753624,4.761224489795919,,16.0,,1.0,0.34782608695652173,0.38095238095238093,0.09090909090909091,0.3181818181818182,1.0,,2.0,3.0,3.0,4.0,2.0,4.0,,,0.4,0.07692307692307693,0.375,0.6666666666666666,0.4,0.75,3.0,,,,0.375,,,,,1.0,0.0625,0.1111111111111111,0.05263157894736842,,,,,,,,True,,,,,,,,,
