EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Fg3aBlocked,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,Travels,NonShootingPenaltyNonTakeFouls,FG3APctBlocked,Arc3PctBlocked,PtsUnassisted3s,FTOffRebounds,Technical Free Throw Trips,LongMidRangePctBlocked,OffFTReboundPct,PenaltyCorner3FGM,HeaveAttempts,StepOutOfBoundsTurnovers,BlockedLongMidRange,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,DefensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,Clear Path Fouls,OffensiveGoaltends,on,3SecondViolations
1626167,1610612754,Myles Turner,Myles Turner,1626167,IND,19629.0,327,51,678,675,143,172,53,1353,34.0,55.0,3.0,8.0,7.0,9.0,10.0,19.0,2.0,4.0,3.0,6.0,1.0,12.0,31.0,1.0,2.0,2.0,6.0,46.0,78.0,15.0,37.0,45.0,182.0,730,3.0,9.0,1.0,2.0,4.0,13.0,8.0,16.0,2.0,7.0,12.0,34.0,78.0,14.0,45.0,4.0,31.0,12.0,5.0,9.0,3.0,12.0,2.0,1.0,7.0,2.0,27.0,8.0,9.0,30.0,34.0,4.0,68.0,17.0,85.0,1.0,8.0,4.0,4.0,9.0,3.0,4.0,9.0,5.0,18.0,1.0,2.0,23.0,37.0,4.0,2.0,2.0,41.0,2.0,2.0,55.0,3.0,26.0,3.0,38.0,27.0,11.0,38.0,25.0,1.0,34.0,141,3.0,0.8478260869565217,0.8863636363636364,1.0,0.40540540540540543,0.5,0.2857142857142857,0.40540540540540543,0.5897435897435898,0.3333333333333333,0.5,0.5956521739130435,0.4090909090909091,0.4782608695652174,0.6453900709219859,0.4642857142857143,0.5666666666666667,0.3217391304347826,0.0641025641025641,0.05454545454545454,0.10526315789473684,21.31367292225201,0.5,0.3076923076923077,0.1596244131455399,0.049723756906077346,0.23809523809523808,0.06779661016949153,0.1887905604719764,0.056856187290969896,0.03773584905660377,0.07407407407407407,0.047619047619047616,0.06451612903225806,0.08,0.16346153846153846,0.13157894736842105,0.21212121212121213,0.23711340206185566,0.2413793103448276,0.020833333333333332,0.6578947368421053,0.4782608695652174,0.6181818181818182,0.6538461538461539,0.8823529411764706,0.16521739130434782,0.5263157894736842,0.5882352941176471,0.7,0.034782608695652174,0.5,0.5,1.0,0.05217391304347826,0.5,0.5,1.0,0.26956521739130435,0.3870967741935484,0.3870967741935484,1.0,0.7272727272727273,0.375,0.3333333333333333,0.18181818181818182,0.5,1.0,0.391304347826087,0.7777777777777778,0.043478260869565216,0.2608695652173913,0.3333333333333333,0.8,0.3870967741935484,0.5616582608695653,0.6823625000000001,0.5265304347826089,0.18840579710144928,0.25742574257425743,0.07142857142857142,0.18681318681318682,3.658974358974359,26.270270270270267,0.21091445427728614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1627734,1610612754,Domantas Sabonis,Domantas Sabonis,1627734,IND,32868.0,548,-61,1165,1145,268,253,98,2310,83.0,108.0,13.0,21.0,18.0,23.0,17.0,45.0,7.0,18.0,1.0,2.0,,15.0,39.0,,2.0,4.0,12.0,107.0,171.0,16.0,41.0,53.0,315.0,1358,13.0,24.0,,2.0,7.0,33.0,24.0,36.0,4.0,12.0,21.0,81.0,140.0,74.0,48.0,14.0,39.0,15.0,14.0,58.0,31.0,89.0,25.0,6.0,37.0,11.0,209.0,7.0,27.0,53.0,67.0,13.0,133.0,34.0,167.0,4.0,15.0,12.0,3.0,28.0,4.0,11.0,21.0,17.0,49.0,5.0,12.0,20.0,56.0,2.0,10.0,6.0,82.0,8.0,3.0,81.0,13.0,42.0,5.0,11.0,10.0,1.0,11.0,7.0,,79.0,263,4.0,0.6542056074766355,0.7,1.0,0.3902439024390244,,0.3333333333333333,0.3902439024390244,0.6257309941520468,0.5416666666666666,0.6666666666666666,0.6179245283018868,0.5,0.625,0.6402439024390244,0.532258064516129,0.6428571428571429,0.19339622641509435,0.08187134502923976,0.07407407407407407,0.13333333333333333,23.21007081038552,0.5714285714285714,0.5,0.22789115646258504,0.09278350515463918,0.2560386473429952,0.03333333333333333,0.23952095808383234,0.06786427145708583,0.09701492537313433,0.125,,0.011976047904191617,0.11627906976744186,0.21875,0.23008849557522124,0.24528301886792453,0.25625,0.2553191489361702,0.05405405405405406,0.6363636363636364,0.5094339622641509,0.7685185185185185,0.83,0.7228915662650602,0.21226415094339623,0.37777777777777777,0.4358974358974359,0.47058823529411764,0.08490566037735849,0.3888888888888889,0.3888888888888889,0.2857142857142857,0.009433962264150943,0.5,0.5,1.0,0.18396226415094338,0.38461538461538464,0.39473684210526316,1.0,0.8076923076923077,0.6190476190476191,0.38461538461538464,0.07692307692307693,,,0.4791666666666667,0.782608695652174,,0.25,0.3333333333333333,0.7028301886792453,0.38461538461538464,0.5385742924528303,0.6062000000000001,0.529840625,0.17427385892116182,0.21,0.10476190476190476,0.2571428571428571,4.665497076023392,26.268292682926823,0.23004291845493563,1.0,10.0,1.0,7.0,2.0,0.024390243902439025,0.02564102564102564,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1627763,1610612754,Malcolm Brogdon,Malcolm Brogdon,1627763,IND,19263.0,321,-22,668,661,175,197,61,1329,31.0,67.0,3.0,8.0,11.0,22.0,10.0,21.0,14.0,29.0,1.0,3.0,,25.0,52.0,2.0,3.0,5.0,12.0,55.0,117.0,26.0,55.0,24.0,212.0,766,3.0,8.0,2.0,3.0,1.0,13.0,17.0,34.0,5.0,12.0,10.0,59.0,16.0,94.0,45.0,4.0,52.0,25.0,10.0,38.0,22.0,60.0,17.0,5.0,31.0,6.0,142.0,3.0,5.0,16.0,20.0,2.0,38.0,9.0,47.0,3.0,13.0,7.0,6.0,10.0,2.0,7.0,4.0,3.0,14.0,1.0,4.0,10.0,18.0,1.0,2.0,,27.0,2.0,1.0,29.0,8.0,13.0,3.0,2.0,2.0,,2.0,2.0,,58.0,172,2.0,0.14545454545454545,0.1509433962264151,0.5769230769230769,0.4727272727272727,0.6666666666666666,0.4166666666666667,0.4727272727272727,0.4700854700854701,0.375,0.5,0.5465116279069767,0.5454545454545454,0.532608695652174,0.5777777777777777,0.5416666666666666,0.57,0.31976744186046513,0.08547008547008547,0.11940298507462686,0.047619047619047616,26.11036339165545,0.7142857142857143,0.2,0.10526315789473684,0.026041666666666668,0.12903225806451613,0.022727272727272728,0.11464968152866242,0.024691358024691357,0.02912621359223301,0.03508771929824561,,0.019417475728155338,0.034482758620689655,0.1134020618556701,0.045454545454545456,0.2222222222222222,0.12244897959183673,0.15384615384615385,0.0379746835443038,1.0,0.38953488372093026,0.4626865671641791,0.5254237288135594,0.16129032258064516,0.12209302325581395,0.47619047619047616,0.5,0.1,0.1686046511627907,0.4827586206896552,0.5,0.14285714285714285,0.01744186046511628,0.3333333333333333,0.3333333333333333,1.0,0.3023255813953488,0.4807692307692308,0.49019607843137253,0.56,0.7272727272727273,0.375,,0.2727272727272727,0.6666666666666666,0.5,0.4782608695652174,0.5,,0.2608695652173913,0.4166666666666667,0.7093023255813954,0.4807692307692308,0.5192177325581395,0.6047,0.5232271739130435,0.07344632768361582,0.10655737704918032,0.06132075471698113,0.2783018867924528,6.84017094017094,26.723636363636366,0.2619760479041916,1.0,1.0,1.0,,,0.01818181818181818,0.019230769230769232,33.0,1.0,5.0,0.034482758620689655,0.06666666666666667,,,,,,,,,,,,,,,,,,,,,,True,
1628410,1610612754,Edmond Sumner,Edmond Sumner,1628410,IND,14194.0,237,-2,502,504,103,132,59,1006,27.0,37.0,1.0,1.0,3.0,5.0,4.0,16.0,,3.0,5.0,11.0,3.0,2.0,10.0,,2.0,,4.0,31.0,56.0,7.0,21.0,24.0,107.0,560,1.0,3.0,,2.0,3.0,5.0,4.0,9.0,1.0,7.0,3.0,14.0,48.0,14.0,18.0,,9.0,2.0,4.0,7.0,5.0,12.0,3.0,2.0,4.0,2.0,29.0,3.0,,14.0,11.0,1.0,26.0,3.0,29.0,,7.0,4.0,3.0,4.0,4.0,3.0,8.0,1.0,12.0,1.0,4.0,7.0,20.0,1.0,2.0,1.0,21.0,,1.0,31.0,3.0,17.0,,3.0,1.0,1.0,3.0,3.0,,14.0,103,,0.7741935483870968,0.7741935483870968,0.8571428571428571,0.3333333333333333,,0.14285714285714285,0.35,0.5535714285714286,0.3333333333333333,0.4444444444444444,0.538961038961039,0.2,0.34375,0.5879120879120879,0.35714285714285715,0.3888888888888889,0.2727272727272727,0.07142857142857142,0.05405405405405406,0.125,18.19787985865724,0.3333333333333333,0.07142857142857142,0.08333333333333333,,0.15384615384615385,0.03529411764705882,0.11210762331838565,0.013333333333333334,,,,0.04285714285714286,,0.06896551724137931,0.020833333333333332,0.23076923076923078,0.0967741935483871,0.27586206896551724,,1.0,0.4805194805194805,0.7297297297297297,0.7714285714285715,0.7777777777777778,0.2077922077922078,0.25,0.2857142857142857,0.75,0.03896103896103896,,,,0.14285714285714285,0.45454545454545453,0.45454545454545453,1.0,0.12987012987012986,0.2,0.2,0.5,0.2,1.0,1.0,0.4,,,0.3125,0.6,0.1875,0.25,,0.7532467532467533,0.2222222222222222,0.5708796052631581,0.6325,0.51601,0.18681318681318682,0.24285714285714285,0.04672897196261682,0.1308411214953271,3.841071428571429,26.79523809523809,0.2051792828685259,,1.0,1.0,,1.0,,,3.0,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,True,
1628988,1610612754,Aaron Holiday,Aaron Holiday,1628988,IND,70563.0,1176,3,2499,2485,548,609,253,4984,58.0,129.0,2.0,6.0,11.0,19.0,30.0,94.0,15.0,31.0,20.0,37.0,8.0,47.0,145.0,4.0,13.0,8.0,27.0,103.0,254.0,67.0,182.0,68.0,475.0,2816,5.0,17.0,6.0,17.0,5.0,33.0,24.0,42.0,11.0,35.0,28.0,109.0,94.0,112.0,186.0,2.0,144.0,47.0,32.0,76.0,47.0,123.0,28.0,19.0,52.0,15.0,293.0,3.0,11.0,33.0,41.0,,74.0,15.0,89.0,8.0,46.0,30.0,16.0,45.0,7.0,32.0,21.0,13.0,66.0,1.0,12.0,36.0,94.0,4.0,4.0,,74.0,1.0,12.0,83.0,2.0,33.0,9.0,13.0,5.0,6.0,13.0,9.0,,105.0,541,6.0,0.4563106796116505,0.46078431372549017,0.9253731343283582,0.36813186813186816,0.35294117647058826,0.3142857142857143,0.3701657458563536,0.40551181102362205,0.29411764705882354,0.5714285714285714,0.46674311926605505,0.4117647058823529,0.525974025974026,0.49789915966386555,0.4444444444444444,0.5797872340425532,0.41743119266055045,0.12598425196850394,0.13953488372093023,0.13829787234042554,19.39763356041592,0.6818181818181818,,0.06020558002936858,0.016417910447761194,0.07158351409978309,0.0066518847006651885,0.0647985989492119,0.012488849241748439,0.015384615384615385,0.022988505747126436,,0.005405405405405406,0.012345679012345678,0.0375,0.06938775510204082,0.10344827586206896,0.07736389684813753,0.05357142857142857,0.034934497816593885,0.6923076923076923,0.2958715596330275,0.4496124031007752,0.5225225225225225,0.5517241379310345,0.21559633027522937,0.3191489361702128,0.37037037037037035,0.43333333333333335,0.07110091743119266,0.4838709677419355,0.5,0.13333333333333333,0.08486238532110092,0.5405405405405406,0.5405405405405406,1.0,0.33256880733944955,0.32413793103448274,0.32413793103448274,0.8936170212765957,0.17647058823529413,0.3333333333333333,0.5,0.38235294117647056,0.3076923076923077,1.0,0.24675324675324675,0.5789473684210527,0.1038961038961039,0.35064935064935066,0.2962962962962963,0.713302752293578,0.3263888888888889,0.5195764976958528,0.46281799999999995,0.5034186666666667,0.07066381156316917,0.11578947368421053,0.06947368421052631,0.2294736842105263,6.0669291338582685,26.353846153846153,0.21928771508603442,,9.0,3.0,4.0,11.0,,,15.0,1.0,2.0,0.03225806451612903,0.015151515151515152,3.0,1.0,2.0,2.0,0.375,2.0,4.0,1.0,0.11764705882352941,0.5,1.0,,,,,,,,,,,True,
203087,1610612754,Jeremy Lamb,Jeremy Lamb,203087,IND,21230.0,354,-65,743,751,136,136,71,1494,19.0,33.0,5.0,8.0,3.0,4.0,15.0,34.0,7.0,15.0,2.0,6.0,,19.0,54.0,1.0,3.0,4.0,9.0,41.0,82.0,21.0,60.0,41.0,186.0,884,5.0,9.0,1.0,3.0,5.0,18.0,8.0,13.0,4.0,9.0,7.0,35.0,42.0,40.0,45.0,6.0,53.0,19.0,5.0,12.0,5.0,17.0,3.0,2.0,6.0,4.0,39.0,4.0,6.0,19.0,26.0,6.0,51.0,11.0,62.0,5.0,16.0,11.0,5.0,8.0,1.0,5.0,5.0,3.0,13.0,,1.0,18.0,31.0,1.0,1.0,1.0,41.0,2.0,1.0,45.0,6.0,23.0,3.0,11.0,7.0,3.0,11.0,8.0,,35.0,135,1.0,0.5121951219512195,0.5526315789473685,0.7142857142857143,0.35,0.3333333333333333,0.4444444444444444,0.3559322033898305,0.5,0.5555555555555556,0.6153846153846154,0.5105633802816901,0.5416666666666666,0.6363636363636364,0.5709876543209876,0.6,0.7,0.4225352112676056,0.06097560975609756,0.09090909090909091,0.058823529411764705,21.046228710462284,0.6153846153846154,0.375,0.12935323383084577,0.031413612565445025,0.13768115942028986,0.028169014084507043,0.13274336283185842,0.03003003003003003,0.030612244897959183,0.02631578947368421,0.058823529411764705,0.02608695652173913,0.037037037037037035,0.13725490196078433,0.125,0.1111111111111111,0.15384615384615385,0.08823529411764706,0.07142857142857142,0.7272727272727273,0.2323943661971831,0.5757575757575758,0.6333333333333333,0.3684210526315789,0.23943661971830985,0.4411764705882353,0.46875,0.6,0.1056338028169014,0.4666666666666667,0.4666666666666667,0.7142857142857143,0.04225352112676056,0.3333333333333333,0.3333333333333333,1.0,0.38028169014084506,0.35185185185185186,0.35185185185185186,0.6842105263157895,0.6666666666666666,0.625,0.4,0.25,0.3333333333333333,,0.18181818181818182,0.75,,0.4090909090909091,0.4444444444444444,0.6549295774647887,0.3584905660377358,0.5153858156028368,0.5392611111111111,0.4905857142857143,0.14465408805031446,0.23232323232323232,0.0967741935483871,0.1881720430107527,7.349999999999999,26.884999999999998,0.18304172274562583,,2.0,1.0,1.0,1.0,,,18.0,1.0,1.0,,0.07692307692307693,,1.0,,1.0,,,,,,,,2.0,,,,,,,,,,True,
203200,1610612754,Justin Holiday,Justin Holiday,203200,IND,27043.0,451,46,974,957,240,226,87,1931,15.0,26.0,1.0,3.0,4.0,4.0,1.0,4.0,5.0,10.0,21.0,36.0,7.0,12.0,52.0,1.0,3.0,,8.0,21.0,40.0,33.0,88.0,27.0,168.0,1071,3.0,6.0,4.0,7.0,4.0,22.0,6.0,6.0,5.0,15.0,6.0,33.0,26.0,16.0,99.0,2.0,52.0,12.0,3.0,22.0,8.0,30.0,4.0,4.0,15.0,5.0,68.0,4.0,1.0,26.0,27.0,5.0,58.0,6.0,64.0,,18.0,13.0,5.0,8.0,2.0,5.0,3.0,3.0,11.0,,3.0,16.0,31.0,,1.0,,23.0,1.0,2.0,32.0,,10.0,1.0,6.0,3.0,3.0,10.0,5.0,,31.0,233,,0.6190476190476191,0.65,1.0,0.375,0.5714285714285714,0.3333333333333333,0.375,0.525,0.5,1.0,0.55078125,0.6923076923076923,0.6428571428571429,0.5915492957746479,0.7333333333333333,0.66,0.6875,0.075,0.038461538461538464,0.25,14.259086672879775,0.7272727272727273,0.2631578947368421,0.10344827586206896,0.004048582995951417,0.143646408839779,0.022598870056497175,0.11990950226244344,0.01179245283018868,,0.010416666666666666,,0.02702702702702703,,0.11627906976744186,0.07058823529411765,0.1276595744680851,0.14184397163120568,0.15,,0.5,0.203125,0.5769230769230769,0.6,0.6,0.03125,0.25,0.3333333333333333,1.0,0.078125,0.5,0.5555555555555556,0.6,0.28125,0.5833333333333334,0.5833333333333334,1.0,0.40625,0.23076923076923078,0.23076923076923078,1.0,0.23076923076923078,0.3333333333333333,,0.23076923076923078,0.3333333333333333,1.0,0.19047619047619047,1.0,0.3333333333333333,0.38095238095238093,,0.890625,0.23076923076923078,0.5614816406250003,0.5540375000000001,0.5967357142857143,0.09929078014184398,0.2,0.13095238095238096,0.19642857142857142,6.28,25.076136363636365,0.2464065708418891,,2.0,,1.0,2.0,,,,1.0,,0.1,0.03571428571428571,5.0,,,,0.7142857142857143,3.0,4.0,,0.3076923076923077,0.75,1.0,,1.0,4.0,4.0,3.0,1.0,0.04395604395604396,,,,True,
203506,1610612754,Victor Oladipo,Victor Oladipo,203506,IND,6253.0,104,-7,206,208,22,29,18,414,6.0,20.0,1.0,1.0,,1.0,2.0,5.0,1.0,5.0,,3.0,,9.0,23.0,,,,3.0,9.0,30.0,9.0,26.0,10.0,55.0,247,1.0,1.0,,,,2.0,1.0,3.0,,3.0,8.0,10.0,6.0,12.0,21.0,,23.0,9.0,5.0,5.0,6.0,11.0,6.0,,5.0,,28.0,,1.0,8.0,9.0,,17.0,1.0,18.0,1.0,3.0,,3.0,3.0,,3.0,2.0,,5.0,,,4.0,13.0,1.0,1.0,1.0,13.0,,1.0,15.0,,4.0,,1.0,,1.0,1.0,,,10.0,22,,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.34615384615384615,,,0.34615384615384615,0.3,1.0,0.3333333333333333,0.4017857142857143,1.0,0.16666666666666666,0.4435483870967742,1.0,0.45454545454545453,0.4642857142857143,0.16666666666666666,0.2,0.2,29.25764192139738,0.6,,0.13432835820895522,0.01694915254237288,0.24242424242424243,,0.17,0.009523809523809525,,,0.07142857142857142,,,0.08571428571428572,0.16666666666666666,0.25,0.24,0.25,0.03125,,0.35714285714285715,0.3,0.375,0.3333333333333333,0.08928571428571429,0.4,0.5,,0.08928571428571429,0.2,0.2,1.0,0.05357142857142857,,,,0.4107142857142857,0.391304347826087,0.391304347826087,0.7777777777777778,1.0,1.0,,,,,0.16666666666666666,,,0.5,,0.8214285714285714,0.391304347826087,0.5367651785714286,,0.46775833333333333,0.0967741935483871,0.11764705882352941,0.03636363636363636,0.18181818181818182,5.776666666666666,26.342307692307692,0.10679611650485436,,,,,1.0,,,6.0,,1.0,,,,,,,,,,,,,,1.0,,2.0,,,,0.07142857142857142,,,,True,
203926,1610612754,Doug McDermott,Doug McDermott,203926,IND,31610.0,527,-63,1127,1113,229,259,108,2240,81.0,104.0,20.0,26.0,19.0,21.0,6.0,16.0,1.0,2.0,7.0,16.0,1.0,21.0,57.0,1.0,4.0,3.0,14.0,88.0,122.0,28.0,73.0,33.0,293.0,1307,20.0,30.0,3.0,6.0,7.0,56.0,19.0,22.0,3.0,15.0,12.0,59.0,128.0,48.0,84.0,30.0,57.0,21.0,12.0,13.0,12.0,25.0,5.0,7.0,5.0,7.0,62.0,4.0,20.0,25.0,33.0,1.0,59.0,24.0,83.0,2.0,7.0,5.0,2.0,15.0,2.0,9.0,9.0,6.0,24.0,2.0,4.0,13.0,36.0,1.0,5.0,,34.0,3.0,1.0,42.0,6.0,21.0,2.0,2.0,1.0,1.0,2.0,2.0,,59.0,227,2.0,0.7272727272727273,0.8767123287671232,1.0,0.3835616438356164,0.5,0.2,0.3835616438356164,0.7213114754098361,0.6666666666666666,0.8636363636363636,0.6666666666666666,0.6805555555555556,0.6351351351351351,0.6910377358490566,0.717948717948718,0.686046511627907,0.37435897435897436,0.09836065573770492,0.0673076923076923,0.3125,18.849840255591054,0.625,0.030303030303030304,0.10927152317880795,0.06734006734006734,0.12254901960784313,0.02,0.11462450592885376,0.0482897384305835,0.08333333333333333,0.059322033898305086,0.02857142857142857,0.018292682926829267,0.027777777777777776,0.061068702290076333,0.11818181818181818,0.19672131147540983,0.09395973154362416,0.2,0.031746031746031744,1.0,0.5333333333333333,0.7788461538461539,0.8350515463917526,0.7407407407407407,0.08205128205128205,0.375,0.5454545454545454,0.5,0.010256410256410256,0.5,0.5,1.0,0.08205128205128205,0.4375,0.4666666666666667,1.0,0.2923076923076923,0.3684210526315789,0.375,1.0,0.7222222222222222,0.7692307692307693,0.15,0.1111111111111111,0.25,1.0,0.5675675675675675,0.9047619047619048,0.02702702702702703,0.3783783783783784,0.21428571428571427,0.9076923076923077,0.3684210526315789,0.5800066666666667,0.6202482758620688,0.5473648648648649,0.10476190476190476,0.15328467153284672,0.19112627986348124,0.20136518771331058,2.4975409836065574,25.863013698630134,0.20319432120674358,2.0,1.0,1.0,4.0,6.0,0.0273972602739726,0.017543859649122806,,,1.0,,,,,1.0,,,2.0,2.0,1.0,0.05555555555555555,1.0,1.0,,1.0,1.0,,,,0.0136986301369863,0.0625,,,True,
203933,1610612754,T.J. Warren,T.J. Warren,203933,IND,1443.0,24,-5,53,54,17,18,6,107,3.0,4.0,,,,,2.0,3.0,3.0,5.0,,1.0,1.0,,,,,,,8.0,12.0,,1.0,1.0,17.0,61,,,,,,,3.0,4.0,,1.0,,6.0,8.0,8.0,,,,,1.0,,,,,,,,,,,1.0,1.0,,2.0,,2.0,,,,,1.0,,,,1.0,1.0,,,2.0,3.0,,,,2.0,,,2.0,2.0,2.0,,,,,,,,6.0,17,,0.5,0.5,,,,,,0.6666666666666666,,0.75,0.6153846153846154,,0.6,0.6538461538461539,,0.6,0.07692307692307693,0.08333333333333333,0.25,,23.333333333333336,1.0,,0.06666666666666667,,0.16666666666666666,,0.09523809523809523,,,,,,,0.2,,,0.25,,,,0.3076923076923077,0.75,1.0,1.0,0.23076923076923078,0.6666666666666666,0.6666666666666666,0.5,0.38461538461538464,0.6,0.6,,0.07692307692307693,,,,,,,,,,,,,,,,0.2,,,0.38461538461538464,,0.4863807692307692,,0.4702100000000001,0.15384615384615385,0.16666666666666666,,0.35294117647058826,10.183333333333335,23.3,0.32075471698113206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
