EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Fg2aBlocked,FTOffRebounds,DefTwoPtRebounds,FTDefRebounds,BadPassTurnovers,LostBallOutOfBoundsTurnovers,Travels,2pt And 1 Free Throw Trips,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,LongMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFtPoints,PtsUnassisted3s,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,LostBallSteals,PenaltyTurnovers,Technical Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,BlockedShortMidRange,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Loose Ball Fouls,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Charge Fouls Drawn,StepOutOfBoundsTurnovers,Transition Take Fouls,HeaveAttempts,LongMidRangePctBlocked,on,Fg3aBlocked,Charge Fouls,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Transition Take Fouls Drawn,Corner3PctBlocked,Clear Path Fouls,3pt And 1 Free Throw Trips
1626153,1610612752,Delon Wright,Delon Wright,1626153,NYK,3046.0,51.0,12.0,91,95.0,24.0,12.0,20.0,186,2.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,4.0,8.0,5.0,6.0,1.0,24.0,103.0,1.0,1.0,2.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,15.0,5.0,4.0,4.0,2.0,6.0,2.0,3.0,1.0,14.0,1.0,3.0,2.0,2.0,4.0,6.0,1.0,4.0,4.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,24.0,0.5,0.5,1.0,0.8333333333333334,1.0,1.0,0.8333333333333334,0.5,1.0,1.0,0.8214285714285714,1.3333333333333333,1.25,0.8,1.125,1.25,0.42857142857142855,16.8141592920354,0.25,0.12,0.09090909090909091,0.0625,0.05,0.0975609756097561,0.2,0.125,0.1111111111111111,0.05555555555555555,0.25,0.2,1.0,0.35714285714285715,0.4,0.4,0.5,0.14285714285714285,0.5,0.5,1.0,0.07142857142857142,1.0,1.0,0.07142857142857142,1.0,1.0,1.0,0.35714285714285715,0.8,0.8,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,1.0,0.7857142857142857,0.8,0.5482821428571428,0.6829999999999999,0.48695,0.06666666666666667,0.1111111111111111,0.375,0.20833333333333334,6.449999999999999,25.433333333333334,0.26373626373626374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1626157,1610612752,Karl-Anthony Towns,Karl-Anthony Towns,1626157,NYK,2416.0,40.0,7.0,76,78.0,20.0,34.0,10.0,154,4.0,5.0,,,4.0,6.0,1.0,2.0,,,,,1.0,2.0,,,,1.0,9.0,13.0,1.0,2.0,7.0,28.0,100.0,,,,,,,3.0,3.0,,1.0,6.0,8.0,10.0,3.0,2.0,1.0,1.0,,1.0,,1.0,,2.0,,1.0,3.0,11.0,2.0,13.0,,1.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,1.0,2.0,7.0,,9.0,6.0,1.0,1.0,1.0,,6.0,20.0,0.4444444444444444,0.4444444444444444,1.0,0.5,,,0.5,0.6923076923076923,,1.0,0.7,,0.75,0.7777777777777778,,0.75,0.13333333333333333,25.84269662921348,0.4,0.05263157894736842,0.23076923076923078,,0.3,0.03225806451612903,,,,0.2727272727272727,,,,0.3333333333333333,0.8,1.0,0.75,0.4,0.6666666666666666,0.6666666666666666,,0.13333333333333333,0.5,0.5,,,,,0.13333333333333333,0.5,0.5,1.0,,,,,,,,,0.25,,0.4666666666666667,0.5,0.48759,,0.4608,0.3333333333333333,0.375,,0.21428571428571427,7.538461538461538,27.7,0.2631578947368421,2.0,2.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,0.07692307692307693,0.2,0.4,0.25,0.35294117647058826,0.25,0.1111111111111111,0.7142857142857143,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1628384,1610612752,OG Anunoby,OG Anunoby,1628384,NYK,9671.0,161.0,,307,320.0,82.0,76.0,53.0,627,12.0,24.0,1.0,3.0,7.0,17.0,1.0,5.0,3.0,15.0,1.0,3.0,8.0,20.0,1.0,4.0,5.0,6.0,20.0,46.0,11.0,35.0,24.0,97.0,354.0,1.0,5.0,2.0,7.0,1.0,9.0,5.0,10.0,6.0,10.0,36.0,24.0,16.0,30.0,20.0,8.0,8.0,5.0,13.0,2.0,7.0,,31.0,2.0,2.0,15.0,22.0,4.0,26.0,1.0,8.0,4.0,8.0,1.0,3.0,5.0,11.0,1.0,4.0,9.0,18.0,1.0,29.0,16.0,1.0,,4.0,3.0,36.0,82.0,0.6,0.631578947368421,0.9090909090909091,0.3142857142857143,0.2857142857142857,0.6,0.3142857142857143,0.43478260869565216,0.2,0.5,0.4506172839506173,0.3333333333333333,0.7,0.5161290322580645,0.34615384615384615,0.75,0.43209876543209874,28.108108108108105,0.7272727272727273,0.022727272727272728,0.19736842105263158,0.027777777777777776,0.13245033112582782,0.025,0.029411764705882353,,0.0392156862745098,0.20967741935483872,0.14285714285714285,0.023809523809523808,0.75,0.2962962962962963,0.5,0.6,0.5833333333333334,0.20987654320987653,0.4117647058823529,0.5,0.7142857142857143,0.06172839506172839,0.2,0.2,0.18518518518518517,0.2,0.2,1.0,0.24691358024691357,0.4,0.4,0.875,0.25,0.3333333333333333,0.25,0.3333333333333333,1.0,0.3333333333333333,0.25,1.0,0.3,0.8333333333333334,0.7283950617283951,0.4,0.5529777777777778,0.5231,0.57687,0.17204301075268819,0.27586206896551724,0.09278350515463918,0.3711340206185567,5.3478260869565215,24.98571428571429,0.2671009771986971,4.0,6.0,7.0,,5.0,2.0,3.0,,2.0,4.0,0.15217391304347827,0.16666666666666666,0.5,,0.06666666666666667,0.07692307692307693,0.09090909090909091,0.029411764705882353,,0.3,0.6666666666666666,1.0,4.0,8.0,3.0,2.0,3.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,1.0,0.17647058823529413,0.125,0.2,0.25,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1629011,1610612752,Mitchell Robinson,Mitchell Robinson,1629011,NYK,13733.0,229.0,25.0,439,461.0,133.0,125.0,69.0,900,30.0,44.0,18.0,28.0,1.0,3.0,,,,,,,,,,,,,31.0,47.0,,,11.0,73.0,502.0,18.0,28.0,,,5.0,41.0,11.0,14.0,,,28.0,22.0,40.0,,,,4.0,5.0,9.0,4.0,2.0,1.0,23.0,10.0,32.0,18.0,43.0,42.0,85.0,6.0,12.0,8.0,5.0,,4.0,1.0,9.0,3.0,15.0,20.0,14.0,,15.0,4.0,13.0,9.0,14.0,8.0,28.0,133.0,0.3548387096774194,0.7333333333333333,,,,,,0.6595744680851063,0.6428571428571429,0.7857142857142857,0.6595744680851063,0.6428571428571429,0.7857142857142857,0.6759259259259259,0.6612903225806451,0.7777777777777778,,12.092130518234166,0.5555555555555556,0.2689075630252101,0.1782178217821782,0.10638297872340426,0.19339622641509435,0.19718309859154928,0.34146341463414637,0.25925925925925924,0.11940298507462686,0.1927710843373494,0.1111111111111111,0.4,0.5714285714285714,0.9361702127659575,0.6818181818181818,0.6818181818181818,0.3333333333333333,0.06382978723404255,0.3333333333333333,0.5,1.0,,,,,,,,,,,,1.0,0.6428571428571429,,,,,,,,,0.9361702127659575,,0.6580234042553192,0.6302428571428573,0.6286714285714287,0.08,0.08,0.5616438356164384,0.3835616438356164,1.1191489361702127,,0.30296127562642367,10.0,13.0,1.0,,23.0,2.0,4.0,,,1.0,0.02127659574468085,,0.2222222222222222,,0.2072072072072072,0.16666666666666666,0.2,0.16981132075471697,,0.9285714285714286,0.7692307692307693,,,6.0,,32.0,1.0,1.0,4.0,3.0,,1.0,,1.0,4.0,0.3333333333333333,0.38461538461538464,,,1.0,1.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,0.07407407407407407,0.05555555555555555,,,,,,True,,,,,,,,,,,,
1629013,1610612752,Landry Shamet,Landry Shamet,1629013,NYK,6953.0,116.0,20.0,218,232.0,85.0,73.0,30.0,450,1.0,2.0,,,6.0,9.0,1.0,4.0,5.0,11.0,,,5.0,14.0,1.0,2.0,2.0,4.0,8.0,15.0,10.0,25.0,,46.0,252.0,,,1.0,2.0,,3.0,5.0,7.0,5.0,9.0,25.0,14.0,2.0,27.0,14.0,5.0,1.0,1.0,2.0,1.0,1.0,,5.0,1.0,1.0,5.0,11.0,2.0,13.0,1.0,2.0,1.0,1.0,,1.0,,2.0,,5.0,9.0,6.0,2.0,,,,,,,25.0,85.0,0.875,0.875,0.9,0.4,0.5,0.5555555555555556,0.4,0.5333333333333333,,0.7142857142857143,0.575,0.75,0.78125,0.575,0.75,0.78125,0.625,16.53543307086614,0.5,0.01694915254237288,0.1111111111111111,0.02857142857142857,0.0990990990990991,0.02127659574468085,0.0625,,,0.10256410256410256,0.16666666666666666,0.05,,0.05,0.5,0.5,1.0,0.225,0.6666666666666666,0.75,0.8333333333333334,0.1,0.25,0.25,0.275,0.45454545454545453,0.45454545454545453,1.0,0.35,0.35714285714285715,0.35714285714285715,0.8,,,,,,1.0,0.5,,0.25,0.5,0.675,0.35714285714285715,0.5105925,0.531675,0.4765281249999999,,,0.06521739130434782,0.5434782608695652,11.559999999999999,24.863999999999997,0.38990825688073394,,,1.0,,6.0,,1.0,,,,0.06666666666666667,,,,0.09090909090909091,,0.1111111111111111,0.09375,1.0,,,3.0,5.0,,3.0,,,,1.0,,,,,,,0.1111111111111111,,0.3125,0.6,,1.0,,,,,,,,0.1,,1.0,,,,,True,,,,,,,,,,,,
1628404,1610612752,Josh Hart,Josh Hart,1628404,NYK,8551.0,143.0,-7.0,274,292.0,91.0,86.0,39.0,566,8.0,11.0,1.0,1.0,3.0,8.0,,2.0,,3.0,,,5.0,17.0,,1.0,2.0,7.0,11.0,21.0,5.0,20.0,6.0,43.0,332.0,2.0,2.0,,1.0,2.0,6.0,4.0,6.0,2.0,8.0,18.0,12.0,10.0,12.0,17.0,5.0,17.0,8.0,25.0,5.0,7.0,2.0,58.0,1.0,2.0,9.0,19.0,3.0,22.0,,11.0,6.0,3.0,2.0,5.0,1.0,8.0,1.0,7.0,13.0,7.0,,7.0,3.0,1.0,,1.0,,18.0,91.0,0.5454545454545454,0.6,0.8,0.25,,0.25,0.25,0.5238095238095238,1.0,0.6666666666666666,0.45121951219512196,0.6666666666666666,0.5,0.48863636363636365,0.75,0.5625,0.4878048780487805,16.25,0.375,0.030303030303030304,0.140625,0.016666666666666666,0.15,0.023809523809523808,0.047619047619047616,0.03571428571428571,0.023809523809523808,0.17307692307692307,,,,0.2682926829268293,0.7272727272727273,0.8,0.5,0.1951219512195122,0.375,0.6,0.6666666666666666,0.04878048780487805,,,0.07317073170731707,,,,0.4146341463414634,0.29411764705882354,0.29411764705882354,0.8,0.3333333333333333,1.0,,,,0.3333333333333333,,,0.5,0.2857142857142857,0.7560975609756098,0.29411764705882354,0.5472256097560977,0.5334166666666667,0.5085392857142857,0.06976744186046512,0.13043478260869565,0.13953488372093023,0.4186046511627907,6.052380952380952,25.295,0.33211678832116787,3.0,3.0,4.0,,9.0,1.0,2.0,1.0,,1.0,0.19047619047619047,0.09090909090909091,0.14285714285714285,,0.16071428571428573,,0.043478260869565216,0.25,,0.21428571428571427,1.0,,1.0,4.0,3.0,2.0,3.0,8.0,5.0,3.0,,,,,1.0,0.375,0.2222222222222222,0.07142857142857142,,3.0,1.0,1.0,1.0,,,,,1.0,,,,1.0,1.0,,,True,,,,,,,,,,,,
1628969,1610612752,Mikal Bridges,Mikal Bridges,1628969,NYK,10873.0,181.0,37.0,351,366.0,97.0,78.0,58.0,717,11.0,14.0,1.0,1.0,14.0,28.0,7.0,16.0,4.0,9.0,,2.0,3.0,15.0,,,,4.0,32.0,58.0,7.0,24.0,13.0,98.0,381.0,2.0,5.0,,2.0,,4.0,2.0,8.0,,6.0,13.0,40.0,24.0,18.0,14.0,3.0,10.0,14.0,24.0,8.0,3.0,,62.0,2.0,2.0,9.0,14.0,4.0,18.0,1.0,3.0,1.0,7.0,2.0,7.0,3.0,14.0,3.0,4.0,9.0,11.0,2.0,13.0,4.0,3.0,2.0,3.0,3.0,13.0,97.0,0.625,0.6451612903225806,0.8571428571428571,0.2916666666666667,,,0.30434782608695654,0.5517241379310345,0.4,0.25,0.5182926829268293,0.2857142857142857,0.14285714285714285,0.5511363636363636,0.2857142857142857,0.3333333333333333,0.2926829268292683,24.343675417661096,0.5,0.02040816326530612,0.10344827586206896,0.025974025974025976,0.07865168539325842,0.022857142857142857,0.02857142857142857,,0.018518518518518517,0.08571428571428572,0.17647058823529413,0.02631578947368421,1.0,0.17073170731707318,0.7857142857142857,0.9166666666666666,0.7272727272727273,0.34146341463414637,0.5,0.5185185185185185,0.7142857142857143,0.1951219512195122,0.4375,0.4375,0.10975609756097561,0.4444444444444444,0.4444444444444444,1.0,0.18292682926829268,0.2,0.2,0.6666666666666666,0.14285714285714285,1.0,0.2857142857142857,,,,,,0.2857142857142857,,0.4634146341463415,0.21428571428571427,0.5250197530864197,0.55049,0.5080846153846154,0.046511627906976744,0.06451612903225806,0.04081632653061224,0.1326530612244898,9.312068965517241,25.675,0.27635327635327633,1.0,1.0,3.0,,5.0,,4.0,4.0,1.0,,0.05172413793103448,0.14285714285714285,,,0.054945054945054944,0.05263157894736842,0.08823529411764706,0.02127659574468085,0.2857142857142857,0.07142857142857142,1.0,,2.0,9.0,3.0,2.0,6.0,7.0,2.0,3.0,1.0,,,,1.0,0.03571428571428571,0.1,0.14285714285714285,,,,,2.0,,,,1.0,2.0,0.043478260869565216,,,,,1.0,,True,,,,,,,,,,,,
1626166,1610612752,Cameron Payne,Cameron Payne,1626166,NYK,2718.0,45.0,16.0,84,90.0,28.0,29.0,11.0,174,2.0,4.0,,1.0,2.0,6.0,1.0,2.0,,,,,7.0,11.0,,,3.0,5.0,5.0,12.0,7.0,11.0,2.0,33.0,95.0,2.0,4.0,,,,4.0,2.0,5.0,3.0,5.0,15.0,2.0,8.0,15.0,11.0,7.0,4.0,2.0,6.0,1.0,3.0,,14.0,,1.0,1.0,1.0,1.0,2.0,1.0,,,3.0,,,1.0,3.0,,,,4.0,1.0,2.0,,,,,,15.0,28.0,0.2,0.2,0.7142857142857143,0.6363636363636364,,0.6,0.6363636363636364,0.4166666666666667,0.5,0.4,0.6739130434782609,0.5,0.65,0.6875,0.5,0.6818181818181818,0.4782608695652174,27.551020408163264,1.0,0.05263157894736842,0.0625,,0.023809523809523808,0.02702702702702703,,0.09090909090909091,,,0.25,0.1,,0.17391304347826086,0.5,0.5,,0.2608695652173913,0.3333333333333333,0.3333333333333333,0.5,0.08695652173913043,0.5,1.0,,,,,0.4782608695652174,0.6363636363636364,0.6363636363636364,0.7142857142857143,0.25,,,,,,,,0.5,0.6,0.6521739130434783,0.6363636363636364,0.49323478260869574,0.435425,0.50259,,,0.12121212121212122,0.45454545454545453,9.708333333333334,26.55454545454545,0.3333333333333333,1.0,1.0,1.0,,,,2.0,,,,0.08333333333333333,,,,,,,,,0.1,1.0,,,2.0,6.0,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,1.0,,,,0.5,True,,,,,,,,,,,,
1630540,1610612752,Miles McBride,Miles McBride,1630540,NYK,5213.0,87.0,31.0,172,186.0,60.0,66.0,27.0,358,2.0,2.0,1.0,1.0,2.0,9.0,2.0,4.0,3.0,4.0,,,8.0,17.0,1.0,1.0,4.0,6.0,6.0,15.0,11.0,21.0,3.0,48.0,182.0,1.0,1.0,1.0,1.0,,5.0,2.0,4.0,5.0,8.0,20.0,2.0,10.0,21.0,17.0,8.0,6.0,8.0,14.0,5.0,2.0,,36.0,2.0,2.0,4.0,10.0,4.0,14.0,1.0,4.0,2.0,2.0,,,1.0,2.0,,2.0,6.0,6.0,2.0,5.0,1.0,1.0,,2.0,2.0,20.0,60.0,0.16666666666666666,0.2,0.6363636363636364,0.5238095238095238,1.0,0.625,0.5238095238095238,0.4,1.0,0.5,0.625,1.25,0.7916666666666666,0.631578947368421,1.25,0.7692307692307693,0.5833333333333334,19.704433497536947,1.0,0.04,0.09090909090909091,0.05263157894736842,0.11235955056179775,0.045454545454545456,0.058823529411764705,,0.034482758620689655,0.10810810810810811,,0.05263157894736842,1.0,0.05555555555555555,1.0,1.0,,0.25,0.2222222222222222,0.2222222222222222,,0.1111111111111111,0.5,0.5,0.1111111111111111,0.75,0.75,1.0,0.4722222222222222,0.47058823529411764,0.47058823529411764,0.5,0.5,1.0,,,,0.5,1.0,,0.5,0.6666666666666666,0.6388888888888888,0.47058823529411764,0.4977638888888889,0.4887,0.5397333333333333,0.02702702702702703,0.0625,0.10416666666666667,0.4166666666666667,10.826666666666666,25.799999999999997,0.3488372093023256,1.0,1.0,,,6.0,,1.0,,,,,,,,0.13333333333333333,0.25,,0.2222222222222222,0.5,0.08333333333333333,1.0,1.0,2.0,1.0,12.0,2.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,0.16666666666666666,0.5,,,,1.0,,,,1.0,1.0,0.1111111111111111,,,,,,,True,,,,,,,,,,,,
1630699,1610612752,MarJon Beauchamp,MarJon Beauchamp,1630699,NYK,19.0,,,1,,,,1.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
