EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FoulsDrawn,FTA,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,PtsPutbacks,Fg2aBlocked,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,OffRebounds,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,Blocks,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,LostBallSteals,Offensive Fouls,Blocked2s,BlockedAtRim,RecoveredBlocks,BlocksRecoveredPct,HeaveAttempts,Fg3aBlocked,FTOffRebounds,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockedShortMidRange,FG3APctBlocked,AtRimPctBlocked,Arc3PctBlocked,OffFTReboundPct,OffAtRimReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,DefensiveGoaltends,on,Transition Take Fouls,Transition Take Fouls Drawn,BlockedLongMidRange,Corner3PctBlocked,OffensiveGoaltends,BlockedCorner3,Clear Path Fouls
1626145,1610612756,Tyus Jones,Tyus Jones,1626145,PHX,4031.0,67,11,138,133,33,31,9,271,3.0,5.0,1.0,4.0,6.0,7.0,1.0,1.0,2.0,2.0,5.0,12.0,1.0,1.0,2.0,4.0,9.0,11.0,19.0,2.0,43.0,158,1.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,13.0,2.0,6.0,27.0,6.0,12.0,5.0,5.0,6.0,11.0,4.0,2.0,1.0,3.0,1.0,28.0,3.0,1.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,1.0,13.0,32,1.0,0.25,0.25,0.8181818181818182,0.5789473684210527,0.5,0.75,0.5789473684210527,0.4444444444444444,0.5,0.7321428571428571,0.75,0.9166666666666666,0.7413793103448276,0.75,0.9285714285714286,0.6785714285714286,20.945945945945947,1.0,0.04,0.125,0.08163265306122448,0.1111111111111111,0.13636363636363635,0.17857142857142858,0.6,0.6,0.3333333333333333,0.14285714285714285,0.25,0.25,0.25,0.8571428571428571,0.8571428571428571,0.8333333333333334,0.42857142857142855,0.4166666666666667,0.4166666666666667,0.8,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,0.6785714285714286,0.4166666666666667,0.5109410714285715,0.5224249999999999,0.06976744186046512,0.3023255813953488,13.711111111111112,25.073684210526316,0.2391304347826087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1626164,1610612756,Devin Booker,Devin Booker,1626164,PHX,17983.0,300,-10,592,579,95,155,88,1171,23.0,48.0,17.0,31.0,1.0,4.0,1.0,1.0,,1.0,10.0,42.0,5.0,,4.0,59.0,104.0,11.0,46.0,49.0,200.0,749,2.0,6.0,25.0,16.0,21.0,,5.0,13.0,45.0,56.0,62.0,18.0,15.0,42.0,10.0,31.0,41.0,72.0,30.0,11.0,16.0,11.0,4.0,185.0,10.0,12.0,23.0,32.0,13.0,8.0,23.0,47.0,56.0,5.0,43.0,93,3.0,0.4745762711864407,0.4827586206896552,0.5454545454545454,0.2391304347826087,0.3333333333333333,,0.2391304347826087,0.5673076923076923,0.7619047619047619,0.5033333333333333,0.5625,0.6153846153846154,0.5755813953488372,0.625,0.6818181818181818,0.30666666666666664,28.179190751445088,0.5652173913043478,0.08955223880597014,0.07936507936507936,0.08461538461538462,0.08064516129032258,0.08602150537634409,0.32,0.4791666666666667,0.5111111111111111,0.391304347826087,0.20666666666666667,0.5483870967741935,0.5666666666666667,0.02666666666666667,0.25,0.25,1.0,0.28,0.23809523809523808,0.23809523809523808,0.5,0.0625,1.0,1.0,0.3125,0.038461538461538464,,0.15384615384615385,,0.47333333333333333,0.23809523809523808,0.5119923333333334,0.5454038461538461,0.125,0.225,10.0,25.936956521739134,0.16047297297297297,19.0,25.0,2.0,3.0,9.0,9.0,1.0,6.0,10.0,7.0,2.0,4.0,5.0,4.0,1.0,9.0,3.0,4.0,4.0,5.0,10.0,2.0,5.0,1.0,2.0,1.0,4.0,21.0,2.0,1.0,2.0,6.0,1.0,2.0,20.0,4.0,1.0,1.0,1.0,3.0,0.6,0.038461538461538464,0.0625,0.03225806451612903,0.1111111111111111,0.027972027972027972,0.03546099290780142,0.03169014084507042,0.038461538461538464,0.03125,0.04,0.024390243902439025,0.06521739130434782,0.15384615384615385,0.06060606060606061,0.04,0.16666666666666666,0.76,0.76,0.47368421052631576,0.5882352941176471,0.1875,0.6666666666666666,0.2,1.0,0.34615384615384615,1.0,0.4728,0.1437125748502994,0.1694915254237288,0.08163265306122448,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1626220,1610612756,Royce O'Neale,Royce O'Neale,1626220,PHX,8743.0,146,-64,290,308,80,108,31,598,2.0,3.0,,3.0,7.0,13.0,,2.0,1.0,1.0,12.0,23.0,3.0,4.0,6.0,3.0,8.0,19.0,36.0,,63.0,397,2.0,5.0,6.0,1.0,2.0,5.0,7.0,,17.0,6.0,,54.0,3.0,23.0,12.0,5.0,5.0,10.0,2.0,3.0,2.0,3.0,,25.0,5.0,12.0,18.0,20.0,5.0,5.0,6.0,,,,17.0,78,,1.0,1.0,0.9473684210526315,0.5277777777777778,0.4,0.7142857142857143,0.5277777777777778,0.375,0.5,0.7159090909090909,0.6,0.9444444444444444,0.7159090909090909,0.6,0.9444444444444444,0.8181818181818182,15.527950310559005,0.8333333333333334,0.1643835616438356,0.09090909090909091,0.1328125,0.08823529411764706,0.09523809523809523,0.06818181818181818,0.6666666666666666,0.6666666666666666,1.0,0.06818181818181818,,,0.29545454545454547,0.5384615384615384,0.5384615384615384,0.8571428571428571,0.5227272727272727,0.5217391304347826,0.5217391304347826,1.0,0.4,,,0.6,0.1111111111111111,1.0,0.6666666666666666,0.6666666666666666,0.8636363636363636,0.5217391304347826,0.5342250000000001,0.5113333333333334,0.09523809523809523,0.2698412698412698,10.475,25.419444444444444,0.27586206896551724,1.0,2.0,,,,,2.0,,,,,,2.0,,1.0,2.0,,2.0,1.0,,1.0,,,,1.0,2.0,6.0,10.0,,,,,,,,,,,2.0,2.0,,,,,0.125,,0.03125,0.015873015873015872,,,0.04081632653061224,,0.21875,0.2857142857142857,0.07692307692307693,,0.045454545454545456,0.5,0.5,1.0,,,,0.6666666666666666,1.0,,,0.558825,,,,1.0,1.0,2.0,2.0,1.0,0.5,,,,,,,,,,,,,,,,True,,,,,,,
1631221,1610612756,Collin Gillespie,Collin Gillespie,1631221,PHX,27673.0,461,-29,923,925,210,302,123,1848,13.0,33.0,4.0,11.0,11.0,21.0,,2.0,2.0,4.0,28.0,69.0,7.0,7.0,15.0,29.0,68.0,39.0,90.0,19.0,194.0,1124,4.0,9.0,19.0,10.0,16.0,9.0,19.0,5.0,52.0,16.0,42.0,93.0,24.0,67.0,28.0,48.0,30.0,78.0,19.0,11.0,15.0,23.0,10.0,186.0,32.0,23.0,56.0,78.0,10.0,8.0,17.0,25.0,22.0,1.0,52.0,208,1.0,0.27586206896551724,0.2857142857142857,0.7948717948717948,0.43333333333333335,0.4444444444444444,0.47368421052631576,0.4431818181818182,0.4264705882352941,0.625,0.5537974683544303,0.4375,0.6714285714285714,0.5773809523809523,0.5,0.7027027027027027,0.569620253164557,17.452830188679247,0.5882352941176471,0.1111111111111111,0.15609756097560976,0.13349514563106796,0.10101010101010101,0.15286624203821655,0.2088607594936709,0.3939393939393939,0.4482758620689655,0.23076923076923078,0.06962025316455696,0.36363636363636365,0.36363636363636365,0.13291139240506328,0.5238095238095238,0.5238095238095238,0.9090909090909091,0.43670886075949367,0.4057971014492754,0.4117647058823529,0.75,0.125,,,0.4375,0.11428571428571428,0.5,0.42857142857142855,0.4666666666666667,0.7215189873417721,0.417910447761194,0.5182993548387098,0.5041742857142856,0.0979381443298969,0.26804123711340205,7.598529411764707,26.439999999999994,0.2275189599133261,12.0,24.0,,3.0,4.0,6.0,4.0,1.0,7.0,5.0,2.0,9.0,9.0,12.0,1.0,22.0,1.0,21.0,12.0,,7.0,3.0,2.0,2.0,,2.0,15.0,30.0,1.0,2.0,2.0,2.0,,,11.0,,,,5.0,3.0,0.14285714285714285,0.1323529411764706,0.12121212121212122,,0.045454545454545456,0.05454545454545454,0.041666666666666664,0.0481651376146789,0.056910569105691054,0.0784313725490196,0.03184713375796178,0.06779661016949153,0.1,0.15789473684210525,0.16666666666666666,0.013157894736842105,0.1518987341772152,0.5,0.631578947368421,0.3333333333333333,0.25,0.1875,,0.5714285714285714,1.0,0.17142857142857143,0.6666666666666666,0.5328999999999999,0.0658682634730539,0.14285714285714285,,9.0,,5.0,3.0,3.0,0.6,2.0,1.0,1.0,1.0,2.0,2.0,0.011111111111111112,0.20833333333333334,0.014492753623188406,0.06666666666666667,0.021739130434782608,,,,,True,,,,,,,
201142,1610612756,Kevin Durant,Kevin Durant,201142,PHX,13072.0,218,42,428,426,89,116,59,854,24.0,43.0,9.0,17.0,6.0,8.0,,,2.0,3.0,15.0,35.0,5.0,6.0,11.0,36.0,65.0,21.0,43.0,20.0,155.0,521,2.0,5.0,16.0,8.0,11.0,8.0,14.0,11.0,51.0,28.0,44.0,51.0,12.0,35.0,15.0,10.0,17.0,27.0,6.0,11.0,2.0,7.0,1.0,71.0,12.0,18.0,33.0,35.0,10.0,7.0,22.0,28.0,20.0,3.0,51.0,87,3.0,0.3888888888888889,0.4,0.8095238095238095,0.4883720930232558,0.4,0.5714285714285714,0.4883720930232558,0.5538461538461539,0.7272727272727273,0.625,0.7777777777777778,0.8,0.6623931623931624,0.8,0.85,0.39814814814814814,28.194726166328604,0.45454545454545453,0.18,0.12371134020618557,0.15228426395939088,0.20754716981132076,0.08823529411764706,0.39814814814814814,0.5581395348837209,0.5714285714285714,0.375,0.1574074074074074,0.5294117647058824,0.5625,0.07407407407407407,0.75,0.75,1.0,0.32407407407407407,0.42857142857142855,0.42857142857142855,0.7333333333333333,,,,0.5555555555555556,0.12,0.6666666666666666,0.44,0.5454545454545454,0.4444444444444444,0.42857142857142855,0.4811856481481482,0.491386,0.1032258064516129,0.32903225806451614,11.186153846153848,25.730232558139537,0.20794392523364486,3.0,5.0,1.0,1.0,,1.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,,3.0,2.0,,9.0,6.0,2.0,12.0,4.0,3.0,,1.0,3.0,3.0,10.0,,1.0,1.0,2.0,,,8.0,,,,6.0,,1.0,0.046153846153846156,0.023255813953488372,0.058823529411764705,0.3,,0.02702702702702703,0.01098901098901099,,,0.03571428571428571,,0.0967741935483871,0.25,0.20689655172413793,,0.046296296296296294,0.6,0.75,0.3333333333333333,0.4444444444444444,0.1111111111111111,1.0,0.4,1.0,0.04,,0.5293583333333333,0.07017543859649122,0.11267605633802817,,3.0,5.0,6.0,3.0,2.0,0.3333333333333333,,,,,,3.0,,0.2,,,,1.0,,,,True,,,,,,,
1628960,1610612756,Grayson Allen,Grayson Allen,1628960,PHX,7504.0,125,-36,250,248,52,70,41,498,4.0,8.0,1.0,1.0,4.0,9.0,,1.0,,,12.0,24.0,2.0,1.0,2.0,8.0,16.0,16.0,33.0,5.0,69.0,334,1.0,3.0,3.0,,1.0,1.0,2.0,,3.0,8.0,8.0,42.0,6.0,24.0,12.0,6.0,4.0,10.0,2.0,2.0,3.0,3.0,,24.0,4.0,3.0,8.0,12.0,3.0,3.0,5.0,5.0,6.0,,3.0,51,,0.5,0.5,0.875,0.48484848484848486,0.3333333333333333,0.5,0.48484848484848486,0.5,,0.6530612244897959,0.5,0.5,0.6634615384615384,0.5,0.5,0.673469387755102,19.256756756756758,0.6,0.06382978723404255,0.0975609756097561,0.07954545454545454,0.038461538461538464,0.05555555555555555,0.16326530612244897,0.5,0.5714285714285714,0.25,0.02040816326530612,1.0,1.0,0.1836734693877551,0.4444444444444444,0.4444444444444444,1.0,0.4897959183673469,0.5,0.5,0.8333333333333334,0.3333333333333333,,,0.6666666666666666,,,0.6666666666666666,0.5,0.8163265306122449,0.5,0.5330051020408163,0.5052333333333333,0.043478260869565216,0.043478260869565216,6.025,26.01818181818182,0.208,3.0,7.0,,,,1.0,1.0,,,,,1.0,3.0,1.0,1.0,4.0,1.0,5.0,4.0,,2.0,1.0,,,1.0,1.0,5.0,5.0,,,,,,,3.0,,,,,,,0.0625,0.125,,0.25,0.015625,0.046153846153846156,0.031007751937984496,,,0.020833333333333332,0.11764705882352941,,0.2222222222222222,0.4,0.041666666666666664,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.6666666666666666,1.0,,,0.5,1.0,0.3333333333333333,,0.530025,0.057692307692307696,0.15789473684210525,,1.0,,,,,,,,,,,,,,,,0.058823529411764705,,1.0,,,True,,,,,,,
1630208,1610612756,Nick Richards,Nick Richards,1630208,PHX,10724.0,179,-41,345,348,57,81,58,693,10.0,28.0,2.0,3.0,,,,,,,,,,,,36.0,64.0,,,11.0,83.0,472,,,29.0,9.0,11.0,,,3.0,21.0,46.0,26.0,,,,,3.0,1.0,4.0,1.0,,1.0,1.0,1.0,9.0,14.0,12.0,28.0,59.0,3.0,2.0,11.0,10.0,13.0,1.0,21.0,57,1.0,0.6388888888888888,0.9583333333333334,,,,,,0.5625,0.8181818181818182,0.5625,0.6842105263157895,0.8181818181818182,0.5928571428571429,0.6904761904761905,0.8076923076923077,,19.804400977995112,0.2727272727272727,0.16666666666666666,0.175,0.17105263157894737,0.20588235294117646,0.17857142857142858,0.4375,0.35714285714285715,0.43478260869565216,0.8,0.046875,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,0.515625,,0.5290640624999999,0.5109181818181818,0.3493975903614458,0.25301204819277107,5.0140625000000005,,0.16521739130434782,24.0,33.0,11.0,13.0,5.0,6.0,,13.0,19.0,3.0,24.0,8.0,14.0,17.0,2.0,31.0,1.0,1.0,1.0,3.0,8.0,,1.0,,2.0,2.0,10.0,19.0,,,1.0,1.0,,,6.0,,,,5.0,,0.6842105263157895,0.125,0.17857142857142858,,0.2857142857142857,0.18681318681318682,0.18421052631578946,0.18562874251497005,0.19607843137254902,0.17647058823529413,0.19298245614035087,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.16666666666666666,0.05,0.515625,0.7272727272727273,0.8,0.5416666666666666,1.0,0.6842105263157895,0.8461538461538461,,,0.5454545454545454,0.8333333333333334,0.562690909090909,0.08695652173913043,0.08695652173913043,,,4.0,5.0,1.0,1.0,0.2,,,,,2.0,4.0,,0.09090909090909091,,,0.17391304347826086,0.09090909090909091,1.0,1.0,,True,,,,,,,
1642345,1610612756,Oso Ighodaro,Oso Ighodaro,1642345,PHX,10366.0,173,1,351,353,82,135,41,704,10.0,17.0,2.0,2.0,,,,,,,,,,,,22.0,33.0,,,3.0,47.0,377,,,12.0,7.0,7.0,,,2.0,16.0,40.0,4.0,,,,,9.0,3.0,12.0,2.0,1.0,5.0,1.0,3.0,27.0,13.0,6.0,21.0,36.0,3.0,3.0,9.0,5.0,5.0,1.0,16.0,82,1.0,0.9090909090909091,0.9523809523809523,,,,,,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6714285714285714,0.6666666666666666,1.0,,11.027568922305765,0.3333333333333333,0.06896551724137931,0.16049382716049382,0.1130952380952381,0.09302325581395349,0.16666666666666666,0.5151515151515151,0.5882352941176471,0.6666666666666666,1.0,0.06060606060606061,1.0,1.0,,,,,,,,,,,,,,,,,0.42424242424242425,,0.5326000000000002,0.6537285714285713,0.2553191489361702,0.3404255319148936,5.751515151515151,,0.2336182336182336,10.0,14.0,5.0,7.0,6.0,6.0,,6.0,9.0,,2.0,3.0,8.0,7.0,2.0,15.0,1.0,4.0,2.0,4.0,6.0,2.0,,,1.0,1.0,10.0,15.0,,2.0,,1.0,,,2.0,,,,5.0,1.0,0.6666666666666666,0.09090909090909091,0.11764705882352941,,0.2222222222222222,0.08045977011494253,0.09090909090909091,0.08571428571428572,0.05660377358490566,,0.06349206349206349,0.16,0.0625,,0.13333333333333333,0.125,0.42424242424242425,0.7142857142857143,0.7692307692307693,0.9,0.5,0.7777777777777778,0.7142857142857143,,,0.8571428571428571,1.0,0.56104,0.058823529411764705,0.058823529411764705,,2.0,,5.0,3.0,2.0,0.4,,,,,,2.0,,0.07142857142857142,,,0.2222222222222222,0.8,,,,True,,,,,,,
1628998,1610612756,Cody Martin,Cody Martin,1628998,PHX,3851.0,64,-17,135,137,37,50,18,272,,2.0,2.0,6.0,,4.0,,1.0,,1.0,,,,,,4.0,12.0,,4.0,4.0,12.0,159,,1.0,5.0,1.0,2.0,,1.0,3.0,5.0,6.0,2.0,,,,,6.0,1.0,7.0,1.0,,2.0,3.0,1.0,15.0,6.0,9.0,15.0,18.0,2.0,2.0,2.0,6.0,5.0,,5.0,37,,0.75,1.0,,,,,,0.3333333333333333,0.5,0.25,0.5,0.3333333333333333,0.3333333333333333,0.625,0.5,0.25,12.738853503184712,1.0,0.391304347826087,0.18181818181818182,0.26785714285714285,0.2857142857142857,0.14814814814814814,0.125,,,,0.375,0.3333333333333333,0.3333333333333333,0.25,,,,,,,,0.25,,,,0.3333333333333333,,,,0.5,,0.49345312500000005,0.5423166666666667,0.4166666666666667,0.4166666666666667,10.008333333333333,23.424999999999997,0.2740740740740741,2.0,4.0,2.0,3.0,1.0,1.0,,2.0,3.0,1.0,2.0,2.0,2.0,1.0,,3.0,,5.0,2.0,,,,,,,1.0,4.0,7.0,,,2.0,1.0,,,3.0,,,,1.0,,0.6666666666666666,0.16666666666666666,0.5,,,0.027777777777777776,0.06451612903225806,0.04477611940298507,,,0.09523809523809523,,0.5,0.4,0.3333333333333333,,0.25,0.5,0.6666666666666666,0.5,1.0,0.75,0.6666666666666666,,,0.3333333333333333,1.0,0.475275,0.16666666666666666,0.21428571428571427,,3.0,,1.0,1.0,,,,,,1.0,,,,0.25,,,0.125,0.5,,,,True,,,,,,,
1629626,1610612756,Bol Bol,Bol Bol,1629626,PHX,2928.0,49,-4,108,106,56,60,9,214,1.0,5.0,2.0,4.0,2.0,8.0,,,1.0,4.0,1.0,3.0,,,1.0,4.0,10.0,3.0,11.0,3.0,20.0,108,,,2.0,3.0,6.0,1.0,5.0,,9.0,6.0,2.0,9.0,,3.0,1.0,3.0,1.0,4.0,1.0,,2.0,1.0,,9.0,6.0,2.0,9.0,11.0,2.0,,3.0,4.0,4.0,,9.0,56,,0.75,0.75,1.0,0.2727272727272727,,0.2,0.2727272727272727,0.4,0.5,0.40476190476190477,0.5,0.4090909090909091,0.43478260869565216,0.5,0.4090909090909091,0.5238095238095238,22.222222222222225,0.6666666666666666,0.1111111111111111,0.18181818181818182,0.1568627450980392,,0.16,0.23809523809523808,0.2,0.2,1.0,0.19047619047619047,0.5,0.5,0.38095238095238093,0.25,0.25,1.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,,,,,0.36363636363636365,0.25,0.09090909090909091,,0.5714285714285714,0.3333333333333333,0.49814285714285716,0.4941500000000001,0.1,0.45,13.25,24.527272727272724,0.5185185185185185,1.0,1.0,,,1.0,1.0,,1.0,2.0,,,,2.0,,1.0,2.0,,1.0,,,1.0,1.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,2.0,,,,,1.0,0.5,,,,0.2,,0.08,0.0392156862745098,,,,0.2,0.1111111111111111,0.25,0.25,,0.047619047619047616,1.0,1.0,,1.0,,,,,0.09090909090909091,1.0,0.4561,0.08695652173913043,0.16666666666666666,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,True,,,,,,,
