EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,SecondChanceFg2Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3FGA,BlockedLongMidRange,Corner3PctAssisted,PenaltyCorner3Frequency,SecondChanceFtPoints,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,PenaltyCorner3FGM,HeaveAttempts,LostBallOutOfBoundsTurnovers,Charge Fouls,3pt And 1 Free Throw Trips,Blocked3s,BlockedCorner3,LongMidRangePctAssisted,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Technical Free Throw Trips,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,on,StepOutOfBoundsTurnovers,Clear Path Fouls,LongMidRangePctBlocked,BlockedArc3,Transition Take Fouls,3SecondViolations,Transition Take Fouls Drawn,HeaveMakes
1626181,1610612746,Norman Powell,Norman Powell,1626181,LAC,6602.0,110,54.0,225,221,26.0,36,18.0,446,10.0,15.0,1.0,4.0,15.0,2.0,3.0,1.0,3.0,1.0,1.0,8.0,16.0,1.0,1.0,1.0,1.0,16.0,33.0,9.0,19.0,12.0,71,218,2.0,2.0,6.0,1.0,3.0,1.0,1.0,2.0,7.0,12.0,20.0,18.0,9.0,16.0,8.0,2.0,7.0,2.0,9.0,1.0,1.0,3.0,3.0,1.0,20.0,1.0,3.0,4.0,7.0,1.0,8.0,1.0,3.0,1.0,2.0,4.0,1.0,1.0,3.0,1.0,5.0,1.0,4.0,7.0,12.0,2.0,17.0,6.0,1.0,1.0,7.0,26.0,1.0,1.0,0.375,0.375,0.6666666666666666,0.4736842105263157,1.0,1.0,0.4736842105263157,0.4848484848484848,0.3333333333333333,0.5673076923076923,1.5,0.625,0.5916666666666667,1.5,0.5833333333333334,0.3653846153846153,0.0606060606060606,0.1333333333333333,26.53061224489796,0.8,0.0833333333333333,0.0526315789473684,0.03125,0.0666666666666666,0.0119047619047619,0.0434782608695652,0.09375,0.2,0.048780487804878,0.0625,0.04,0.2884615384615384,0.6666666666666666,0.7692307692307693,0.5,0.2884615384615384,0.2666666666666666,0.2666666666666666,0.25,0.0576923076923076,0.6666666666666666,0.6666666666666666,0.0576923076923076,0.3333333333333333,0.3333333333333333,0.3076923076923077,0.5,0.5,0.75,0.5,1.0,0.5,1.0,1.0,0.25,0.25,1.0,0.6538461538461539,0.5,0.5224624999999999,0.59985,0.584625,0.1186440677966101,0.1538461538461538,0.05,0.0845070422535211,0.0985915492957746,6.4727272727272736,25.726315789473688,0.1155555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1627732,1610612746,Ben Simmons,Ben Simmons,1627732,LAC,14037.0,234,33.0,477,477,117.0,123,38.0,954,11.0,24.0,6.0,11.0,25.0,,,,,,,,,,,,,22.0,49.0,,,6.0,50,546,,,4.0,6.0,11.0,,,,12.0,30.0,14.0,,,,,2.0,24.0,24.0,48.0,19.0,5.0,16.0,6.0,2.0,120.0,2.0,23.0,11.0,41.0,12.0,53.0,3.0,11.0,6.0,5.0,8.0,7.0,3.0,1.0,,11.0,6.0,10.0,16.0,12.0,1.0,7.0,4.0,,,12.0,117.0,,,0.6818181818181818,0.7142857142857143,,,,,,0.4489795918367347,0.5454545454545454,0.4489795918367347,0.2222222222222222,0.5454545454545454,0.4807692307692308,0.2222222222222222,0.5454545454545454,,0.0408163265306122,0.0416666666666666,12.06896551724138,0.7272727272727273,0.1122448979591836,0.2072072072072072,0.0192307692307692,0.1626794258373205,0.0516431924882629,0.0138888888888888,0.1020408163265306,0.1875,0.225,0.1612903225806451,0.12,0.4897959183673469,0.4583333333333333,0.4782608695652174,0.7272727272727273,0.5102040816326531,0.44,0.4583333333333333,0.6363636363636364,,,,,,,,,,,,,,,,0.5454545454545454,,,0.4897959183673469,,0.5120040816326531,0.5164,0.4916999999999998,0.0769230769230769,0.0769230769230769,,0.08,0.24,5.142857142857143,,0.2452830188679245,2.0,9.0,3.0,2.0,9.0,2.0,9.0,1.0,7.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,4.0,3.0,1.0,0.2222222222222222,0.04,0.5,0.0909090909090909,0.0825688073394495,0.081081081081081,0.1071428571428571,0.03125,0.0909090909090909,0.75,1.0,0.2222222222222222,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1627739,1610612746,Kris Dunn,Kris Dunn,1627739,LAC,11966.0,199,32.0,397,392,55.0,113,37.0,789,9.0,12.0,1.0,6.0,11.0,,,6.0,16.0,,2.0,1.0,8.0,1.0,1.0,,1.0,15.0,23.0,7.0,24.0,2.0,53,446,1.0,3.0,3.0,2.0,2.0,,3.0,2.0,6.0,24.0,6.0,21.0,,8.0,1.0,3.0,11.0,8.0,19.0,4.0,4.0,1.0,10.0,,46.0,2.0,7.0,8.0,15.0,5.0,20.0,,17.0,9.0,8.0,4.0,2.0,,2.0,,4.0,,8.0,18.0,1.0,,2.0,,,1.0,6.0,55.0,2.0,1.0,0.8,0.8,1.0,0.2916666666666667,0.3333333333333333,,0.2916666666666667,0.6521739130434783,1.0,0.5425531914893617,0.375,0.4,0.5520833333333334,0.375,0.5,0.5106382978723404,0.1304347826086956,0.25,11.926605504587156,1.0,0.0898876404494382,0.0760869565217391,0.0219780219780219,0.0828729281767955,0.0290697674418604,0.0151515151515151,0.108695652173913,,0.072463768115942,0.0869565217391304,,0.2553191489361702,0.75,1.0,1.0,0.2340425531914893,0.5454545454545454,0.5454545454545454,0.5,,,,0.3404255319148936,0.375,0.375,0.1702127659574468,0.125,0.125,1.0,0.5,,0.25,1.0,1.0,0.2,0.2,,0.7659574468085106,0.125,0.5575968085106383,0.51535,0.48326,,,,0.0566037735849056,0.1132075471698113,4.443478260869566,24.28333333333333,0.1385390428211587,,1.0,1.0,,1.0,,3.0,,,,,,,4.0,2.0,1.0,4.0,2.0,,,,,,0.037037037037037,0.0416666666666666,0.0377358490566037,0.04,0.1153846153846153,0.5,0.25,,,1.0,2.0,1.0,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1627826,1610612746,Ivica Zubac,Ivica Zubac,1627826,LAC,22403.0,373,110.0,740,713,135.0,174,86.0,1453,58.0,79.0,13.0,49.0,86.0,,,,,,,,,,,,,107.0,165.0,,,34.0,248,800,,,61.0,12.0,24.0,,,12.0,36.0,150.0,64.0,,,,,7.0,11.0,10.0,21.0,7.0,3.0,8.0,2.0,1.0,52.0,8.0,53.0,45.0,101.0,44.0,145.0,4.0,5.0,3.0,2.0,6.0,4.0,6.0,2.0,,12.0,2.0,20.0,33.0,35.0,,44.0,22.0,,2.0,36.0,134.0,4.0,2.0,0.7009345794392523,0.8426966292134831,,,,,,0.6484848484848484,0.5,0.6484848484848484,0.65,0.5,0.6702702702702703,0.6777777777777778,0.5806451612903226,,0.0424242424242424,0.050632911392405,23.50835322195704,0.5,0.2710843373493976,0.3011363636363636,0.0571428571428571,0.2865497076023391,0.1379310344827586,0.0576923076923076,0.3255813953488372,0.125,0.3059701492537313,0.2857142857142857,0.08,0.4787878787878787,0.7341772151898734,0.7733333333333333,0.6724137931034483,0.5212121212121212,0.5697674418604651,0.5903614457831325,0.7346938775510204,,,,,,,,,,,,,,,,0.5416666666666666,,,0.4787878787878787,,0.5134236363636362,0.6107899999999998,0.5119833333333332,0.1202185792349726,0.1202185792349726,,0.2459677419354838,0.1451612903225806,4.759393939393939,,0.1824324324324324,23.0,35.0,6.0,26.0,40.0,36.0,36.0,,3.0,1.0,,4.0,4.0,12.0,6.0,5.0,12.0,7.0,1.0,0.65,0.0348837209302325,0.1764705882352941,,0.2011173184357542,0.25,0.1858407079646017,0.0555555555555555,0.2708333333333333,0.5833333333333334,0.875,0.6571428571428571,0.3043478260869565,0.4615384615384615,,1.0,,,9.0,1.0,2.0,4.0,1.0,0.1666666666666666,,,,,,,,,,,,,,,,,True,,,,,,,,
203992,1610612746,Bogdan Bogdanović,Bogdan Bogdanović,203992,LAC,39492.0,658,153.0,1320,1296,299.0,355,134.0,2616,13.0,25.0,3.0,36.0,63.0,9.0,18.0,9.0,21.0,2.0,3.0,45.0,106.0,4.0,9.0,11.0,25.0,58.0,106.0,54.0,127.0,23.0,301,1452,6.0,12.0,34.0,15.0,23.0,15.0,31.0,7.0,82.0,42.0,74.0,132.0,30.0,105.0,45.0,6.0,55.0,31.0,86.0,17.0,14.0,29.0,22.0,4.0,203.0,5.0,40.0,33.0,76.0,9.0,85.0,1.0,19.0,11.0,8.0,21.0,13.0,12.0,8.0,3.0,33.0,6.0,26.0,60.0,30.0,2.0,26.0,10.0,1.0,3.0,82.0,298.0,5.0,3.0,0.3620689655172414,0.3888888888888889,0.8148148148148148,0.4251968503937008,0.5,0.4838709677419355,0.4285714285714285,0.5471698113207547,0.6521739130434783,0.5965665236051502,0.7083333333333334,0.6944444444444444,0.6142857142857143,0.7083333333333334,0.7068965517241379,0.5450643776824035,0.0566037735849056,0.08,18.911564625850342,0.6363636363636364,0.1126279863481228,0.1282051282051282,0.0187265917602996,0.1206611570247934,0.0157894736842105,0.0256410256410256,0.1265822784810126,0.1521739130434782,0.1298701298701298,0.1234567901234567,0.0089285714285714,0.1072961373390558,0.52,0.5652173913043478,0.3076923076923077,0.2703862660944206,0.5714285714285714,0.6101694915254238,0.3611111111111111,0.0772532188841201,0.5,0.5,0.0901287553648068,0.4285714285714285,0.4285714285714285,0.4549356223175965,0.4245283018867924,0.4245283018867924,0.7777777777777778,0.125,0.6666666666666666,0.375,0.4444444444444444,0.75,0.0555555555555555,0.4629629629629629,0.44,0.6523605150214592,0.4285714285714285,0.5060390086206896,0.5332066666666667,0.4814811320754716,0.0454545454545454,0.0869565217391304,0.0078740157480314,0.1129568106312292,0.2724252491694352,9.391509433962264,26.22913385826772,0.2265151515151515,5.0,7.0,2.0,8.0,12.0,8.0,4.0,,3.0,2.0,,2.0,1.0,4.0,3.0,1.0,5.0,4.0,,0.6666666666666666,0.0634920634920634,0.081081081081081,,0.0132013201320132,,0.0170454545454545,,0.0674157303370786,0.8,0.2916666666666667,0.7142857142857143,0.2,0.6666666666666666,6.0,,1.0,0.1111111111111111,,,1.0,3.0,1.0,0.0263157894736842,4.0,1.0,2.0,1.0,1.0,1.0,1.0,0.4444444444444444,1.0,0.6666666666666666,,,,,,,True,,,,,,,,
201935,1610612746,James Harden,James Harden,201935,LAC,24946.0,416,94.0,851,826,281.0,311,96.0,1677,19.0,37.0,14.0,20.0,50.0,3.0,10.0,3.0,7.0,,,43.0,116.0,5.0,9.0,14.0,43.0,42.0,97.0,46.0,123.0,95.0,317,937,5.0,9.0,25.0,13.0,34.0,15.0,44.0,38.0,109.0,8.0,76.0,45.0,93.0,115.0,43.0,11.0,55.0,23.0,78.0,14.0,9.0,30.0,23.0,2.0,179.0,5.0,19.0,25.0,55.0,13.0,68.0,5.0,16.0,10.0,6.0,34.0,26.0,15.0,8.0,,49.0,18.0,10.0,25.0,70.0,1.0,115.0,37.0,11.0,7.0,107.0,280.0,4.0,6.0,0.0952380952380952,0.0952380952380952,0.3260869565217391,0.3739837398373983,0.5555555555555556,0.3409090909090909,0.3770491803278688,0.4329896907216495,0.3823529411764705,0.5045454545454545,0.53125,0.4551282051282051,0.587360594795539,0.5952380952380952,0.5454545454545454,0.5590909090909091,0.1134020618556701,0.2162162162162162,33.194154488517746,0.6938775510204082,0.1269035532994923,0.1016042780748663,0.0259067357512953,0.1145833333333333,0.0360110803324099,0.0214285714285714,0.1134020618556701,0.21875,0.1205673758865248,0.0434782608695652,0.0454545454545454,0.1681818181818181,0.5135135135135135,0.6551724137931034,,0.2272727272727272,0.4,0.425531914893617,0.2,0.0454545454545454,0.3,0.3,0.0318181818181818,0.4285714285714285,0.4285714285714285,0.5272727272727272,0.3706896551724138,0.3706896551724138,0.3255813953488372,,,0.5625,0.5555555555555556,0.6,0.1794871794871795,0.5512820512820513,0.3255813953488372,0.7272727272727273,0.3739130434782609,0.4955627314814815,0.496295,0.4869175675675675,0.183206106870229,0.2846153846153846,0.0833333333333333,0.0788643533123028,0.3438485804416404,6.556701030927834,27.02682926829268,0.3301997649823737,,4.0,6.0,1.0,7.0,,8.0,,11.0,9.0,,,4.0,6.0,3.0,3.0,8.0,3.0,,0.1428571428571428,0.06,0.44,,0.0476190476190476,0.0961538461538461,0.0198019801980198,0.0377358490566037,0.1029411764705882,0.375,0.25,,,0.4285714285714285,1.0,,0.3333333333333333,0.0128205128205128,8.0,1.0,1.0,4.0,,0.0666666666666666,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,1.0,2.0,,,,,,True,,,,,,,,
201587,1610612746,Nicolas Batum,Nicolas Batum,201587,LAC,18725.0,312,95.0,630,622,162.0,173,62.0,1252,2.0,3.0,,,1.0,,1.0,13.0,25.0,,1.0,8.0,21.0,,1.0,3.0,6.0,2.0,5.0,21.0,46.0,4.0,71,668,,2.0,,,,5.0,12.0,4.0,19.0,2.0,2.0,63.0,,21.0,8.0,1.0,9.0,7.0,16.0,4.0,3.0,4.0,4.0,1.0,39.0,3.0,18.0,24.0,42.0,4.0,46.0,,17.0,14.0,3.0,4.0,3.0,2.0,1.0,,6.0,,5.0,20.0,4.0,,4.0,,,2.0,19.0,161.0,3.0,2.0,0.5,0.5,1.0,0.4565217391304347,,0.4166666666666667,0.4565217391304347,0.4,,0.6568627450980392,,0.625,0.6698113207547169,,0.6785714285714286,0.9019607843137256,0.2,,8.404558404558404,0.6666666666666666,0.1690140845070422,0.119205298013245,0.0220588235294117,0.1433447098976109,0.0142857142857142,0.0097087378640776,0.1625,,0.1304347826086956,0.0833333333333333,,0.0588235294117647,0.6666666666666666,0.6666666666666666,0.5,0.0196078431372549,,,,0.0196078431372549,,,0.4901960784313725,0.52,0.52,0.4117647058823529,0.3809523809523809,0.3809523809523809,1.0,0.5,,0.5,,,,0.5,0.5,0.9607843137254902,0.3809523809523809,0.548486274509804,0.61245,0.5186875,,,,,0.2676056338028169,5.32,24.608695652173918,0.2571428571428571,,,,,,,1.0,,,1.0,,2.0,,7.0,3.0,4.0,8.0,5.0,,,1.0,,,0.0069444444444444,,0.0125,0.0606060606060606,0.2291666666666666,0.625,,,,,6.0,,1.0,0.5,,,4.0,1.0,,,2.0,,,,,1.0,1.0,,,0.3333333333333333,,,,,,,True,,,,,,,,
1627884,1610612746,Derrick Jones Jr.,Derrick Jones Jr.,1627884,LAC,18111.0,302,77.0,614,608,156.0,162,60.0,1222,30.0,39.0,4.0,5.0,10.0,,,7.0,18.0,,,6.0,17.0,,1.0,1.0,6.0,35.0,49.0,13.0,35.0,12.0,121,673,,1.0,16.0,3.0,7.0,1.0,10.0,2.0,11.0,50.0,20.0,39.0,,17.0,6.0,2.0,3.0,5.0,8.0,5.0,,1.0,,2.0,21.0,8.0,12.0,14.0,27.0,14.0,41.0,2.0,11.0,7.0,4.0,5.0,3.0,1.0,2.0,,6.0,1.0,17.0,30.0,16.0,1.0,19.0,10.0,,,11.0,156.0,1.0,,0.7142857142857143,0.8928571428571429,1.0,0.3714285714285714,,0.1,0.3714285714285714,0.7142857142857143,0.4285714285714285,0.6488095238095238,0.8,0.2647058823529412,0.6505376344086021,0.8,0.3055555555555556,0.4166666666666667,0.0408163265306122,0.0512820512820512,14.580265095729011,0.8333333333333334,0.0945945945945946,0.0816326530612244,0.0677966101694915,0.0881355932203389,0.053030303030303,0.0919540229885057,0.0657894736842105,0.2,0.0458715596330275,0.1842105263157894,0.0606060606060606,0.4642857142857143,0.7692307692307693,0.8108108108108109,0.7333333333333333,0.119047619047619,0.5,0.5,0.6,,,,0.2142857142857142,0.3888888888888889,0.3888888888888889,0.2023809523809523,0.3529411764705882,0.3529411764705882,1.0,,,0.1,,,0.2352941176470588,0.3529411764705882,0.1666666666666666,0.8809523809523809,0.3529411764705882,0.593647619047619,0.5640357142857144,0.5460735294117647,0.1075268817204301,0.1724137931034483,,0.1322314049586777,0.0909090909090909,2.838775510204082,24.45714285714286,0.254071661237785,7.0,8.0,3.0,8.0,9.0,14.0,6.0,,1.0,,,1.0,1.0,11.0,5.0,6.0,11.0,4.0,,0.8888888888888888,,0.0555555555555555,,0.0410958904109589,0.0681818181818181,0.0240963855421686,,0.0851063829787234,0.3636363636363636,0.8,0.875,,0.75,4.0,,1.0,0.2352941176470588,,,,,,0.0526315789473684,,,,,,,,,,,,1.0,,,,,True,,,,,,,,
1629234,1610612746,Drew Eubanks,Drew Eubanks,1629234,LAC,4123.0,69,45.0,140,138,38.0,44,17.0,278,9.0,13.0,5.0,5.0,9.0,,,,,,,,,,,,,14.0,22.0,,,2.0,30,130,,,9.0,4.0,6.0,,,1.0,9.0,20.0,8.0,,,,,3.0,3.0,3.0,6.0,3.0,,,3.0,,15.0,2.0,8.0,10.0,21.0,6.0,27.0,1.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,,6.0,2.0,6.0,9.0,3.0,,4.0,1.0,,1.0,9.0,38.0,,1.0,0.7142857142857143,0.8333333333333334,,,,,,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.5714285714285714,0.6666666666666666,0.625,0.5625,0.6428571428571429,,0.1363636363636363,0.1538461538461538,19.23076923076923,0.3333333333333333,0.3125,0.2222222222222222,0.0869565217391304,0.2647058823529412,0.1016949152542373,0.0555555555555555,0.3333333333333333,,0.3,0.125,0.2,0.5909090909090909,0.6923076923076923,0.8181818181818182,0.7777777777777778,0.4090909090909091,0.5555555555555556,0.625,0.6,,,,,,,,,,,,,,,,0.8333333333333334,,,0.5909090909090909,,0.5759818181818182,0.587025,0.5852166666666667,0.0434782608695652,0.0434782608695652,,0.3,0.3,3.609090909090909,,0.2714285714285714,3.0,5.0,3.0,4.0,7.0,4.0,4.0,,3.0,2.0,,1.0,,3.0,2.0,1.0,3.0,1.0,,0.5714285714285714,0.1111111111111111,0.6,,0.1111111111111111,0.1,0.1363636363636363,0.2,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6,0.3333333333333333,0.6,,,,,1.0,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,True,,,,,,,,
1629599,1610612746,Amir Coffey,Amir Coffey,1629599,LAC,15804.0,263,1.0,527,520,124.0,150,57.0,1047,10.0,13.0,1.0,5.0,13.0,9.0,15.0,8.0,21.0,,,5.0,21.0,,2.0,1.0,7.0,24.0,41.0,13.0,42.0,28.0,115,606,,2.0,12.0,3.0,4.0,1.0,8.0,6.0,15.0,28.0,20.0,39.0,,21.0,5.0,4.0,6.0,8.0,14.0,6.0,2.0,3.0,2.0,1.0,36.0,2.0,12.0,6.0,19.0,6.0,25.0,2.0,6.0,5.0,1.0,3.0,1.0,,2.0,,3.0,2.0,11.0,20.0,23.0,,32.0,15.0,,1.0,15.0,124.0,2.0,1.0,0.5833333333333334,0.6666666666666666,1.0,0.3095238095238095,,0.125,0.3095238095238095,0.5853658536585366,0.75,0.5240963855421686,0.6666666666666666,0.375,0.5927835051546392,0.75,0.5,0.5060240963855421,0.0975609756097561,0.0769230769230769,17.006802721088437,1.0,0.054054054054054,0.0930232558139534,0.0181818181818181,0.075,0.0248962655601659,0.0259740259740259,0.0746268656716417,,0.0967741935483871,0.0833333333333333,0.05,0.1566265060240964,0.7692307692307693,0.8333333333333334,0.5,0.1566265060240964,0.3846153846153846,0.5,0.6,0.180722891566265,0.6,0.6,0.253012048192771,0.3809523809523809,0.4,0.253012048192771,0.238095238095238,0.25,1.0,,,0.3333333333333333,,,0.0833333333333333,0.5833333333333334,0.1428571428571428,0.6626506024096386,0.238095238095238,0.5231945121951218,0.4673333333333334,0.5069227272727272,0.15625,0.2777777777777778,,0.1043478260869565,0.1304347826086956,9.260975609756096,24.923809523809524,0.2352941176470588,2.0,2.0,1.0,4.0,4.0,6.0,4.0,,1.0,,,2.0,2.0,,,,,,,1.0,0.2307692307692307,0.0625,,0.0305343511450381,0.0285714285714285,0.0422535211267605,,0.0333333333333333,,0.3333333333333333,1.0,,1.0,1.0,,1.0,0.0833333333333333,4.0,,2.0,,,,,,,,,,,0.6666666666666666,,,,,2.0,0.0476190476190476,0.0476190476190476,0.0476190476190476,True,,,,,,,,
