EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,FoulsDrawn,Charge Fouls Drawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,LongMidRangeFGM,PenaltyFG2M,PenaltyFtPoints,PtsPutbacks,Fg2aBlocked,Corner3Assists,OffThreePtRebounds,FTOffRebounds,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyAtRimAccuracy,PtsUnassisted3s,Fg3aBlocked,LostBallOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawnPct,Travels,Blocked3s,BlockedArc3,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,SecondChanceCorner3Frequency,OffensiveGoaltends,LongMidRangePctBlocked,on,SecondChanceCorner3FGM,HeaveAttempts,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Charge Fouls,BlockedCorner3,DefensiveGoaltends
1627936,1610612760,Alex Caruso,Alex Caruso,1627936,OKC,7886.0,131.0,24.0,265.0,265,46.0,42,38.0,530,3.0,9.0,1.0,3.0,3.0,4.0,4.0,1.0,3.0,7.0,1.0,3.0,7.0,17.0,3.0,5.0,1.0,2.0,7.0,14.0,10.0,24.0,4.0,48.0,267.0,1.0,3.0,3.0,5.0,1.0,12.0,3.0,2.0,5.0,6.0,10.0,4.0,30.0,17.0,7.0,11.0,4.0,15.0,4.0,6.0,4.0,1.0,34.0,3.0,7.0,8.0,1.0,16.0,3.0,19.0,1.0,7.0,4.0,3.0,4.0,1.0,4.0,1.0,5.0,1.0,9.0,15.0,12.0,1.0,2.0,3.0,5.0,3.0,4.0,3.0,1.0,4.0,2.0,1.0,6.0,46.0,1.0,0.7142857142857143,0.7142857142857143,1.0,0.4166666666666667,0.6,0.4,0.4166666666666667,0.5,0.3333333333333333,0.5789473684210527,0.6875,0.375,0.5853658536585366,0.6666666666666666,0.375,0.631578947368421,15.181518151815183,0.8,0.16666666666666666,0.13559322033898305,0.0410958904109589,0.11290322580645161,0.12396694214876033,0.021739130434782608,0.09090909090909091,0.02702702702702703,0.07142857142857142,0.17647058823529413,0.09090909090909091,0.11428571428571428,0.1111111111111111,0.047619047619047616,0.5,0.23684210526315788,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.10526315789473684,1.0,1.0,0.75,0.02631578947368421,0.18421052631578946,0.42857142857142855,0.42857142857142855,1.0,0.4473684210526316,0.4117647058823529,0.4117647058823529,1.0,0.375,0.3333333333333333,0.625,0.6,1.0,0.375,0.375,0.3333333333333333,0.25,0.5,0.868421052631579,0.4117647058823529,0.5835105263157895,0.62657,0.64315625,0.07317073170731707,0.17647058823529413,0.25,0.125,4.871428571428572,24.804166666666664,0.17358490566037735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1628392,1610612760,Isaiah Hartenstein,Isaiah Hartenstein,1628392,OKC,19832.0,331.0,58.0,672.0,674,106.0,106,92.0,1346,32.0,42.0,15.0,21.0,8.0,27.0,52.0,5.0,,,,,,,,,,,61.0,99.0,,,9.0,131.0,718.0,16.0,24.0,,,1.0,33.0,14.0,,,20.0,94.0,28.0,,,,24.0,9.0,33.0,6.0,17.0,3.0,4.0,75.0,28.0,33.0,32.0,5.0,70.0,39.0,109.0,3.0,10.0,8.0,2.0,9.0,4.0,7.0,9.0,18.0,3.0,19.0,43.0,15.0,,2.0,2.0,13.0,6.0,7.0,3.0,3.0,7.0,5.0,,20.0,105.0,5.0,0.7704918032786885,0.9791666666666666,,,,,,0.6161616161616161,0.6666666666666666,0.6161616161616161,0.6666666666666666,0.6428571428571429,0.6359223300970874,0.66,0.625,,15.612903225806452,0.5,0.45454545454545453,0.19753086419753085,0.15384615384615385,0.1907514450867052,0.19402985074626866,0.10857142857142857,0.21052631578947367,0.13793103448275862,0.08,0.23809523809523808,0.2857142857142857,0.2037037037037037,0.16923076923076924,0.0967741935483871,0.7142857142857143,0.42424242424242425,0.7619047619047619,0.8,0.59375,0.5252525252525253,0.5192307692307693,0.5625,0.9629629629629629,0.050505050505050504,,,,,,,,,0.875,0.7142857142857143,,,,0.5714285714285714,,,,,0.42424242424242425,,0.5472878787878788,0.56671,0.5685214285714285,0.058823529411764705,0.058823529411764705,0.25190839694656486,0.15267175572519084,6.107070707070707,,0.15773809523809523,6.0,2.0,9.0,2.0,26.0,6.0,3.0,10.0,1.0,2.0,1.0,6.0,4.0,3.0,1.0,1.0,1.0,0.6428571428571429,0.06060606060606061,0.047619047619047616,0.07692307692307693,0.08333333333333333,0.05952380952380952,0.10526315789473684,0.061068702290076333,0.05405405405405406,0.4,0.4,1.0,0.13333333333333333,0.75,,,,,,,,,,,,,,,,,,True,,,,,,,
1628983,1610612760,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,1628983,OKC,15555.0,259.0,18.0,529.0,530,96.0,95,72.0,1059,22.0,33.0,,1.0,5.0,28.0,49.0,37.0,,,,,8.0,32.0,1.0,6.0,3.0,13.0,69.0,119.0,8.0,32.0,46.0,208.0,577.0,5.0,12.0,1.0,6.0,4.0,17.0,23.0,3.0,13.0,48.0,18.0,120.0,,32.0,8.0,26.0,19.0,45.0,13.0,11.0,13.0,2.0,109.0,6.0,16.0,11.0,1.0,28.0,9.0,37.0,3.0,13.0,7.0,6.0,10.0,1.0,5.0,5.0,15.0,2.0,11.0,19.0,42.0,,1.0,,55.0,22.0,3.0,,3.0,3.0,1.0,,46.0,95.0,1.0,0.13043478260869565,0.1323529411764706,,0.25,0.16666666666666666,0.23076923076923078,0.25,0.5798319327731093,0.4166666666666667,0.5364238410596026,0.3611111111111111,0.4305555555555556,0.5924855491329479,0.425,0.5333333333333333,0.2119205298013245,30.769230769230766,0.6666666666666666,0.1111111111111111,0.08870967741935484,0.04225352112676056,0.11428571428571428,0.10227272727272728,0.031578947368421054,0.09302325581395349,0.02857142857142857,0.09523809523809523,0.07936507936507936,0.10526315789473684,0.1111111111111111,0.12,0.04285714285714286,0.3333333333333333,0.2185430463576159,0.6666666666666666,0.7096774193548387,0.09090909090909091,0.32450331125827814,0.5714285714285714,0.5714285714285714,0.21428571428571427,0.24503311258278146,,,,,0.2119205298013245,0.25,0.25806451612903225,,0.05555555555555555,,0.3333333333333333,0.16666666666666666,,0.1388888888888889,,,0.3611111111111111,0.23076923076923078,0.4304635761589404,0.25,0.5185281456953642,0.4613388888888889,0.5020833333333334,0.14285714285714285,0.16296296296296298,0.08173076923076923,0.23076923076923078,10.106722689075628,25.965625,0.18147448015122875,4.0,19.0,11.0,17.0,2.0,2.0,6.0,3.0,,5.0,2.0,,1.0,6.0,5.0,,4.0,0.4782608695652174,0.01680672268907563,0.06060606060606061,,,0.02097902097902098,,0.00909090909090909,0.06060606060606061,0.5135135135135135,0.5135135135135135,0.05263157894736842,,0.8,24.0,1.0,2.0,1.0,3.0,2.0,0.03125,0.03125,0.06060606060606061,,,,,,,,,True,,,,,,,
1629652,1610612760,Luguentz Dort,Luguentz Dort,1629652,OKC,13362.0,223.0,23.0,454.0,448,66.0,65,61.0,902,6.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,14.0,,1.0,9.0,41.0,3.0,8.0,,3.0,7.0,11.0,12.0,55.0,5.0,55.0,494.0,1.0,2.0,3.0,8.0,,11.0,1.0,,4.0,4.0,14.0,,36.0,41.0,9.0,3.0,3.0,6.0,2.0,1.0,1.0,1.0,15.0,6.0,11.0,8.0,,19.0,12.0,31.0,,6.0,4.0,2.0,3.0,,3.0,2.0,5.0,2.0,5.0,25.0,15.0,,1.0,10.0,6.0,2.0,3.0,2.0,1.0,3.0,2.0,,4.0,65.0,,1.0,1.0,1.0,0.21818181818181817,0.375,,0.21818181818181817,0.6363636363636364,0.5,0.3787878787878788,0.55,0.2,0.40441176470588236,0.55,0.4,0.8333333333333334,14.038461538461538,0.6,,0.07079646017699115,0.05217391304347826,0.08943089430894309,0.08050847457627118,0.05150214592274678,0.029411764705882353,0.03508771929824561,0.075,0.03571428571428571,0.17647058823529413,0.10126582278481013,0.06818181818181818,,0.6666666666666666,0.10606060606060606,0.8571428571428571,0.8571428571428571,1.0,0.045454545454545456,0.3333333333333333,0.3333333333333333,1.0,0.015151515151515152,0.21212121212121213,0.21428571428571427,0.21428571428571427,1.0,0.6212121212121212,0.21951219512195122,0.21951219512195122,1.0,0.1,1.0,0.8,0.375,1.0,0.2,0.2,,0.6,,0.9393939393939394,0.21951219512195122,0.5645242424242425,0.60018,0.53921,0.029411764705882353,0.15384615384615385,0.2,0.07272727272727272,5.709090909090909,25.399999999999995,0.14537444933920704,1.0,,1.0,2.0,,,1.0,6.0,,,1.0,2.0,1.0,,,,,1.0,,,,,0.05084745762711865,0.125,0.0449438202247191,0.06896551724137931,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,True,,,,,,,
1630598,1610612760,Aaron Wiggins,Aaron Wiggins,1630598,OKC,4669.0,78.0,40.0,159.0,161,13.0,14,26.0,320,7.0,11.0,2.0,2.0,,4.0,8.0,,2.0,4.0,1.0,1.0,7.0,20.0,1.0,1.0,,2.0,11.0,19.0,9.0,24.0,2.0,51.0,170.0,3.0,3.0,1.0,1.0,,9.0,,1.0,3.0,3.0,12.0,10.0,27.0,20.0,7.0,3.0,1.0,4.0,,2.0,1.0,,9.0,1.0,4.0,3.0,,7.0,4.0,11.0,,3.0,2.0,1.0,1.0,,,,1.0,,6.0,7.0,2.0,,,,3.0,2.0,2.0,1.0,1.0,2.0,1.0,,3.0,13.0,,0.5454545454545454,0.75,1.0,0.375,1.0,0.3333333333333333,0.375,0.5789473684210527,1.0,0.5697674418604651,1.125,0.5,0.5795454545454546,1.125,0.5,0.5581395348837209,23.93617021276596,1.0,,0.09090909090909091,0.021739130434782608,0.0975609756097561,0.0945945945945946,0.04938271604938271,0.058823529411764705,,,0.15,,,0.2,,0.5,0.2558139534883721,0.6363636363636364,0.7777777777777778,0.5714285714285714,0.18604651162790697,0.5,0.5,0.5,,0.09302325581395349,0.5,0.5,1.0,0.46511627906976744,0.35,0.35,1.0,0.5,1.0,0.25,1.0,1.0,,0.3333333333333333,1.0,0.6666666666666666,,0.813953488372093,0.35,0.5551755813953487,0.54765,0.5681999999999999,0.045454545454545456,0.1,0.17647058823529413,0.058823529411764705,4.473684210526316,25.65416666666667,0.08176100628930817,,,,,6.0,2.0,1.0,3.0,,1.0,,,,1.0,,,,,0.10526315789473684,0.18181818181818182,,,0.08571428571428572,,0.0967741935483871,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1631114,1610612760,Jalen Williams,Jalen Williams,1631114,OKC,17997.0,300.0,56.0,606.0,610,97.0,85,80.0,1216,25.0,44.0,3.0,6.0,5.0,20.0,42.0,24.0,3.0,9.0,1.0,1.0,6.0,28.0,1.0,2.0,1.0,6.0,56.0,110.0,9.0,37.0,21.0,160.0,652.0,5.0,8.0,1.0,2.0,,13.0,14.0,2.0,7.0,22.0,50.0,62.0,24.0,28.0,6.0,34.0,14.0,48.0,9.0,15.0,18.0,1.0,110.0,4.0,24.0,14.0,1.0,39.0,10.0,49.0,2.0,13.0,4.0,9.0,7.0,1.0,4.0,2.0,9.0,,6.0,12.0,20.0,,,,28.0,13.0,5.0,5.0,,6.0,3.0,,22.0,96.0,1.0,0.44642857142857145,0.45454545454545453,0.8888888888888888,0.24324324324324326,0.5,0.2857142857142857,0.24324324324324326,0.509090909090909,0.625,0.47278911564625853,0.65,0.42857142857142855,0.496875,0.65,0.4782608695652174,0.25170068027210885,24.2816091954023,0.7777777777777778,0.125,0.0915032679738562,0.024096385542168676,0.1518987341772152,0.12218649517684887,0.025889967637540454,,0.05333333333333334,0.08333333333333333,0.09090909090909091,0.10714285714285714,0.14,0.1724137931034483,0.029411764705882353,0.5,0.29931972789115646,0.5681818181818182,0.6944444444444444,0.52,0.2857142857142857,0.47619047619047616,0.5405405405405406,0.25,0.16326530612244897,0.061224489795918366,0.3333333333333333,0.3333333333333333,1.0,0.19047619047619047,0.21428571428571427,0.2222222222222222,0.8333333333333334,0.6,0.5,0.2,0.5,1.0,0.23809523809523808,0.047619047619047616,1.0,0.2857142857142857,0.16666666666666666,0.5510204081632653,0.21428571428571427,0.5396734693877551,0.4567571428571428,0.48793571428571425,0.08176100628930817,0.10655737704918032,0.08125,0.1375,8.021818181818182,25.40810810810811,0.16006600660066006,2.0,11.0,6.0,4.0,2.0,13.0,5.0,4.0,2.0,3.0,1.0,,,1.0,1.0,,1.0,0.42857142857142855,0.11818181818181818,0.18181818181818182,0.11904761904761904,0.18181818181818182,0.027972027972027972,,0.03571428571428571,,0.4583333333333333,0.4583333333333333,0.6363636363636364,0.3333333333333333,0.4,3.0,1.0,,,1.0,,0.02702702702702703,0.03571428571428571,,1.0,1.0,1.0,,,,,,True,,,,,,,
1641717,1610612760,Cason Wallace,Cason Wallace,1641717,OKC,7045.0,117.0,54.0,244.0,247,44.0,42,33.0,491,5.0,8.0,1.0,2.0,3.0,,5.0,,3.0,6.0,1.0,2.0,3.0,9.0,1.0,2.0,,1.0,5.0,13.0,6.0,15.0,3.0,31.0,242.0,1.0,2.0,1.0,3.0,,5.0,3.0,1.0,3.0,9.0,6.0,4.0,18.0,9.0,3.0,11.0,4.0,15.0,4.0,6.0,5.0,,34.0,2.0,3.0,6.0,,9.0,5.0,14.0,,10.0,5.0,5.0,2.0,,2.0,2.0,4.0,1.0,5.0,13.0,3.0,,,,3.0,2.0,,,,2.0,2.0,,9.0,44.0,1.0,0.6,0.6,1.0,0.4,0.3333333333333333,0.3333333333333333,0.4,0.38461538461538464,0.5,0.5,0.5,0.5833333333333334,0.5344827586206896,0.5,0.6428571428571429,0.5357142857142857,11.743772241992882,0.5,,0.10344827586206896,0.029850746268656716,0.05357142857142857,0.07894736842105263,0.041666666666666664,,0.06666666666666667,0.23076923076923078,0.06060606060606061,0.08333333333333333,0.08823529411764706,,,1.0,0.2857142857142857,0.625,0.7142857142857143,0.6,0.17857142857142858,,,,,0.21428571428571427,0.5,0.5,1.0,0.32142857142857145,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5,0.4,0.5,1.0,0.5,0.3333333333333333,0.5,0.16666666666666666,,0.8214285714285714,0.3333333333333333,0.5983446428571428,0.6500199999999999,0.6736333333333334,0.06896551724137931,0.14285714285714285,0.16129032258064516,0.2903225806451613,4.338461538461538,24.98,0.18032786885245902,2.0,,2.0,2.0,,2.0,,3.0,,,1.0,1.0,,1.0,,,,0.6666666666666666,0.15384615384615385,0.125,0.2,,0.05660377358490566,,0.022222222222222223,0.25,,,,,0.6666666666666666,,,1.0,,,,,,,,2.0,2.0,1.0,1.0,0.2,,,True,,,,,,,
1630198,1610612760,Isaiah Joe,Isaiah Joe,1630198,OKC,2225.0,37.0,13.0,78.0,71,9.0,15,14.0,149,4.0,4.0,,,1.0,,,1.0,2.0,6.0,,,2.0,9.0,,,2.0,2.0,5.0,5.0,4.0,15.0,1.0,23.0,80.0,,,,1.0,,,1.0,2.0,2.0,8.0,10.0,,12.0,9.0,2.0,2.0,,2.0,,1.0,1.0,,4.0,,1.0,,1.0,2.0,1.0,3.0,,2.0,1.0,1.0,,,,,,,3.0,3.0,3.0,,,,2.0,1.0,,,,,,,8.0,9.0,,1.0,1.0,1.0,0.26666666666666666,,1.0,0.26666666666666666,1.0,,0.55,,1.3333333333333333,0.5476190476190477,,1.3333333333333333,0.75,22.340425531914896,,0.3333333333333333,,,0.0625,0.03571428571428571,0.023255813953488372,,,,,,0.1111111111111111,,,,0.2,1.0,1.0,1.0,,,,,0.05,0.3,0.3333333333333333,0.3333333333333333,1.0,0.45,0.2222222222222222,0.2222222222222222,1.0,,,,,,0.3333333333333333,,,0.6666666666666666,1.0,0.95,0.2222222222222222,0.5830949999999999,0.57915,0.6335000000000001,0.047619047619047616,0.16666666666666666,,0.34782608695652173,4.4799999999999995,25.08,0.11538461538461539,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,0.041666666666666664,,0.058823529411764705,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,True,,,,,,,
1631096,1610612760,Chet Holmgren,Chet Holmgren,1631096,OKC,10589.0,176.0,4.0,353.0,363,53.0,65,44.0,716,15.0,19.0,2.0,2.0,3.0,4.0,12.0,3.0,1.0,8.0,,1.0,6.0,24.0,1.0,3.0,,1.0,19.0,34.0,7.0,32.0,10.0,69.0,390.0,2.0,4.0,1.0,3.0,4.0,11.0,5.0,,2.0,8.0,24.0,14.0,21.0,24.0,6.0,5.0,2.0,7.0,1.0,3.0,,2.0,16.0,5.0,22.0,21.0,1.0,44.0,9.0,53.0,1.0,3.0,1.0,2.0,4.0,,1.0,2.0,6.0,1.0,9.0,13.0,11.0,,3.0,1.0,14.0,6.0,15.0,9.0,5.0,15.0,11.0,,8.0,52.0,1.0,0.631578947368421,0.7058823529411765,1.0,0.21875,0.3333333333333333,,0.21875,0.5588235294117647,0.5,0.44696969696969696,0.5,0.42857142857142855,0.4726027397260274,0.6111111111111112,0.5,0.48484848484848486,19.41031941031941,0.6666666666666666,0.2,0.21875,0.05,0.22916666666666666,0.22395833333333334,0.04712041884816754,0.0967741935483871,0.045454545454545456,0.15625,0.28888888888888886,0.15789473684210525,0.25,0.1875,0.030303030303030304,0.7333333333333333,0.2878787878787879,0.7894736842105263,0.8823529411764706,0.6,0.18181818181818182,0.3333333333333333,0.36363636363636365,0.75,0.045454545454545456,0.12121212121212122,0.125,0.125,1.0,0.36363636363636365,0.25,0.2857142857142857,1.0,0.2857142857142857,1.0,0.42857142857142855,0.3333333333333333,1.0,0.42857142857142855,0.14285714285714285,,0.14285714285714285,,0.7727272727272727,0.25,0.5720666666666666,0.5709416666666667,0.5515928571428571,0.08333333333333333,0.15,0.15942028985507245,0.11594202898550725,5.338235294117646,24.846875,0.1501416430594901,2.0,,3.0,2.0,4.0,4.0,1.0,4.0,,3.0,1.0,1.0,,,1.0,1.0,1.0,0.6,0.11764705882352941,0.10526315789473684,0.08333333333333333,,0.04395604395604396,,0.057971014492753624,,,,,,0.6666666666666666,,3.0,1.0,,,,0.09375,0.125,,,,,,,,1.0,0.3333333333333333,True,,,,,,,
1631119,1610612760,Jaylin Williams,Jaylin Williams,1631119,OKC,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
