EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Transition Take Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3Assists,Loose Ball Fouls Drawn,Offensive Fouls Drawn,Blocked3s,BlockedArc3,OffCorner3ReboundPct,OffLongMidRangeReboundPct,HeaveAttempts,Travels,LongMidRangeAssists,Clear Path Fouls,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,ThreePtShootingFoulsDrawnPct,on,StepOutOfBoundsTurnovers,OffensiveGoaltends
1626157,1610612752,Karl-Anthony Towns,Karl-Anthony Towns,1626157,NYK,10672.0,178,37,354,347,97,93,40.0,701,13.0,21.0,2.0,2.0,3.0,3.0,11.0,20.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,18.0,1.0,2.0,3.0,3.0,26.0,47.0,11.0,19.0,10.0,95.0,389,4.0,5.0,2.0,3.0,2.0,16.0,5.0,7.0,4.0,4.0,3.0,25.0,26.0,26.0,30.0,3.0,4.0,18.0,10.0,4.0,1.0,6.0,3.0,9.0,3.0,5.0,1.0,21.0,1.0,3.0,1.0,17.0,20.0,2.0,39.0,5.0,44.0,1.0,5.0,4.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,7.0,1.0,3.0,12.0,21.0,1.0,2.0,1.0,1.0,14.0,12.0,2.0,2.0,4.0,2.0,6.0,3.0,3.0,6.0,3.0,1.0,25.0,96,2.0,2.0,0.5,0.5416666666666666,0.9090909090909091,0.5789473684210527,0.6666666666666666,1.0,0.5789473684210527,0.5531914893617021,0.8,0.7142857142857143,0.6439393939393939,0.875,1.0,0.6642857142857143,0.8888888888888888,0.9615384615384616,0.2878787878787879,0.05263157894736842,0.0851063829787234,0.14285714285714285,0.05,0.05555555555555555,19.298245614035086,0.2857142857142857,0.2857142857142857,0.1111111111111111,0.2127659574468085,0.030303030303030304,0.2328767123287671,0.014705882352941176,0.2215568862275449,0.023952095808383235,0.045454545454545456,0.02857142857142857,0.022222222222222223,0.17142857142857143,0.2857142857142857,0.11764705882352941,0.2549019607843137,0.18181818181818182,0.043478260869565216,0.5,0.3181818181818182,0.6190476190476191,0.7222222222222222,0.6923076923076923,0.30303030303030304,0.55,0.5789473684210527,0.2727272727272727,0.09090909090909091,0.3333333333333333,0.3333333333333333,0.5,0.015151515151515152,1.0,1.0,1.0,0.2727272727272727,0.5555555555555556,0.5882352941176471,0.9,0.25,1.0,0.5,0.125,1.0,1.0,0.25,0.5,1.0,0.2727272727272727,1.0,0.09090909090909091,1.0,0.2727272727272727,1.0,0.6060606060606061,0.5555555555555556,0.5283212121212121,0.53891,0.5169909090909091,0.058823529411764705,0.08163265306122448,0.16842105263157894,0.2631578947368421,6.35531914893617,26.86315789473684,0.2740112994350282,,,,,,,,,,,,,,,,True,,
1626166,1610612752,Cameron Payne,Cameron Payne,1626166,NYK,1010.0,17,10,33,33,4,4,2.0,66,2.0,2.0,,,,,,1.0,,,,,,,,,3.0,5.0,1.0,1.0,,,2.0,3.0,3.0,5.0,1.0,14.0,33,,,1.0,1.0,,3.0,,1.0,,,,,,4.0,9.0,,,5.0,3.0,,,1.0,,1.0,,1.0,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,1.0,3.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,4,1.0,,,,1.0,0.6,1.0,,0.6,0.6666666666666666,,,0.8125,1.5,,0.875,1.5,,0.625,,,,,,25.0,1.0,,,,,,,,,,,,,,,,,,,0.25,1.0,1.0,,0.125,,,,,,,,,,,,0.625,0.6,0.6,1.0,,,,,,,1.0,1.0,1.0,,,,,,,0.875,0.6,0.56845625,,0.4229,0.125,0.3333333333333333,0.21428571428571427,,5.066666666666666,25.9,0.12121212121212122,,,,,,,,,,,,,,,,True,,
1628384,1610612752,OG Anunoby,OG Anunoby,1628384,NYK,12402.0,207,23,415,418,145,140,45.0,833,11.0,21.0,1.0,4.0,4.0,6.0,6.0,11.0,3.0,9.0,4.0,18.0,,1.0,2.0,6.0,5.0,12.0,2.0,4.0,2.0,4.0,20.0,41.0,9.0,30.0,13.0,80.0,456,1.0,5.0,2.0,5.0,4.0,12.0,9.0,13.0,4.0,10.0,5.0,35.0,18.0,22.0,27.0,,2.0,12.0,5.0,6.0,,2.0,1.0,3.0,,2.0,,7.0,2.0,4.0,,6.0,8.0,3.0,17.0,6.0,23.0,,12.0,4.0,8.0,4.0,1.0,2.0,2.0,1.0,2.0,6.0,,3.0,8.0,17.0,,1.0,,,11.0,14.0,,,6.0,1.0,6.0,2.0,4.0,7.0,2.0,,35.0,144,3.0,1.0,0.45,0.47368421052631576,1.0,0.3,0.4,0.4,0.3,0.4878048780487805,0.2,0.6923076923076923,0.47183098591549294,0.4,0.6521739130434783,0.5128205128205128,0.5,0.6730769230769231,0.4225352112676056,,0.14634146341463414,0.23809523809523808,0.09090909090909091,,17.872340425531913,0.6666666666666666,0.375,,0.07142857142857142,0.03418803418803419,0.07058823529411765,0.02666666666666667,0.07106598984771574,0.03125,0.0392156862745098,0.04878048780487805,0.02040816326530612,0.06521739130434782,0.0625,0.1111111111111111,0.05454545454545454,0.1,,0.2857142857142857,0.29577464788732394,0.5238095238095238,0.6875,0.7272727272727273,0.15492957746478872,0.5454545454545454,0.6,0.16666666666666666,0.1267605633802817,0.3333333333333333,0.3333333333333333,,0.2535211267605634,0.2222222222222222,0.2222222222222222,1.0,0.16901408450704225,0.4166666666666667,0.4166666666666667,1.0,0.4,0.25,,0.1,,,0.4,0.5,1.0,0.2608695652173913,0.6666666666666666,0.2608695652173913,0.3333333333333333,0.17391304347826086,0.5,0.7183098591549296,0.4166666666666667,0.5511735714285714,0.5404571428571429,0.5322,0.07792207792207792,0.1276595744680851,0.15,0.4375,6.939024390243903,24.946666666666662,0.3493975903614458,1.0,2.0,2.0,1.0,1.0,0.038461538461538464,,,,,,,,,,True,,
1628404,1610612752,Josh Hart,Josh Hart,1628404,NYK,13401.0,223,38,448,445,152,147,54.0,893,17.0,26.0,2.0,3.0,6.0,7.0,1.0,9.0,,1.0,2.0,2.0,,,1.0,1.0,5.0,12.0,,,,1.0,18.0,36.0,7.0,14.0,14.0,71.0,486,3.0,4.0,,,,6.0,7.0,9.0,1.0,2.0,8.0,25.0,26.0,10.0,18.0,3.0,4.0,12.0,5.0,7.0,1.0,20.0,15.0,35.0,11.0,13.0,7.0,85.0,6.0,7.0,,20.0,18.0,1.0,39.0,13.0,52.0,,9.0,4.0,5.0,8.0,2.0,5.0,4.0,2.0,3.0,12.0,3.0,4.0,13.0,19.0,,2.0,,,16.0,18.0,,,7.0,2.0,5.0,3.0,2.0,5.0,2.0,,25.0,151,1.0,2.0,0.7222222222222222,0.8125,0.8571428571428571,0.5,,0.5,0.5,0.5,0.75,0.7777777777777778,0.57,0.75,0.7727272727272727,0.6016949152542372,0.75,0.8333333333333334,0.28,0.07142857142857142,0.19444444444444445,0.19230769230769232,0.2222222222222222,0.08333333333333333,13.813229571984436,0.6666666666666666,0.1111111111111111,,0.15254237288135594,0.0546875,0.21978021978021978,0.07228915662650602,0.18181818181818182,0.061611374407582936,0.05454545454545454,0.0625,0.09090909090909091,0.10869565217391304,0.21153846153846154,0.1,0.2033898305084746,0.25,,0.4,0.52,0.6538461538461539,0.8095238095238095,0.7647058823529411,0.18,0.1111111111111111,0.14285714285714285,,0.02,,,,0.04,1.0,1.0,1.0,0.24,0.4166666666666667,0.45454545454545453,0.8,0.75,0.6666666666666666,0.5,,,,,,,0.6363636363636364,0.8571428571428571,0.09090909090909091,1.0,0.09090909090909091,,0.8,0.4166666666666667,0.5818079999999999,0.5609,0.5589136363636364,0.12280701754385964,0.16279069767441862,0.08450704225352113,0.352112676056338,3.5277777777777777,25.15,0.3392857142857143,4.0,4.0,1.0,,,0.03571428571428571,0.04,,,,,,,,,True,,
1628969,1610612752,Mikal Bridges,Mikal Bridges,1628969,NYK,10971.0,183,12,364,362,121,110,38.0,726,13.0,19.0,2.0,3.0,6.0,8.0,8.0,12.0,,4.0,5.0,15.0,1.0,2.0,2.0,5.0,5.0,14.0,1.0,1.0,3.0,8.0,21.0,35.0,10.0,29.0,5.0,77.0,408,2.0,3.0,2.0,3.0,,10.0,10.0,15.0,5.0,13.0,1.0,36.0,24.0,18.0,27.0,3.0,4.0,13.0,5.0,4.0,,4.0,3.0,7.0,2.0,4.0,,17.0,5.0,1.0,,4.0,12.0,1.0,17.0,6.0,23.0,,8.0,4.0,4.0,4.0,2.0,2.0,3.0,,2.0,7.0,,3.0,2.0,9.0,,,,,7.0,5.0,1.0,,3.0,,6.0,4.0,2.0,6.0,3.0,,36.0,120,3.0,,0.5714285714285714,0.631578947368421,0.9,0.3448275862068966,0.6666666666666666,0.38461538461538464,0.35714285714285715,0.6,0.6666666666666666,0.6666666666666666,0.5625,0.8333333333333334,0.625,0.5833333333333334,0.8333333333333334,0.6428571428571429,0.453125,,0.11428571428571428,0.21052631578947367,,,17.848410757946212,0.5714285714285714,0.14285714285714285,,0.13043478260869565,0.009433962264150943,0.05555555555555555,0.07692307692307693,0.0975609756097561,0.03508771929824561,,0.024390243902439025,0.047619047619047616,0.13513513513513514,0.04878048780487805,0.35714285714285715,0.022222222222222223,0.1111111111111111,,0.5,0.296875,0.6842105263157895,0.8666666666666667,0.5384615384615384,0.1875,0.6666666666666666,0.6666666666666666,0.625,0.0625,,,,0.234375,0.3333333333333333,0.3333333333333333,1.0,0.21875,0.35714285714285715,0.35714285714285715,0.8,0.5,0.6666666666666666,,0.3333333333333333,0.5,1.0,0.16666666666666666,1.0,1.0,0.2857142857142857,0.75,0.17857142857142858,0.4,0.2857142857142857,0.375,0.75,0.38461538461538464,0.5511198412698414,0.6105999999999999,0.52555,0.045454545454545456,0.08108108108108109,0.12987012987012986,0.4675324675324675,5.988571428571428,24.99310344827586,0.3324175824175824,1.0,2.0,1.0,,,0.13043478260869565,,1.0,1.0,,,,,,,True,,
1628973,1610612752,Jalen Brunson,Jalen Brunson,1628973,NYK,12674.0,211,39,425,422,146,143,52.0,847,15.0,31.0,1.0,2.0,4.0,7.0,20.0,40.0,8.0,17.0,3.0,4.0,1.0,1.0,,,10.0,34.0,2.0,2.0,4.0,12.0,43.0,88.0,13.0,38.0,37.0,162.0,459,3.0,5.0,3.0,3.0,2.0,17.0,14.0,25.0,4.0,12.0,30.0,70.0,10.0,76.0,21.0,18.0,2.0,34.0,10.0,6.0,,22.0,22.0,44.0,12.0,16.0,5.0,110.0,,6.0,,9.0,6.0,,15.0,6.0,21.0,1.0,2.0,2.0,,9.0,1.0,6.0,4.0,3.0,3.0,13.0,2.0,6.0,8.0,17.0,,,,,48.0,47.0,4.0,2.0,12.0,11.0,2.0,1.0,1.0,2.0,1.0,,69.0,145,,10.0,0.11627906976744186,0.11904761904761904,0.5384615384615384,0.34210526315789475,1.0,0.3333333333333333,0.34210526315789475,0.48863636363636365,0.6,0.56,0.49603174603174605,0.9375,0.5405405405405406,0.5513698630136986,0.9444444444444444,0.6481481481481481,0.30158730158730157,,0.06818181818181818,0.16129032258064516,,,32.78350515463918,0.6923076923076923,,,0.05454545454545454,0.04918032786885246,0.10465116279069768,,0.07653061224489796,0.03015075376884422,0.07547169811320754,0.022727272727272728,,0.06818181818181818,0.061224489795918366,,0.08620689655172414,0.14285714285714285,0.016129032258064516,0.5,0.24603174603174602,0.4838709677419355,0.5769230769230769,0.13333333333333333,0.31746031746031744,0.5,0.5,0.15,0.1349206349206349,0.47058823529411764,0.5,,0.031746031746031744,0.75,0.75,1.0,0.2698412698412698,0.29411764705882354,0.29411764705882354,0.4,0.25,0.5,,0.125,1.0,1.0,0.25,1.0,0.5,0.1891891891891892,0.5714285714285714,,,0.32432432432432434,0.3333333333333333,0.5476190476190477,0.29411764705882354,0.49450119047619046,0.47951249999999995,0.4789202702702703,0.0962962962962963,0.125,0.10493827160493827,0.43209876543209874,7.998863636363635,26.11315789473684,0.34352941176470586,10.0,1.0,4.0,,,,0.04,,,1.0,1.0,3.0,1.0,0.058823529411764705,0.02564102564102564,True,,
1630540,1610612752,Miles McBride,Miles McBride,1630540,NYK,2862.0,48,26,96,91,42,42,21.0,187,,,,,,,1.0,1.0,,1.0,1.0,4.0,1.0,1.0,1.0,2.0,2.0,6.0,1.0,3.0,,3.0,1.0,2.0,3.0,10.0,,11.0,93,,,2.0,4.0,,6.0,,1.0,1.0,5.0,,3.0,2.0,,6.0,3.0,,6.0,2.0,,,,2.0,2.0,2.0,,,6.0,,,,3.0,1.0,,4.0,,4.0,,1.0,,1.0,1.0,,1.0,1.0,,,2.0,,,5.0,7.0,,,1.0,,2.0,,,,,,,,,,,,3.0,42,1.0,,1.0,1.0,0.6666666666666666,0.3,0.5,0.2,0.3,0.5,,,0.4583333333333333,0.75,0.25,0.4583333333333333,0.75,0.25,0.8333333333333334,,,,,,11.023622047244094,0.5,,,0.04,,0.15,,0.08888888888888889,,,,,,0.09090909090909091,,0.08333333333333333,0.25,,,,,,,0.08333333333333333,1.0,1.0,1.0,0.08333333333333333,,,,0.3333333333333333,0.25,0.25,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,,,,0.25,1.0,1.0,0.75,0.3333333333333333,1.0,,,0.3333333333333333,0.5,0.5,,0.8333333333333334,0.3333333333333333,0.5224291666666667,0.52115,0.5051916666666667,,,0.5454545454545454,0.2727272727272727,15.7,25.07,0.4375,,,,,,,,,,,,,,,,True,,
1629011,1610612752,Mitchell Robinson,Mitchell Robinson,1629011,NYK,2809.0,47,4,97,101,51,55,18.0,198,4.0,9.0,3.0,8.0,2.0,4.0,,1.0,,,,,,,,,,,,,,,4.0,10.0,,,4.0,12.0,97,3.0,9.0,,,1.0,7.0,2.0,5.0,,,2.0,6.0,2.0,6.0,,,6.0,,,,,,,,,,,,4.0,8.0,1.0,,4.0,1.0,5.0,13.0,18.0,2.0,2.0,1.0,1.0,4.0,,2.0,,,2.0,4.0,2.0,2.0,6.0,7.0,,,,,8.0,15.0,1.0,,4.0,4.0,2.0,1.0,1.0,2.0,2.0,,6.0,51,1.0,,0.25,1.0,,,,,,0.4,0.3333333333333333,0.4,0.4,0.3333333333333333,0.4,0.35294117647058826,0.3181818181818182,0.3333333333333333,,,,,,,17.21311475409836,1.0,0.3333333333333333,0.1,0.16666666666666666,0.25806451612903225,,0.2222222222222222,0.09090909090909091,0.24489795918367346,0.36363636363636365,0.26666666666666666,0.23076923076923078,0.1,0.2727272727272727,,,,0.3333333333333333,1.0,0.9,0.4444444444444444,0.4444444444444444,0.25,0.1,,,,,,,,,,,,,,,,0.8888888888888888,0.375,,,,,,,,0.8,0.5,,,,,0.9,,0.58974,0.5275714285714286,0.61634,0.3076923076923077,0.3076923076923077,0.5833333333333334,0.5,0.9,,0.5257731958762887,,,,,,0.2,,,,,,,,,,True,,
1629013,1610612752,Landry Shamet,Landry Shamet,1629013,NYK,204.0,3,1,8,6,2,1,,14,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,2.0,9,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1.0,1.0,,,,,,0.5,,,0.5,,,0.5,,,,,0.5,0.5,,,25.0,,,,,,,,,,,,,,,,,,,,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.6999,,,,,,,1.85,,0.25,,,,,,,,,,,,,,,,True,,
1626157,1610612752,Karl-Anthony Towns,Karl-Anthony Towns,1626157,NYK,2897.0,48,-16,97,98,21,19,15.0,195,2.0,2.0,1.0,1.0,,,2.0,10.0,2.0,6.0,,,,,,,1.0,6.0,,,1.0,2.0,6.0,18.0,1.0,6.0,8.0,23.0,111,1.0,2.0,,,,2.0,,1.0,1.0,2.0,,3.0,6.0,6.0,3.0,,2.0,6.0,1.0,1.0,,,1.0,1.0,1.0,,,3.0,2.0,,,8.0,4.0,2.0,14.0,2.0,16.0,,2.0,,2.0,1.0,,1.0,,,,1.0,,,4.0,6.0,,1.0,,,6.0,8.0,,2.0,3.0,,2.0,2.0,,2.0,1.0,1.0,3.0,21,,,0.5,0.6,1.0,0.16666666666666666,,0.5,0.16666666666666666,0.3333333333333333,0.5,,0.3125,0.5,0.5,0.3888888888888889,0.5,0.5,0.25,,0.05555555555555555,,0.1,,24.778761061946906,1.0,0.6666666666666666,,0.2,,0.36363636363636365,0.1111111111111111,0.2857142857142857,0.03636363636363636,,,0.15384615384615385,0.2,0.1,0.4,0.4117647058823529,0.2,,0.5,0.08333333333333333,1.0,1.0,0.5,0.4166666666666667,0.2,0.2222222222222222,0.5,0.25,0.3333333333333333,0.3333333333333333,0.5,,,,,0.25,0.16666666666666666,0.16666666666666666,1.0,0.5,1.0,,,,,,,,,,,,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.4681416666666667,,0.4613833333333333,0.1111111111111111,0.14285714285714285,0.08695652173913043,0.13043478260869565,10.844444444444443,26.76666666666667,0.21649484536082475,,,,,,,,,,,,,,,,False,,
