EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG2M,ThreePtAssists,Arc3Assists,Corner3Assists,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,StepOutOfBoundsTurnovers,PenaltyTurnovers,BlockedArc3,PenaltyFg2Pct,ShortMidRangePctBlocked,DefFTReboundPct,DefLongMidRangeReboundPct,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Fg3aBlocked,FTOffRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceFtPoints,PtsUnassisted3s,HeaveAttempts,ThreePtShootingFoulsDrawn,DefCorner3ReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SelfOReb,SelfORebPct,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,OffAtRimReboundPct,BlockedLongMidRange,on,Charge Fouls,Defensive 3 Seconds Violations,Transition Take Fouls,Charge Fouls Drawn,Corner3PctBlocked,LongMidRangePctBlocked
1626167,1610612754,Myles Turner,Myles Turner,1626167,IND,5680.0,95,-35.0,185,188,24,59,17.0,373,5.0,10.0,1.0,1.0,1.0,3.0,5.0,1.0,3.0,1.0,1.0,2.0,11.0,1.0,1.0,1.0,2.0,9.0,18.0,3.0,12.0,5.0,32.0,252,1.0,1.0,1.0,1.0,5.0,2.0,1.0,2.0,2.0,5.0,16.0,2.0,9.0,2.0,11.0,2.0,2.0,4.0,4.0,1.0,2.0,1.0,8.0,1.0,1.0,3.0,5.0,8.0,2.0,10.0,5.0,1.0,2.0,4.0,1.0,7.0,1.0,9.0,13.0,1.0,1.0,15.0,2.0,2.0,5.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,5.0,24,1.0,1.0,0.8888888888888888,1.0,1.0,0.25,1.0,0.5,0.25,0.5,1.0,0.45,1.25,0.375,0.5,1.25,0.5,0.4,0.1111111111111111,0.2,19.11764705882353,0.7142857142857143,0.10416666666666667,0.02702702702702703,0.08108108108108109,0.02702702702702703,0.09411764705882353,0.02702702702702703,0.058823529411764705,0.03571428571428571,0.11764705882352941,0.14285714285714285,0.10714285714285714,0.6,0.3333333333333333,0.5,0.625,0.8,0.16666666666666666,0.6,0.6,1.0,0.1,0.3333333333333333,0.3333333333333333,1.0,0.03333333333333333,1.0,1.0,1.0,0.36666666666666664,0.18181818181818182,0.18181818181818182,1.0,0.5,1.0,0.5,1.0,1.0,0.25,0.5,0.5,0.7333333333333333,0.18181818181818182,0.5384716666666666,0.5732250000000001,0.4497875,0.06451612903225806,0.10526315789473684,0.15625,0.15625,6.705555555555556,26.258333333333336,0.12972972972972974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1627783,1610612754,Pascal Siakam,Pascal Siakam,1627783,IND,8129.0,135,-11.0,263,269,77,102,26.0,532,7.0,9.0,,,3.0,11.0,21.0,5.0,13.0,3.0,3.0,6.0,10.0,,2.0,,,23.0,43.0,9.0,13.0,17.0,90.0,332,1.0,1.0,,2.0,2.0,13.0,1.0,1.0,7.0,28.0,28.0,18.0,27.0,,10.0,6.0,1.0,8.0,16.0,3.0,5.0,,40.0,1.0,1.0,6.0,8.0,15.0,2.0,17.0,6.0,5.0,1.0,1.0,,7.0,,9.0,13.0,,,19.0,,,27.0,3.0,13.0,2.0,3.0,1.0,2.0,,1.0,4.0,1.0,,28.0,77,,2.0,0.6086956521739131,0.6086956521739131,1.0,0.6923076923076923,,1.0,0.6923076923076923,0.5348837209302325,1.0,0.6517857142857143,0.3333333333333333,0.75,0.6617647058823529,0.3333333333333333,0.7368421052631579,0.23214285714285715,0.023255813953488372,,25.423728813559322,0.8571428571428571,0.12698412698412698,0.01639344262295082,0.09836065573770492,0.023255813953488372,0.11290322580645161,0.019230769230769232,0.03333333333333333,0.03571428571428571,0.15,0.15384615384615385,0.13333333333333333,0.25,0.16071428571428573,0.7777777777777778,0.7777777777777778,0.8571428571428571,0.375,0.5238095238095238,0.55,0.36363636363636365,0.23214285714285715,0.38461538461538464,0.38461538461538464,0.8,0.05357142857142857,1.0,1.0,1.0,0.17857142857142858,0.6,0.6,1.0,,,0.6666666666666666,,,0.21428571428571427,,,0.39285714285714285,0.6,0.48473571428571427,0.5139,0.524775,0.19696969696969696,0.24528301886792453,0.022222222222222223,0.3111111111111111,9.751162790697677,25.623076923076926,0.29277566539923955,3.0,1.0,1.0,9.0,8.0,7.0,1.0,1.0,6.0,3.0,3.0,1.0,2.0,1.0,0.6923076923076923,0.047619047619047616,0.1111111111111111,0.058823529411764705,1.0,0.07142857142857142,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,
1629614,1610612754,Andrew Nembhard,Andrew Nembhard,1629614,IND,6339.0,106,-2.0,211,217,54,95,19.0,428,3.0,7.0,,1.0,1.0,4.0,9.0,4.0,5.0,2.0,3.0,2.0,9.0,1.0,1.0,,3.0,11.0,21.0,4.0,12.0,2.0,36.0,256,,2.0,1.0,1.0,3.0,3.0,1.0,4.0,,9.0,10.0,12.0,12.0,,9.0,2.0,1.0,5.0,13.0,,5.0,,34.0,1.0,2.0,1.0,2.0,4.0,4.0,8.0,4.0,3.0,4.0,1.0,1.0,8.0,2.0,1.0,7.0,1.0,,9.0,,3.0,4.0,,2.0,,1.0,,,,1.0,1.0,,,9.0,53,2.0,,0.45454545454545453,0.45454545454545453,1.0,0.3333333333333333,1.0,0.25,0.3333333333333333,0.5238095238095238,,0.5151515151515151,0.5,0.6428571428571429,0.5142857142857142,0.5,0.6428571428571429,0.36363636363636365,0.047619047619047616,0.14285714285714285,18.454935622317596,0.5,0.043478260869565216,0.05263157894736842,0.021739130434782608,0.025,0.03260869565217391,0.038461538461538464,0.06666666666666667,,,0.08,0.02564102564102564,,0.21212121212121213,0.42857142857142855,0.5,,0.2727272727272727,0.4444444444444444,0.4444444444444444,0.5,0.15151515151515152,0.8,0.8,0.75,0.09090909090909091,0.6666666666666666,0.6666666666666666,1.0,0.2727272727272727,0.2222222222222222,0.25,1.0,0.3333333333333333,,0.3333333333333333,1.0,1.0,0.14285714285714285,0.42857142857142855,,0.5757575757575758,0.2222222222222222,0.4945939393939394,0.5220666666666667,0.45733571428571423,0.05714285714285714,0.08695652173913043,0.08333333333333333,0.25,9.361904761904762,27.13333333333333,0.2559241706161137,1.0,1.0,1.0,3.0,8.0,6.0,2.0,1.0,6.0,3.0,3.0,,1.0,,1.0,,0.1,,1.0,0.14285714285714285,1.0,1.0,1.0,1.0,2.0,0.08333333333333333,0.1111111111111111,0.1,0.125,0.07692307692307693,,,,,,,,,,,,,,,,,,True,,,,,,
1630169,1610612754,Tyrese Haliburton,Tyrese Haliburton,1630169,IND,7848.0,131,15.0,268,263,95,117,24.0,531,7.0,9.0,,1.0,5.0,9.0,12.0,8.0,11.0,,1.0,14.0,26.0,,1.0,7.0,11.0,24.0,32.0,14.0,27.0,13.0,103.0,335,1.0,2.0,,1.0,5.0,9.0,7.0,12.0,4.0,39.0,16.0,32.0,6.0,,25.0,14.0,1.0,28.0,41.0,16.0,6.0,6.0,95.0,,,6.0,12.0,18.0,,18.0,11.0,8.0,3.0,3.0,1.0,14.0,,6.0,9.0,,,9.0,,,19.0,1.0,5.0,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,,39.0,95,1.0,2.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,0.5185185185185185,,0.5833333333333334,0.5384615384615384,0.75,0.5,0.7627118644067796,0.3333333333333333,0.8333333333333334,0.7686567164179104,0.5,0.8478260869565217,0.4576271186440678,0.03125,,27.364864864864867,0.7857142857142857,0.19672131147540983,,0.10344827586206896,,0.15126050420168066,,,,0.1875,0.16666666666666666,0.09523809523809523,0.5,0.15254237288135594,0.7777777777777778,0.7777777777777778,,0.2033898305084746,0.75,0.8181818181818182,0.6666666666666666,0.1864406779661017,0.7272727272727273,0.7272727272727273,0.25,0.01694915254237288,,,,0.4406779661016949,0.5384615384615384,0.5384615384615384,0.14285714285714285,0.3333333333333333,,0.3333333333333333,,,0.23809523809523808,0.5238095238095238,0.6363636363636364,0.6101694915254238,0.56,0.5285362068965518,0.5700000000000001,0.5511150000000001,0.1076923076923077,0.1388888888888889,0.04854368932038835,0.3786407766990291,9.953125,28.474074074074068,0.35447761194029853,4.0,,1.0,7.0,13.0,6.0,7.0,,6.0,4.0,2.0,1.0,2.0,,0.7777777777777778,0.08333333333333333,,0.26666666666666666,0.8,0.047619047619047616,,,,,1.0,,,,,,3.0,36.0,1.0,2.0,0.125,0.06896551724137931,,,,,,,,,,,,True,,,,,,
1641767,1610612754,Ben Sheppard,Ben Sheppard,1641767,IND,14987.0,250,-28.0,501,510,149,212,42.0,1011,1.0,1.0,,,,5.0,8.0,1.0,1.0,7.0,19.0,7.0,14.0,1.0,1.0,2.0,4.0,7.0,10.0,14.0,33.0,4.0,60.0,626,,,2.0,3.0,6.0,2.0,5.0,10.0,4.0,21.0,14.0,,42.0,,14.0,7.0,1.0,3.0,7.0,1.0,1.0,1.0,18.0,4.0,2.0,9.0,7.0,23.0,6.0,29.0,6.0,4.0,3.0,2.0,,9.0,1.0,16.0,34.0,1.0,2.0,7.0,4.0,1.0,4.0,,,2.0,1.0,,,,1.0,1.0,,,19.0,148,6.0,1.0,1.0,1.0,1.0,0.42424242424242425,0.6666666666666666,0.5,0.42424242424242425,0.7,,0.6511627906976745,1.0,0.7083333333333334,0.6666666666666666,1.0,0.75,0.7674418604651163,0.1,,9.800362976406534,0.6666666666666666,0.061946902654867256,0.0196078431372549,0.0891089108910891,0.044444444444444446,0.07476635514018691,0.03125,,0.04838709677419355,0.06060606060606061,0.05660377358490566,0.09210526315789473,,0.023255813953488372,1.0,1.0,1.0,0.18604651162790697,0.625,0.7142857142857143,1.0,0.023255813953488372,1.0,1.0,1.0,0.4418604651162791,0.3684210526315789,0.3684210526315789,1.0,0.32558139534883723,0.5,0.5,1.0,,,0.3333333333333333,1.0,1.0,,0.3333333333333333,0.5,0.7906976744186046,0.5,0.5269302325581395,0.5379,0.5121875,,,0.1,0.35,7.409999999999999,24.46666666666666,0.29740518962075846,,3.0,6.0,1.0,4.0,4.0,,7.0,6.0,3.0,3.0,,3.0,,0.5,0.125,0.3333333333333333,0.07407407407407407,,0.5,0.5,,,,1.0,,,,0.11764705882352941,0.03571428571428571,,,,,0.08,,1.0,2.0,0.6666666666666666,0.5,1.0,,,,,,,True,,,,,,
1630174,1610612754,Aaron Nesmith,Aaron Nesmith,1630174,IND,2763.0,46,22.0,94,93,41,46,9.0,187,,2.0,,1.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,8.0,10.0,1.0,1.0,6.0,6.0,3.0,8.0,9.0,13.0,5.0,38.0,100,,3.0,1.0,1.0,3.0,2.0,6.0,6.0,1.0,19.0,4.0,2.0,24.0,,10.0,8.0,1.0,2.0,3.0,1.0,1.0,,7.0,,1.0,5.0,4.0,10.0,1.0,11.0,,,1.0,,,1.0,,4.0,6.0,,1.0,4.0,,,6.0,,3.0,,2.0,,2.0,,,2.0,1.0,,19.0,41,,,0.6666666666666666,0.6666666666666666,0.8888888888888888,0.6923076923076923,1.0,1.0,0.6923076923076923,0.375,,0.7857142857142857,0.375,1.125,0.7916666666666666,0.375,1.0555555555555556,0.6190476190476191,0.125,,24.271844660194173,,0.2,0.05555555555555555,0.18518518518518517,,0.19148936170212766,0.02857142857142857,0.1,,,0.2857142857142857,0.16666666666666666,0.5,0.09523809523809523,,,,0.23809523809523808,0.4,0.5,0.5,0.047619047619047616,1.0,1.0,1.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,0.47619047619047616,0.8,0.8,0.875,0.25,,0.25,1.0,,0.25,0.75,1.0,0.7142857142857143,0.8,0.47740476190476194,0.4268166666666666,0.4612875,0.125,0.2727272727272727,0.07894736842105263,0.5,8.299999999999999,26.107692307692307,0.43617021276595747,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,0.2,0.25,0.3333333333333333,,,,,,,,,,,,,,3.0,,,0.2222222222222222,,,,,,,,,,,,,True,,,,,,
204456,1610612754,T.J. McConnell,T.J. McConnell,204456,IND,7322.0,122,-36.0,236,246,60,85,20.0,482,10.0,15.0,2.0,2.0,3.0,10.0,22.0,2.0,4.0,1.0,2.0,3.0,8.0,,,,1.0,22.0,41.0,4.0,10.0,8.0,64.0,311,4.0,4.0,,,8.0,9.0,,2.0,8.0,16.0,8.0,36.0,9.0,2.0,6.0,3.0,3.0,16.0,30.0,8.0,6.0,2.0,74.0,2.0,3.0,8.0,4.0,14.0,5.0,19.0,9.0,7.0,5.0,2.0,2.0,14.0,1.0,7.0,9.0,,,6.0,1.0,1.0,8.0,,1.0,3.0,1.0,,,,1.0,1.0,1.0,,16.0,60,,3.0,0.18181818181818182,0.19047619047619047,0.75,0.4,,,0.5,0.5365853658536586,1.0,0.5490196078431373,1.0,0.36363636363636365,0.5818181818181818,1.0,0.5333333333333333,0.19607843137254902,0.07317073170731707,0.13333333333333333,26.436781609195403,0.6428571428571429,0.08333333333333333,0.05454545454545454,0.2,0.047619047619047616,0.13636363636363635,0.05154639175257732,0.06896551724137931,0.06451612903225806,,0.09090909090909091,0.23333333333333334,1.0,0.29411764705882354,0.6666666666666666,0.7692307692307693,0.2,0.43137254901960786,0.45454545454545453,0.47619047619047616,0.2,0.0784313725490196,0.5,0.5,,0.0392156862745098,0.5,0.5,1.0,0.1568627450980392,0.375,0.375,0.6666666666666666,0.5,1.0,,,,0.2727272727272727,0.09090909090909091,,0.49019607843137253,0.5,0.508165306122449,0.414,0.46209000000000006,0.019230769230769232,0.023809523809523808,0.125,0.25,7.10731707317073,33.089999999999996,0.2542372881355932,3.0,,1.0,4.0,14.0,9.0,5.0,2.0,5.0,2.0,3.0,,4.0,,0.4444444444444444,0.045454545454545456,0.18181818181818182,0.16666666666666666,1.0,0.09090909090909091,,,,3.0,,,,,0.1,,,3.0,2.0,,0.1,,,,,,,1.0,0.05263157894736842,0.5,,,,True,,,,,,
1631097,1610612754,Bennedict Mathurin,Bennedict Mathurin,1631097,IND,4206.0,70,-37.0,140,147,43,47,9.0,287,7.0,12.0,2.0,5.0,3.0,5.0,7.0,,1.0,,1.0,2.0,7.0,,,,2.0,12.0,20.0,2.0,8.0,21.0,51.0,199,2.0,5.0,,,7.0,4.0,,2.0,5.0,11.0,10.0,14.0,3.0,,7.0,2.0,,2.0,5.0,2.0,,,13.0,,4.0,2.0,5.0,7.0,4.0,11.0,2.0,,1.0,2.0,1.0,3.0,,8.0,9.0,,,14.0,2.0,,24.0,2.0,10.0,1.0,1.0,,1.0,,,1.0,1.0,,11.0,43,,1.0,0.4166666666666667,0.4166666666666667,0.5,0.25,,,0.25,0.6,0.4,0.5357142857142857,0.4,0.5,0.6578947368421053,0.5833333333333334,0.6875,0.2857142857142857,,,26.973684210526315,0.6666666666666666,0.14285714285714285,0.12121212121212122,0.10526315789473684,,0.12962962962962962,0.0784313725490196,0.0625,,0.07692307692307693,0.16666666666666666,0.07692307692307693,1.0,0.42857142857142855,0.5833333333333334,0.5833333333333334,0.42857142857142855,0.25,0.7142857142857143,0.7142857142857143,0.4,0.03571428571428571,,,,0.03571428571428571,,,,0.25,0.2857142857142857,0.2857142857142857,0.5,1.0,0.4,,,,0.5,0.3333333333333333,,0.7142857142857143,0.2857142857142857,0.5587392857142857,0.6422000000000001,0.6020083333333334,0.2972972972972973,0.35714285714285715,0.13725490196078433,0.21568627450980393,5.535,25.5375,0.30714285714285716,2.0,,,3.0,3.0,,3.0,,1.0,1.0,,,2.0,,0.75,,,0.2,0.6666666666666666,,,,,,,,,,,,3.0,3.0,,1.0,0.16666666666666666,0.1111111111111111,,,,,,2.0,0.14285714285714285,1.0,1.0,0.25,,True,,,,,,
1630167,1610612754,Obi Toppin,Obi Toppin,1630167,IND,8177.0,136,-8.0,284,285,87,121,20.0,569,18.0,25.0,,2.0,6.0,7.0,11.0,1.0,2.0,3.0,9.0,4.0,16.0,,1.0,1.0,4.0,26.0,38.0,7.0,25.0,9.0,82.0,355,1.0,3.0,,3.0,4.0,10.0,3.0,8.0,5.0,30.0,44.0,8.0,21.0,,15.0,4.0,,5.0,8.0,1.0,3.0,1.0,19.0,1.0,1.0,11.0,12.0,26.0,2.0,28.0,4.0,4.0,4.0,,1.0,8.0,,6.0,13.0,1.0,1.0,10.0,1.0,,11.0,3.0,6.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,,30.0,87,1.0,1.0,0.8461538461538461,0.8461538461538461,1.0,0.28,,0.375,0.2916666666666667,0.6842105263157895,0.3333333333333333,0.5793650793650794,0.16666666666666666,0.6944444444444444,0.6119402985074627,0.2857142857142857,0.75,0.3968253968253968,,,24.4299674267101,0.5,0.2222222222222222,0.018518518518518517,0.21568627450980393,0.023255813953488372,0.21904761904761905,0.020618556701030927,,0.03333333333333333,0.3076923076923077,0.16,0.15789473684210525,0.5,0.3968253968253968,0.72,0.72,0.7777777777777778,0.1746031746031746,0.6363636363636364,0.6363636363636364,1.0,0.031746031746031744,0.5,0.5,1.0,0.14285714285714285,0.3333333333333333,0.3333333333333333,1.0,0.25396825396825395,0.25,0.25,1.0,0.3333333333333333,,0.16666666666666666,,,0.3333333333333333,0.2222222222222222,0.25,0.7936507936507936,0.26666666666666666,0.5864701612903225,0.5183,0.5923882352941177,0.09090909090909091,0.14634146341463414,0.04878048780487805,0.36585365853658536,4.189473684210528,26.827999999999996,0.30633802816901406,5.0,2.0,4.0,8.0,3.0,2.0,1.0,3.0,6.0,5.0,1.0,,1.0,,0.8,,0.3333333333333333,0.25,0.8333333333333334,0.2222222222222222,0.5,,,1.0,1.0,,,,,,2.0,,1.0,,0.38461538461538464,,,2.0,0.3333333333333333,,,1.0,0.034482758620689655,,,0.05,1.0,True,,,,,,
1641716,1610612754,Jarace Walker,Jarace Walker,1641716,IND,2470.0,41,-13.0,84,86,24,44,5.0,170,,,,,,2.0,6.0,,,,,3.0,8.0,2.0,2.0,,1.0,2.0,6.0,3.0,8.0,2.0,15.0,100,,,2.0,2.0,6.0,1.0,,1.0,2.0,2.0,2.0,2.0,9.0,,8.0,3.0,,5.0,5.0,1.0,3.0,1.0,10.0,,,2.0,2.0,4.0,1.0,5.0,1.0,1.0,1.0,,,2.0,,1.0,3.0,,1.0,5.0,1.0,1.0,4.0,,2.0,,,,,,,,,,2.0,23,1.0,,0.5,0.5,1.0,0.375,1.0,,0.375,0.3333333333333333,,0.4642857142857143,1.5,,0.46875,1.5,0.25,0.5714285714285714,,,20.0,0.5,0.10526315789473684,,0.1,,0.10256410256410256,,,,0.16666666666666666,0.09090909090909091,0.0625,,,,,,0.42857142857142855,0.3333333333333333,0.3333333333333333,0.5,,,,,,,,,0.5714285714285714,0.375,0.375,1.0,,,1.0,1.0,1.0,,0.5,,0.5714285714285714,0.375,0.486675,0.59775,0.45535,0.125,0.25,0.4,0.13333333333333333,7.949999999999999,26.587500000000002,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,0.5,,,,,,,0.25,,,,,,,,,,,,,True,,,,,,
