EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,HeaveAttempts,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,Transition Take Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyCorner3FGA,PtsPutbacks,FTDefRebounds,SelfOReb,LostBallOutOfBoundsTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,SecondChanceCorner3FGA,PenaltyCorner3FGM,StepOutOfBoundsTurnovers,Travels,BlockedLongMidRange,DefensiveGoaltends,Corner3PctBlocked,SecondChanceCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,Loose Ball Fouls,ThreePtShootingFoulsDrawn,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Charge Fouls,LongMidRangePctBlocked,on
1627750,1610612743,Jamal Murray,Jamal Murray,1627750,DEN,18989.0,316.0,44.0,612.0,606,173.0,129.0,92.0,1218,14.0,21.0,4.0,6.0,10.0,23.0,12.0,28.0,2.0,6.0,19.0,47.0,3.0,5.0,3.0,13.0,36.0,72.0,21.0,53.0,22.0,157.0,706.0,1.0,3.0,3.0,5.0,3.0,14.0,8.0,20.0,3.0,13.0,6.0,31.0,28.0,44.0,33.0,30.0,1.0,46.0,19.0,7.0,2.0,32.0,12.0,44.0,7.0,5.0,16.0,12.0,4.0,100.0,1.0,2.0,1.0,24.0,13.0,37.0,4.0,41.0,7.0,5.0,2.0,16.0,2.0,12.0,3.0,4.0,19.0,1.0,4.0,13.0,17.0,25.0,2.0,1.0,25.0,2.0,1.0,10.0,3.0,6.0,1.0,1.0,3.0,3.0,7.0,3.0,31.0,172.0,2.0,0.3888888888888889,0.3888888888888889,0.5238095238095238,0.39622641509433965,0.6,0.23076923076923078,0.40384615384615385,0.5,0.3333333333333333,0.4,0.54,0.6875,0.3787878787878788,0.5735294117647058,0.7,0.40789473684210525,0.424,0.03773584905660377,0.09722222222222222,0.19047619047619047,0.13043478260869565,0.0425531914893617,21.300138312586444,0.8421052631578947,0.05555555555555555,0.08280254777070063,0.011627906976744186,0.16551724137931034,0.008849557522123894,0.12251655629139073,0.010526315789473684,0.025,0.0125,0.06976744186046512,0.07368421052631578,0.15789473684210525,0.16666666666666666,0.16326530612244897,0.42857142857142855,0.168,0.6666666666666666,0.8235294117647058,0.5,0.184,0.43478260869565216,0.5,0.3,0.224,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.048,0.3333333333333333,0.3333333333333333,1.0,0.376,0.40425531914893614,0.4222222222222222,0.47368421052631576,0.625,0.6,0.3333333333333333,0.18181818181818182,0.6666666666666666,0.3939393939393939,0.23076923076923078,0.592,0.41304347826086957,0.507346370967742,0.469475,0.47973125,0.07518796992481203,0.125,0.08917197452229299,0.19745222929936307,10.299999999999999,26.473584905660374,0.2826797385620915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1628427,1610612743,Vlatko Čančar,Vlatko Čančar,1628427,DEN,123.0,2.0,-5.0,3.0,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.333333333333336,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1631128,1610612743,Christian Braun,Christian Braun,1631128,DEN,19880.0,331.0,18.0,648.0,649,172.0,142.0,93.0,1297,25.0,34.0,6.0,9.0,4.0,18.0,3.0,4.0,1.0,7.0,9.0,24.0,1.0,4.0,4.0,8.0,32.0,56.0,10.0,31.0,8.0,102.0,749.0,6.0,8.0,1.0,4.0,4.0,19.0,6.0,12.0,4.0,9.0,2.0,26.0,46.0,18.0,24.0,6.0,,24.0,9.0,10.0,,15.0,5.0,20.0,3.0,2.0,9.0,5.0,1.0,45.0,10.0,9.0,,17.0,12.0,37.0,19.0,56.0,8.0,6.0,2.0,,2.0,,7.0,,7.0,,1.0,12.0,26.0,10.0,,,15.0,1.0,,8.0,,4.0,,,2.0,2.0,4.0,1.0,26.0,171.0,,0.71875,0.8214285714285714,0.8,0.3225806451612903,0.25,0.4444444444444444,0.3225806451612903,0.5714285714285714,0.75,0.5,0.5402298850574713,0.625,0.5714285714285714,0.5425531914893617,0.6785714285714286,0.5909090909090909,0.3563218390804598,,0.17857142857142858,0.11764705882352941,0.3333333333333333,,13.34214002642008,,,0.07142857142857142,0.04838709677419355,0.1111111111111111,0.08196721311475409,0.09034267912772585,0.06168831168831169,0.08045977011494253,0.08139534883720931,,0.09900990099009901,0.09523809523809523,0.10476190476190476,0.125,0.25,0.39080459770114945,0.7352941176470589,0.8333333333333334,0.68,0.20689655172413793,0.2222222222222222,0.3333333333333333,1.0,0.04597701149425287,0.75,0.75,0.6666666666666666,0.08045977011494253,0.14285714285714285,0.14285714285714285,1.0,0.27586206896551724,0.375,0.375,0.7777777777777778,0.3333333333333333,0.25,1.0,0.42857142857142855,0.6666666666666666,0.38095238095238093,0.5,0.7471264367816092,0.375,0.5563195402298852,0.598555,0.5592976190476191,0.0851063829787234,0.12698412698412698,0.18627450980392157,0.2549019607843137,4.489285714285714,25.796774193548384,0.2654320987654321,6.0,8.0,1.0,8.0,8.0,2.0,1.0,4.0,1.0,2.0,0.38095238095238093,0.03225806451612903,0.08333333333333333,0.058823529411764705,0.6666666666666666,0.75,0.16666666666666666,0.047619047619047616,,,,,,,,,,,,,,,,,,,,True
203932,1610612743,Aaron Gordon,Aaron Gordon,203932,DEN,17603.5,293.0,31.0,564.0,565,124.0,102.0,81.0,1129,31.0,54.0,6.0,13.0,9.0,18.0,1.0,4.0,5.0,14.0,6.0,16.0,,1.0,2.0,3.0,41.0,76.0,11.0,30.0,30.0,145.0,662.0,12.0,22.0,,3.0,12.0,36.0,6.0,16.0,3.0,8.0,11.0,32.0,50.0,32.0,33.0,,,16.0,6.0,13.0,1.0,7.0,6.0,13.0,5.0,1.0,6.0,,1.0,32.0,13.0,19.0,1.0,12.0,8.0,20.0,33.0,53.0,4.0,1.0,3.0,6.0,,3.0,4.0,3.0,10.0,1.0,2.0,13.0,20.0,27.0,1.0,,34.0,4.0,,13.0,6.0,4.0,,,1.0,2.0,4.0,3.0,30.0,123.0,5.0,0.6097560975609756,0.8333333333333334,1.0,0.36666666666666664,,0.375,0.36666666666666664,0.5394736842105263,0.5454545454545454,0.375,0.5424528301886793,0.48,0.4375,0.5991735537190083,0.6,0.5161290322580645,0.2830188679245283,0.03333333333333333,0.17105263157894737,0.18518518518518517,0.16666666666666666,,19.788519637462237,0.6,0.06666666666666667,0.057971014492753624,0.12179487179487179,0.0916030534351145,0.12037037037037036,0.07434944237918216,0.12121212121212122,0.13513513513513514,0.11842105263157894,0.075,0.03614457831325301,0.13333333333333333,0.07954545454545454,0.11627906976744186,0.75,0.5094339622641509,0.5740740740740741,0.7045454545454546,0.5483870967741935,0.16981132075471697,0.5,0.6,0.7777777777777778,0.03773584905660377,0.25,0.25,1.0,0.1320754716981132,0.35714285714285715,0.38461538461538464,1.0,0.1509433962264151,0.375,0.375,1.0,0.04,,,0.5416666666666666,0.46153846153846156,0.125,0.6666666666666666,0.7924528301886793,0.375,0.5714726415094339,0.595590625,0.5448020833333334,0.11304347826086956,0.15294117647058825,0.2482758620689655,0.2206896551724138,3.9842105263157896,24.9,0.2198581560283688,12.0,22.0,5.0,22.0,,4.0,2.0,,3.0,,,0.17647058823529413,0.125,0.1,0.88,0.5454545454545454,0.08333333333333333,0.20833333333333334,2.0,1.0,1.0,1.0,1.0,1.0,0.07142857142857142,0.08,0.2,,,,,,,,,,,True
203999,1610612743,Nikola Jokić,Nikola Jokić,203999,DEN,21285.0,355.0,3.0,692.0,691,192.0,158.0,104.0,1383,24.0,33.0,6.0,8.0,35.0,80.0,8.0,19.0,1.0,2.0,17.0,39.0,,2.0,5.0,14.0,67.0,132.0,18.0,41.0,39.0,227.0,816.0,11.0,23.0,1.0,3.0,4.0,29.0,21.0,37.0,5.0,14.0,22.0,79.0,58.0,76.0,39.0,15.0,3.0,36.0,17.0,13.0,,46.0,37.0,83.0,21.0,16.0,32.0,11.0,3.0,203.0,5.0,14.0,,31.0,54.0,93.0,19.0,112.0,18.0,13.0,5.0,23.0,3.0,15.0,14.0,8.0,37.0,2.0,8.0,11.0,31.0,62.0,5.0,,55.0,3.0,1.0,16.0,11.0,9.0,,,4.0,5.0,9.0,5.0,79.0,191.0,11.0,0.43283582089552236,0.4915254237288136,0.7222222222222222,0.43902439024390244,0.3333333333333333,0.35714285714285715,0.47368421052631576,0.5075757575757576,0.4782608695652174,0.5675675675675675,0.5433526011560693,0.4807692307692308,0.5588235294117647,0.5732323232323232,0.5,0.5984848484848485,0.23699421965317918,,0.09848484848484848,0.09090909090909091,0.125,,28.834355828220858,0.6216216216216216,,0.313953488372093,0.07,0.19254658385093168,0.03787878787878788,0.2552552552552553,0.0572289156626506,0.10869565217391304,0.043010752688172046,0.2765957446808511,0.3333333333333333,0.30434782608695654,0.17117117117117117,0.24,0.5555555555555556,0.1907514450867052,0.7272727272727273,0.8,0.4166666666666667,0.4624277456647399,0.4375,0.5,0.45714285714285713,0.10982658959537572,0.42105263157894735,0.42105263157894735,0.375,0.011560693641618497,0.5,0.5,1.0,0.2254335260115607,0.4358974358974359,0.4358974358974359,0.7058823529411765,0.07692307692307693,,,0.1568627450980392,0.75,0.27450980392156865,0.35714285714285715,0.4277456647398844,0.4722222222222222,0.47814289940828403,0.46477894736842107,0.46818085106382973,0.09090909090909091,0.1103448275862069,0.1277533039647577,0.34801762114537443,7.867424242424244,30.375609756097564,0.2774566473988439,8.0,13.0,,16.0,8.0,7.0,,9.0,4.0,1.0,0.38095238095238093,0.029850746268656716,0.02564102564102564,0.1,0.5,0.6153846153846154,,,1.0,,,1.0,,,,0.038461538461538464,,1.0,1.0,1.0,1.0,0.04878048780487805,1.0,1.0,0.023809523809523808,,,True
1629008,1610612743,Michael Porter Jr.,Michael Porter Jr.,1629008,DEN,13499.5,225.0,-16.0,436.0,432,91.0,66.0,68.0,868,8.0,15.0,,2.0,1.0,5.0,1.0,5.0,5.0,13.0,8.0,23.0,1.0,3.0,2.0,6.0,10.0,25.0,13.0,36.0,6.0,65.0,531.0,3.0,7.0,1.0,4.0,1.0,10.0,1.0,6.0,2.0,8.0,1.0,9.0,14.0,6.0,39.0,,,23.0,8.0,4.0,2.0,2.0,3.0,5.0,3.0,,1.0,,1.0,13.0,2.0,5.0,,12.0,21.0,35.0,7.0,42.0,4.0,3.0,1.0,6.0,,1.0,2.0,5.0,8.0,2.0,1.0,9.0,14.0,6.0,,,8.0,,,4.0,,4.0,,,2.0,2.0,4.0,1.0,9.0,91.0,,0.7,1.0,1.0,0.3611111111111111,0.25,0.25,0.3611111111111111,0.4,0.42857142857142855,0.16666666666666666,0.48360655737704916,0.4090909090909091,0.2857142857142857,0.5,0.4166666666666667,0.3,0.5901639344262295,0.05555555555555555,0.16,0.26666666666666666,,0.043478260869565216,14.230019493177387,0.75,,0.1875,0.03937007874015748,0.13043478260869565,0.02247191011235955,0.16176470588235295,0.032407407407407406,0.04838709677419355,0.014925373134328358,0.2,0.1746031746031746,0.21428571428571427,0.125,0.14285714285714285,0.25,0.2459016393442623,0.5333333333333333,0.7272727272727273,0.75,0.08196721311475409,0.2,0.2,,0.08196721311475409,0.2,0.2,1.0,0.21311475409836064,0.38461538461538464,0.4166666666666667,1.0,0.3770491803278688,0.34782608695652173,0.36363636363636365,1.0,0.2727272727272727,0.3333333333333333,1.0,0.14285714285714285,,0.42857142857142855,0.3333333333333333,0.8360655737704918,0.34782608695652173,0.5527434426229507,0.5107642857142858,0.49379999999999996,0.06153846153846154,0.13793103448275862,0.15384615384615385,0.13846153846153847,6.636,25.35,0.20871559633027523,2.0,4.0,2.0,6.0,2.0,1.0,,,,2.0,0.15384615384615385,,0.045454545454545456,0.03225806451612903,0.36363636363636365,0.5,,0.14285714285714285,1.0,,,,,1.0,0.07692307692307693,0.09090909090909091,,,2.0,,,0.09090909090909091,,,,,,True
1631212,1610612743,Peyton Watson,Peyton Watson,1631212,DEN,4370.0,73.0,-38.0,150.0,156,73.0,67.0,24.0,306,5.0,8.0,3.0,6.0,2.0,5.0,,1.0,3.0,3.0,,,,,,,7.0,14.0,3.0,3.0,3.0,26.0,188.0,1.0,3.0,,,,2.0,3.0,8.0,1.0,1.0,2.0,11.0,12.0,2.0,9.0,,,,,,,1.0,,1.0,,,,,1.0,2.0,1.0,3.0,,6.0,2.0,8.0,4.0,12.0,4.0,2.0,2.0,1.0,,1.0,,,1.0,,1.0,4.0,6.0,3.0,1.0,,4.0,,,2.0,,2.0,,,1.0,1.0,2.0,2.0,11.0,73.0,,0.8571428571428571,1.0,1.0,1.0,,1.0,1.0,0.5,0.3333333333333333,0.375,0.6764705882352942,0.3333333333333333,0.5,0.6842105263157895,0.3333333333333333,0.55,0.17647058823529413,,,,,,11.299435028248588,1.0,,0.05,0.058823529411764705,0.17142857142857143,0.038461538461538464,0.10666666666666667,0.05194805194805195,0.09090909090909091,,,0.09090909090909091,,0.19230769230769232,0.1111111111111111,1.0,0.47058823529411764,0.625,0.625,0.8,0.29411764705882354,0.4,0.4,1.0,0.058823529411764705,,,,0.17647058823529413,1.0,1.0,1.0,,,,,,,,0.6666666666666666,0.5,,,0.6470588235294118,,0.5831676470588235,0.59825,0.6105111111111111,0.10526315789473684,0.125,0.07692307692307693,0.4230769230769231,4.128571428571429,23.566666666666666,0.4866666666666667,1.0,3.0,1.0,2.0,,1.0,,,,,,,0.125,0.14285714285714285,1.0,0.3333333333333333,,0.1111111111111111,,1.0,,,,,,,1.0,,,,,0.07692307692307693,,,,,,True
201566,1610612743,Russell Westbrook,Russell Westbrook,201566,DEN,9591.0,160.0,-8.0,319.0,317,123.0,115.0,55.0,636,15.0,24.0,8.0,13.0,3.0,7.0,2.0,7.0,7.0,19.0,5.0,16.0,1.0,2.0,1.0,6.0,20.0,38.0,12.0,35.0,17.0,93.0,378.0,4.0,6.0,3.0,6.0,7.0,24.0,10.0,19.0,4.0,14.0,11.0,43.0,20.0,20.0,33.0,3.0,,16.0,5.0,5.0,,12.0,7.0,19.0,7.0,,6.0,6.0,,45.0,6.0,4.0,1.0,11.0,5.0,17.0,11.0,28.0,4.0,2.0,2.0,10.0,1.0,5.0,4.0,5.0,14.0,2.0,5.0,5.0,17.0,15.0,,,25.0,3.0,,10.0,4.0,,,,,,,,43.0,122.0,4.0,0.5,0.625,0.9166666666666666,0.34285714285714286,0.5,0.2857142857142857,0.34285714285714286,0.5263157894736842,0.6666666666666666,0.5263157894736842,0.5205479452054794,0.7083333333333334,0.48484848484848486,0.5535714285714286,0.7058823529411765,0.5375,0.4794520547945205,,0.13157894736842105,0.125,0.2857142857142857,,25.32299741602067,0.7142857142857143,0.0625,0.07936507936507936,0.041237113402061855,0.1375,0.09090909090909091,0.11188811188811189,0.06134969325153374,0.07692307692307693,0.07142857142857142,0.08333333333333333,0.07692307692307693,0.08333333333333333,0.1694915254237288,0.047619047619047616,,0.3287671232876712,0.625,0.7142857142857143,0.5333333333333333,0.0958904109589041,0.42857142857142855,0.6,0.6666666666666666,0.0958904109589041,0.2857142857142857,0.2857142857142857,,0.2602739726027397,0.3684210526315789,0.3684210526315789,1.0,0.2191780821917808,0.3125,0.3125,0.8,0.16666666666666666,0.5,1.0,0.3939393939393939,0.6153846153846154,0.18181818181818182,0.16666666666666666,0.8082191780821918,0.3125,0.5316363013698631,0.49546666666666667,0.5348409090909091,0.125,0.2222222222222222,0.25806451612903225,0.46236559139784944,5.9605263157894735,24.562857142857144,0.38557993730407525,4.0,4.0,8.0,8.0,1.0,1.0,1.0,1.0,3.0,3.0,0.1,0.027777777777777776,0.125,0.027777777777777776,0.3333333333333333,1.0,,0.24242424242424243,4.0,3.0,,,,,,0.3333333333333333,0.375,2.0,1.0,,,,0.5,1.0,,1.0,,True
1631124,1610612743,Julian Strawther,Julian Strawther,1631124,DEN,458.0,8.0,-4.0,16.0,14,5.0,2.0,2.0,30,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,,,,2.0,20.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,5.0,,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,11.76470588235294,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.5508,,,,,,,3.1,,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1629618,1610612743,Jalen Pickett,Jalen Pickett,1629618,DEN,626.0,10.0,-10.0,20.0,20,7.0,8.0,1.0,40,,,,,,,1.0,2.0,,,,,,,,,1.0,2.0,,,,2.0,25.0,,,,,,,,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,,,,,1.0,2.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,7.0,,1.0,1.0,,,,,,0.5,,,0.5,,,0.5,,,,,0.5,,,,9.523809523809524,,,,,0.3333333333333333,,0.14285714285714285,,,,,,,0.5,,,,,,,,,,,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,0.41345,,,,,,,19.25,,0.35,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,True
