EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedShortMidRange,Blocks,RecoveredBlocks,DefensiveGoaltends,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,PtsUnassisted3s,Corner3Assists,FTOffRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,BlockedLongMidRange,NonShootingPenaltyNonTakeFouls,LongMidRangePctBlocked,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Fg3aBlocked,Offensive Fouls Drawn,FG3APctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,Charge Fouls,Charge Fouls Drawn,Corner3PctBlocked,BlockedArc3,OffensiveGoaltends,on
1626167,1610612749,Myles Turner,Myles Turner,1626167,MIL,19759.399999999998,329,-39,667,670,163.0,135,68,1337,12.0,20.0,1.0,4.0,2.0,3.0,5.0,14,2.0,10.0,1.0,7.0,1.0,2.0,17.0,55.0,1.0,1.0,5.0,14.0,19.0,44,18.0,62.0,17.0,109.0,748,2.0,7.0,1.0,2.0,3.0,10.0,2.0,9.0,5.0,16.0,4.0,23.0,32.0,6.0,54.0,4.0,55.0,17.0,6.0,8.0,15.0,23.0,15.0,6.0,1.0,1.0,61.0,6.0,8.0,29.0,23.0,2.0,54.0,14.0,68.0,1.0,5.0,3.0,2.0,11.0,5.0,6.0,1.0,6.0,2.0,17,1.0,4.0,24.0,30,2.0,2.0,21.0,1.0,22.0,1.0,8.0,1.0,2.0,17.0,1.0,9.0,1.0,8.0,18.0,12.0,1.0,1.0,23.0,163.0,2.0,0.8421052631578947,0.9411764705882353,1.0,0.2903225806451613,0.5,0.3125,0.2903225806451613,0.4318181818181818,0.2857142857142857,0.2222222222222222,0.4339622641509434,0.3888888888888889,0.38,0.4698275862068966,0.45454545454545453,0.4107142857142857,0.5849056603773585,0.13636363636363635,0.2,0.14285714285714285,17.8045515394913,0.6470588235294118,0.09523809523809523,0.13609467455621302,0.04790419161676647,0.15846994535519127,0.03550295857988166,0.14772727272727273,0.041666666666666664,0.0392156862745098,0.05128205128205128,0.05263157894736842,0.032,0.045454545454545456,0.16666666666666666,0.13636363636363635,0.09090909090909091,0.17123287671232876,0.10810810810810811,0.015873015873015872,0.6666666666666666,0.18867924528301888,0.6,0.75,0.9166666666666666,0.1320754716981132,0.35714285714285715,0.4166666666666667,0.6,0.09433962264150944,0.2,0.2,1.0,0.0660377358490566,0.14285714285714285,0.14285714285714285,1.0,0.5188679245283019,0.3090909090909091,0.3090909090909091,1.0,0.4444444444444444,0.25,0.1111111111111111,0.1111111111111111,1.0,1.0,0.12,0.6666666666666666,0.08,0.56,0.35714285714285715,0.7735849056603774,0.3090909090909091,0.5337825471698112,0.4899416666666667,0.49640600000000007,0.07894736842105263,0.1568627450980392,0.015873015873015872,0.09174311926605505,0.21100917431192662,7.472727272727273,26.235483870967744,0.24437781109445278,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1626171,1610612749,Bobby Portis,Bobby Portis,1626171,MIL,79789.1,1330,-178,2671,2700,636.0,630,273,5371,54.0,85.0,14.0,27.0,10.0,19.0,82.0,162,52.0,121.0,48.0,97.0,7.0,21.0,57.0,136.0,4.0,10.0,3.0,14.0,188.0,368,105.0,233.0,34.0,725.0,3195,33.0,67.0,8.0,17.0,7.0,97.0,30.0,72.0,10.0,35.0,15.0,105.0,240.0,136.0,309.0,38.0,136.0,57.0,17.0,44.0,43.0,87.0,33.0,30.0,9.0,5.0,217.0,32.0,41.0,133.0,119.0,34.0,286.0,74.0,360.0,12.0,31.0,20.0,11.0,35.0,19.0,19.0,3.0,16.0,,54,7.0,8.0,56.0,95,11.0,8.0,47.0,12.0,47.0,4.0,17.0,,9.0,9.0,,3.0,,4.0,9.0,6.0,,3.0,105.0,634.0,9.0,0.6382978723404256,0.7100591715976331,0.9809523809523809,0.45064377682403434,0.47058823529411764,0.2857142857142857,0.45064377682403434,0.5108695652173914,0.4925373134328358,0.4166666666666667,0.5748752079866889,0.5357142857142857,0.4205607476635514,0.5818619582664526,0.5388888888888889,0.4449152542372881,0.3876871880199667,0.04619565217391304,0.058823529411764705,0.06790123456790123,22.578490313961254,0.6481481481481481,0.40963855421686746,0.20517241379310344,0.06549520766773163,0.18144611186903137,0.051036682615629984,0.19192688499619193,0.05826017557861133,0.10989010989010989,0.05,0.042682926829268296,0.0447427293064877,0.06666666666666667,0.15625,0.21768707482993196,0.26595744680851063,0.17487266553480477,0.20833333333333334,0.041811846689895474,0.6666666666666666,0.14143094841930118,0.6352941176470588,0.675,0.5925925925925926,0.26955074875207985,0.5061728395061729,0.543046357615894,0.6097560975609756,0.20133111480865223,0.4297520661157025,0.43333333333333335,0.7307692307692307,0.16139767054908485,0.4948453608247423,0.4948453608247423,0.9583333333333334,0.22628951747088186,0.41911764705882354,0.41911764705882354,1.0,0.32142857142857145,0.5185185185185185,0.08333333333333333,0.11904761904761904,0.4,1.0,0.17757009345794392,0.5263157894736842,0.19626168224299065,0.1308411214953271,0.21428571428571427,0.5291181364392679,0.41911764705882354,0.5056648086522462,0.49588833333333326,0.4983065420560749,0.02768729641693811,0.04461942257217848,,0.13379310344827586,0.14482758620689656,10.18777173913044,25.044206008583696,0.2381130662673156,4.0,7.0,6.0,10.0,1.0,3.0,3.0,2.0,9.0,0.008264462809917356,0.021739130434782608,0.5714285714285714,0.75,0.3333333333333333,,,,,,,,,,,,,True
1627752,1610612749,Taurean Prince,Taurean Prince,1627752,MIL,7516.700000000001,125,-9,260,268,71.0,82,24,528,2.0,3.0,,,1.0,1.0,1.0,2,1.0,1.0,4.0,10.0,,6.0,5.0,11.0,,,2.0,6.0,4.0,6,9.0,21.0,3.0,38.0,306,1.0,1.0,,,,2.0,1.0,2.0,5.0,12.0,,17.0,6.0,2.0,27.0,,11.0,5.0,,4.0,1.0,5.0,,3.0,,1.0,11.0,,,5.0,6.0,,11.0,,11.0,,5.0,4.0,1.0,2.0,2.0,1.0,1.0,,,3,,1.0,5.0,15,1.0,,4.0,1.0,3.0,1.0,2.0,,,2.0,,2.0,,,2.0,,,,17.0,71.0,,0.75,0.75,1.0,0.42857142857142855,,0.4166666666666667,0.42857142857142855,0.6666666666666666,1.0,0.5,0.6481481481481481,1.0,0.6071428571428571,0.6785714285714286,1.0,0.6071428571428571,0.7777777777777778,,,,10.83916083916084,0.6666666666666666,,0.09090909090909091,,0.07692307692307693,,0.08396946564885496,,,,,,,0.041666666666666664,0.14705882352941177,,0.08333333333333333,0.058823529411764705,,,0.1111111111111111,0.6666666666666666,0.6666666666666666,1.0,0.07407407407407407,0.5,0.5,1.0,0.037037037037037035,1.0,1.0,,0.37037037037037035,0.4,0.4,1.0,0.4074074074074074,0.45454545454545453,0.5,1.0,,,,,,,0.07142857142857142,1.0,0.42857142857142855,0.42857142857142855,0.3333333333333333,0.8888888888888888,0.45454545454545453,0.5619611111111111,,0.5604250000000001,0.07142857142857142,0.2857142857142857,,0.05263157894736842,0.4473684210526316,5.483333333333334,24.65238095238095,0.27307692307692305,,3.0,,1.0,,,,,1.0,,,,,0.5,1.0,1.0,0.047619047619047616,0.09090909090909091,,,,,,,,,True
1629018,1610612749,Gary Trent Jr.,Gary Trent Jr.,1629018,MIL,30152.100000000002,503,-157,1002,1006,236.0,242,102,2008,3.0,6.0,1.0,1.0,1.0,4.0,10.0,22,7.0,15.0,13.0,35.0,3.0,9.0,20.0,78.0,3.0,10.0,5.0,16.0,20.0,43,33.0,113.0,13.0,152.0,1250,3.0,4.0,5.0,13.0,,21.0,7.0,12.0,9.0,25.0,6.0,47.0,22.0,18.0,90.0,2.0,78.0,20.0,6.0,24.0,11.0,35.0,7.0,13.0,5.0,6.0,81.0,2.0,1.0,16.0,3.0,,19.0,3.0,22.0,2.0,10.0,3.0,7.0,12.0,8.0,5.0,,4.0,,17,2.0,3.0,7.0,19,2.0,2.0,12.0,,15.0,3.0,6.0,2.0,,,,,,,,,,,47.0,236.0,,0.55,0.5789473684210527,0.9090909090909091,0.2920353982300885,0.38461538461538464,0.36,0.2920353982300885,0.46511627906976744,0.75,0.5833333333333334,0.44551282051282054,0.6176470588235294,0.5540540540540541,0.46875,0.6176470588235294,0.5897435897435898,0.7243589743589743,0.13953488372093023,0.16666666666666666,0.18181818181818182,15.71936056838366,0.7058823529411765,,0.014634146341463415,0.00425531914893617,0.06153846153846154,0.00823045267489712,0.04086021505376344,0.006276150627615063,,0.009174311926605505,,0.00558659217877095,0.015625,0.015384615384615385,0.018867924528301886,,0.06930693069306931,0.034482758620689655,0.020833333333333332,,0.038461538461538464,0.5,0.6,1.0,0.14102564102564102,0.45454545454545453,0.5555555555555556,0.5,0.09615384615384616,0.4666666666666667,0.5,0.42857142857142855,0.22435897435897437,0.37142857142857144,0.37142857142857144,1.0,0.5,0.2564102564102564,0.2564102564102564,0.85,0.058823529411764705,1.0,0.17647058823529413,0.5882352941176471,0.3,1.0,0.10810810810810811,0.25,0.24324324324324326,0.43243243243243246,0.3125,0.7628205128205128,0.2564102564102564,0.5198499999999999,0.543061111111111,0.5326837837837838,0.05,0.13043478260869565,0.017543859649122806,0.13815789473684212,0.3092105263157895,10.872093023255815,25.44424778761062,0.23552894211576847,2.0,4.0,9.0,4.0,,1.0,1.0,,2.0,0.06666666666666667,,0.6666666666666666,1.0,0.4444444444444444,,2.0,,,1.0,2.0,1.0,,,,,,True
1631157,1610612749,Ryan Rollins,Ryan Rollins,1631157,MIL,40802.6,680,-3,1366,1382,284.0,323,130,2748,50.0,86.0,4.0,4.0,14.0,18.0,30.0,66,16.0,39.0,9.0,26.0,2.0,4.0,39.0,100.0,5.0,11.0,9.0,31.0,96.0,191,48.0,126.0,34.0,370.0,1584,8.0,14.0,6.0,13.0,2.0,36.0,27.0,45.0,11.0,35.0,12.0,99.0,48.0,144.0,96.0,4.0,100.0,39.0,19.0,73.0,59.0,132.0,36.0,34.0,25.0,14.0,323.0,6.0,10.0,38.0,33.0,3.0,74.0,17.0,91.0,3.0,34.0,19.0,15.0,31.0,12.0,11.0,3.0,19.0,1.0,42,,6.0,23.0,51,1.0,1.0,49.0,3.0,47.0,3.0,19.0,,4.0,14.0,,6.0,,8.0,14.0,10.0,,,98.0,282.0,3.0,0.25,0.2553191489361702,0.6666666666666666,0.38095238095238093,0.46153846153846156,0.3142857142857143,0.38095238095238093,0.5026178010471204,0.5714285714285714,0.6,0.5299684542586751,0.6296296296296297,0.54375,0.5445103857566765,0.6428571428571429,0.5568181818181818,0.39747634069400634,0.09947643979057591,0.16279069767441862,0.045454545454545456,24.836173001310616,0.7380952380952381,0.06382978723404255,0.10749185667752444,0.03115264797507788,0.09768637532133675,0.018518518518518517,0.10201149425287356,0.024806201550387597,0.06796116504854369,0.022058823529411766,,0.01702127659574468,0.02247191011235955,0.16666666666666666,0.055900621118012424,0.16,0.10714285714285714,0.06172839506172839,0.019736842105263157,0.7142857142857143,0.27129337539432175,0.5813953488372093,0.6944444444444444,0.26,0.2082018927444795,0.45454545454545453,0.47619047619047616,0.26666666666666666,0.12302839116719243,0.41025641025641024,0.43243243243243246,0.1875,0.08201892744479496,0.34615384615384615,0.34615384615384615,0.8888888888888888,0.31545741324921134,0.39,0.3979591836734694,0.6153846153846154,0.14814814814814814,1.0,0.07407407407407407,0.4074074074074074,0.45454545454545453,0.8,0.225,0.7777777777777778,0.05,0.3875,0.2903225806451613,0.668769716088328,0.39,0.5441561514195583,0.49903214285714287,0.52446375,0.057057057057057055,0.09178743961352658,,0.0972972972972973,0.26756756756756755,7.30261780104712,25.78968253968254,0.20790629575402636,1.0,2.0,48.0,23.0,1.0,4.0,1.0,,5.0,0.05128205128205128,0.043478260869565216,0.5,1.0,0.5,2.0,,0.015873015873015872,0.02,,3.0,,1.0,2.0,,,,True
1631260,1610612749,AJ Green,AJ Green,1631260,MIL,34659.700000000004,578,23,1174,1176,214.0,241,127,2350,2.0,5.0,,,,1.0,3.0,8,3.0,5.0,20.0,41.0,4.0,8.0,36.0,94.0,3.0,8.0,7.0,23.0,8.0,18,56.0,135.0,7.0,191.0,1334,1.0,1.0,6.0,12.0,2.0,22.0,1.0,4.0,11.0,31.0,3.0,38.0,8.0,8.0,153.0,2.0,94.0,36.0,2.0,21.0,21.0,42.0,12.0,13.0,5.0,3.0,105.0,5.0,1.0,15.0,19.0,1.0,35.0,6.0,41.0,3.0,10.0,4.0,6.0,9.0,5.0,5.0,1.0,4.0,1.0,14,,2.0,23.0,36,,1.0,12.0,,8.0,,,,1.0,3.0,,1.0,,2.0,3.0,1.0,,,38.0,214.0,1.0,0.5,0.5714285714285714,0.9107142857142857,0.4148148148148148,0.5,0.3548387096774194,0.4148148148148148,0.4444444444444444,1.0,0.25,0.6013071895424836,0.7692307692307693,0.5,0.6071428571428571,0.8076923076923077,0.5138888888888888,0.8823529411764706,0.1111111111111111,0.4,,12.727272727272728,0.6428571428571429,0.029411764705882353,0.07509881422924901,0.0036496350364963502,0.046875,0.01730103806228374,0.059336823734729496,0.010657193605683837,0.009900990099009901,,,0.018867924528301886,0.012987012987012988,0.09523809523809523,0.06504065040650407,0.06521739130434782,0.05303030303030303,0.017857142857142856,0.03488372093023256,0.3333333333333333,0.032679738562091505,0.4,0.6666666666666666,0.5,0.05228758169934641,0.375,0.375,0.3333333333333333,0.032679738562091505,0.6,0.6,0.6666666666666666,0.2679738562091503,0.4878048780487805,0.5,0.9,0.6143790849673203,0.3829787234042553,0.3829787234042553,0.9166666666666666,,,0.3076923076923077,0.6153846153846154,0.375,1.0,0.02857142857142857,,0.22857142857142856,0.6571428571428571,0.30434782608695654,0.9150326797385621,0.3829787234042553,0.5365957516339869,0.53555625,0.5211385714285712,,,,0.11518324607329843,0.19895287958115182,10.238888888888887,25.44222222222222,0.18228279386712096,3.0,4.0,15.0,9.0,,1.0,1.0,,3.0,,,0.75,1.0,0.5,1.0,4.0,0.007407407407407408,,,5.0,,,,0.024390243902439025,,,True
1628398,1610612749,Kyle Kuzma,Kyle Kuzma,1628398,MIL,43494.5,725,-140,1443,1470,379.0,321,138,2913,73.0,102.0,10.0,15.0,22.0,28.0,25.0,71,4.0,7.0,9.0,24.0,,4.0,19.0,60.0,,3.0,5.0,22.0,102.0,180,28.0,84.0,84.0,372.0,1768,13.0,22.0,,3.0,1.0,27.0,31.0,43.0,7.0,26.0,32.0,115.0,122.0,82.0,78.0,18.0,60.0,19.0,14.0,33.0,34.0,67.0,20.0,14.0,11.0,8.0,168.0,5.0,21.0,60.0,37.0,10.0,107.0,26.0,133.0,2.0,19.0,15.0,4.0,25.0,10.0,7.0,,15.0,4.0,32,3.0,11.0,35.0,49,1.0,,79.0,,103.0,15.0,52.0,,7.0,15.0,,11.0,,3.0,15.0,9.0,1.0,1.0,113.0,377.0,6.0,0.5980392156862745,0.6559139784946236,0.9285714285714286,0.3333333333333333,,0.2692307692307692,0.3333333333333333,0.5666666666666667,0.5909090909090909,0.7209302325581395,0.5454545454545454,0.52,0.6014492753623188,0.6038961038961039,0.5192307692307693,0.6845238095238095,0.3181818181818182,0.07777777777777778,0.029411764705882353,0.14084507042253522,21.18380062305296,0.78125,0.2564102564102564,0.11246200607902736,0.06402439024390244,0.15306122448979592,0.014326647564469915,0.13453536754507628,0.03840472673559823,0.06741573033707865,0.06875,0.05063291139240506,0.015873015873015872,0.010309278350515464,0.09482758620689655,0.14102564102564102,0.07017543859649122,0.14641744548286603,0.18309859154929578,0.017241379310344827,0.6,0.38636363636363635,0.7156862745098039,0.7373737373737373,0.6575342465753424,0.2689393939393939,0.352112676056338,0.4098360655737705,0.48,0.026515151515151516,0.5714285714285714,0.6666666666666666,0.25,0.09090909090909091,0.375,0.375,0.8888888888888888,0.22727272727272727,0.31666666666666665,0.3275862068965517,0.9473684210526315,0.6,0.6666666666666666,,0.12,,,0.4057971014492754,0.7857142857142857,0.057971014492753624,0.3188405797101449,0.22727272727272727,0.7045454545454546,0.31666666666666665,0.5514952651515149,0.5669166666666666,0.5709202898550724,0.17275747508305647,0.23963133640552994,,0.07258064516129033,0.30913978494623656,4.459444444444444,25.321428571428573,0.2626472626472626,,2.0,6.0,14.0,,2.0,,1.0,,0.14285714285714285,,,,0.5,2.0,2.0,0.023809523809523808,0.03333333333333333,,,0.2,1.0,1.0,,,,True
1629645,1610612749,Kevin Porter Jr.,Kevin Porter Jr.,1629645,MIL,31826.3,530,-60,1061,1063,246.0,211,116,2124,46.0,68.0,3.0,4.0,10.0,12.0,17.0,53,22.0,40.0,6.0,14.0,3.0,3.0,22.0,55.0,5.0,8.0,9.0,21.0,85.0,161,28.0,69.0,53.0,307.0,1275,4.0,6.0,7.0,11.0,2.0,31.0,16.0,33.0,11.0,24.0,18.0,83.0,50.0,120.0,48.0,4.0,55.0,22.0,10.0,57.0,56.0,113.0,33.0,31.0,19.0,7.0,282.0,9.0,5.0,38.0,25.0,5.0,68.0,14.0,82.0,3.0,34.0,24.0,10.0,35.0,17.0,28.0,5.0,18.0,1.0,63,3.0,16.0,19.0,37,3.0,5.0,64.0,3.0,63.0,9.0,29.0,3.0,4.0,8.0,1.0,3.0,,5.0,9.0,6.0,,,83.0,244.0,4.0,0.29411764705882354,0.30120481927710846,0.5714285714285714,0.4057971014492754,0.6363636363636364,0.4583333333333333,0.4057971014492754,0.5279503105590062,0.6666666666666666,0.48484848484848486,0.5521739130434783,0.8529411764705882,0.5701754385964912,0.6019607843137255,0.8611111111111112,0.6384615384615384,0.3,0.062111801242236024,0.029411764705882353,0.1320754716981132,26.767676767676765,0.5555555555555556,0.125,0.1111111111111111,0.020161290322580645,0.1314878892733564,0.03734439834024896,0.122568093385214,0.028629856850715747,,0.036036036036036036,0.015384615384615385,0.024390243902439025,0.06493506493506493,0.11764705882352941,0.10655737704918032,0.11428571428571428,0.13191489361702127,0.12962962962962962,0.028846153846153848,0.6666666666666666,0.2956521739130435,0.6764705882352942,0.696969696969697,0.2391304347826087,0.23043478260869565,0.32075471698113206,0.3695652173913043,0.4117647058823529,0.17391304347826086,0.55,0.5641025641025641,0.3181818181818182,0.06086956521739131,0.42857142857142855,0.42857142857142855,0.8333333333333334,0.2391304347826087,0.4,0.4074074074074074,0.5,0.23529411764705882,0.75,0.17647058823529413,0.47058823529411764,0.625,0.6,0.21052631578947367,0.8333333333333334,0.05263157894736842,0.3684210526315789,0.42857142857142855,0.5956521739130435,0.4,0.5315082608695652,0.54854375,0.5137991228070176,0.12749003984063745,0.16022099447513813,0.04285714285714286,0.10097719869706841,0.2703583061889251,8.067080745341613,25.43768115942029,0.23185673892554196,2.0,2.0,36.0,23.0,,12.0,4.0,,4.0,0.025,,0.6666666666666666,0.5,0.6666666666666666,1.0,5.0,0.014492753623188406,0.01818181818181818,2.0,,,,,,1.0,,True
1630175,1610612749,Cole Anthony,Cole Anthony,1630175,MIL,21902.1,365,-117,743,760,213.0,218,73,1503,15.0,30.0,1.0,2.0,8.0,12.0,26.0,56,12.0,25.0,5.0,13.0,,1.0,10.0,38.0,1.0,4.0,2.0,7.0,53.0,111,15.0,51.0,13.0,164.0,908,4.0,7.0,1.0,4.0,,11.0,20.0,38.0,2.0,8.0,9.0,55.0,22.0,84.0,36.0,2.0,38.0,10.0,6.0,48.0,36.0,84.0,19.0,32.0,13.0,3.0,204.0,7.0,3.0,29.0,18.0,1.0,48.0,10.0,58.0,3.0,15.0,10.0,5.0,28.0,17.0,15.0,2.0,11.0,,43,1.0,13.0,30.0,57,4.0,1.0,34.0,3.0,22.0,1.0,5.0,1.0,5.0,6.0,1.0,2.0,,3.0,7.0,3.0,,,55.0,213.0,5.0,0.20754716981132076,0.21153846153846154,0.8,0.29411764705882354,0.25,0.25,0.29411764705882354,0.4774774774774775,0.5714285714285714,0.5263157894736842,0.4660493827160494,0.5,0.5,0.47674418604651164,0.5,0.5092592592592593,0.3148148148148148,0.05405405405405406,0.1,0.017857142857142856,25.903614457831324,0.6511627906976745,0.038461538461538464,0.1125,0.016574585635359115,0.15025906735751296,0.04142011834319527,0.13314447592067988,0.02857142857142857,0.045454545454545456,,0.020833333333333332,0.05263157894736842,0.01818181818181818,0.1206896551724138,0.0821917808219178,0.1724137931034483,0.15527950310559005,0.125,0.03488372093023256,0.42857142857142855,0.18518518518518517,0.5,0.5555555555555556,0.26666666666666666,0.345679012345679,0.4642857142857143,0.4727272727272727,0.19230769230769232,0.15432098765432098,0.48,0.5217391304347826,0.16666666666666666,0.08024691358024691,0.38461538461538464,0.38461538461538464,1.0,0.2345679012345679,0.2631578947368421,0.2702702702702703,0.7,0.18181818181818182,0.5,,0.36363636363636365,0.25,1.0,0.2608695652173913,0.6666666666666666,0.021739130434782608,0.15217391304347827,0.2857142857142857,0.5,0.2631578947368421,0.499883950617284,0.4746083333333333,0.4969391304347827,0.03592814371257485,0.043478260869565216,0.019230769230769232,0.06707317073170732,0.3353658536585366,8.861261261261262,25.890196078431373,0.28667563930013457,,,9.0,17.0,,9.0,1.0,1.0,5.0,0.08,,,,,1.0,5.0,0.0196078431372549,0.02631578947368421,,,1.0,1.0,,,1.0,,True
1629599,1610612749,Amir Coffey,Amir Coffey,1629599,MIL,7571.7,126,-39,256,265,77.0,81,25,521,4.0,4.0,2.0,2.0,,,1.0,5,1.0,3.0,1.0,6.0,,2.0,1.0,1.0,,,,,6.0,12,2.0,7.0,3.0,21.0,306,2.0,2.0,,,,4.0,,2.0,,2.0,,,4.0,8.0,6.0,2.0,1.0,1.0,,4.0,2.0,6.0,1.0,1.0,1.0,2.0,14.0,3.0,1.0,6.0,2.0,,8.0,4.0,12.0,,,,,1.0,1.0,,,,,1,,1.0,2.0,6,,,3.0,,3.0,,,1.0,,1.0,,,,1.0,1.0,1.0,,,,77.0,,0.3333333333333333,0.4,1.0,0.2857142857142857,,,0.2857142857142857,0.5,1.0,,0.47368421052631576,1.0,,0.525,1.0,,0.3684210526315789,,,,7.394366197183099,1.0,,0.030303030303030304,0.014925373134328358,0.08108108108108109,0.05555555555555555,0.05714285714285714,0.03305785123966942,0.09090909090909091,,,0.05,0.07142857142857142,,0.03333333333333333,0.08333333333333333,0.08196721311475409,0.07692307692307693,,1.0,0.21052631578947367,1.0,1.0,0.25,0.2631578947368421,0.2,0.2,1.0,0.15789473684210525,0.3333333333333333,0.3333333333333333,,0.3157894736842105,0.16666666666666666,0.2,1.0,0.05263157894736842,1.0,1.0,1.0,1.0,1.0,,,,,,,0.5,,,0.5789473684210527,1.0,0.5307473684210527,0.6092,0.49967500000000004,0.05,,0.125,0.19047619047619047,,8.083333333333334,23.771428571428572,0.30078125,,,,1.0,,,,,1.0,,,,,,1.0,1.0,0.14285714285714285,,,,,,,0.16666666666666666,,,True
