EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,Blocked3s,BlockedArc3,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,StepOutOfBoundsTurnovers,BlockedCorner3,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SecondChanceCorner3FGM,Fg3aBlocked,Charge Fouls Drawn,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,DefensiveGoaltends,OffensiveGoaltends,on
1627750,1610612743,Jamal Murray,Jamal Murray,1627750,DEN,63210.29999999999,1054,224,2177,2170,533.0,477.0,236.0,4347,67.0,104.0,4.0,7.0,7.0,18.0,55.0,126.0,41.0,88.0,5.0,17.0,2.0,1.0,3.0,101.0,215.0,10.0,19.0,22.0,50.0,163.0,318.0,106.0,232.0,118.0,762.0,2569,6.0,14.0,10.0,21.0,5.0,47.0,36.0,71.0,23.0,53.0,36.0,177.0,96.0,230.0,162.0,156.0,2.0,215.0,101.0,19.0,121.0,84.0,205.0,62.0,22.0,56.0,52.0,13.0,494.0,2.0,7.0,1.0,63.0,51.0,7.0,121.0,10.0,131.0,3.0,31.0,23.0,8.0,45.0,10.0,34.0,24.0,2.0,11.0,7.0,69.0,2.0,12.0,26.0,48.0,1.0,1.0,3.0,101.0,1.0,7.0,133.0,15.0,1.0,15.0,50.0,2.0,13.0,6.0,2.0,2.0,3.0,1.0,2.0,8.0,6.0,172.0,524.0,6.0,9.0,0.294478527607362,0.2962962962962963,0.5094339622641509,0.45689655172413796,0.47619047619047616,0.4339622641509434,0.45689655172413796,0.5125786163522013,0.42857142857142855,0.5070422535211268,0.5854545454545454,0.6,0.5685483870967742,0.6243739565943238,0.6388888888888888,0.6099290780141844,0.4218181818181818,0.059748427672955975,0.04807692307692308,0.09523809523809523,0.022727272727272728,27.243066884176184,0.6521739130434783,0.14,0.02127659574468085,0.10429447852760736,0.014583333333333334,0.12209302325581395,0.004694835680751174,0.11343283582089553,0.009933774834437087,0.024390243902439025,0.013452914798206279,0.006269592476489028,0.07518796992481203,0.10548523206751055,0.13445378151260504,0.1111111111111111,0.14965986394557823,0.01171875,0.75,0.1890909090909091,0.6442307692307693,0.6767676767676768,0.417910447761194,0.2290909090909091,0.4365079365079365,0.4824561403508772,0.23636363636363636,0.16,0.4659090909090909,0.47674418604651164,0.17073170731707318,0.03090909090909091,0.29411764705882354,0.29411764705882354,0.6,0.39090909090909093,0.4697674418604651,0.4697674418604651,0.504950495049505,0.2,0.5714285714285714,0.25,0.05714285714285714,0.5428571428571428,0.5263157894736842,0.4,0.14516129032258066,0.3888888888888889,0.024193548387096774,0.3333333333333333,0.4032258064516129,0.44,0.610909090909091,0.4697674418604651,0.513350731261426,0.5389525000000001,0.485238429752066,0.08873720136518772,0.141643059490085,0.008583690987124463,0.06167979002624672,0.23228346456692914,8.92861635220126,26.00948275862069,0.2448323380799265,,,,,,,,,,,,,,,True
1628971,1610612743,Bruce Brown,Bruce Brown,1628971,DEN,25597.0,427,-50,873,876,271.0,261.0,95.0,1749,27.0,42.0,3.0,7.0,3.0,9.0,9.0,28.0,,4.0,5.0,14.0,,1.0,4.0,6.0,16.0,,2.0,1.0,4.0,36.0,74.0,11.0,30.0,13.0,118.0,1100,7.0,14.0,,2.0,2.0,16.0,5.0,16.0,2.0,8.0,11.0,27.0,46.0,26.0,30.0,3.0,14.0,16.0,6.0,7.0,11.0,9.0,20.0,7.0,2.0,7.0,3.0,1.0,49.0,8.0,11.0,,14.0,23.0,5.0,42.0,19.0,61.0,3.0,14.0,10.0,4.0,8.0,2.0,8.0,6.0,1.0,,1.0,14.0,1.0,3.0,23.0,41.0,,,,14.0,,1.0,18.0,,,,7.0,,2.0,4.0,1.0,,3.0,,1.0,5.0,2.0,27.0,268.0,7.0,2.0,0.6388888888888888,0.7931034482758621,0.9090909090909091,0.36666666666666664,,0.25,0.36666666666666664,0.4864864864864865,0.5,0.3125,0.5048076923076923,0.4375,0.3333333333333333,0.5221238938053098,0.4444444444444444,0.43548387096774194,0.28846153846153844,0.0945945945945946,0.11904761904761904,0.03571428571428571,0.25,12.919633774160733,0.5714285714285714,0.22727272727272727,,0.12849162011173185,0.04954954954954955,0.06763285024154589,0.047619047619047616,0.09585492227979274,0.04871794871794872,0.04285714285714286,0.038834951456310676,0.03125,0.13333333333333333,0.13580246913580246,0.11320754716981132,0.06040268456375839,0.08620689655172414,0.06,0.4,0.40384615384615385,0.6428571428571429,0.7297297297297297,0.7407407407407407,0.2692307692307692,0.32142857142857145,0.3333333333333333,0.3333333333333333,0.038461538461538464,,,,0.1346153846153846,0.35714285714285715,0.35714285714285715,1.0,0.15384615384615385,0.375,0.375,0.8333333333333334,0.4375,0.42857142857142855,,,0.125,,,0.375,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.25,0.6923076923076923,0.375,0.5469125,0.449075,0.5265104166666666,0.06306306306306306,0.08641975308641975,,0.13559322033898305,0.2288135593220339,5.093243243243244,24.689999999999998,0.3104238258877434,1.0,1.0,0.08163265306122448,0.1,,,,,,,,,,,True
1629618,1610612743,Jalen Pickett,Jalen Pickett,1629618,DEN,2562.7,43,26,94,89,21.0,33.0,10.0,183,,1.0,,1.0,,,,1.0,1.0,2.0,1.0,1.0,,,,2.0,5.0,1.0,1.0,,1.0,1.0,4.0,3.0,6.0,2.0,13.0,100,,1.0,1.0,1.0,,3.0,,,,1.0,2.0,2.0,2.0,,9.0,,,5.0,2.0,1.0,3.0,3.0,6.0,3.0,,,2.0,1.0,15.0,1.0,2.0,,3.0,4.0,,7.0,3.0,10.0,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,2.0,21.0,,1.0,1.0,1.0,1.0,0.5,1.0,,0.5,0.25,,,0.55,0.75,,0.5909090909090909,0.75,0.5,0.6,0.25,1.0,,,10.576923076923077,,,,0.16,0.07692307692307693,0.15789473684210525,0.058823529411764705,0.1590909090909091,0.06976744186046512,,0.0625,0.07692307692307693,0.1111111111111111,0.2222222222222222,0.14285714285714285,0.1,0.2222222222222222,,,0.1,,,,0.1,,,,0.2,0.5,0.5,1.0,0.1,1.0,1.0,1.0,0.5,0.4,0.4,1.0,0.5,,,,0.5,1.0,1.0,,,,,1.0,,0.7,0.4,0.502005,0.5863499999999999,0.4623,,,,0.23076923076923078,0.15384615384615385,11.05,25.433333333333334,0.22340425531914893,,,0.14285714285714285,,,,,,,,,,,,True
1629661,1610612743,Cameron Johnson,Cameron Johnson,1629661,DEN,34883.5,581,208,1194,1185,246.0,198.0,123.0,2379,24.0,37.0,4.0,5.0,5.0,8.0,6.0,20.0,6.0,12.0,12.0,30.0,1.0,5.0,10.0,29.0,55.0,3.0,5.0,5.0,5.0,36.0,69.0,41.0,85.0,24.0,219.0,1373,5.0,9.0,4.0,6.0,,22.0,8.0,13.0,10.0,15.0,12.0,58.0,48.0,24.0,117.0,6.0,6.0,55.0,29.0,10.0,23.0,14.0,37.0,8.0,6.0,13.0,6.0,4.0,88.0,8.0,4.0,1.0,39.0,21.0,3.0,63.0,13.0,76.0,1.0,12.0,6.0,6.0,14.0,2.0,10.0,5.0,1.0,4.0,,19.0,2.0,3.0,27.0,41.0,1.0,2.0,1.0,29.0,3.0,2.0,31.0,3.0,1.0,,8.0,2.0,7.0,6.0,,,5.0,,1.0,6.0,5.0,56.0,241.0,1.0,6.0,0.6666666666666666,0.7272727272727273,0.9512195121951219,0.4823529411764706,0.6666666666666666,0.6666666666666666,0.4823529411764706,0.5217391304347826,0.5555555555555556,0.6153846153846154,0.6331168831168831,0.7333333333333333,0.8214285714285714,0.655688622754491,0.7333333333333333,0.8285714285714286,0.551948051948052,0.14492753623188406,0.21621621621621623,0.1,,13.859910581222056,0.7368421052631579,0.1111111111111111,0.037037037037037035,0.07984790874524715,0.0163265306122449,0.12956810631229235,0.034482758620689655,0.10638297872340426,0.025157232704402517,0.011764705882352941,0.02702702702702703,0.023529411764705882,0.0684931506849315,0.078125,0.0967741935483871,0.12980769230769232,0.12903225806451613,0.015151515151515152,0.8333333333333334,0.24025974025974026,0.6486486486486487,0.8275862068965517,0.6666666666666666,0.12987012987012986,0.3,0.3333333333333333,0.8333333333333334,0.07792207792207792,0.5,0.5,0.5,0.19480519480519481,0.4,0.4,1.0,0.35714285714285715,0.5272727272727272,0.5370370370370371,0.9310344827586207,0.3333333333333333,0.8,0.25,0.06666666666666667,0.3333333333333333,0.6,1.0,0.2857142857142857,0.625,0.35714285714285715,0.5,0.17857142857142858,1.0,0.7922077922077922,0.5272727272727272,0.5710090909090908,0.5630833333333333,0.552875,0.0625,0.10810810810810811,0.023255813953488372,0.1004566210045662,0.2648401826484018,6.433333333333334,25.11764705882353,0.20603015075376885,,,,0.06451612903225806,1.0,1.0,2.0,1.0,0.011764705882352941,0.01818181818181818,1.0,1.0,,,True
203999,1610612743,Nikola Jokić,Nikola Jokić,203999,DEN,49249.399999999994,821,257,1722,1705,450.0,411.0,184.0,3427,88.0,117.0,27.0,42.0,26.0,33.0,92.0,147.0,19.0,31.0,2.0,4.0,,,1.0,44.0,104.0,5.0,6.0,15.0,33.0,199.0,295.0,46.0,108.0,146.0,682.0,2014,38.0,60.0,5.0,6.0,21.0,112.0,55.0,83.0,15.0,34.0,81.0,236.0,226.0,172.0,111.0,27.0,44.0,104.0,44.0,16.0,153.0,98.0,251.0,74.0,24.0,114.0,25.0,14.0,600.0,25.0,46.0,,74.0,126.0,7.0,207.0,71.0,278.0,12.0,34.0,22.0,12.0,48.0,13.0,36.0,28.0,4.0,12.0,2.0,76.0,2.0,14.0,23.0,67.0,1.0,6.0,5.0,155.0,16.0,2.0,171.0,17.0,,2.0,63.0,3.0,26.0,16.0,,,7.0,2.0,7.0,16.0,9.0,229.0,441.0,5.0,21.0,0.5678391959798995,0.6384180790960452,0.8043478260869565,0.42592592592592593,0.8333333333333334,0.4411764705882353,0.42592592592592593,0.6745762711864407,0.6333333333333333,0.6626506024096386,0.6650124069478908,0.6893939393939394,0.6623931623931624,0.7112970711297071,0.7272727272727273,0.73125,0.2679900744416873,0.05423728813559322,0.05128205128205128,0.061224489795918366,0.03225806451612903,28.60838075530264,0.631578947368421,0.1794871794871795,,0.3230769230769231,0.13529411764705881,0.19023136246786632,0.0728862973760933,0.25673940949935814,0.10395314787701318,0.15873015873015872,0.14743589743589744,0.07307692307692308,0.2777777777777778,0.3489583333333333,0.32222222222222224,0.20212765957446807,0.1588785046728972,0.08759124087591241,0.5625,0.2903225806451613,0.7521367521367521,0.7927927927927928,0.5568181818181818,0.36476426799007444,0.6258503401360545,0.6666666666666666,0.5869565217391305,0.07692307692307693,0.6129032258064516,0.6333333333333333,0.5263157894736842,0.009925558312655087,0.5,0.5,1.0,0.25806451612903225,0.4230769230769231,0.43137254901960786,0.7954545454545454,0.6363636363636364,0.6428571428571429,0.25925925925925924,,0.09090909090909091,0.8333333333333334,1.0,0.28205128205128205,0.7878787878787878,0.008547008547008548,,0.28205128205128205,0.45454545454545453,0.5583126550868487,0.4230769230769231,0.5072119402985076,0.5560438775510204,0.48685775862068975,0.14601769911504425,0.18475073313782991,0.02702702702702703,0.16422287390029325,0.3460410557184751,6.2230508474576265,25.854629629629628,0.2613240418118467,,,0.05172413793103448,0.07228915662650602,,2.0,1.0,6.0,0.018518518518518517,0.019230769230769232,,,,,True
1630192,1610612743,Zeke Nnaji,Zeke Nnaji,1630192,DEN,3074.6000000000004,51,-39,107,106,24.0,21.0,8.0,213,1.0,3.0,,,,1.0,,,,,1.0,4.0,,,,,,,,,,1.0,3.0,1.0,4.0,2.0,7.0,136,,,,,,,,1.0,,,,,,2.0,3.0,,,,,1.0,,,,,,,,,,,1.0,,3.0,5.0,,8.0,1.0,9.0,,2.0,1.0,1.0,1.0,,,2.0,1.0,1.0,,3.0,,1.0,1.0,3.0,,,1.0,2.0,,,2.0,,,,1.0,,,1.0,,,1.0,,,1.0,,,24.0,,,,,1.0,0.25,,,0.25,0.3333333333333333,,,0.35714285714285715,,,0.4375,,,0.5714285714285714,0.3333333333333333,0.3333333333333333,,,9.482758620689657,0.3333333333333333,,,0.20833333333333334,0.029411764705882353,0.1,,0.14814814814814814,0.020833333333333332,,0.05263157894736842,,0.09090909090909091,0.16666666666666666,0.42857142857142855,0.05,0.2,,,0.42857142857142855,0.3333333333333333,0.5,,,,,,,,,,0.5714285714285714,0.25,0.25,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,0.6326071428571429,,0.8136,0.125,0.25,,,,1.7666666666666668,22.775,0.22429906542056074,,,,,,,1.0,,,,,,,,True
202685,1610612743,Jonas Valančiūnas,Jonas Valančiūnas,202685,DEN,14181.400000000001,236,-34,467,469,83.0,57.0,53.0,936,22.0,37.0,7.0,11.0,,2.0,23.0,46.0,5.0,14.0,,,,,,2.0,8.0,,1.0,,,50.0,97.0,2.0,8.0,32.0,138.0,564,10.0,16.0,,1.0,10.0,30.0,7.0,16.0,,,12.0,26.0,64.0,36.0,6.0,,18.0,8.0,2.0,8.0,9.0,7.0,16.0,4.0,3.0,4.0,5.0,,39.0,7.0,14.0,,26.0,24.0,3.0,53.0,21.0,74.0,3.0,2.0,1.0,1.0,10.0,1.0,5.0,12.0,1.0,5.0,,22.0,,1.0,21.0,44.0,1.0,4.0,9.0,44.0,9.0,,41.0,1.0,,,16.0,,5.0,10.0,,,5.0,,5.0,10.0,7.0,26.0,83.0,2.0,5.0,0.64,0.7804878048780488,1.0,0.25,,,0.25,0.5154639175257731,0.625,0.4375,0.5047619047619047,0.5882352941176471,0.4375,0.552,0.6521739130434783,0.5416666666666666,0.0761904761904762,0.08247422680412371,0.10810810810810811,0.06521739130434782,0.07142857142857142,27.63157894736842,0.45454545454545453,0.2727272727272727,,0.2222222222222222,0.1,0.21311475409836064,0.08045977011494253,0.21739130434782608,0.09251101321585903,0.07692307692307693,0.11764705882352941,0.09836065573770492,0.16,0.3137254901960784,0.125,0.2289156626506024,0.1794871794871795,0.06666666666666667,0.7,0.3523809523809524,0.5945945945945946,0.6666666666666666,0.6363636363636364,0.4380952380952381,0.5,0.5348837209302325,0.6086956521739131,0.13333333333333333,0.35714285714285715,0.38461538461538464,0.8,,,,,0.0761904761904762,0.25,0.25,1.0,0.6470588235294118,0.6363636363636364,,,0.058823529411764705,,,0.125,,,,,,0.42857142857142855,0.25,0.5006004761904763,0.5335214285714286,0.4265625,0.13333333333333333,0.14285714285714285,,0.21739130434782608,0.18840579710144928,6.961855670103094,25.8125,0.1777301927194861,,,0.09090909090909091,0.038461538461538464,,,,2.0,,,,,,,True
1631124,1610612743,Julian Strawther,Julian Strawther,1631124,DEN,2233.3,37,-17,76,71,21.0,7.0,8.0,147,3.0,4.0,,,1.0,1.0,1.0,2.0,,,,4.0,,,2.0,1.0,5.0,,1.0,,2.0,4.0,6.0,1.0,9.0,,11.0,90,,,,1.0,,,1.0,1.0,,4.0,,2.0,8.0,,3.0,,,5.0,1.0,1.0,1.0,,1.0,,,,,1.0,2.0,,,,1.0,2.0,,3.0,,3.0,,1.0,,1.0,,1.0,,2.0,,,,2.0,,,3.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,2.0,21.0,,,1.0,1.0,1.0,0.1111111111111111,,,0.1111111111111111,0.6666666666666666,,1.0,0.36666666666666664,,0.2,0.36666666666666664,,0.2,0.6,0.16666666666666666,0.25,,,20.0,,,,0.15384615384615385,,0.0625,,0.10344827586206896,,,,,,0.2,0.25,0.09090909090909091,,,,0.26666666666666666,0.75,1.0,1.0,0.13333333333333333,0.5,0.5,1.0,,,,,0.26666666666666666,,,,0.3333333333333333,0.2,0.2,1.0,,,,,1.0,,,0.2,1.0,0.4,,0.4,,0.8666666666666667,0.2,0.5783699999999999,0.5646,0.5487,,,,,0.18181818181818182,3.816666666666667,24.87777777777778,0.27631578947368424,,,,,,,,,,,,,,,True
1631212,1610612743,Peyton Watson,Peyton Watson,1631212,DEN,36242.7,604,147,1254,1266,347.0,279.0,130.0,2520,49.0,72.0,5.0,10.0,14.0,18.0,8.0,21.0,1.0,2.0,18.0,36.0,3.0,2.0,6.0,8.0,29.0,,2.0,3.0,7.0,58.0,95.0,26.0,65.0,36.0,230.0,1536,6.0,12.0,1.0,5.0,4.0,19.0,15.0,24.0,5.0,13.0,11.0,56.0,96.0,20.0,78.0,,4.0,29.0,8.0,12.0,17.0,14.0,31.0,12.0,2.0,12.0,5.0,,76.0,10.0,10.0,,45.0,25.0,11.0,81.0,20.0,101.0,3.0,20.0,17.0,3.0,15.0,4.0,12.0,16.0,1.0,3.0,3.0,31.0,,6.0,34.0,54.0,3.0,1.0,4.0,38.0,3.0,4.0,47.0,6.0,,,22.0,1.0,3.0,17.0,3.0,3.0,6.0,2.0,9.0,20.0,16.0,54.0,340.0,3.0,1.0,0.8275862068965517,0.8571428571428571,1.0,0.4,0.2,0.38461538461538464,0.4,0.6105263157894737,0.5,0.625,0.60625,0.4411764705882353,0.6081081081081081,0.6388888888888888,0.475,0.6363636363636364,0.40625,0.12631578947368421,0.1388888888888889,0.09523809523809523,,14.904187366926898,0.4838709677419355,0.3548387096774194,,0.08741258741258741,0.03937007874015748,0.15100671140939598,0.0423728813559322,0.11986301369863013,0.04081632653061224,0.043478260869565216,0.0423728813559322,0.03529411764705882,0.013333333333333334,0.09027777777777778,0.16417910447761194,0.13004484304932734,0.21333333333333335,0.04838709677419355,0.8,0.45,0.6805555555555556,0.7903225806451613,0.8571428571428571,0.13125,0.38095238095238093,0.42105263157894735,0.625,0.0125,0.5,0.5,1.0,0.225,0.5,0.5,1.0,0.18125,0.27586206896551724,0.27586206896551724,1.0,0.5882352941176471,0.5,0.4,0.17647058823529413,0.11764705882352941,,,0.4864864864864865,0.7777777777777778,0.16216216216216217,0.3333333333333333,0.1891891891891892,0.42857142857142855,0.85625,0.27586206896551724,0.59389625,0.5576875,0.5691229729729731,0.12994350282485875,0.1981981981981982,0.015151515151515152,0.08260869565217391,0.24347826086956523,3.3800000000000003,24.41076923076923,0.2767145135566188,1.0,,0.022727272727272728,0.06060606060606061,1.0,,,,,,0.3333333333333333,1.0,2.0,,True
1642461,1610612743,Spencer Jones,Spencer Jones,1642461,DEN,25850.9,431,88,880,888,158.0,161.0,90.0,1768,21.0,31.0,5.0,8.0,4.0,6.0,6.0,7.0,1.0,2.0,13.0,37.0,2.0,2.0,4.0,6.0,12.0,1.0,1.0,,1.0,28.0,40.0,19.0,49.0,11.0,124.0,1065,5.0,8.0,1.0,3.0,3.0,16.0,5.0,7.0,2.0,5.0,5.0,21.0,44.0,12.0,57.0,,8.0,12.0,6.0,4.0,8.0,12.0,20.0,9.0,3.0,3.0,4.0,1.0,52.0,10.0,17.0,,15.0,15.0,2.0,32.0,27.0,59.0,1.0,15.0,10.0,5.0,2.0,,2.0,8.0,,,,10.0,1.0,,37.0,58.0,1.0,1.0,5.0,20.0,2.0,4.0,21.0,1.0,,,11.0,,,8.0,,,2.0,,6.0,8.0,4.0,21.0,154.0,2.0,,0.7857142857142857,0.9166666666666666,1.0,0.3877551020408163,0.3333333333333333,0.4,0.3877551020408163,0.7,0.625,0.7142857142857143,0.6348314606741573,0.5909090909090909,0.6666666666666666,0.6262626262626263,0.6666666666666666,0.7,0.550561797752809,0.1,0.12903225806451613,,,11.05476673427992,0.2,0.1111111111111111,,0.07142857142857142,0.09392265193370165,0.07537688442211055,0.056179775280898875,0.07334963325183375,0.07520891364902507,0.109375,0.09411764705882353,0.05511811023622047,0.1076923076923077,0.0392156862745098,0.09302325581395349,0.0728476821192053,0.08333333333333333,0.02631578947368421,0.5,0.34831460674157305,0.6774193548387096,0.7777777777777778,0.7142857142857143,0.07865168539325842,0.8571428571428571,0.8571428571428571,1.0,0.02247191011235955,0.5,0.5,1.0,0.4157303370786517,0.35135135135135137,0.35135135135135137,1.0,0.1348314606741573,0.5,0.5,1.0,0.7272727272727273,0.625,0.2,0.18181818181818182,0.09090909090909091,1.0,1.0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.08333333333333333,,0.898876404494382,0.5,0.6003988764044944,0.6021777777777779,0.6041166666666666,0.1111111111111111,0.22,,0.12903225806451613,0.1693548387096774,3.195,23.86122448979592,0.17954545454545454,,,0.0625,0.058823529411764705,,,1.0,3.0,,,,,,1.0,True
