EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted3s,Fg3aBlocked,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,BlockedShortMidRange,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,FG3APctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,SecondChanceCorner3FGM,Corner3Assists,Charge Fouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Offensive Fouls Drawn,ThreePtShootingFoulsDrawn,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,Arc3PctBlocked,Travels,Blocked3s,BlockedCorner3,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,on,FTOffRebounds,3pt And 1 Free Throw Trips,BlockedLongMidRange,OffFTReboundPct,BlockedArc3,DefensiveGoaltends,LongMidRangePctBlocked,OffensiveGoaltends
1626157,1610612752,Karl-Anthony Towns,Karl-Anthony Towns,1626157,NYK,4002.7,67,19.0,133,133,38.0,30,15.0,266,14.0,21.0,4.0,6.0,4.0,6.0,1.0,7.0,1.0,1.0,3.0,8.0,1.0,16.0,29.0,3.0,8.0,10.0,51.0,137,4.0,7.0,2.0,10.0,4.0,6.0,1.0,1.0,9.0,20.0,12.0,9.0,4.0,8.0,3.0,1.0,8.0,2.0,10.0,2.0,4.0,1.0,3.0,22.0,2.0,7.0,13.0,3.0,2.0,18.0,9.0,27,5.0,4.0,3.0,1.0,4.0,1.0,3.0,4.0,2.0,4.0,8.0,14.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,9.0,38.0,0.625,0.7142857142857143,1.0,0.375,0.375,0.5517241379310345,0.5714285714285714,0.6666666666666666,0.5540540540540541,0.5714285714285714,0.5714285714285714,0.5813953488372093,0.625,0.5714285714285714,0.21621621621621623,0.034482758620689655,0.047619047619047616,31.333333333333332,1.0,1.0,0.11538461538461539,0.23333333333333334,0.35135135135135137,0.05714285714285714,0.25396825396825395,0.13846153846153847,0.3,0.23529411764705882,0.043478260869565216,0.08333333333333333,0.15789473684210525,0.32,0.4166666666666667,0.29411764705882354,1.0,0.5675675675675675,0.6666666666666666,0.7,0.6428571428571429,0.1891891891891892,0.14285714285714285,0.14285714285714285,0.02702702702702703,1.0,1.0,1.0,0.21621621621621623,0.375,0.375,1.0,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.6666666666666666,0.14285714285714285,0.7837837837837838,0.375,0.5857972972972972,0.65892,0.6248214285714286,0.16279069767441862,0.2,0.19607843137254902,0.17647058823529413,3.189655172413793,26.449999999999996,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,
1627824,1610612752,Guerschon Yabusele,Guerschon Yabusele,1627824,NYK,12762.8,213,22.0,434,442,132.0,138,51.0,876,10.0,15.0,2.0,3.0,4.0,6.0,2.0,4.0,1.0,2.0,7.0,24.0,8.0,13.0,21.0,11.0,40.0,4.0,63.0,475,2.0,3.0,2.0,12.0,5.0,9.0,13.0,2.0,27.0,18.0,8.0,30.0,4.0,24.0,7.0,2.0,4.0,5.0,9.0,5.0,3.0,1.0,,23.0,8.0,6.0,24.0,9.0,,33.0,14.0,47,1.0,3.0,2.0,1.0,3.0,3.0,,6.0,17.0,24.0,10.0,8.0,,,3.0,4.0,3.0,4.0,1.0,27.0,132.0,0.6923076923076923,0.8181818181818182,0.9090909090909091,0.275,0.275,0.6190476190476191,0.6666666666666666,0.5555555555555556,0.48360655737704916,0.5555555555555556,0.5681818181818182,0.4846153846153846,0.5454545454545454,0.5625,0.6557377049180327,0.09523809523809523,0.06666666666666667,14.401622718052739,0.5,,0.10465116279069768,0.06896551724137931,0.1951219512195122,0.06837606837606838,0.15789473684210525,0.06862745098039216,0.07407407407407407,0.06666666666666667,0.06818181818181818,0.06896551724137931,0.09090909090909091,0.20408163265306123,0.16,0.030303030303030304,0.25,0.2459016393442623,0.6666666666666666,0.7142857142857143,0.7,0.06557377049180328,0.5,0.6666666666666666,0.03278688524590164,0.5,0.5,1.0,0.39344262295081966,0.2916666666666667,0.2916666666666667,0.8571428571428571,0.3333333333333333,0.6666666666666666,0.2727272727272727,0.6666666666666666,0.36363636363636365,0.9016393442622951,0.2916666666666667,0.5808516393442623,0.6140000000000001,0.5637772727272727,0.046875,0.125,0.19047619047619047,0.42857142857142855,4.171428571428573,24.765,0.30414746543778803,4.0,16.0,1.0,1.0,5.0,2.0,5.0,4.0,2.0,6.0,5.0,3.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,0.38461538461538464,0.025,0.25,0.0625,0.06666666666666667,0.11764705882352941,0.125,0.5,0.26229508196721313,0.25,0.26666666666666666,1.0,0.1111111111111111,0.5555555555555556,0.4,1.0,0.22727272727272727,0.2,0.5,,,,,,,,,,,,,,,,True,,,,,,,,
1628384,1610612752,OG Anunoby,OG Anunoby,1628384,NYK,2661.3,44,-9.0,93,94,15.0,18,16.0,187,5.0,8.0,,,,1.0,,1.0,,,1.0,8.0,1.0,5.0,9.0,2.0,12.0,6.0,22.0,101,,,2.0,5.0,,1.0,2.0,2.0,2.0,10.0,,3.0,,8.0,1.0,3.0,,1.0,1.0,,,,,3.0,,1.0,3.0,2.0,,5.0,1.0,6,,1.0,,1.0,4.0,2.0,2.0,6.0,,2.0,4.0,8.0,,,3.0,1.0,1.0,1.0,,2.0,15.0,1.0,1.0,0.5,0.16666666666666666,0.16666666666666666,0.5555555555555556,,,0.38095238095238093,0.375,,0.44,0.5,0.25,0.5714285714285714,0.3333333333333333,0.375,28.18181818181818,0.6666666666666666,,0.2,0.06666666666666667,0.10344827586206896,,0.1282051282051282,0.019230769230769232,0.16666666666666666,,,,0.14285714285714285,0.09090909090909091,0.14285714285714285,,,0.38095238095238093,0.625,1.0,1.0,0.047619047619047616,,,,,,,0.38095238095238093,0.125,0.125,,,,0.3333333333333333,,0.3333333333333333,0.9523809523809523,0.125,0.628347619047619,0.54765,0.5869,0.125,0.25,0.22727272727272727,0.09090909090909091,2.011111111111111,25.266666666666666,0.16129032258064516,1.0,4.0,2.0,,1.0,,2.0,,1.0,4.0,,3.0,,1.0,2.0,,2.0,,,,,1.0,,,1.0,1.0,0.25,,,,,,,1.0,,0.19047619047619047,0.25,0.25,1.0,0.5,0.5,,,0.3333333333333333,,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,True,,,,,,,,
1628969,1610612752,Mikal Bridges,Mikal Bridges,1628969,NYK,7107.9,118,17.0,238,244,88.0,70,22.0,482,14.0,15.0,1.0,1.0,5.0,5.0,3.0,9.0,1.0,2.0,2.0,14.0,8.0,18.0,26.0,5.0,18.0,3.0,54.0,273,2.0,3.0,,7.0,5.0,6.0,9.0,,19.0,14.0,22.0,15.0,,14.0,2.0,,3.0,7.0,10.0,3.0,,3.0,,27.0,3.0,2.0,6.0,5.0,1.0,12.0,5.0,17,,15.0,10.0,5.0,2.0,1.0,1.0,3.0,2.0,4.0,6.0,4.0,1.0,,1.0,7.0,6.0,7.0,4.0,19.0,88.0,0.3888888888888889,0.3888888888888889,1.0,0.2777777777777778,0.2777777777777778,0.6923076923076923,0.6666666666666666,0.8333333333333334,0.5795454545454546,0.875,0.6333333333333333,0.6,0.875,0.6333333333333333,0.4090909090909091,,,18.045112781954888,0.6666666666666666,0.16666666666666666,0.1111111111111111,0.041666666666666664,0.08955223880597014,0.05084745762711865,0.09821428571428571,0.04672897196261682,0.05555555555555555,0.04,0.061224489795918366,,0.043478260869565216,0.05555555555555555,0.23076923076923078,,0.5714285714285714,0.3409090909090909,0.9333333333333333,0.9333333333333333,0.42857142857142855,0.20454545454545456,0.3333333333333333,0.3333333333333333,0.045454545454545456,0.5,0.5,,0.3181818181818182,0.14285714285714285,0.14285714285714285,1.0,0.25,1.0,0.3333333333333333,1.0,0.5333333333333333,0.75,0.14285714285714285,0.5730193181818183,0.61375,0.6009333333333334,0.022727272727272728,0.038461538461538464,0.12962962962962962,0.35185185185185186,6.115384615384615,25.08888888888889,0.3697478991596639,3.0,4.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,,,1.0,1.0,,2.0,,,,1.0,,1.0,,,,1.0,0.3333333333333333,,,,,0.15789473684210525,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.75,0.75,1.0,,0.25,1.0,1.0,0.06666666666666667,1.0,0.25,,4.0,,,,1.0,1.0,1.0,,,,,,,,True,,,,,,,,
1628973,1610612752,Jalen Brunson,Jalen Brunson,1628973,NYK,7341.800000000001,122,44.0,253,249,78.0,57,29.0,502,12.0,15.0,2.0,2.0,2.0,3.0,14.0,27.0,7.0,10.0,3.0,20.0,6.0,33.0,52.0,4.0,21.0,22.0,100.0,263,2.0,2.0,3.0,7.0,11.0,16.0,6.0,8.0,33.0,16.0,50.0,6.0,,20.0,3.0,2.0,14.0,14.0,28.0,11.0,13.0,1.0,,70.0,1.0,1.0,9.0,3.0,,12.0,2.0,14,1.0,3.0,2.0,1.0,7.0,2.0,5.0,9.0,1.0,2.0,20.0,24.0,4.0,1.0,13.0,1.0,,1.0,1.0,33.0,78.0,0.24242424242424243,0.24242424242424243,0.5,0.19047619047619047,0.19047619047619047,0.6346153846153846,1.0,0.6875,0.5342465753424658,0.5,0.5681818181818182,0.6036585365853658,0.7,0.66,0.2876712328767123,0.038461538461538464,0.06666666666666667,31.70731707317073,0.7777777777777778,,0.06818181818181818,0.02040816326530612,0.1111111111111111,0.014705882352941176,0.096,0.017094017094017096,,,0.01818181818181818,,0.05,0.1,0.14285714285714285,0.030303030303030304,1.0,0.2054794520547945,0.8,0.8571428571428571,0.3333333333333333,0.3698630136986301,0.5185185185185185,0.5384615384615384,0.136986301369863,0.7,0.7,0.14285714285714285,0.273972602739726,0.15,0.15789473684210525,0.3333333333333333,0.5,1.0,0.13636363636363635,0.6666666666666666,0.2727272727272727,0.4931506849315068,0.15,0.5229931506849314,0.6390750000000001,0.4942613636363637,0.15853658536585366,0.21311475409836064,0.07,0.33,8.126923076923077,26.861904761904764,0.308300395256917,1.0,1.0,,,,,2.0,1.0,,2.0,1.0,6.0,1.0,,2.0,,4.0,,,1.0,,,1.0,,,,,0.16666666666666666,0.047619047619047616,0.037037037037037035,,0.1111111111111111,0.1,,0.21428571428571427,0.0136986301369863,1.0,1.0,1.0,,0.5,,,,,0.16666666666666666,,3.0,,,,2.0,,0.5,1.0,0.05,,,,,,True,,,,,,,,
1630540,1610612752,Miles McBride,Miles McBride,1630540,NYK,4337.5,72,12.0,140,140,37.0,32,14.0,280,3.0,4.0,,,,1.0,,1.0,2.0,6.0,6.0,13.0,4.0,5.0,11.0,6.0,15.0,2.0,30.0,147,1.0,1.0,,5.0,1.0,4.0,5.0,2.0,13.0,6.0,4.0,18.0,,13.0,6.0,,4.0,,4.0,,3.0,,1.0,8.0,1.0,,1.0,3.0,,4.0,1.0,5,1.0,2.0,2.0,,,,,,4.0,6.0,2.0,3.0,1.0,,2.0,,,,,13.0,37.0,0.6,0.6,1.0,0.4,0.4,0.45454545454545453,1.0,0.25,0.5384615384615384,0.8333333333333334,0.6111111111111112,0.5555555555555556,0.8333333333333334,0.65,0.5769230769230769,,,17.088607594936708,,,0.13043478260869565,,0.023255813953488372,0.02631578947368421,0.06060606060606061,0.014285714285714285,,,0.03571428571428571,,0.08333333333333333,0.030303030303030304,,0.06666666666666667,,0.15384615384615385,0.75,0.75,0.3333333333333333,0.038461538461538464,,,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.5,0.46153846153846156,0.46153846153846156,1.0,,,0.1111111111111111,,0.4444444444444444,0.7307692307692307,0.46153846153846156,0.5421692307692308,0.521375,0.4810166666666667,0.07407407407407407,0.16666666666666666,0.16666666666666666,0.43333333333333335,9.890909090909092,25.56666666666667,0.2642857142857143,,2.0,1.0,,1.0,1.0,1.0,3.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,0.5,0.6,,,,,0.2,,,0.07692307692307693,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,0.1111111111111111,,0.75,,,,,,,,,,,,,,,,True,,,,,,,,
203903,1610612752,Jordan Clarkson,Jordan Clarkson,203903,NYK,6198.1,103,20.0,217,219,65.0,43,18.0,436,8.0,11.0,,1.0,1.0,1.0,5.0,11.0,,1.0,6.0,16.0,5.0,13.0,23.0,8.0,23.0,8.0,58.0,226,1.0,2.0,,2.0,3.0,5.0,5.0,2.0,14.0,14.0,12.0,24.0,2.0,16.0,6.0,,4.0,6.0,10.0,4.0,3.0,1.0,,26.0,3.0,1.0,5.0,1.0,,6.0,4.0,10,1.0,3.0,2.0,1.0,5.0,3.0,2.0,8.0,8.0,13.0,7.0,9.0,,,3.0,2.0,1.0,3.0,1.0,14.0,65.0,0.5384615384615384,0.5833333333333334,1.0,0.34782608695652173,0.34782608695652173,0.5652173913043478,0.5,0.6,0.5434782608695652,0.25,0.6,0.58,0.25,0.6363636363636364,0.5,,,24.26778242677824,0.625,,0.02040816326530612,0.02631578947368421,0.0847457627118644,0.05555555555555555,0.05555555555555555,0.043478260869565216,,0.043478260869565216,0.06976744186046512,,,0.08333333333333333,0.09090909090909091,0.041666666666666664,0.3333333333333333,0.2391304347826087,0.7272727272727273,0.7272727272727273,0.625,0.2391304347826087,0.45454545454545453,0.45454545454545453,0.021739130434782608,,,,0.34782608695652173,0.375,0.375,1.0,0.25,,0.1,1.0,0.5,0.7391304347826086,0.375,0.5532108695652173,0.5027,0.5074500000000001,0.08,0.11538461538461539,0.034482758620689655,0.2413793103448276,5.356521739130434,25.08695652173913,0.2995391705069124,2.0,7.0,,,,,2.0,2.0,,2.0,2.0,,,,3.0,1.0,2.0,1.0,,,,,1.0,,1.0,,,0.4,,,,,,0.25,0.4,0.15217391304347827,0.2857142857142857,0.2857142857142857,1.0,,0.5,,,,,0.4,,2.0,1.0,,,,1.0,,,,1.0,1.0,1.0,0.041666666666666664,,True,,,,,,,,
1642278,1610612752,Tyler Kolek,Tyler Kolek,1642278,NYK,4000.5,67,-29.0,132,143,46.0,71,20.0,275,3.0,3.0,,,1.0,1.0,5.0,9.0,,1.0,6.0,11.0,2.0,8.0,13.0,6.0,12.0,3.0,37.0,175,1.0,1.0,,2.0,3.0,4.0,2.0,3.0,12.0,6.0,10.0,9.0,,11.0,6.0,,10.0,3.0,13.0,3.0,9.0,,1.0,29.0,1.0,,3.0,1.0,,4.0,1.0,5,,1.0,1.0,,3.0,3.0,,4.0,2.0,5.0,5.0,4.0,,,,1.0,1.0,1.0,,12.0,46.0,0.375,0.375,0.5,0.5,0.5,0.6153846153846154,1.0,0.75,0.68,0.3333333333333333,0.75,0.6851851851851852,0.3333333333333333,0.75,0.48,,,20.12987012987013,0.75,,0.03333333333333333,,0.09375,0.02857142857142857,0.06451612903225806,0.01639344262295082,,,0.041666666666666664,,,0.1,,,,0.12,1.0,1.0,0.3333333333333333,0.36,0.5555555555555556,0.5555555555555556,0.04,,,,0.44,0.5454545454545454,0.5454545454545454,0.5,,,0.16666666666666666,1.0,0.3333333333333333,0.6,0.5454545454545454,0.511806,0.46395,0.5248666666666666,,,0.05405405405405406,0.32432432432432434,8.238461538461538,26.041666666666668,0.3484848484848485,,1.0,,,,,2.0,1.0,,2.0,1.0,9.0,,1.0,1.0,,1.0,,,,,2.0,,,1.0,2.0,,0.5,,,,,,0.3333333333333333,0.4,0.04,,,,,0.6666666666666666,,,,,0.5,,,,,,1.0,,,,,,,,,,True,,,,,,,,
1628404,1610612752,Josh Hart,Josh Hart,1628404,NYK,6014.400000000001,100,23.0,206,200,48.0,47,23.0,406,4.0,6.0,,,2.0,2.0,3.0,7.0,,3.0,4.0,9.0,3.0,7.0,16.0,6.0,12.0,7.0,39.0,208,,2.0,1.0,1.0,2.0,2.0,3.0,,10.0,10.0,4.0,18.0,,9.0,4.0,2.0,11.0,7.0,18.0,4.0,7.0,3.0,1.0,43.0,1.0,2.0,10.0,8.0,3.0,21.0,3.0,24,,2.0,,2.0,2.0,1.0,1.0,7.0,3.0,13.0,8.0,10.0,2.0,,6.0,1.0,1.0,1.0,1.0,10.0,48.0,0.7142857142857143,0.7142857142857143,1.0,0.5,0.5,0.4375,,1.0,0.5714285714285714,,1.0,0.609375,0.16666666666666666,1.0,0.42857142857142855,0.125,0.16666666666666666,16.738197424892704,0.2857142857142857,0.42857142857142855,0.1702127659574468,0.046511627906976744,0.18518518518518517,0.017543859649122806,0.1782178217821782,0.03,0.125,,,0.06666666666666667,0.09523809523809523,0.21428571428571427,0.08333333333333333,,1.0,0.21428571428571427,0.6666666666666666,0.8,0.75,0.25,0.42857142857142855,0.5,0.10714285714285714,,,,0.32142857142857145,0.4444444444444444,0.4444444444444444,1.0,,,0.4,1.0,0.6,0.6428571428571429,0.4444444444444444,0.5501589285714286,0.3718,0.6223799999999999,0.1875,0.3,0.02564102564102564,0.2564102564102564,6.4312499999999995,24.991666666666664,0.23300970873786409,2.0,3.0,,,,,,2.0,,,2.0,,1.0,2.0,5.0,,2.0,1.0,,,1.0,,,,3.0,,,0.6666666666666666,0.08333333333333333,0.14285714285714285,0.3333333333333333,,0.2727272727272727,,0.6666666666666666,0.10714285714285714,0.6666666666666666,1.0,1.0,,,,,,,0.6666666666666666,,3.0,1.0,,,1.0,,,,,1.0,,,,1.0,True,,,,,,,,
1629013,1610612752,Landry Shamet,Landry Shamet,1629013,NYK,3127.7,52,-9.0,105,101,9.0,23,15.0,206,,2.0,,2.0,,,,1.0,,,3.0,5.0,1.0,,3.0,3.0,10.0,5.0,14.0,112,,2.0,,,,,1.0,,3.0,,,9.0,,5.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,,10.0,,,3.0,3.0,,6.0,,6,,1.0,1.0,,2.0,2.0,,2.0,1.0,2.0,8.0,8.0,,,4.0,1.0,,1.0,1.0,3.0,9.0,,,1.0,0.3,0.3,,,,0.34615384615384615,,1.5,0.4117647058823529,,1.5,0.7692307692307693,0.3333333333333333,0.5,15.447154471544716,1.0,,0.15789473684210525,,0.10714285714285714,,0.1276595744680851,,,,,,0.16666666666666666,0.047619047619047616,0.2857142857142857,,1.0,0.15384615384615385,,,,0.07692307692307693,,,,,,,0.38461538461538464,0.6,0.6,1.0,0.6666666666666666,,,,1.0,0.9230769230769231,0.6,0.5586769230769232,0.5876833333333334,0.52995,0.23529411764705882,0.5714285714285714,,0.21428571428571427,3.266666666666667,24.26,0.08571428571428572,,5.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,1.0,,,2.0,,1.0,,,,,1.0,,,,,,0.6666666666666666,,0.38461538461538464,,,,0.3333333333333333,,,,,,1.0,,,,,,2.0,,,,,,,,,,True,,,,,,,,
