EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Fg3aBlocked,Charge Fouls,Charge Fouls Drawn,Technical Free Throw Trips,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,FTOffRebounds,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,OffFTReboundPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,Blocked3s,BlockedArc3,BlockedCorner3,DefensiveGoaltends,OffensiveGoaltends,on,3pt And 1 Free Throw Trips
1627783,1610612754,Pascal Siakam,Pascal Siakam,1627783,IND,32251.399999999998,538,-148,1087,1098,245.0,297.0,129.0,2185,45.0,72.0,15.0,20.0,6.0,12.0,38.0,95.0,12.0,32.0,3.0,16.0,1.0,21.0,57.0,1.0,7.0,6.0,22.0,95.0,199.0,24.0,73.0,67.0,329.0,1363,17.0,28.0,1.0,8.0,9.0,46.0,14.0,40.0,6.0,22.0,15.0,61.0,84.0,106.0,54.0,18.0,24.0,57.0,21.0,12.0,25.0,26.0,51.0,21.0,5.0,15.0,8.0,2.0,128.0,10.0,23.0,22.0,36.0,7.0,65.0,33.0,98.0,13.0,20.0,12.0,8.0,11.0,3.0,3.0,13.0,3.0,8.0,3.0,24.0,3.0,8.0,23.0,37.0,2.0,3.0,89.0,4.0,2.0,96.0,4.0,41.0,9.0,7.0,3.0,4.0,7.0,5.0,1.0,61.0,241.0,4.0,8.0,0.4421052631578947,0.5060240963855421,0.75,0.3287671232876712,0.125,0.2727272727272727,0.3287671232876712,0.47738693467336685,0.6071428571428571,0.35,0.48161764705882354,0.5138888888888888,0.3709677419354839,0.5172955974842768,0.5609756097560976,0.41216216216216217,0.26838235294117646,0.06030150753768844,0.08333333333333333,0.06315789473684211,27.64753435731609,0.4583333333333333,0.18421052631578946,0.14342629482071714,0.08098591549295775,0.09649122807017543,0.04,0.12108559498956159,0.06179775280898876,0.1125,0.09219858156028368,0.015873015873015872,0.03626943005181347,0.05263157894736842,0.13402061855670103,0.168141592920354,0.0975609756097561,0.07878787878787878,0.14285714285714285,0.09285714285714286,0.7142857142857143,0.2647058823529412,0.625,0.6818181818181818,0.4888888888888889,0.3492647058823529,0.4,0.42696629213483145,0.4473684210526316,0.11764705882352941,0.375,0.375,0.25,0.058823529411764705,0.1875,0.1875,1.0,0.20955882352941177,0.3684210526315789,0.3684210526315789,0.7142857142857143,0.5555555555555556,0.75,0.13333333333333333,0.027777777777777776,0.19444444444444445,0.14285714285714285,1.0,0.1935483870967742,0.5,0.3548387096774194,0.2727272727272727,0.5330882352941176,0.3684210526315789,0.5052777573529412,0.5474339285714286,0.48120241935483865,0.13268608414239483,0.17372881355932204,0.1398176291793313,0.18541033434650456,7.632663316582913,25.723287671232875,0.22539098436062557,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1628396,1610612754,Tony Bradley,Tony Bradley,1628396,IND,6619.9,110,-27,227,224,78.0,73.0,31.0,451,6.0,13.0,1.0,6.0,1.0,3.0,6.0,10.0,2.0,2.0,,,,,,,,,,14.0,25.0,,,8.0,36.0,320,2.0,7.0,,,2.0,6.0,3.0,6.0,,,5.0,11.0,26.0,2.0,,,2.0,,,1.0,4.0,4.0,8.0,3.0,1.0,2.0,1.0,1.0,20.0,2.0,8.0,4.0,1.0,1.0,6.0,10.0,16.0,2.0,,,,2.0,,1.0,3.0,,1.0,,5.0,2.0,1.0,10.0,25.0,5.0,3.0,9.0,2.0,1.0,10.0,,5.0,,3.0,2.0,1.0,3.0,3.0,,11.0,78.0,7.0,,0.9285714285714286,1.0,,,,,,0.56,0.2857142857142857,0.5,0.56,0.2857142857142857,0.5,0.6,0.375,0.6111111111111112,,0.04,0.07692307692307693,,13.257575757575758,0.4,0.1,0.02564102564102564,0.12698412698412698,0.09302325581395349,0.05405405405405406,0.06097560975609756,0.1,0.2,0.0625,0.18181818181818182,0.03571428571428571,0.1111111111111111,,0.05,,0.08823529411764706,0.1111111111111111,0.2,1.0,0.52,0.46153846153846156,0.5,0.8333333333333334,0.4,0.6,0.6,1.0,0.08,1.0,1.0,1.0,,,,,,,,,0.8571428571428571,0.16666666666666666,,,,,,0.5,0.3333333333333333,,,0.52,,0.539272,0.61985,0.5136,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3055555555555556,4.74,,0.3436123348017621,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1629614,1610612754,Andrew Nembhard,Andrew Nembhard,1629614,IND,43488.5,725,-245,1494,1499,347.0,419.0,164.0,2993,33.0,50.0,3.0,6.0,8.0,16.0,40.0,88.0,20.0,63.0,1.0,7.0,,41.0,109.0,4.0,10.0,7.0,24.0,93.0,201.0,42.0,116.0,89.0,401.0,1859,5.0,15.0,4.0,10.0,2.0,24.0,23.0,52.0,7.0,24.0,31.0,98.0,50.0,136.0,87.0,39.0,4.0,109.0,41.0,15.0,87.0,62.0,149.0,48.0,14.0,48.0,33.0,6.0,360.0,,8.0,30.0,12.0,4.0,46.0,8.0,54.0,3.0,20.0,9.0,11.0,41.0,,20.0,14.0,2.0,21.0,2.0,55.0,4.0,16.0,24.0,56.0,1.0,4.0,84.0,,3.0,106.0,9.0,47.0,9.0,3.0,2.0,1.0,3.0,,,95.0,343.0,3.0,8.0,0.26881720430107525,0.27472527472527475,0.6904761904761905,0.3620689655172414,0.4,0.2916666666666667,0.3620689655172414,0.4626865671641791,0.3333333333333333,0.4423076923076923,0.4921135646687697,0.44,0.4407894736842105,0.5480769230769231,0.46153846153846156,0.5271739130434783,0.3659305993690852,0.07462686567164178,0.1,0.10227272727272728,24.836988737403672,0.7454545454545455,0.0784313725490196,0.034482758620689655,0.021164021164021163,0.0967741935483871,,0.06382978723404255,0.010869565217391304,0.026785714285714284,0.027932960893854747,,,,0.0364963503649635,0.0189873417721519,0.07547169811320754,0.09734513274336283,0.09523809523809523,0.018518518518518517,,0.15772870662460567,0.66,0.7333333333333333,0.3333333333333333,0.277602523659306,0.45454545454545453,0.5063291139240507,0.25,0.19873817034700317,0.31746031746031744,0.3225806451612903,0.2,0.022082018927444796,0.14285714285714285,0.16666666666666666,1.0,0.3438485804416404,0.3761467889908257,0.3867924528301887,0.6829268292682927,0.24,0.5,0.3333333333333333,,0.4,0.4,1.0,0.21052631578947367,0.5,0.3157894736842105,0.2916666666666667,0.5236593059936908,0.3761467889908257,0.5052897151898732,0.5031583333333333,0.4947131578947369,0.1323943661971831,0.19665271966527198,0.059850374064837904,0.24438902743142144,9.664179104477613,27.058620689655175,0.2322623828647925,4.0,1.0,1.0,2.0,0.034482758620689655,0.015873015873015872,0.14285714285714285,0.027522935779816515,,,,,,,,,,,,,,,,,,,True,
1629726,1610612754,Garrison Mathews,Garrison Mathews,1629726,IND,3170.3,53,-35,113,114,36.0,41.0,12.0,227,,,,,,,1.0,1.0,,,1.0,2.0,,4.0,10.0,,,1.0,1.0,1.0,1.0,5.0,12.0,5.0,22.0,149,,,,,,,,,1.0,1.0,,3.0,2.0,,15.0,,,10.0,4.0,,2.0,,2.0,,,2.0,,,4.0,,,3.0,2.0,,5.0,1.0,6.0,,2.0,1.0,1.0,,,,1.0,,,,1.0,,,5.0,10.0,,,8.0,1.0,1.0,6.0,,1.0,,1.0,,1.0,1.0,,,3.0,36.0,3.0,,1.0,1.0,1.0,0.4166666666666667,,1.0,0.4166666666666667,1.0,,,0.6538461538461539,,1.5,0.7333333333333333,,1.5,0.9230769230769231,,,,12.8,,,0.08,,0.13043478260869565,,0.10416666666666667,,,,,,,0.1111111111111111,,0.3333333333333333,0.07142857142857142,0.2222222222222222,,,,,,,0.07692307692307693,1.0,1.0,1.0,,,,,0.15384615384615385,0.5,0.5,1.0,0.7692307692307693,0.4,0.4,1.0,,,,,,,,,,1.0,1.0,0.9230769230769231,0.4,0.5415192307692307,,0.5367,0.07142857142857142,0.5,,0.13636363636363635,9.2,25.849999999999998,0.3185840707964602,,,1.0,,,,,,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,True,
204456,1610612754,T.J. McConnell,T.J. McConnell,204456,IND,4725.4,79,-38,164,166,49.0,53.0,15.0,330,7.0,10.0,1.0,1.0,4.0,5.0,12.0,25.0,4.0,6.0,1.0,2.0,1.0,,2.0,,,,,23.0,41.0,1.0,4.0,3.0,52.0,205,1.0,1.0,1.0,1.0,,5.0,5.0,10.0,1.0,1.0,1.0,14.0,8.0,38.0,3.0,,2.0,2.0,,2.0,10.0,7.0,17.0,5.0,2.0,8.0,1.0,1.0,41.0,,2.0,2.0,4.0,2.0,8.0,2.0,10.0,1.0,4.0,3.0,1.0,4.0,,2.0,2.0,,2.0,,6.0,,1.0,4.0,5.0,,,5.0,,1.0,3.0,1.0,2.0,,2.0,,2.0,2.0,1.0,,14.0,48.0,,,0.17391304347826086,0.18181818181818182,1.0,0.25,1.0,1.0,0.25,0.5609756097560976,1.0,0.5,0.5444444444444444,1.25,0.5909090909090909,0.5652173913043478,1.25,0.6363636363636364,0.08888888888888889,0.04878048780487805,,0.08,29.050279329608937,0.6666666666666666,0.4,0.09090909090909091,0.046511627906976744,0.08333333333333333,,0.08823529411764706,0.028169014084507043,,0.09523809523809523,,,,,0.09090909090909091,0.2857142857142857,0.1111111111111111,,0.05263157894736842,0.5,0.2222222222222222,0.7,0.7,0.14285714285714285,0.5555555555555556,0.48,0.5217391304347826,0.25,0.13333333333333333,0.6666666666666666,0.6666666666666666,,0.044444444444444446,0.5,0.5,1.0,0.044444444444444446,,,,0.5,1.0,,0.5,,,,0.45454545454545453,0.8,,,0.3111111111111111,,0.48780999999999997,0.519825,0.5380863636363636,0.043478260869565216,0.047619047619047616,0.09615384615384616,0.2692307692307692,8.453658536585365,24.4,0.29878048780487804,,,,,,,,,,2.0,,,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,1.0,,,,,,,,True,
1630174,1610612754,Aaron Nesmith,Aaron Nesmith,1630174,IND,4139.9,69,2,143,143,52.0,36.0,22.0,286,2.0,4.0,,,1.0,1.0,3.0,6.0,1.0,3.0,1.0,3.0,1.0,5.0,9.0,1.0,3.0,1.0,4.0,6.0,13.0,6.0,12.0,8.0,38.0,189,,,1.0,4.0,,3.0,2.0,4.0,2.0,6.0,5.0,15.0,12.0,,18.0,,,9.0,5.0,1.0,2.0,3.0,5.0,3.0,,1.0,1.0,,13.0,2.0,,4.0,5.0,1.0,10.0,2.0,12.0,,2.0,,2.0,,,,,,,,,,,4.0,6.0,,,14.0,1.0,5.0,8.0,3.0,4.0,1.0,,,,,,,15.0,52.0,,1.0,1.0,1.0,1.0,0.5,0.25,0.3333333333333333,0.5,0.46153846153846156,,0.5,0.6,0.375,0.5,0.6851851851851852,0.375,0.625,0.48,0.07692307692307693,0.25,,16.265060240963855,,0.3333333333333333,0.18518518518518517,,0.14285714285714285,0.08,0.16363636363636364,0.03333333333333333,,,,0.1,,0.125,0.2,0.25,0.15,0.125,,,0.16,0.5,0.6666666666666666,1.0,0.24,0.5,0.5,1.0,0.12,0.3333333333333333,0.3333333333333333,1.0,0.12,0.3333333333333333,0.3333333333333333,1.0,0.36,0.5555555555555556,0.5555555555555556,1.0,,,,0.25,0.75,0.3333333333333333,1.0,0.1,1.0,0.4,0.25,0.64,0.5555555555555556,0.513142,0.540225,0.52181,0.15384615384615385,0.2857142857142857,0.07894736842105263,0.39473684210526316,8.715384615384615,24.950000000000003,0.36363636363636365,,,,1.0,,,,,,,,,,1.0,2.0,,,0.2,0.5,,,,,,,,True,
1630526,1610612754,Jeremiah Robinson-Earl,Jeremiah Robinson-Earl,1630526,IND,8453.9,141,-61,298,304,98.0,102.0,36.0,602,9.0,17.0,5.0,7.0,4.0,7.0,3.0,5.0,1.0,2.0,3.0,10.0,,3.0,7.0,1.0,1.0,,3.0,13.0,24.0,6.0,17.0,8.0,52.0,413,6.0,10.0,1.0,1.0,,15.0,7.0,11.0,1.0,7.0,3.0,20.0,12.0,14.0,18.0,,10.0,7.0,3.0,6.0,3.0,,3.0,,,1.0,1.0,1.0,6.0,5.0,10.0,6.0,13.0,5.0,24.0,16.0,40.0,1.0,2.0,1.0,1.0,5.0,1.0,3.0,1.0,,2.0,,6.0,1.0,2.0,11.0,13.0,,,9.0,1.0,,9.0,2.0,4.0,,1.0,1.0,,1.0,1.0,,20.0,98.0,,,0.46153846153846156,0.75,1.0,0.35294117647058826,1.0,0.14285714285714285,0.35294117647058826,0.5416666666666666,0.6,0.6363636363636364,0.5365853658536586,0.6818181818181818,0.4722222222222222,0.5909090909090909,0.6818181818181818,0.5263157894736842,0.4146341463414634,0.25,0.29411764705882354,0.2,14.749262536873156,0.8333333333333334,0.45454545454545453,0.24074074074074073,0.1388888888888889,0.0967741935483871,0.07142857142857142,0.16379310344827586,0.1056338028169014,0.15384615384615385,0.14285714285714285,0.1111111111111111,0.05555555555555555,0.125,0.2,0.2692307692307692,0.25,0.09803921568627451,0.09090909090909091,0.0625,1.0,0.4146341463414634,0.5294117647058824,0.75,0.3333333333333333,0.12195121951219512,0.6,0.75,0.6666666666666666,0.04878048780487805,0.5,0.5,1.0,0.24390243902439024,0.3,0.3,1.0,0.17073170731707318,0.42857142857142855,0.42857142857142855,1.0,0.6363636363636364,0.7142857142857143,,,0.09090909090909091,1.0,1.0,0.3888888888888889,0.5714285714285714,0.16666666666666666,,0.8292682926829268,0.42857142857142855,0.586758536585366,0.5791000000000001,0.5897388888888888,0.11363636363636363,0.15384615384615385,0.28846153846153844,0.38461538461538464,4.408333333333333,24.91176470588235,0.3288590604026846,,,,,,,,,1.0,,1.0,0.2,,1.0,4.0,,,0.2222222222222222,0.25,0.05555555555555555,,,,,,,True,
1631097,1610612754,Bennedict Mathurin,Bennedict Mathurin,1631097,IND,27913.799999999996,465,-152,953,955,177.0,239.0,94.0,1908,18.0,31.0,6.0,7.0,1.0,3.0,11.0,32.0,13.0,26.0,5.0,14.0,1.0,21.0,70.0,3.0,9.0,3.0,11.0,42.0,89.0,26.0,84.0,46.0,208.0,1164,6.0,10.0,4.0,10.0,6.0,30.0,5.0,9.0,3.0,13.0,12.0,31.0,44.0,40.0,57.0,21.0,10.0,70.0,21.0,2.0,14.0,17.0,31.0,12.0,5.0,9.0,4.0,1.0,79.0,6.0,8.0,28.0,41.0,7.0,76.0,14.0,90.0,6.0,9.0,3.0,6.0,18.0,4.0,9.0,18.0,4.0,9.0,2.0,36.0,1.0,11.0,23.0,44.0,1.0,4.0,40.0,,2.0,53.0,2.0,23.0,2.0,3.0,2.0,1.0,3.0,1.0,,31.0,173.0,1.0,2.0,0.5238095238095238,0.5945945945945946,0.7307692307692307,0.30952380952380953,0.4,0.23076923076923078,0.30952380952380953,0.47191011235955055,0.6,0.5555555555555556,0.4682080924855491,0.6,0.4318181818181818,0.5253807106598984,0.6521739130434783,0.5344827586206896,0.48554913294797686,0.02247191011235955,0.03225806451612903,0.03125,21.857410881801126,0.5,0.25925925925925924,0.1673469387755102,0.034482758620689655,0.14814814814814814,0.02575107296137339,0.15898617511520738,0.030107526881720432,0.045454545454545456,0.04807692307692308,,0.022099447513812154,0.038461538461538464,0.1326530612244898,0.19230769230769232,0.18604651162790697,0.1259259259259259,0.2037037037037037,0.0594059405940594,0.3333333333333333,0.1791907514450867,0.5806451612903226,0.6,0.4444444444444444,0.18497109826589594,0.34375,0.3548387096774194,0.7272727272727273,0.15028901734104047,0.5,0.5,0.46153846153846156,0.08092485549132948,0.35714285714285715,0.35714285714285715,0.8,0.4046242774566474,0.3,0.3,0.7142857142857143,0.35,0.8571428571428571,0.16666666666666666,0.05,0.45,0.3333333333333333,1.0,0.13636363636363635,0.3333333333333333,0.5,0.2727272727272727,0.6647398843930635,0.3,0.5312424855491329,0.5424541666666667,0.4893363636363637,0.12307692307692308,0.20909090909090908,0.14423076923076922,0.14903846153846154,9.073033707865168,25.967857142857138,0.18572927597061908,,2.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,2.0,1.0,,0.09090909090909091,,0.011764705882352941,,,,,,,True,
1641716,1610612754,Jarace Walker,Jarace Walker,1641716,IND,17393.7,290,-164,614,612,176.0,221.0,60.0,1226,9.0,15.0,1.0,2.0,3.0,6.0,8.0,15.0,,2.0,8.0,13.0,,9.0,29.0,2.0,2.0,2.0,8.0,17.0,32.0,17.0,42.0,18.0,103.0,812,2.0,3.0,2.0,2.0,,10.0,7.0,12.0,4.0,11.0,7.0,33.0,22.0,12.0,51.0,,2.0,29.0,9.0,2.0,9.0,5.0,14.0,5.0,,5.0,3.0,1.0,33.0,3.0,2.0,15.0,22.0,6.0,43.0,5.0,48.0,,9.0,7.0,2.0,13.0,2.0,9.0,9.0,2.0,4.0,3.0,22.0,4.0,6.0,12.0,21.0,2.0,,17.0,1.0,,23.0,3.0,12.0,1.0,3.0,1.0,1.0,3.0,1.0,,33.0,176.0,3.0,1.0,0.6470588235294118,0.6875,1.0,0.40476190476190477,1.0,0.36363636363636365,0.40476190476190477,0.53125,0.6666666666666666,0.5833333333333334,0.5743243243243243,1.0,0.5652173913043478,0.6130952380952381,1.0,0.6111111111111112,0.5675675675675675,0.0625,,0.06666666666666667,15.474452554744527,0.5909090909090909,0.25,0.16176470588235295,0.013245033112582781,0.11811023622047244,0.022058823529411766,0.14068441064638784,0.017421602787456445,0.0196078431372549,,0.03225806451612903,0.01904761904761905,0.03225806451612903,0.03636363636363636,0.21666666666666667,0.3333333333333333,0.1368421052631579,0.0625,,0.3333333333333333,0.20270270270270271,0.6,0.6,0.6666666666666666,0.20270270270270271,0.5333333333333333,0.5714285714285714,0.625,0.02702702702702703,,,,0.17567567567567569,0.6153846153846154,0.6153846153846154,1.0,0.3918918918918919,0.3103448275862069,0.3103448275862069,1.0,0.4,0.5,,,0.4,1.0,1.0,0.2608695652173913,0.5,0.34782608695652173,0.25,0.7702702702702703,0.3103448275862069,0.5360722972972972,0.5594300000000001,0.5313782608695652,0.14457831325301204,0.2926829268292683,0.0970873786407767,0.32038834951456313,6.50625,25.552380952380954,0.28664495114006516,,1.0,,,,0.5,,,,1.0,,,,2.0,3.0,,,0.13043478260869565,0.6666666666666666,,1.0,,,,,,True,
1641767,1610612754,Ben Sheppard,Ben Sheppard,1641767,IND,12752.3,213,-57,443,435,121.0,130.0,49.0,878,6.0,10.0,1.0,1.0,1.0,2.0,,4.0,2.0,3.0,5.0,17.0,,5.0,18.0,,2.0,1.0,3.0,8.0,17.0,10.0,35.0,3.0,49.0,533,2.0,2.0,,2.0,,4.0,2.0,4.0,1.0,5.0,3.0,10.0,14.0,2.0,30.0,,2.0,18.0,5.0,2.0,9.0,3.0,12.0,2.0,1.0,7.0,1.0,1.0,27.0,4.0,1.0,12.0,6.0,4.0,22.0,5.0,27.0,1.0,7.0,5.0,2.0,2.0,1.0,2.0,2.0,1.0,,,4.0,1.0,,13.0,19.0,,,3.0,1.0,,4.0,,,2.0,1.0,1.0,,1.0,,,8.0,120.0,,1.0,0.875,1.0,1.0,0.2857142857142857,,0.2,0.2857142857142857,0.47058823529411764,1.0,0.5,0.4423076923076923,0.5,0.3888888888888889,0.4537037037037037,0.5,0.45454545454545453,0.6730769230769231,0.11764705882352941,0.1,0.25,11.485148514851485,0.5,0.17391304347826086,0.0594059405940594,0.008695652173913044,0.12244897959183673,0.037037037037037035,0.09045226130653267,0.02242152466367713,,,0.04,0.039473684210526314,0.03125,0.07407407407407407,0.025,0.14285714285714285,0.13513513513513514,0.08333333333333333,0.03125,,0.19230769230769232,0.6,0.6666666666666666,0.8333333333333334,0.07692307692307693,,,,0.057692307692307696,0.6666666666666666,0.6666666666666666,1.0,0.3269230769230769,0.29411764705882354,0.29411764705882354,1.0,0.34615384615384615,0.2777777777777778,0.2777777777777778,1.0,0.25,1.0,,,0.5,,,0.2222222222222222,0.5,0.3333333333333333,0.3333333333333333,0.8653846153846154,0.2777777777777778,0.5669076923076923,0.412,0.5426,,,0.08163265306122448,0.20408163265306123,6.247058823529411,25.002857142857142,0.27313769751693,,,,,,,,,,,,,,,2.0,,,0.2222222222222222,,,,,,,,,True,
