EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,PenaltyCorner3FGA,SecondChanceFtPoints,PtsAssisted2s,ThreePtAssists,Arc3Assists,Corner3Assists,FTDefRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctBlocked,DefFTReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,ShortMidRangeAssists,LongMidRangeAssists,LostBallSteals,BadPassOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,SecondChanceFg3Pct,OffAtRimReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Travels,Loose Ball Fouls Drawn,on,SecondChanceAtRimPctAssisted,Offensive Fouls,StepOutOfBoundsTurnovers,DefensiveGoaltends,FTOffRebounds,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,OffFTReboundPct,OffLongMidRangeReboundPct
1641783,1610612753,Tristan da Silva,Tristan da Silva,1641783,ORL,1482.0,25,16.0,54,54,36.0,29.0,7.0,108,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,12.0,63,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,6.0,4.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,6.0,36.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.5,0.7142857142857143,1.0,0.8333333333333334,0.6666666666666666,1.0,0.75,0.2857142857142857,0.2,0.25,15.873015873015873,1.0,0.07692307692307693,0.07692307692307693,0.2222222222222222,0.14285714285714285,0.13636363636363635,0.1,0.125,0.16666666666666666,0.25,0.3333333333333333,0.5,0.14285714285714285,0.5714285714285714,0.5,0.6666666666666666,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.3333333333333333,1.0,0.42857142857142855,1.0,0.5343714285714285,0.4802,0.5029833333333333,0.2222222222222222,0.2857142857142857,0.16666666666666666,0.5,6.359999999999999,24.200000000000003,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1631094,1610612753,Paolo Banchero,Paolo Banchero,1631094,ORL,3229.7,54,7.0,124,123,56.0,47.0,15.0,247,12.0,1.0,5.0,,2.0,,7.0,,2.0,10.0,18.0,,9.0,10.0,30.0,135,1.0,1.0,3.0,6.0,11.0,,4.0,3.0,15.0,6.0,,2.0,7.0,,1.0,3.0,6.0,3.0,15.0,1.0,,4.0,5.0,11.0,1.0,12.0,1.0,1.0,1.0,2.0,1.0,3.0,,3.0,7.0,13.0,5.0,15.0,56.0,,,,,,0.5555555555555556,1.0,0.5454545454545454,0.37037037037037035,1.0,0.4,0.45454545454545453,1.5,0.4411764705882353,0.3333333333333333,0.05555555555555555,,25.714285714285715,0.6666666666666666,0.16129032258064516,,0.17391304347826086,0.045454545454545456,0.16666666666666666,0.02040816326530612,,0.05555555555555555,0.07692307692307693,0.19047619047619047,0.0625,0.4444444444444444,0.18518518518518517,0.2,0.2,0.07407407407407407,,,,0.25925925925925924,,,,0.13333333333333333,,0.7777777777777778,,0.5464259259259259,,0.5422966666666668,0.16129032258064516,0.22727272727272727,0.1,0.5,5.305555555555555,25.566666666666666,0.45161290322580644,8.0,1.0,1.0,5.0,7.0,1.0,1.0,2.0,1.0,14.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,0.7,0.7777777777777778,0.08333333333333333,0.5,0.1875,0.5,0.5,0.6666666666666666,0.7272727272727273,0.625,1.0,0.037037037037037035,1.0,1.0,1.0,1.0,1.0,0.4666666666666667,0.7142857142857143,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1630591,1610612753,Jalen Suggs,Jalen Suggs,1630591,ORL,4610.7,77,20.0,173,173,87.0,72.0,21.0,346,6.0,2.0,3.0,2.0,2.0,5.0,11.0,1.0,4.0,8.0,10.0,7.0,13.0,8.0,45.0,193,1.0,1.0,10.0,6.0,7.0,3.0,6.0,5.0,26.0,12.0,15.0,,11.0,5.0,1.0,13.0,17.0,10.0,38.0,1.0,1.0,8.0,5.0,13.0,2.0,15.0,,4.0,1.0,8.0,3.0,12.0,1.0,13.0,10.0,9.0,3.0,26.0,87.0,,0.7142857142857143,0.5384615384615384,0.5,0.5384615384615384,0.8,1.0,0.8571428571428571,0.8043478260869565,1.3333333333333333,0.8076923076923077,0.8148148148148148,1.25,0.8125,0.5652173913043478,0.1,0.3333333333333333,19.79695431472081,0.6666666666666666,0.1111111111111111,0.02564102564102564,0.25,0.034482758620689655,0.16883116883116883,0.029411764705882353,,0.041666666666666664,0.17647058823529413,0.14814814814814814,,0.2608695652173913,0.13043478260869565,0.6666666666666666,1.0,0.08695652173913043,1.0,1.0,1.0,0.4782608695652174,0.45454545454545453,0.45454545454545453,0.6,0.3076923076923077,0.25,0.8260869565217391,0.45454545454545453,0.5485521739130435,0.6171500000000001,0.5077461538461538,0.11538461538461539,0.23076923076923078,0.2222222222222222,0.5777777777777777,5.44,26.27692307692308,0.5028901734104047,5.0,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,,4.0,,5.0,7.0,7.0,,1.0,1.0,,1.0,1.0,1.0,1.0,0.25,0.25,,,0.041666666666666664,0.25,1.0,0.8333333333333334,0.8333333333333334,0.4,,0.043478260869565216,1.0,1.0,,0.3333333333333333,1.0,0.3076923076923077,0.75,0.15384615384615385,2.0,2.0,2.0,2.0,2.0,6.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.058823529411764705,0.8,0.6666666666666666,1.0,1.0,1.0,,,,,,,,,True,,,,,,,,,,
1630532,1610612753,Franz Wagner,Franz Wagner,1630532,ORL,4411.700000000001,74,14.0,165,166,79.0,67.0,20.0,331,16.0,1.0,8.0,1.0,1.0,3.0,5.0,1.0,1.0,14.0,27.0,4.0,6.0,8.0,48.0,186,2.0,3.0,7.0,6.0,14.0,1.0,1.0,5.0,20.0,18.0,12.0,2.0,5.0,3.0,2.0,6.0,9.0,5.0,21.0,1.0,2.0,4.0,6.0,11.0,3.0,14.0,,2.0,2.0,2.0,,2.0,,2.0,8.0,14.0,5.0,20.0,79.0,,1.0,0.6666666666666666,1.0,0.6666666666666666,0.5185185185185185,0.6666666666666666,0.42857142857142855,0.6060606060606061,0.7,0.5,0.6025641025641025,0.7,0.5,0.18181818181818182,0.07407407407407407,0.25,21.808510638297875,1.0,0.13953488372093023,0.05405405405405406,0.125,0.034482758620689655,0.13333333333333333,0.045454545454545456,,,0.11764705882352941,0.14814814814814814,,0.48484848484848486,0.24242424242424243,0.125,0.16666666666666666,0.030303030303030304,1.0,1.0,1.0,0.15151515151515152,0.6,0.6,1.0,0.06666666666666667,1.0,0.6666666666666666,0.6,0.5496954545454545,0.6505333333333333,0.5358166666666667,0.13513513513513514,0.16129032258064516,0.14583333333333334,0.4166666666666667,5.522222222222222,25.299999999999997,0.47878787878787876,12.0,2.0,3.0,5.0,8.0,1.0,3.0,,,10.0,3.0,2.0,1.0,1.0,,,2.0,2.0,2.0,1.0,2.0,,,,,,2.0,0.35714285714285715,0.38461538461538464,,0.3333333333333333,0.17391304347826086,,,0.75,0.75,0.3333333333333333,,0.09090909090909091,0.3333333333333333,0.3333333333333333,1.0,0.6,0.6666666666666666,0.5333333333333333,0.625,,,,,1.0,2.0,,1.0,,,,,,,,1.0,0.5,0.125,,,,,,1.0,2.0,0.2,0.4,0.5,1.0,,,True,,,,,,,,,,
1630217,1610612753,Desmond Bane,Desmond Bane,1630217,ORL,3126.9,52,5.0,118,117,45.0,38.0,14.0,235,9.0,1.0,3.0,1.0,2.0,,5.0,,2.0,11.0,19.0,1.0,7.0,4.0,29.0,131,,,1.0,3.0,6.0,1.0,4.0,2.0,11.0,8.0,3.0,,5.0,,4.0,4.0,5.0,3.0,11.0,2.0,,4.0,4.0,8.0,2.0,10.0,,,,1.0,1.0,3.0,,9.0,3.0,4.0,1.0,11.0,45.0,,1.0,0.14285714285714285,0.25,0.14285714285714285,0.5789473684210527,,0.5,0.4807692307692308,,0.45,0.5185185185185185,,0.5,0.2692307692307692,0.21052631578947367,0.3333333333333333,22.55639097744361,0.3333333333333333,0.125,,0.17391304347826086,0.09523809523809523,0.14545454545454545,0.041666666666666664,,0.058823529411764705,0.07142857142857142,0.19047619047619047,,0.34615384615384615,0.11538461538461539,0.3333333333333333,0.5,0.07692307692307693,0.5,0.5,1.0,0.19230769230769232,,,,0.2,,0.6153846153846154,,0.5122557692307692,,0.46669499999999997,0.038461538461538464,0.05263157894736842,0.034482758620689655,0.3793103448275862,8.910526315789474,25.442857142857147,0.3813559322033898,6.0,,,1.0,1.0,4.0,7.0,2.0,1.0,14.0,1.0,1.0,,,2.0,1.0,,,5.0,1.0,1.0,,,,,,1.0,0.6363636363636364,0.6363636363636364,0.3333333333333333,,0.125,0.5,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.2692307692307692,0.5714285714285714,0.5714285714285714,0.5,,,0.1,1.0,0.2,,,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,,0.5,,1.0,0.25,1.0,,,1.0,,True,,,,,,,,,,
1642869,1610612753,Noah Penda,Noah Penda,1642869,ORL,252.1,4,5.0,10,9,10.0,7.0,1.0,19,1.0,,,,,,,,,1.0,1.0,,,,2.0,10,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,2.0,1.0,,,2.0,10.0,,,,,,1.0,,1.0,1.0,,1.0,1.0,,1.0,,,,9.090909090909092,,0.25,,,,0.25,,,,,,,1.0,,,,,,,,,,,,,,1.0,,0.6499,,0.6499,,,,1.0,2.7,,1.0,1.0,,,1.0,1.0,,,,,2.0,,,,,,,,,2.0,,,,,,,,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1629048,1610612753,Goga Bitadze,Goga Bitadze,1629048,ORL,1732.3000000000002,29,10.0,62,63,47.0,36.0,7.0,125,7.0,,1.0,,,,1.0,,,6.0,8.0,,1.0,1.0,13.0,70,3.0,4.0,6.0,3.0,4.0,,,1.0,7.0,6.0,,6.0,1.0,,,1.0,3.0,,8.0,,4.0,,,,4.0,4.0,,1.0,,,,,,3.0,1.0,2.0,1.0,7.0,47.0,1.0,,,,,0.75,0.75,0.75,0.6666666666666666,0.75,0.75,0.65,0.75,0.7,0.1111111111111111,,,14.084507042253522,,,0.2857142857142857,,,,0.17391304347826086,0.14285714285714285,,,,,0.7777777777777778,0.1111111111111111,,,,,,,0.1111111111111111,,,,,,0.8888888888888888,,0.5994333333333333,0.585925,0.5475,0.1,0.1111111111111111,0.46153846153846156,0.5384615384615384,2.0374999999999996,26.0,0.7580645161290323,6.0,3.0,4.0,3.0,3.0,,,,,6.0,2.0,2.0,,,,,,,1.0,,,1.0,,1.0,1.0,1.0,,0.5,1.0,,,,,1.0,0.8571428571428571,0.8571428571428571,0.5,,,,,,1.0,0.75,0.75,1.0,,,,,,,,,1.0,1.0,,,1.0,,,,,0.5,,,,,,,,,,,,,,True,,,,,,,,,,
1641710,1610612753,Anthony Black,Anthony Black,1641710,ORL,487.0,8,9.0,19,22,19.0,15.0,1.0,41,2.0,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,,7.0,18,,,,2.0,2.0,1.0,2.0,,7.0,,3.0,,1.0,1.0,,,1.0,,3.0,,,1.0,1.0,2.0,,2.0,,1.0,,,,,,1.0,1.0,1.0,1.0,7.0,19.0,1.0,1.0,0.5,0.5,0.5,1.0,,1.0,0.875,,0.875,0.875,,0.875,0.5,,,20.0,,0.125,,0.3333333333333333,,0.18181818181818182,,,,,1.0,,0.5,,,,0.25,,,,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.753325,,0.753325,0.25,0.5,,1.0,0.8999999999999999,23.8,1.0,2.0,,,2.0,2.0,,,1.0,,4.0,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,1.0,,,0.2,,,1.0,1.0,1.0,,,,,,,,0.5,1.0,0.25,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
1628976,1610612753,Wendell Carter Jr.,Wendell Carter Jr.,1628976,ORL,2779.7,46,10.0,107,108,39.0,36.0,14.0,215,7.0,,1.0,1.0,2.0,1.0,2.0,,,4.0,8.0,2.0,4.0,8.0,22.0,118,1.0,1.0,10.0,2.0,2.0,,1.0,5.0,9.0,2.0,6.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,3.0,6.0,4.0,10.0,,2.0,,,,2.0,,3.0,7.0,12.0,5.0,9.0,39.0,,1.0,0.5,,0.5,0.5,1.0,1.0,0.5833333333333334,1.0,0.6666666666666666,0.6470588235294118,1.0,0.9,0.3333333333333333,0.375,,15.573770491803279,,0.10344827586206896,0.125,0.10526315789473684,0.05,0.10416666666666667,0.09090909090909091,0.2,,0.15384615384615385,0.1111111111111111,,0.5833333333333334,0.08333333333333333,,,0.16666666666666666,0.5,0.5,1.0,0.16666666666666666,0.5,0.5,1.0,,,0.9166666666666666,0.5,0.597275,,0.6469666666666667,0.3333333333333333,0.45454545454545453,0.45454545454545453,0.4090909090909091,2.9125,25.15,0.3644859813084112,4.0,1.0,1.0,2.0,2.0,,,1.0,8.0,6.0,,,,1.0,2.0,,,1.0,3.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.75,1.0,0.42857142857142855,0.3333333333333333,0.07142857142857142,,1.0,0.5714285714285714,1.0,0.75,,,,,,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,,,,,,,,,2.0,1.0,,,,,,,0.09090909090909091,,,,,,,,0.25,,,,,1.0,True,,,,,,,,,,
1628371,1610612753,Jonathan Isaac,Jonathan Isaac,1628371,ORL,95.0,2,,3,2,,,,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
