EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Charge Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Travels,NonShootingPenaltyNonTakeFouls,LongMidRangeAssists,BadPassOutOfBoundsTurnovers,Offensive Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,OffLongMidRangeReboundPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Blocked3s,BlockedArc3,OffensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,DefensiveGoaltends,OffFTReboundPct,Charge Fouls Drawn,on,LongMidRangePctBlocked
1628374,1610612762,Lauri Markkanen,Lauri Markkanen,1628374,UTA,11140.600000000002,186,23,408,410,120.0,130,43,818,19.0,24.0,5.0,5.0,4.0,5.0,19.0,31.0,2.0,5.0,6.0,10.0,3.0,4.0,12.0,31.0,1.0,4.0,4.0,9.0,40.0,60.0,18.0,41.0,34.0,168.0,464,6.0,7.0,1.0,4.0,2.0,17.0,9.0,15.0,7.0,13.0,7.0,46.0,46.0,34.0,48.0,6.0,10.0,31.0,12.0,4.0,1.0,5.0,7.0,12.0,5.0,2.0,3.0,2.0,31.0,3.0,4.0,14.0,15.0,4.0,33,7.0,40,2.0,9.0,7.0,2.0,6.0,1.0,3.0,1.0,5.0,9.0,3.0,2.0,6.0,11.0,1.0,3.0,30.0,2.0,1.0,42.0,5.0,3.0,20.0,2.0,5.0,4.0,1.0,5.0,3.0,46.0,119.0,3.0,0.575,0.6571428571428571,0.8888888888888888,0.43902439024390244,0.25,0.5384615384615384,0.43902439024390244,0.6666666666666666,0.8571428571428571,0.6,0.6633663366336634,0.6818181818181818,0.6964285714285714,0.6991525423728814,0.7083333333333334,0.7419354838709677,0.40594059405940597,0.024390243902439025,0.06666666666666667,0.041666666666666664,0.0967741935483871,0.1,28.159645232815965,0.6666666666666666,0.8,0.14705882352941177,0.057971014492753624,0.14,0.03571428571428571,0.14356435643564355,0.0457516339869281,0.043478260869565216,0.07894736842105263,0.03278688524590164,0.043478260869565216,0.1111111111111111,0.14814814814814814,0.25,0.1518987341772152,0.09523809523809523,0.05405405405405406,0.6,0.2376237623762376,0.7916666666666666,0.8260869565217391,0.47368421052631576,0.3069306930693069,0.6129032258064516,0.6785714285714286,0.6842105263157895,0.04950495049504951,0.4,0.4,0.5,0.09900990099009901,0.6,0.6666666666666666,0.8333333333333334,0.3069306930693069,0.3870967741935484,0.3870967741935484,0.9166666666666666,0.45454545454545453,1.0,0.36363636363636365,0.25,1.0,0.17857142857142858,0.8,0.14285714285714285,0.75,0.32142857142857145,0.4444444444444444,0.6435643564356436,0.3870967741935484,0.5290148514851485,0.5590214285714287,0.5249499999999999,0.1724137931034483,0.26666666666666666,0.10119047619047619,0.27380952380952384,6.153333333333332,25.721951219512192,0.29411764705882354,,,,,,,,,,,,,,,,,,,,,,,,,,,True,
1629004,1610612762,Svi Mykhailiuk,Svi Mykhailiuk,1629004,UTA,4216.6,70,-20,147,150,14.0,28,17,297,1.0,2.0,,1.0,,,,1.0,,3.0,2.0,4.0,,,3.0,8.0,,,1.0,1.0,1.0,6.0,5.0,12.0,,17.0,192,,2.0,,,,,,,1.0,1.0,,3.0,2.0,,12.0,3.0,,8.0,3.0,,,2.0,4.0,6.0,2.0,2.0,2.0,,16.0,,,4.0,1.0,,5,,5,,1.0,,1.0,4.0,2.0,1.0,,2.0,5.0,,,3.0,4.0,,,,,,,,,,,,,,,,3.0,14.0,,1.0,1.0,0.8,0.4166666666666667,,1.0,0.4166666666666667,0.16666666666666666,,,0.4722222222222222,,1.5,0.4722222222222222,,1.5,0.6666666666666666,,,,,,13.77245508982036,0.8,,0.045454545454545456,,0.0975609756097561,,0.07936507936507936,,,,,,,0.07142857142857142,,0.09090909090909091,0.125,,,0.1111111111111111,0.5,0.5,1.0,0.05555555555555555,,,,0.16666666666666666,,,,0.2222222222222222,0.5,0.5,1.0,0.4444444444444444,0.375,0.375,0.6666666666666666,0.5,,,,,,,,,1.0,1.0,0.7777777777777778,0.375,0.5341222222222223,0.4409,0.44355,,,,0.17647058823529413,11.266666666666666,25.20833333333334,0.09523809523809523,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,True,
1641718,1610612762,Keyonte George,Keyonte George,1641718,UTA,17890.6,298,-88,646,651,178.0,183,64,1297,24.0,31.0,1.0,1.0,8.0,11.0,19.0,40.0,6.0,16.0,2.0,9.0,1.0,2.0,18.0,47.0,1.0,4.0,2.0,7.0,49.0,87.0,20.0,56.0,67.0,225.0,819,3.0,3.0,1.0,4.0,4.0,13.0,21.0,36.0,3.0,9.0,26.0,77.0,44.0,54.0,45.0,15.0,2.0,47.0,18.0,8.0,,46.0,17.0,63.0,8.0,9.0,23.0,20.0,143.0,1.0,1.0,18.0,7.0,1.0,26,2.0,28,,17.0,11.0,6.0,18.0,9.0,11.0,1.0,9.0,29.0,3.0,12.0,2.0,14.0,1.0,,45.0,2.0,1.0,74.0,7.0,2.0,32.0,4.0,2.0,1.0,,2.0,1.0,77.0,177.0,4.0,0.4489795918367347,0.4583333333333333,0.75,0.35714285714285715,0.25,0.3333333333333333,0.35714285714285715,0.5632183908045977,1.0,0.5833333333333334,0.5524475524475524,0.6428571428571429,0.5666666666666667,0.6436781609195402,0.75,0.6785714285714286,0.3916083916083916,,0.09195402298850575,0.06451612903225806,0.15,,28.51123595505618,0.6206896551724138,0.06666666666666667,0.059322033898305086,0.0072992700729927005,0.11688311688311688,0.007352941176470588,0.09191176470588236,0.007326007326007326,,,0.011494252873563218,,0.02564102564102564,0.07352941176470588,0.09090909090909091,0.09734513274336283,0.17073170731707318,,0.5,0.21678321678321677,0.7741935483870968,0.8275862068965517,0.5833333333333334,0.27972027972027974,0.475,0.5588235294117647,0.3684210526315789,0.11188811188811189,0.375,0.375,0.16666666666666666,0.06293706293706294,0.2222222222222222,0.2222222222222222,1.0,0.32867132867132864,0.3829787234042553,0.3829787234042553,0.7222222222222222,0.14285714285714285,1.0,0.5714285714285714,0.25,,0.24444444444444444,0.7272727272727273,0.044444444444444446,0.5,0.15555555555555556,0.2857142857142857,0.6083916083916084,0.3829787234042553,0.5326923076923078,0.5395300000000001,0.4982944444444444,0.20588235294117646,0.2857142857142857,0.057777777777777775,0.3422222222222222,7.882758620689654,25.548214285714288,0.2755417956656347,4.0,,3.0,1.0,4.0,1.0,3.0,1.0,1.0,0.043478260869565216,1.0,0.05172413793103448,,,,,,,,,,,,,,,True,
1641729,1610612762,Brice Sensabaugh,Brice Sensabaugh,1641729,UTA,10212.0,170,-72,360,364,128.0,143,26,724,14.0,14.0,1.0,1.0,6.0,6.0,10.0,16.0,2.0,5.0,4.0,9.0,,,9.0,36.0,1.0,1.0,3.0,18.0,26.0,35.0,13.0,45.0,11.0,102.0,491,1.0,2.0,1.0,1.0,,5.0,8.0,9.0,3.0,18.0,2.0,27.0,34.0,18.0,33.0,6.0,2.0,36.0,9.0,1.0,2.0,7.0,6.0,13.0,4.0,2.0,7.0,,32.0,3.0,1.0,6.0,4.0,1.0,11,4.0,15,,7.0,7.0,,8.0,5.0,4.0,,3.0,12.0,1.0,2.0,4.0,8.0,1.0,1.0,10.0,1.0,1.0,12.0,1.0,1.0,6.0,,,,,,,27.0,128.0,,0.6538461538461539,0.68,0.8461538461538461,0.28888888888888886,1.0,0.16666666666666666,0.28888888888888886,0.7428571428571429,0.5,0.8888888888888888,0.56875,0.8333333333333334,0.46296296296296297,0.5941176470588235,0.8333333333333334,0.48214285714285715,0.5625,0.044444444444444446,0.02857142857142857,,0.0625,0.1111111111111111,24.744897959183675,0.6666666666666666,0.1111111111111111,0.07017543859649122,0.018518518518518517,0.06741573033707865,0.03296703296703297,0.0684931506849315,0.027586206896551724,,0.03125,0.04411764705882353,,,0.1,0.09090909090909091,0.07142857142857142,0.05263157894736842,,,0.175,1.0,1.0,0.5714285714285714,0.2,0.625,0.6666666666666666,0.7,0.0625,0.4,0.4,1.0,0.1125,0.4444444444444444,0.5,1.0,0.45,0.25,0.2571428571428571,0.7777777777777778,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.2222222222222222,1.0,,,0.6666666666666666,0.16666666666666666,0.7375,0.25,0.5482199999999999,0.7705,0.5497962962962962,0.07058823529411765,0.15,0.049019607843137254,0.2647058823529412,7.137142857142858,25.822222222222216,0.35555555555555557,1.0,2.0,,1.0,,,,,,,,,1.0,0.027777777777777776,,,,,,,,,,,,,True,
1642262,1610612762,Cody Williams,Cody Williams,1642262,UTA,30338.600000000002,506,-125,1080,1098,347.0,363,118,2178,36.0,52.0,6.0,9.0,10.0,15.0,18.0,41.0,1.0,3.0,10.0,39.0,1.0,12.0,2.0,15.0,,1.0,1.0,7.0,55.0,96.0,12.0,54.0,11.0,157.0,1362,8.0,14.0,1.0,2.0,,19.0,16.0,30.0,2.0,19.0,6.0,44.0,94.0,16.0,36.0,,2.0,15.0,2.0,18.0,,13.0,10.0,23.0,5.0,5.0,10.0,3.0,56.0,12.0,8.0,20.0,19.0,1.0,40,20.0,60,1.0,11.0,7.0,4.0,9.0,4.0,5.0,1.0,5.0,14.0,2.0,4.0,20.0,47.0,1.0,3.0,17.0,1.0,2.0,19.0,5.0,,11.0,1.0,7.0,4.0,3.0,8.0,6.0,44.0,346.0,1.0,0.8545454545454545,0.8703703703703703,1.0,0.2222222222222222,0.5,0.10526315789473684,0.2222222222222222,0.5729166666666666,0.5714285714285714,0.5333333333333333,0.4866666666666667,0.59375,0.3877551020408163,0.5,0.59375,0.4230769230769231,0.36,,0.1875,0.1346153846153846,0.2682926829268293,,14.155629139072847,0.6428571428571429,0.037037037037037035,0.09644670050761421,0.034782608695652174,0.07518796992481203,0.04979253112033195,0.08423326133909287,0.04246284501061571,0.027777777777777776,0.03937007874015748,0.04819277108433735,0.05333333333333334,0.1111111111111111,0.06481481481481481,0.19230769230769232,0.054455445544554455,0.140625,0.015384615384615385,0.75,0.3466666666666667,0.6923076923076923,0.8,0.8888888888888888,0.2733333333333333,0.43902439024390244,0.6,0.7777777777777778,0.02,0.3333333333333333,0.3333333333333333,1.0,0.26,0.2564102564102564,0.2564102564102564,1.0,0.1,0.13333333333333333,0.13333333333333333,1.0,0.5625,0.6666666666666666,0.0625,,,0.30612244897959184,0.6666666666666666,0.24489795918367346,0.08333333333333333,0.14285714285714285,0.14285714285714285,0.7066666666666667,0.13333333333333333,0.5610273333333332,0.509325,0.5588438775510204,0.07051282051282051,0.10784313725490197,0.12101910828025478,0.2802547770700637,4.216666666666666,23.905555555555562,0.3212962962962963,2.0,5.0,,,,,,,1.0,0.03225806451612903,0.6666666666666666,,,,1.0,1.0,1.0,1.0,1.0,0.0625,1.0,1.0,,,,,True,
1642271,1610612762,Kyle Filipowski,Kyle Filipowski,1642271,UTA,16104.800000000001,268,-54,571,586,207.0,214,66,1157,28.0,38.0,3.0,6.0,8.0,9.0,12.0,37.0,,,2.0,16.0,1.0,8.0,5.0,12.0,1.0,1.0,,2.0,40.0,75.0,7.0,28.0,19.0,120.0,708,3.0,12.0,1.0,3.0,3.0,12.0,15.0,26.0,1.0,10.0,9.0,42.0,64.0,16.0,21.0,,4.0,12.0,5.0,13.0,1.0,18.0,4.0,22.0,1.0,3.0,13.0,3.0,48.0,6.0,10.0,33.0,27.0,7.0,67,17.0,84,2.0,9.0,8.0,1.0,13.0,8.0,6.0,1.0,5.0,19.0,2.0,8.0,21.0,36.0,1.0,4.0,19.0,3.0,,30.0,2.0,,13.0,3.0,4.0,1.0,3.0,4.0,3.0,41.0,206.0,1.0,0.8,0.8421052631578947,1.0,0.25,0.3333333333333333,0.1,0.25,0.5333333333333333,0.25,0.5769230769230769,0.49029126213592233,0.3,0.4583333333333333,0.5128205128205128,0.35294117647058826,0.5,0.27184466019417475,0.03571428571428571,0.17333333333333334,0.13157894736842105,0.21621621621621623,0.0625,21.11801242236025,0.6842105263157895,0.4666666666666667,0.25471698113207547,0.07692307692307693,0.22916666666666666,0.04580152671755725,0.24,0.06130268199233716,0.08108108108108109,0.08,0.04597701149425287,0.045454545454545456,0.38235294117647056,0.21311475409836064,0.09090909090909091,0.23423423423423423,0.21212121212121213,0.05,0.75,0.36893203883495146,0.7368421052631579,0.8484848484848485,0.8214285714285714,0.3592233009708738,0.32432432432432434,0.41379310344827586,0.75,,,,,0.1553398058252427,0.125,0.13333333333333333,1.0,0.11650485436893204,0.4166666666666667,0.4166666666666667,1.0,0.4,0.5,0.06666666666666667,1.0,1.0,0.25,0.8888888888888888,0.2222222222222222,0.125,0.05555555555555555,,0.6407766990291263,0.4166666666666667,0.5461567961165047,0.5094384615384615,0.5053597222222223,0.11403508771929824,0.1511627906976744,0.1,0.35,4.384000000000001,24.235714285714288,0.36252189141856395,,4.0,2.0,,2.0,,,,,0.05555555555555555,,,1.0,,,2.0,,,,0.13333333333333333,,,1.0,1.0,0.05,,True,
201567,1610612762,Kevin Love,Kevin Love,201567,UTA,5550.2,93,-60,191,193,52.0,45,19,384,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,,,3.0,4.0,2.0,2.0,8.0,21.0,1.0,1.0,2.0,4.0,2.0,6.0,11.0,25.0,,37.0,279,1.0,4.0,2.0,2.0,,8.0,1.0,1.0,4.0,6.0,,14.0,2.0,2.0,33.0,,2.0,21.0,8.0,,,8.0,1.0,9.0,1.0,,4.0,4.0,19.0,3.0,3.0,10.0,11.0,1.0,22,6.0,28,,,,,3.0,3.0,2.0,1.0,,5.0,,3.0,3.0,8.0,,,2.0,,,,,,,,3.0,1.0,2.0,3.0,2.0,14.0,52.0,,0.5,1.0,1.0,0.44,1.0,0.6666666666666666,0.44,0.3333333333333333,0.25,1.0,0.5967741935483871,0.6666666666666666,1.0,0.5967741935483871,0.6666666666666666,1.0,0.8064516129032258,,,,,,17.142857142857142,0.6,1.0,0.3333333333333333,0.08823529411764706,0.2564102564102564,0.06,0.2916666666666667,0.07142857142857142,0.125,0.05555555555555555,0.08571428571428572,,0.1,0.45,0.3333333333333333,0.18518518518518517,0.4166666666666667,,0.6666666666666666,0.0967741935483871,0.3333333333333333,0.3333333333333333,,0.0967741935483871,0.3333333333333333,0.3333333333333333,1.0,,,,,0.12903225806451613,0.75,0.75,1.0,0.6774193548387096,0.38095238095238093,0.38095238095238093,1.0,0.5,0.3333333333333333,0.16666666666666666,1.0,1.0,0.14285714285714285,1.0,0.2857142857142857,1.0,0.5714285714285714,0.5,0.9032258064516129,0.38095238095238093,0.5558467741935483,0.5564875,0.565857142857143,,,0.21621621621621623,0.3783783783783784,5.266666666666667,25.412000000000003,0.27225130890052357,,1.0,,1.0,,,,,,0.125,,,,,1.0,1.0,,,,0.16666666666666666,1.0,1.0,,,,2.0,True,
203994,1610612762,Jusuf Nurkić,Jusuf Nurkić,203994,UTA,6476.5,108,1,240,238,55.0,36,26,478,10.0,14.0,4.0,7.0,,,5.0,10.0,1.0,1.0,,,,,6.0,11.0,,,1.0,2.0,16.0,25.0,6.0,11.0,10.0,60.0,281,5.0,9.0,,,2.0,12.0,3.0,3.0,1.0,2.0,4.0,13.0,24.0,8.0,18.0,,8.0,11.0,6.0,,,9.0,6.0,15.0,5.0,1.0,5.0,1.0,36.0,2.0,8.0,15.0,21.0,1.0,37,10.0,47,2.0,4.0,1.0,3.0,5.0,4.0,3.0,,1.0,8.0,,1.0,10.0,14.0,,1.0,11.0,4.0,,11.0,1.0,,5.0,1.0,4.0,1.0,3.0,4.0,3.0,13.0,55.0,1.0,0.75,1.0,1.0,0.5454545454545454,,0.5,0.5454545454545454,0.64,0.5555555555555556,1.0,0.6944444444444444,0.5555555555555556,0.9,0.7317073170731707,0.6,0.9285714285714286,0.3055555555555556,,,,,,18.421052631578945,0.625,0.5,0.3888888888888889,0.16,0.23809523809523808,0.043478260869565216,0.3076923076923077,0.10416666666666667,0.11764705882352941,0.23076923076923078,0.0625,,0.29411764705882354,0.4827586206896552,0.25,0.25,0.21052631578947367,0.14285714285714285,0.75,0.3888888888888889,0.7142857142857143,0.7142857142857143,0.7,0.2777777777777778,0.5,0.5,0.8,0.027777777777777776,1.0,1.0,1.0,,,,,0.3055555555555556,0.5454545454545454,0.5454545454545454,1.0,0.7777777777777778,0.5714285714285714,,,,,,,,0.4,0.5,0.6944444444444444,0.5454545454545454,0.5630277777777777,0.5842,0.49288,0.125,0.1724137931034483,0.2,0.21666666666666667,4.684,25.772727272727273,0.22916666666666666,,,3.0,2.0,1.0,,,,1.0,,0.25,,,,,,,,,,,,,,,,True,
1642268,1610612762,Isaiah Collier,Isaiah Collier,1642268,UTA,15087.199999999999,251,-130,537,549,203.0,202,65,1086,20.0,28.0,2.0,2.0,7.0,10.0,14.0,27.0,1.0,1.0,2.0,5.0,,2.0,3.0,12.0,1.0,1.0,1.0,4.0,35.0,56.0,5.0,17.0,27.0,112.0,702,3.0,3.0,1.0,1.0,2.0,11.0,13.0,21.0,1.0,6.0,14.0,43.0,18.0,52.0,9.0,6.0,4.0,12.0,3.0,7.0,,46.0,24.0,70.0,16.0,8.0,30.0,15.0,164.0,2.0,5.0,19.0,5.0,,24,8.0,32,2.0,7.0,4.0,3.0,14.0,9.0,12.0,2.0,5.0,26.0,2.0,8.0,13.0,24.0,2.0,,26.0,1.0,1.0,36.0,2.0,,13.0,6.0,2.0,,2.0,4.0,4.0,43.0,203.0,6.0,0.2571428571428571,0.2727272727272727,0.6,0.29411764705882354,1.0,0.16666666666666666,0.29411764705882354,0.625,1.0,0.6190476190476191,0.5821917808219178,1.125,0.5370370370370371,0.6222222222222222,1.1,0.5972222222222222,0.2328767123287671,,0.125,0.14285714285714285,0.1111111111111111,,19.141914191419144,0.5384615384615384,,0.05813953488372093,0.041666666666666664,0.14615384615384616,0.015037593984962405,0.1111111111111111,0.02766798418972332,0.08333333333333333,0.028169014084507043,0.02247191011235955,,0.10344827586206896,0.04081632653061224,,0.17475728155339806,0.037037037037037035,0.07692307692307693,1.0,0.3835616438356164,0.7142857142857143,0.8333333333333334,0.4,0.3698630136986301,0.5185185185185185,0.5833333333333334,0.07142857142857142,0.0136986301369863,1.0,1.0,,0.0684931506849315,0.4,0.4,0.5,0.1643835616438356,0.25,0.25,0.6666666666666666,0.5,1.0,0.25,1.0,,0.37037037037037035,0.7,0.07407407407407407,,0.14814814814814814,0.25,0.6164383561643836,0.25,0.5331410958904108,0.6507499999999999,0.49976851851851856,0.15476190476190477,0.19402985074626866,0.09821428571428571,0.38392857142857145,5.060714285714285,24.91764705882353,0.3780260707635009,,,1.0,6.0,1.0,,,,,,,,,,,,2.0,2.0,,,,,1.0,,0.05,,True,
1631117,1610612762,Walker Kessler,Walker Kessler,1631117,UTA,984.9,16,8,33,35,14.0,13,5,68,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,2.0,2.0,,6.0,31,,,1.0,1.0,,3.0,,,1.0,1.0,,3.0,,,6.0,,,1.0,1.0,1.0,,2.0,,2.0,,,1.0,1.0,4.0,3.0,,4.0,,,4,3.0,7,,2.0,2.0,,2.0,1.0,1.0,,1.0,3.0,2.0,,1.0,2.0,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,3.0,14.0,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.5,1.5,1.0,1.5,1.5,0.6666666666666666,,1.0,1.0,,,15.789473684210526,0.6666666666666666,,,,0.36363636363636365,0.3,0.25,0.23076923076923078,,,0.25,0.5,,,,0.3333333333333333,0.5,,1.0,0.3333333333333333,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,1.0,1.0,0.6063,,0.55785,,,0.5,0.5,1.6,24.2,0.42424242424242425,,,,1.0,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,True,
