EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,PenaltyFG2A,PenaltyFG3A,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,PenaltyAtRimFGM,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked3s,BlockedAtRim,BlockedCorner3,BlockedLongMidRange,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,SecondChanceAtRimFGM,Fg3aBlocked,Corner3Assists,Charge Fouls,FG3APctBlocked,Corner3PctBlocked,OffCorner3ReboundPct,LongMidRangePctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,FTDefRebounds,Loose Ball Fouls,Arc3PctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,FTOffRebounds,Travels,DefensiveGoaltends,OffFTReboundPct,LongMidRangePctBlocked,Charge Fouls Drawn,on,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedArc3,OffensiveGoaltends,Defensive 3 Seconds Violations
1626172,1610612740,Kevon Looney,Kevon Looney,1626172,NOP,957.9000000000001,16,11.0,33,32,14.0,15.0,5.0,65,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,36,1.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,1.0,11.0,1.0,2.0,1.0,3.0,4.0,3.0,7.0,1.0,1.0,1.0,1.0,1.0,14.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,7.894736842105263,0.375,0.3333333333333333,0.08333333333333333,0.125,0.2,0.21428571428571427,0.6666666666666666,0.125,0.6,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,0.6339166666666667,0.5795250000000001,1.4,27.2,0.42424242424242425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1629673,1610612740,Jordan Poole,Jordan Poole,1629673,NOP,11542.2,192,-8.0,406,401,153.0,118.0,68.0,807,10.0,20.0,10.0,59.0,22.0,16.0,37.0,67.0,136.0,488,15.0,25.0,22.0,59.0,20.0,4.0,24.0,4.0,16.0,52.0,1.0,2.0,5.0,4.0,9.0,3.0,12.0,1.0,3.0,,4.0,2.0,153.0,0.43243243243243246,0.5144230769230769,0.5598290598290598,0.6442307692307693,26.883910386965375,0.0547945205479452,0.01818181818181818,0.04310344827586207,0.009900990099009901,0.047619047619047616,0.014218009478672985,,0.012987012987012988,,0.0625,0.018518518518518517,0.5,0.19230769230769232,0.5,0.625,0.5673076923076923,0.25,0.55,0.8365384615384616,0.5257634615384615,0.5252525000000001,6.105405405405405,26.423880597014925,0.3768472906403941,1.0,5.0,5.0,13.0,1.0,4.0,5.0,8.0,1.0,2.0,2.0,3.0,20.0,3.0,5.0,6.0,25.0,29.0,2.0,5.0,4.0,7.0,3.0,19.0,7.0,8.0,17.0,55.0,10.0,60.0,15.0,2.0,20.0,5.0,3.0,1.0,6.0,1.0,5.0,9.0,2.0,8.0,6.0,2.0,1.0,15.0,1.0,4.0,4.0,15.0,2.0,27.0,1.0,4.0,33.0,2.0,5.0,8.0,7.0,1.0,2.0,1.0,1.0,55.0,2.0,7.0,0.3125,0.3333333333333333,0.8,0.373134328358209,0.5714285714285714,0.32,0.373134328358209,0.4,0.4666666666666667,0.6666666666666666,0.475,0.6923076923076923,0.5510204081632653,0.13513513513513514,0.2,0.07692307692307693,0.6,0.0425531914893617,0.125,0.09090909090909091,0.03571428571428571,0.5,0.125,0.38461538461538464,0.4166666666666667,0.038461538461538464,0.25,0.25,0.07692307692307693,0.625,0.625,1.0,0.3389830508474576,0.3389830508474576,0.75,0.08333333333333333,0.16666666666666666,0.5,1.0,0.4166666666666667,0.6,1.0,0.5,0.075,0.6666666666666666,0.2727272727272727,0.3389830508474576,0.45731875,0.07272727272727272,0.18604651162790697,0.13970588235294118,0.40441176470588236,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,
1630180,1610612740,Saddiq Bey,Saddiq Bey,1630180,NOP,14654.9,244,-68.0,505,514,150.0,140.0,90.0,1019,16.0,29.0,6.0,43.0,11.0,23.0,54.0,60.0,112.0,621,11.0,15.0,26.0,43.0,8.0,7.0,15.0,6.0,6.0,37.0,12.0,6.0,29.0,7.0,36.0,18.0,54.0,4.0,1.0,,1.0,1.0,150.0,0.42592592592592593,0.42543859649122806,0.45528455284552843,0.5263157894736842,21.172638436482085,0.08235294117647059,0.04,0.20279720279720279,0.08823529411764706,0.15789473684210525,0.06293706293706294,0.04225352112676056,0.07476635514018691,0.06382978723404255,0.1794871794871795,0.05970149253731343,1.0,0.2543859649122807,0.5517241379310345,0.64,0.37719298245614036,0.23076923076923078,0.4230769230769231,0.7807017543859649,0.5443991228070176,0.5475557692307692,5.737037037037038,25.01,0.297029702970297,8.0,4.0,6.0,19.0,1.0,6.0,7.0,17.0,,2.0,,4.0,10.0,2.0,6.0,2.0,17.0,15.0,5.0,9.0,2.0,8.0,5.0,21.0,5.0,2.0,1.0,17.0,20.0,48.0,3.0,6.0,10.0,6.0,1.0,1.0,16.0,9.0,7.0,4.0,,2.0,3.0,,2.0,7.0,2.0,3.0,5.0,9.0,,13.0,,,20.0,2.0,,11.0,,,1.0,,,17.0,,,0.43478260869565216,0.5,0.9411764705882353,0.2833333333333333,0.25,0.13333333333333333,0.2833333333333333,0.5555555555555556,0.45454545454545453,0.47058823529411764,0.3076923076923077,0.5,0.3148148148148148,0.1111111111111111,0.13793103448275862,0.10526315789473684,0.5714285714285714,0.04838709677419355,0.07407407407407407,0.18181818181818182,0.21153846153846154,0.5625,0.16666666666666666,0.3157894736842105,0.35294117647058826,0.05263157894736842,0.16666666666666666,0.16666666666666666,0.14912280701754385,0.4117647058823529,0.4375,1.0,0.23255813953488372,0.23255813953488372,0.9,0.47058823529411764,0.11764705882352941,,,0.35294117647058826,0.3333333333333333,0.5,0.6666666666666666,0.15384615384615385,,0.18181818181818182,0.23255813953488372,0.5409437500000001,0.08943089430894309,0.1746031746031746,0.1875,0.15178571428571427,4.0,1.0,1.0,2.0,0.016666666666666666,0.058823529411764705,0.13793103448275862,1.0,0.5,0.25,,,,,,,,,,,,,True,,,,,,,
1630530,1610612740,Trey Murphy III,Trey Murphy III,1630530,NOP,18039.100000000002,301,-53.0,621,621,185.0,133.0,99.0,1242,18.0,23.0,10.0,68.0,20.0,28.0,57.0,80.0,164.0,752,16.0,23.0,20.0,68.0,20.0,15.0,35.0,6.0,17.0,85.0,5.0,1.0,29.0,11.0,43.0,6.0,49.0,,2.0,,2.0,1.0,185.0,0.49122807017543857,0.5328467153284672,0.5655172413793104,0.583941605839416,22.056833558863328,0.09734513274336283,0.006097560975609756,0.1895424836601307,0.03355704697986577,0.15037593984962405,0.019169329073482427,,0.04201680672268908,0.1111111111111111,0.14583333333333334,,0.5,0.1678832116788321,0.782608695652174,0.8181818181818182,0.49635036496350365,0.2564102564102564,0.5128205128205128,0.7518248175182481,0.5431328467153286,0.5790076923076923,6.164912280701754,26.438750000000006,0.29790660225442833,3.0,8.0,9.0,29.0,1.0,5.0,5.0,12.0,2.0,2.0,2.0,3.0,25.0,4.0,12.0,7.0,30.0,18.0,3.0,9.0,6.0,14.0,3.0,27.0,10.0,9.0,10.0,57.0,36.0,78.0,12.0,2.0,25.0,4.0,3.0,,18.0,12.0,6.0,10.0,2.0,6.0,8.0,3.0,4.0,18.0,,6.0,12.0,20.0,,19.0,2.0,,20.0,2.0,2.0,6.0,4.0,,2.0,,,57.0,1.0,4.0,0.6428571428571429,0.6666666666666666,0.8666666666666667,0.375,0.42857142857142855,0.391304347826087,0.375,0.3333333333333333,0.625,0.5217391304347826,0.6025641025641025,0.5625,0.6477272727272727,0.07017543859649122,0.043478260869565216,0.10344827586206896,0.5555555555555556,,0.05714285714285714,0.13333333333333333,0.20952380952380953,0.8333333333333334,0.2116788321167883,0.3103448275862069,0.34615384615384615,0.0364963503649635,0.2,0.2,0.08759124087591241,0.4166666666666667,0.4166666666666667,1.0,0.36764705882352944,0.3787878787878788,0.84,0.13043478260869565,0.08695652173913043,1.0,1.0,0.5217391304347826,0.3333333333333333,0.75,0.8,0.07692307692307693,0.6666666666666666,0.35,0.36764705882352944,0.5225033333333334,0.0425531914893617,0.09836065573770492,0.16463414634146342,0.3475609756097561,3.0,2.0,9.0,2.0,0.025,,,1.0,1.0,0.6666666666666666,3.0,1.0,0.029411764705882353,0.42857142857142855,0.07142857142857142,0.2222222222222222,,,,,,,True,,,,,,,
1642274,1610612740,Yves Missi,Yves Missi,1642274,NOP,33132.2,552,-57.0,1149,1150,371.0,314.0,185.0,2299,62.0,95.0,34.0,,,70.0,120.0,,163.0,1360,40.0,,58.0,,16.0,19.0,35.0,14.0,10.0,89.0,23.0,60.0,37.0,36.0,75.0,85.0,160.0,6.0,36.0,9.0,36.0,14.0,371.0,0.5833333333333334,0.5833333333333334,0.5905797101449275,,11.9533527696793,0.18090452261306533,0.1834862385321101,0.11746031746031746,0.09055118110236221,0.14202334630350194,0.14285714285714285,0.2088607594936709,0.0979381443298969,0.16161616161616163,0.09574468085106383,0.14285714285714285,0.3888888888888889,0.7916666666666666,0.6526315789473685,0.6888888888888889,,0.85,,0.7916666666666666,0.6079866666666667,0.6247624999999999,2.3441666666666667,,0.3228894691035683,50.0,22.0,7.0,24.0,1.0,1.0,,,,,,,,,,,,23.0,32.0,54.0,,,6.0,70.0,25.0,,15.0,65.0,82.0,,,44.0,,8.0,5.0,1.0,11.0,9.0,2.0,9.0,3.0,5.0,17.0,4.0,4.0,26.0,5.0,6.0,26.0,50.0,5.0,33.0,11.0,1.0,41.0,5.0,,17.0,6.0,,26.0,,1.0,65.0,4.0,6.0,0.5857142857142857,0.8541666666666666,,,,,,0.5925925925925926,0.625,0.5925925925925926,0.625,0.603448275862069,0.6372549019607843,0.06666666666666667,0.05263157894736842,0.125,0.34615384615384615,0.18115942028985507,0.21052631578947367,0.16666666666666666,0.12669683257918551,0.532258064516129,0.2,0.2916666666666667,0.3333333333333333,0.008333333333333333,1.0,1.0,,,,,,,,0.9259259259259259,,,,,,,0.6470588235294118,,,,,0.6073860465116279,0.12878787878787878,0.12878787878787878,0.4294478527607362,0.3987730061349693,30.0,,5.0,3.0,,,0.06666666666666667,1.0,0.6,0.16666666666666666,2.0,7.0,,0.125,0.06451612903225806,1.0,2.0,1.0,5.0,0.047619047619047616,,,True,,,,,,,
1641722,1610612740,Jordan Hawkins,Jordan Hawkins,1641722,NOP,6367.0,106,-6.0,225,219,90.0,82.0,36.0,444,1.0,3.0,2.0,17.0,8.0,2.0,11.0,21.0,25.0,264,5.0,10.0,2.0,17.0,4.0,2.0,6.0,2.0,3.0,14.0,1.0,1.0,9.0,3.0,13.0,2.0,15.0,1.0,2.0,1.0,2.0,2.0,90.0,0.18181818181818182,0.390625,0.390625,0.65625,13.584905660377359,0.07317073170731707,0.015625,0.15789473684210525,0.02127659574468085,0.12244897959183673,0.018018018018018018,0.038461538461538464,0.02702702702702703,0.05555555555555555,0.11764705882352941,0.05,1.0,0.09375,0.3333333333333333,0.5,0.53125,0.13333333333333333,0.5333333333333333,0.75,0.5142375,0.5065433333333335,12.854545454545455,25.052380952380954,0.4,,1.0,,1.0,1.0,7.0,2.0,4.0,,,1.0,2.0,5.0,,1.0,3.0,7.0,,,,,1.0,,,1.0,4.0,,14.0,2.0,21.0,,,5.0,1.0,1.0,,,,,2.0,,,2.0,2.0,2.0,4.0,,2.0,2.0,4.0,,1.0,,,,,,,,,1.0,,,14.0,,,0.5,0.5,1.0,0.3333333333333333,,0.4,0.3333333333333333,,0.2,,0.4666666666666667,,0.4666666666666667,0.09090909090909091,0.3333333333333333,,0.5,,0.10526315789473684,,0.175,,0.03125,,,0.21875,0.14285714285714285,0.14285714285714285,0.125,0.5,0.5,1.0,0.29411764705882354,0.3125,1.0,,,,,1.0,,,0.5,0.13333333333333333,0.5,0.375,0.29411764705882354,,,,,0.56,,1.0,,,0.047619047619047616,,,1.0,,,1.0,,0.058823529411764705,0.2,,,,,,,,,True,,,,,,,
1642877,1610612740,Micah Peavy,Micah Peavy,1642877,NOP,11148.8,186,38.0,378,388,133.0,134.0,57.0,766,17.0,30.0,11.0,7.0,2.0,21.0,42.0,17.0,60.0,405,16.0,7.0,12.0,7.0,10.0,6.0,16.0,4.0,8.0,38.0,2.0,7.0,13.0,3.0,16.0,9.0,25.0,1.0,4.0,3.0,4.0,2.0,133.0,0.5,0.4830508474576271,0.5,0.288135593220339,13.995485327313771,0.041666666666666664,0.0673076923076923,0.11607142857142858,0.029850746268656716,0.08695652173913043,0.05263157894736842,0.10638297872340426,0.02040816326530612,0.05555555555555555,0.06976744186046512,0.041666666666666664,0.5,0.5084745762711864,0.5666666666666667,0.6296296296296297,0.11864406779661017,0.4782608695652174,0.08695652173913043,0.7966101694915254,0.5780620689655173,0.5661545454545455,4.130952380952381,24.941176470588236,0.35185185185185186,7.0,6.0,3.0,10.0,1.0,2.0,3.0,10.0,,,1.0,5.0,2.0,1.0,1.0,1.0,5.0,3.0,4.0,9.0,1.0,1.0,,11.0,8.0,2.0,,22.0,30.0,15.0,,4.0,2.0,6.0,1.0,1.0,10.0,7.0,3.0,1.0,1.0,,1.0,,1.0,2.0,1.0,1.0,7.0,16.0,,2.0,,,3.0,1.0,,2.0,,,1.0,,,22.0,2.0,,0.7142857142857143,0.7894736842105263,1.0,0.29411764705882354,1.0,0.2857142857142857,0.29411764705882354,0.4444444444444444,0.5,0.55,0.4782608695652174,0.55,0.4782608695652174,0.14285714285714285,0.1,0.3,0.5,0.041666666666666664,0.03125,,0.14492753623188406,0.6470588235294118,0.1694915254237288,0.3,0.42857142857142855,0.03389830508474576,0.5,0.5,0.1694915254237288,0.3,0.3333333333333333,1.0,0.2857142857142857,0.2857142857142857,1.0,0.7,,,,0.1,1.0,1.0,0.5454545454545454,0.21739130434782608,0.2,0.5,0.2857142857142857,0.5813666666666667,0.03333333333333333,0.046511627906976744,0.18333333333333332,0.36666666666666664,3.0,1.0,2.0,,0.058823529411764705,0.1,0.05555555555555555,1.0,0.42857142857142855,,,,,,,1.0,,,,,,,True,,,,,,,
1642847,1610612740,Jeremiah Fears,Jeremiah Fears,1642847,NOP,15775.099999999999,263,-82.0,542,540,150.0,102.0,90.0,1082,27.0,51.0,16.0,32.0,9.0,46.0,97.0,36.0,149.0,702,24.0,10.0,74.0,32.0,21.0,17.0,38.0,16.0,18.0,93.0,3.0,5.0,15.0,10.0,25.0,8.0,33.0,,3.0,,3.0,1.0,150.0,0.4742268041237113,0.4699248120300752,0.5137931034482759,0.2706766917293233,26.38036809815951,0.12048192771084337,0.029069767441860465,0.11278195488721804,0.0297029702970297,0.11574074074074074,0.029304029304029304,0.037037037037037035,0.0375,0.1111111111111111,0.07894736842105263,,0.3333333333333333,0.38345864661654133,0.5294117647058824,0.6428571428571429,0.24060150375939848,0.47058823529411764,0.2647058823529412,0.6541353383458647,0.5425398496240602,0.5415882352941176,6.372164948453607,26.177777777777777,0.2767527675276753,6.0,10.0,11.0,32.0,8.0,14.0,2.0,4.0,1.0,2.0,,1.0,9.0,2.0,4.0,1.0,11.0,24.0,5.0,10.0,3.0,6.0,,19.0,13.0,1.0,7.0,36.0,18.0,21.0,12.0,2.0,9.0,14.0,3.0,,12.0,10.0,2.0,20.0,4.0,17.0,7.0,1.0,3.0,27.0,3.0,11.0,5.0,16.0,1.0,21.0,,,29.0,5.0,,17.0,,,3.0,,,36.0,2.0,,0.1956521739130435,0.2,0.6363636363636364,0.3055555555555556,0.5,0.1,0.3055555555555556,0.5,0.5416666666666666,0.59375,0.4264705882352941,0.59375,0.4864864864864865,0.14432989690721648,0.17647058823529413,0.125,0.7407407407407407,0.027777777777777776,0.10526315789473684,0.2222222222222222,0.12631578947368421,0.18518518518518517,0.24060150375939848,0.34375,0.39285714285714285,0.10526315789473684,0.5714285714285714,0.6153846153846154,0.03007518796992481,0.5,0.5,1.0,0.28125,0.28125,0.5555555555555556,0.375,0.125,0.5,1.0,0.25,0.5,1.0,0.625,0.029411764705882353,,0.1111111111111111,0.28125,0.5230400000000001,0.11724137931034483,0.1559633027522936,0.12751677852348994,0.24161073825503357,3.0,,1.0,1.0,,,,0.25,0.5,0.6666666666666666,,1.0,,,,0.18181818181818182,,,,,0.07142857142857142,,True,,,,,,,
1629627,1610612740,Zion Williamson,Zion Williamson,1629627,NOP,14085.900000000001,235,-26.0,498,494,166.0,130.0,84.0,992,57.0,87.0,40.0,2.0,1.0,68.0,119.0,2.0,184.0,596,45.0,1.0,68.0,2.0,11.0,17.0,28.0,9.0,7.0,73.0,6.0,12.0,13.0,6.0,23.0,18.0,41.0,4.0,3.0,,3.0,1.0,166.0,0.5714285714285714,0.5619834710743802,0.5935483870967742,0.01652892561983471,29.697986577181208,0.06818181818181818,0.08823529411764706,0.1,0.056074766355140186,0.0871559633027523,0.07407407407407407,0.13043478260869565,0.0625,0.08888888888888889,0.11627906976744186,0.09523809523809523,0.3333333333333333,0.71900826446281,0.6551724137931034,0.6951219512195121,0.01652892561983471,0.8695652173913043,0.021739130434782608,0.7355371900826446,0.5936603305785124,0.627204347826087,3.390756302521009,25.6,0.3333333333333333,9.0,25.0,11.0,32.0,,,,,,,,,,,,,,48.0,8.0,12.0,,,8.0,24.0,27.0,,13.0,67.0,68.0,,,14.0,,11.0,3.0,1.0,9.0,6.0,3.0,13.0,2.0,7.0,9.0,3.0,6.0,22.0,1.0,8.0,9.0,17.0,,55.0,,,77.0,9.0,,41.0,2.0,,3.0,,,67.0,,3.0,0.5,0.5573770491803278,,,,,,0.6666666666666666,0.6,0.6666666666666666,0.5869565217391305,0.7058823529411765,0.6203703703703703,0.09243697478991597,0.05747126436781609,0.1875,0.5909090909090909,0.05263157894736842,0.06451612903225806,,0.09195402298850575,0.5087719298245614,0.2644628099173554,0.34375,0.4230769230769231,,,,,,,,,,,0.75,,,,,,,0.625,,,,,0.5864499999999999,0.2679738562091503,0.271523178807947,0.13043478260869565,0.3641304347826087,8.0,,8.0,4.0,,,0.037037037037037035,,0.8888888888888888,0.125,4.0,,,0.4,,0.45454545454545453,,,,,,,True,,,,,,,
1630529,1610612740,Herbert Jones,Herbert Jones,1630529,NOP,9245.5,154,-19.0,315,312,67.0,55.0,47.0,627,5.0,14.0,1.0,18.0,4.0,9.0,28.0,29.0,67.0,378,2.0,4.0,10.0,18.0,7.0,5.0,12.0,4.0,6.0,29.0,5.0,5.0,13.0,4.0,17.0,10.0,27.0,3.0,,,1.0,1.0,67.0,0.32142857142857145,0.5263157894736842,0.5491803278688525,0.5087719298245614,19.25133689839572,0.0975609756097561,0.05555555555555555,0.16666666666666666,0.07575757575757576,0.14285714285714285,0.0641025641025641,0.09090909090909091,0.08,0.13333333333333333,0.22727272727272727,0.1,1.0,0.24561403508771928,0.35714285714285715,0.5,0.3157894736842105,0.16666666666666666,0.6666666666666666,0.7543859649122807,0.5341447368421052,0.5264166666666666,8.4,24.655172413793103,0.2126984126984127,4.0,,2.0,6.0,2.0,8.0,2.0,11.0,,1.0,,,12.0,1.0,1.0,2.0,14.0,7.0,1.0,5.0,1.0,2.0,,5.0,1.0,2.0,3.0,11.0,8.0,39.0,3.0,2.0,12.0,4.0,,1.0,8.0,7.0,1.0,8.0,1.0,6.0,3.0,,2.0,11.0,1.0,4.0,10.0,21.0,,5.0,,,8.0,,,3.0,1.0,1.0,,1.0,,11.0,,1.0,0.4444444444444444,0.5,0.9285714285714286,0.4827586206896552,0.5,0.5,0.4827586206896552,0.2,0.5,0.35714285714285715,0.6666666666666666,0.35714285714285715,0.6875,0.14285714285714285,0.2857142857142857,,0.7272727272727273,0.027777777777777776,,0.25,0.14285714285714285,0.4,0.10526315789473684,0.3333333333333333,0.3333333333333333,0.14035087719298245,0.25,0.25,0.19298245614035087,0.18181818181818182,0.18181818181818182,1.0,0.6666666666666666,0.6666666666666666,0.9166666666666666,0.5714285714285714,0.14285714285714285,,,0.14285714285714285,1.0,1.0,,,,0.5,0.6666666666666666,0.5254,0.05,0.0967741935483871,0.07462686567164178,0.16417910447761194,1.0,,1.0,,,,0.0625,0.5,0.25,,,,,,,0.5,,1.0,,,,,True,,,,,,,
