EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,OffFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFtPoints,PtsUnassisted3s,Fg2aBlocked,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefCorner3ReboundPct,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,FTDefRebounds,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedLongMidRange,DefensiveGoaltends,LongMidRangePctBlocked,DefFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawnPct,Charge Fouls,Charge Fouls Drawn,OffensiveGoaltends,3pt And 1 Free Throw Trips,BlockedCorner3,Defensive 3 Seconds Violations,on
1627827,1610612745,Dorian Finney-Smith,Dorian Finney-Smith,1627827,HOU,14413.4,240,28,483,484,166.0,130.0,67,967,5,7,3.0,5.0,1.0,2.0,1.0,2.0,1.0,3.0,14.0,1.0,4.0,2.0,4.0,20.0,3.0,1.0,9.0,6,10,7.0,34.0,2.0,35,520,3.0,6.0,1.0,7.0,9.0,1.0,3.0,1.0,11.0,2.0,7.0,4,8.0,21.0,6.0,20.0,4.0,2.0,6,6.0,12,2.0,4.0,1.0,2.0,3.0,30,5.0,8.0,1.0,9.0,14.0,23.0,14.0,37.0,1.0,4.0,1.0,3.0,5.0,2.0,4.0,9.0,1.0,2.0,14.0,4.0,16.0,28.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,7.0,165.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.20588235294117646,0.14285714285714285,0.09090909090909091,0.20588235294117646,0.6,0.5,0.3333333333333333,0.375,0.34615384615384615,0.17857142857142858,0.3888888888888889,0.34615384615384615,0.23333333333333334,0.7727272727272727,0.058823529411764705,0.07142857142857142,0.05,10.405643738977073,0.35714285714285715,0.09090909090909091,0.11023622047244094,0.06557377049180328,0.08181818181818182,0.04716981132075472,0.0970464135021097,0.05701754385964912,0.07142857142857142,0.043478260869565216,0.08823529411764706,0.06097560975609756,0.17073170731707318,0.06779661016949153,0.1111111111111111,0.09574468085106383,0.03571428571428571,0.6666666666666666,0.1590909090909091,0.7142857142857143,0.7142857142857143,0.4,0.045454545454545456,0.5,0.5,0.022727272727272728,0.3181818181818182,0.21428571428571427,0.23076923076923078,1.0,0.45454545454545453,0.2,0.21052631578947367,1.0,0.38461538461538464,0.6,0.3076923076923077,0.25,1.0,0.23076923076923078,0.14285714285714285,0.5,0.14285714285714285,0.6428571428571429,0.1111111111111111,0.9318181818181818,0.2,0.5457159090909092,0.5602055555555556,0.5198642857142858,0.2571428571428571,0.2,3.0300000000000002,24.997058823529414,0.34368530020703936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True
1628988,1610612745,Aaron Holiday,Aaron Holiday,1628988,HOU,10954.7,183,27,375,386,117.0,121.0,52,761,3,4,,,,,3.0,6.0,1.0,7.0,13.0,1.0,1.0,2.0,7.0,26.0,5.0,1.0,6.0,7,11,14.0,39.0,12.0,68,423,,,2.0,6.0,7.0,1.0,3.0,2.0,8.0,5.0,13.0,8,6.0,39.0,,26.0,7.0,,6,2.0,8,2.0,,3.0,3.0,,18,1.0,,,9.0,5.0,14.0,1.0,15.0,,6.0,4.0,2.0,5.0,,4.0,4.0,1.0,2.0,9.0,,9.0,22.0,1.0,2.0,14.0,4.0,15.0,3.0,2.0,,2.0,2.0,,12.0,114.0,2.0,0.5714285714285714,0.5714285714285714,0.9285714285714286,0.358974358974359,0.3333333333333333,0.25,0.358974358974359,0.6363636363636364,,0.3333333333333333,0.56,0.5,0.36363636363636365,0.6071428571428571,0.5833333333333334,0.4642857142857143,0.78,,,,14.672686230248308,0.5555555555555556,,0.058823529411764705,,0.10344827586206896,0.011111111111111112,0.08139534883720931,0.005847953216374269,,,,0.014285714285714285,0.10526315789473684,0.03773584905660377,0.07692307692307693,0.1,,,0.08,0.75,1.0,0.6666666666666666,0.12,0.5,0.6,0.02,0.26,0.5384615384615384,0.5384615384615384,1.0,0.52,0.2692307692307692,0.2692307692307692,0.8571428571428571,,,0.16666666666666666,1.0,1.0,0.8333333333333334,,,0.18181818181818182,0.5454545454545454,0.16666666666666666,0.86,0.2692307692307692,0.5528679999999999,0.5388000000000001,0.49970909090909094,0.10294117647058823,0.19117647058823528,5.9,25.676923076923078,0.312,1.0,1.0,1.0,1.0,3.0,2.0,2.0,5.0,3.0,0.18181818181818182,0.25,0.16666666666666666,0.11764705882352941,0.3333333333333333,1.0,1.0,1.0,0.2,1.0,0.5,0.09433962264150944,0.35714285714285715,,,,,,,,,,,,,,,,,,,,,,,True
1631095,1610612745,Jabari Smith Jr.,Jabari Smith Jr.,1631095,HOU,88279.99999999999,1471,227,2959,2953,617.0,583.0,446,5912,67,96,22.0,36.0,9.0,14.0,52.0,108.0,58.0,48.0,111.0,5.0,8.0,22.0,53.0,158.0,22.0,6.0,28.0,139,262,101.0,269.0,82.0,663,3350,33.0,54.0,11.0,30.0,115.0,18.0,40.0,18.0,50.0,26.0,116.0,176,102.0,294.0,36.0,158.0,53.0,,37,37.0,74,23.0,14.0,22.0,8.0,7.0,185,30.0,34.0,2.0,101.0,114.0,235.0,66.0,301.0,11.0,35.0,22.0,13.0,30.0,5.0,17.0,24.0,13.0,2.0,54.0,5.0,53.0,108.0,8.0,5.0,78.0,3.0,106.0,7.0,43.0,23.0,18.0,44.0,25.0,115.0,608.0,6.0,0.6330935251798561,0.7272727272727273,0.9702970297029703,0.3754646840148699,0.36666666666666664,0.36,0.3754646840148699,0.5305343511450382,0.6111111111111112,0.45,0.5470809792843692,0.5892857142857143,0.5,0.5746527777777778,0.6052631578947368,0.5576923076923077,0.5065913370998116,,,,17.93849658314351,0.5555555555555556,0.022988505747126436,0.1509933774834437,0.0416156670746634,0.15562403697996918,0.05514705882352941,0.15313390313390313,0.0470242468772961,0.053497942386831275,0.0327455919395466,0.04519774011299435,0.0546875,0.1067193675889328,0.14745308310991956,0.24806201550387597,0.15384615384615385,0.04182509505703422,0.5681818181818182,0.1807909604519774,0.6979166666666666,0.8072289156626506,0.6268656716417911,0.2033898305084746,0.48148148148148145,0.5416666666666666,0.10922787193973635,0.20903954802259886,0.43243243243243246,0.43243243243243246,1.0,0.2975517890772128,0.33544303797468356,0.33544303797468356,0.9433962264150944,0.42857142857142855,0.6111111111111112,0.09523809523809523,0.625,1.0,0.2619047619047619,0.15555555555555556,0.6428571428571429,0.24444444444444444,0.3111111111111111,0.21428571428571427,0.687382297551789,0.33544303797468356,0.5349272128060262,0.5409550000000002,0.5126472222222223,0.17345399698340874,0.17496229260935142,8.26946564885496,25.016356877323418,0.2085163906725245,20.0,12.0,6.0,16.0,9.0,26.0,8.0,40.0,9.0,0.09923664122137404,0.13541666666666666,0.1111111111111111,0.16279069767441862,0.6538461538461539,0.3448275862068966,0.3508771929824561,0.6,0.2727272727272727,1.0,0.5454545454545454,0.08084358523725835,0.1360544217687075,20.0,7.0,4.0,4.0,5.0,2.0,6.0,1.0,1.0,2.0,1.0,0.017241379310344827,0.2777777777777778,0.05625,0.2727272727272727,0.02181818181818182,,,,,,,True
1641708,1610612745,Amen Thompson,Amen Thompson,1641708,HOU,88609.69999999998,1477,220,2966,2977,700.0,627.0,450,5943,193,264,29.0,47.0,40.0,60.0,67.0,165.0,44.0,8.0,37.0,1.0,1.0,5.0,4.0,23.0,3.0,1.0,7.0,272,473,12.0,60.0,151.0,731,3332,34.0,66.0,1.0,4.0,88.0,55.0,106.0,2.0,12.0,46.0,162.0,254,290.0,36.0,46.0,23.0,4.0,,109,87.0,196,48.0,39.0,54.0,33.0,22.0,479,47.0,76.0,3.0,88.0,70.0,172.0,126.0,298.0,14.0,62.0,31.0,31.0,58.0,11.0,30.0,34.0,28.0,2.0,92.0,26.0,41.0,87.0,7.0,5.0,131.0,1.0,191.0,15.0,20.0,9.0,11.0,21.0,15.0,156.0,690.0,8.0,0.46691176470588236,0.5100401606425703,1.0,0.2,0.25,0.16666666666666666,0.2,0.5750528541226215,0.5151515151515151,0.5188679245283019,0.5440900562851783,0.5071428571428571,0.4915254237288136,0.5933441558441559,0.5569620253164557,0.5625,0.1125703564727955,,,,19.943582510578278,0.6304347826086957,0.03571428571428571,0.09283819628647215,0.08930669800235018,0.13213213213213212,0.08608058608058608,0.11126760563380282,0.08804581245526127,0.08949416342412451,0.10073710073710074,0.06417112299465241,0.08051948051948052,0.05394190871369295,0.09919571045576407,0.14285714285714285,0.1252336448598131,0.06763285024154589,0.7142857142857143,0.49530956848030017,0.7310606060606061,0.7782258064516129,0.5492227979274611,0.30956848030018763,0.40606060606060607,0.4652777777777778,0.0825515947467167,0.06941838649155722,0.21621621621621623,0.21621621621621623,1.0,0.043151969981238276,0.17391304347826086,0.17391304347826086,1.0,0.6714285714285714,0.6170212765957447,0.014285714285714285,1.0,1.0,0.04285714285714286,0.5084745762711864,0.6666666666666666,0.0423728813559322,0.059322033898305086,0.14285714285714285,0.6078799249530957,0.17391304347826086,0.5466320488721806,0.5500862745098039,0.5398183760683761,0.12038303693570451,0.2216142270861833,5.556871035940803,24.673333333333336,0.23600809170600134,12.0,1.0,,17.0,,37.0,25.0,93.0,9.0,0.07822410147991543,0.06060606060606061,0.12727272727272726,0.16030534351145037,0.2537313432835821,0.2727272727272727,0.2727272727272727,0.3333333333333333,,,0.2,0.15474209650582363,0.17190388170055454,14.0,6.0,3.0,8.0,9.0,,,1.0,1.0,,1.0,,0.1891891891891892,0.09937888198757763,0.2413793103448276,,3.0,1.0,1.0,,,,True
201142,1610612745,Kevin Durant,Kevin Durant,201142,HOU,116591.4,1943,284,3912,3904,944.0,839.0,593,7816,59,81,6.0,8.0,15.0,20.0,175.0,317.0,247.0,17.0,31.0,3.0,4.0,8.0,109.0,277.0,48.0,25.0,61.0,357,645,126.0,308.0,282.0,1374,4377,41.0,72.0,21.0,52.0,159.0,86.0,149.0,29.0,69.0,122.0,381.0,332,382.0,270.0,12.0,277.0,109.0,,174,67.0,241,34.0,33.0,112.0,51.0,11.0,549,10.0,18.0,,122.0,124.0,258.0,28.0,286.0,11.0,45.0,23.0,22.0,123.0,12.0,75.0,47.0,48.0,1.0,170.0,52.0,60.0,108.0,9.0,13.0,261.0,1.0,320.0,43.0,44.0,23.0,19.0,48.0,31.0,375.0,932.0,38.0,0.4649859943977591,0.47293447293447294,0.7142857142857143,0.4090909090909091,0.40384615384615385,0.42028985507246375,0.4090909090909091,0.5534883720930233,0.5694444444444444,0.5771812080536913,0.5729275970619098,0.5846774193548387,0.5940366972477065,0.6260387811634349,0.6068702290076335,0.6774193548387096,0.323189926547744,,,,26.899957063117217,0.7235294117647059,,0.12525252525252525,0.016363636363636365,0.1383219954648526,0.01366120218579235,0.13141025641025642,0.015283842794759825,0.024615384615384615,0.011385199240986717,0.016129032258064516,0.017341040462427744,0.11585365853658537,0.12783505154639174,0.13559322033898305,0.12553495007132667,0.024943310657596373,0.6458333333333334,0.08499475341028331,0.7283950617283951,0.7763157894736842,0.6101694915254238,0.33263378803777544,0.5520504731861199,0.5737704918032787,0.25918153200419725,0.03252885624344176,0.5483870967741935,0.5483870967741935,1.0,0.2906610703043022,0.3935018050541516,0.3935018050541516,0.6697247706422018,0.06451612903225806,0.75,0.03225806451612903,0.75,1.0,0.3870967741935484,0.09174311926605505,0.75,0.03669724770642202,0.2798165137614679,0.4098360655737705,0.40818467995802726,0.3935018050541516,0.4805093487394957,0.47372469135802464,0.46893064516129024,0.11572052401746726,0.27729257641921395,11.83302325581395,25.95551948051948,0.24130879345603273,123.0,4.0,18.0,14.0,108.0,26.0,31.0,113.0,7.0,0.040310077519379844,0.06172839506172839,0.03785488958990536,0.1878453038674033,0.38285714285714284,0.4979757085020243,0.5168067226890757,0.5121951219512195,0.375,0.8888888888888888,0.5,0.11357074109720885,0.15543328748280605,12.0,15.0,1.0,19.0,10.0,20.0,6.0,4.0,3.0,2.0,1.0,0.03643724696356275,0.12,0.004694835680751174,0.3333333333333333,0.016025641025641024,2.0,,,1.0,1.0,,True
1629006,1610612745,Josh Okogie,Josh Okogie,1629006,HOU,46872.2,781,67,1534,1570,267.0,257.0,236,3104,36,56,10.0,15.0,7.0,10.0,4.0,15.0,3.0,26.0,66.0,,9.0,14.0,10.0,27.0,7.0,3.0,4.0,41,74,36.0,93.0,24.0,214,1762,11.0,16.0,4.0,16.0,37.0,8.0,13.0,7.0,18.0,9.0,46.0,46,36.0,108.0,16.0,27.0,10.0,4.0,23,16.0,39,11.0,5.0,12.0,8.0,3.0,94,20.0,25.0,3.0,24.0,36.0,64.0,48.0,112.0,5.0,38.0,17.0,21.0,16.0,4.0,12.0,11.0,4.0,,27.0,5.0,34.0,63.0,4.0,,44.0,8.0,39.0,4.0,8.0,3.0,4.0,9.0,4.0,46.0,262.0,4.0,0.5609756097560976,0.696969696969697,1.0,0.3870967741935484,0.25,0.3888888888888889,0.3870967741935484,0.5540540540540541,0.6875,0.6153846153846154,0.5688622754491018,0.53125,0.5967741935483871,0.5783783783783784,0.5285714285714286,0.6216216216216216,0.5568862275449101,0.043010752688172046,0.045454545454545456,0.037037037037037035,11.693325979040265,0.5925925925925926,0.06382978723404255,0.08372093023255814,0.05787037037037037,0.0729483282674772,0.07272727272727272,0.07905138339920949,0.06364922206506365,0.07692307692307693,0.04285714285714286,0.06666666666666667,0.0582010582010582,0.07947019867549669,0.08450704225352113,0.09090909090909091,0.07392996108949416,0.06493506493506493,0.4444444444444444,0.33532934131736525,0.6428571428571429,0.7058823529411765,0.5277777777777778,0.08982035928143713,0.26666666666666666,0.3333333333333333,0.017964071856287425,0.39520958083832336,0.3939393939393939,0.4126984126984127,1.0,0.16167664670658682,0.37037037037037035,0.38461538461538464,1.0,0.46875,0.6666666666666666,0.28125,,,0.21875,0.3225806451612903,0.7,0.45161290322580644,0.12903225806451613,0.75,0.8922155688622755,0.37037037037037035,0.5865101796407185,0.5670478260869565,0.5815935483870969,0.17289719626168223,0.21495327102803738,3.458108108108108,24.108602150537628,0.17405475880052151,1.0,4.0,4.0,3.0,,8.0,3.0,17.0,5.0,0.10810810810810811,0.08928571428571429,0.2,0.06944444444444445,0.75,0.3333333333333333,0.3333333333333333,1.0,0.5714285714285714,1.0,0.2857142857142857,0.09392265193370165,0.19318181818181818,4.0,4.0,1.0,8.0,5.0,,,1.0,1.0,1.0,,,0.11764705882352941,0.10465116279069768,0.2,,,2.0,,,,,True
1630256,1610612745,Jae'Sean Tate,Jae'Sean Tate,1630256,HOU,6437.0,107,-11,215,217,84.0,57.0,31,432,5,8,2.0,3.0,1.0,2.0,3.0,7.0,,3.0,9.0,,1.0,1.0,,3.0,,,,8,15,3.0,12.0,1.0,26,242,2.0,5.0,,1.0,4.0,3.0,6.0,,1.0,1.0,7.0,12,4.0,9.0,2.0,3.0,,,5,3.0,8,2.0,1.0,3.0,1.0,1.0,19,3.0,7.0,,5.0,6.0,11.0,10.0,21.0,1.0,4.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,,5.0,3.0,7.0,15.0,1.0,,7.0,3.0,2.0,1.0,,,,,,6.0,82.0,,0.75,0.8571428571428571,1.0,0.25,,,0.25,0.5333333333333333,0.4,0.5,0.46296296296296297,0.3333333333333333,0.42857142857142855,0.4642857142857143,0.3333333333333333,0.4375,0.4444444444444444,,,,12.84046692607004,0.8,,0.12,0.11475409836065574,0.09259259259259259,0.07317073170731707,0.10576923076923077,0.09803921568627451,0.058823529411764705,0.17142857142857143,,0.1,0.25,,0.16666666666666666,0.075,0.0625,,0.2962962962962963,0.625,0.625,0.8,0.25925925925925924,0.42857142857142855,0.42857142857142855,,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,,,,0.5,0.6666666666666666,0.16666666666666666,,,,0.2857142857142857,0.5,0.14285714285714285,,,0.7407407407407407,,0.5352166666666668,0.5781333333333333,0.4688071428571429,0.15384615384615385,0.2692307692307692,3.7733333333333334,24.108333333333334,0.39069767441860465,,,,,,,,,2.0,,,,0.14285714285714285,0.6666666666666666,,,,,,,,,,,,2.0,,,,,,,,,,,0.5,,,2.0,,,,,True
1630578,1610612745,Alperen Sengun,Alperen Sengun,1630578,HOU,70123.19999999998,1169,134,2360,2333,535.0,486.0,341,4693,141,214,30.0,59.0,28.0,48.0,93.0,220.0,46.0,2.0,4.0,,,,15.0,55.0,5.0,4.0,15.0,252,480,17.0,59.0,135.0,690,2685,43.0,83.0,,5.0,103.0,50.0,100.0,4.0,15.0,50.0,162.0,230,274.0,36.0,36.0,55.0,15.0,,147,76.0,223,46.0,30.0,76.0,43.0,28.0,522,42.0,60.0,2.0,80.0,120.0,217.0,104.0,321.0,27.0,50.0,31.0,19.0,64.0,14.0,40.0,44.0,24.0,2.0,108.0,27.0,63.0,109.0,7.0,7.0,175.0,9.0,192.0,20.0,36.0,19.0,17.0,37.0,24.0,162.0,527.0,18.0,0.45634920634920634,0.49145299145299143,0.7058823529411765,0.288135593220339,,0.26666666666666666,0.288135593220339,0.525,0.5180722891566265,0.5,0.5148423005565863,0.48863636363636365,0.48695652173913045,0.5555555555555556,0.515,0.5328947368421053,0.10946196660482375,,,,26.232457718603815,0.5925925925925926,0.02857142857142857,0.20654044750430292,0.09036144578313253,0.16096579476861167,0.09859154929577464,0.18552875695732837,0.09357798165137615,0.15104166666666666,0.0658682634730539,0.06521739130434782,0.08940397350993377,0.2185792349726776,0.20477815699658702,0.19047619047619047,0.1760204081632653,0.11842105263157894,0.6486486486486487,0.3970315398886827,0.6588785046728972,0.6911764705882353,0.5106382978723404,0.40816326530612246,0.42272727272727273,0.4744897959183674,0.08534322820037106,0.0074211502782931356,0.5,0.5,1.0,0.10204081632653061,0.2727272727272727,0.2727272727272727,0.6666666666666666,0.6704545454545454,0.5084745762711864,,,,0.056818181818181816,0.41739130434782606,0.5833333333333334,,0.13043478260869565,0.26666666666666666,0.5064935064935064,0.2727272727272727,0.5164002782931355,0.5425901639344262,0.5098917391304347,0.1492753623188406,0.23478260869565218,6.043541666666666,26.56101694915254,0.2266949152542373,18.0,,,17.0,15.0,35.0,27.0,88.0,11.0,0.07291666666666667,0.04672897196261682,0.10909090909090909,0.10476190476190476,0.3548387096774194,0.391304347826087,0.4,0.5555555555555556,,,,0.1480865224625624,0.16266173752310537,17.0,9.0,3.0,15.0,14.0,,1.0,1.0,,,,0.021739130434782608,0.23943661971830985,0.12096774193548387,0.23333333333333334,0.016666666666666666,3.0,2.0,1.0,,1.0,2.0,True
1631106,1610612745,Tari Eason,Tari Eason,1631106,HOU,37936.4,632,64,1278,1297,293.0,311.0,196,2575,43,70,9.0,19.0,10.0,15.0,11.0,42.0,14.0,29.0,55.0,5.0,7.0,6.0,16.0,57.0,10.0,5.0,12.0,56,126,45.0,112.0,17.0,264,1444,11.0,29.0,6.0,17.0,45.0,11.0,24.0,6.0,18.0,6.0,46.0,52,60.0,135.0,14.0,57.0,16.0,2.0,23,20.0,43,12.0,8.0,16.0,4.0,3.0,106,20.0,26.0,1.0,43.0,49.0,105.0,47.0,152.0,13.0,32.0,18.0,14.0,20.0,3.0,14.0,19.0,6.0,3.0,39.0,10.0,28.0,57.0,4.0,4.0,19.0,,26.0,4.0,13.0,7.0,3.0,14.0,10.0,46.0,289.0,4.0,0.4642857142857143,0.5306122448979592,1.0,0.4017857142857143,0.35294117647058826,0.3333333333333333,0.4017857142857143,0.4444444444444444,0.3793103448275862,0.4583333333333333,0.5189075630252101,0.43478260869565216,0.47619047619047616,0.528,0.45918367346938777,0.5,0.47058823529411764,0.017857142857142856,0.03636363636363636,,18.975705843729482,0.5128205128205128,0.030303030303030304,0.17132867132867133,0.07262569832402235,0.14098360655737704,0.08298755186721991,0.155668358714044,0.07679465776293823,0.08163265306122448,0.07017543859649122,0.06741573033707865,0.08092485549132948,0.20754716981132076,0.14516129032258066,0.16071428571428573,0.1510204081632653,0.11504424778761062,0.7142857142857143,0.29411764705882354,0.6142857142857143,0.6935483870967742,0.46511627906976744,0.17647058823529413,0.2619047619047619,0.34375,0.058823529411764705,0.23109243697478993,0.5272727272727272,0.5471698113207547,1.0,0.23949579831932774,0.2807017543859649,0.2807017543859649,1.0,0.41304347826086957,0.47368421052631576,0.15217391304347827,0.7142857142857143,1.0,0.21739130434782608,0.35714285714285715,0.6666666666666666,0.14285714285714285,0.2857142857142857,0.4166666666666667,0.7647058823529411,0.2807017543859649,0.5418918067226892,0.5698775862068965,0.517675,0.17045454545454544,0.17424242424242425,6.05,24.800892857142863,0.229264475743349,2.0,1.0,1.0,5.0,,18.0,1.0,8.0,4.0,0.14285714285714285,0.11428571428571428,0.23809523809523808,0.1,0.36363636363636365,0.14285714285714285,0.14285714285714285,1.0,0.1,1.0,0.16666666666666666,0.036585365853658534,0.06015037593984962,13.0,2.0,2.0,5.0,1.0,,1.0,1.0,1.0,3.0,,,0.325,0.08823529411764706,0.1111111111111111,0.008849557522123894,3.0,,,,,,True
1642263,1610612745,Reed Sheppard,Reed Sheppard,1642263,HOU,47553.0,793,181,1632,1586,501.0,417.0,236,3218,21,39,,1.0,7.0,11.0,30.0,63.0,32.0,16.0,29.0,3.0,6.0,12.0,55.0,143.0,8.0,16.0,46.0,63,134,71.0,172.0,25.0,364,1755,2.0,9.0,5.0,14.0,20.0,19.0,37.0,21.0,58.0,14.0,115.0,44,82.0,162.0,,143.0,55.0,3.0,56,45.0,101,25.0,20.0,34.0,13.0,9.0,247,6.0,4.0,,36.0,35.0,72.0,10.0,82.0,4.0,46.0,18.0,28.0,35.0,5.0,26.0,12.0,9.0,2.0,47.0,10.0,48.0,68.0,,,27.0,,32.0,4.0,16.0,3.0,13.0,20.0,9.0,112.0,495.0,2.0,0.3492063492063492,0.3492063492063492,0.7605633802816901,0.4127906976744186,0.35714285714285715,0.3620689655172414,0.4127906976744186,0.4701492537313433,0.2222222222222222,0.5135135135135135,0.553921568627451,0.41304347826086957,0.531578947368421,0.5705329153605015,0.4166666666666667,0.5693069306930693,0.5620915032679739,0.01744186046511628,0.034482758620689655,0.013986013986013986,18.924508790072387,0.7446808510638298,,0.08333333333333333,0.008968609865470852,0.09549071618037135,0.018404907975460124,0.0890840652446675,0.012953367875647668,0.014814814814814815,0.004878048780487805,0.009433962264150943,0.02127659574468085,0.09523809523809523,0.08040201005025126,0.06756756756756757,0.08813559322033898,0.02531645569620253,0.45,0.12745098039215685,0.5384615384615384,0.5833333333333334,0.23809523809523808,0.20588235294117646,0.47619047619047616,0.5084745762711864,0.10457516339869281,0.09477124183006536,0.5517241379310345,0.5714285714285714,1.0,0.4673202614379085,0.38461538461538464,0.3900709219858156,0.6909090909090909,0.043478260869565216,,0.2608695652173913,0.5,1.0,0.34782608695652173,0.11578947368421053,0.6363636363636364,0.12631578947368421,0.4842105263157895,0.34782608695652173,0.6895424836601307,0.38461538461538464,0.5213410130718953,0.487,0.5196773684210527,0.054945054945054944,0.3159340659340659,9.240298507462688,26.48488372093023,0.3069852941176471,12.0,5.0,2.0,1.0,51.0,9.0,2.0,9.0,7.0,0.06716417910447761,0.07692307692307693,0.06349206349206349,0.12195121951219512,0.4,0.375,0.4,0.4166666666666667,0.25,1.0,0.4166666666666667,0.04126984126984127,0.06382978723404255,1.0,3.0,,2.0,3.0,,4.0,4.0,4.0,,,0.0625,0.02127659574468085,0.01098901098901099,,0.022988505747126436,,,,2.0,,,True
