EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PenaltyFG3A,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsPutbacks,Fg2aBlocked,Arc3Assists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,LostBallSteals,PenaltyTurnovers,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,DefensiveGoaltends,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,SecondChanceAtRimFGM,Corner3FGM,SelfOReb,BadPassTurnovers,SecondChanceTurnovers,Charge Fouls Drawn,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,OffCorner3ReboundPct,DefCorner3ReboundPct,SelfORebPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,Blocked2s,BlockedShortMidRange,Blocks,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,Loose Ball Fouls,RecoveredBlocks,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,BlockedAtRim,OffLongMidRangeReboundPct,Offensive Fouls Drawn,SecondChanceCorner3FGA,FTOffRebounds,Travels,OffFTReboundPct,SecondChanceCorner3Frequency,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,on,SecondChanceFtPoints,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,Charge Fouls,Loose Ball Fouls Drawn,LongMidRangePctBlocked,LongMidRangePctAssisted,SecondChanceCorner3FGM,3pt And 1 Free Throw Trips,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedCorner3,BlockedLongMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,OffensiveGoaltends
1628370,1610612758,Malik Monk,Malik Monk,1628370,SAC,1683.0,28,4.0,58,60,7.0,11.0,7,118,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,2.0,4.0,10.0,74,1.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,10.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,7.0,0.5,0.5,0.5,0.4,0.5555555555555556,0.5555555555555556,0.4444444444444444,18.46153846153846,0.3333333333333333,0.14285714285714285,0.10714285714285714,0.16666666666666666,0.2,0.2222222222222222,0.5,0.5,0.2222222222222222,0.1111111111111111,1.0,1.0,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5308944444444444,0.54255,7.12,25.575000000000003,0.1206896551724138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1630173,1610612758,Precious Achiuwa,Precious Achiuwa,1630173,SAC,2739.0,46,-7.0,99,103,35.0,23.0,7,202,3.0,8.0,9.0,,,,,1.0,1.0,8.0,17.0,,1.0,20.0,112,1.0,8.0,,,1.0,,1.0,5.0,6.0,2.0,1.0,,17.0,5.0,10.0,13.0,3.0,2.0,,2.0,3.0,,,3.0,2.0,6.0,4.0,35.0,,,,0.47058823529411764,0.4444444444444444,0.45454545454545453,0.05555555555555555,22.123893805309738,,0.38461538461538464,0.23076923076923078,0.2857142857142857,0.6666666666666666,0.4444444444444444,0.375,0.42857142857142855,0.5,,,,,0.05555555555555555,,,,0.14285714285714285,0.5,,0.5179555555555555,0.5631285714285713,4.529411764705882,26.0,0.35353535353535354,2.0,1.0,4.0,5.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,6.0,3.0,7.0,8.0,2.0,1.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,8.0,4.0,1.0,7.0,1.0,0.5,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.25,0.2857142857142857,0.25,0.35,0.058823529411764705,0.125,1.0,0.07142857142857142,0.15384615384615385,0.058823529411764705,0.06666666666666667,0.1,0.07692307692307693,0.09090909090909091,0.3333333333333333,0.21052631578947367,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.4,0.5,0.25,0.5714285714285714,0.25,0.4661666666666667,0.18181818181818182,0.19047619047619047,0.1,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1642363,1610612758,Nique Clifford,Nique Clifford,1642363,SAC,4424.0,74,8.0,154,162,51.0,40.0,15,316,5.0,7.0,7.0,,2.0,3.0,,5.0,2.0,6.0,16.0,2.0,8.0,24.0,170,2.0,6.0,6.0,,5.0,,7.0,5.0,12.0,2.0,2.0,5.0,29.0,6.0,11.0,15.0,1.0,1.0,5.0,2.0,2.0,,,7.0,2.0,4.0,5.0,51.0,1.0,0.25,0.25,0.375,0.375,0.4444444444444444,0.3333333333333333,19.428571428571427,0.7142857142857143,0.16666666666666666,0.1527777777777778,0.1,0.125,0.2916666666666667,0.7142857142857143,1.0,0.2916666666666667,0.08333333333333333,,,0.125,0.20833333333333334,,,,0.25,0.625,,0.5519333333333334,0.49392499999999995,6.34375,24.5375,0.33116883116883117,1.0,1.0,2.0,1.0,1.0,6.0,1.0,2.0,1.0,2.0,2.0,6.0,,4.0,6.0,2.0,5.0,3.0,1.0,3.0,5.0,,4.0,,3.0,,7.0,4.0,,4.0,,0.5,0.6,0.5,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.25,0.3125,0.2857142857142857,,0.07317073170731707,0.1388888888888889,0.03571428571428571,0.057971014492753624,,0.15789473684210525,,0.375,0.07142857142857142,0.4,0.14285714285714285,0.25,1.0,0.3333333333333333,0.3333333333333333,0.25,0.5,0.5284833333333333,0.14814814814814814,0.21052631578947367,0.08333333333333333,0.16666666666666666,1.0,2.0,1.0,5.0,1.0,1.0,1.0,0.42857142857142855,0.2,0.375,0.09090909090909091,0.6666666666666666,0.6666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
203471,1610612758,Dennis Schröder,Dennis Schröder,203471,SAC,1818.1,30,-6.0,64,64,5.0,6.0,5,128,1.0,2.0,5.0,1.0,4.0,,,,,5.0,11.0,,,18.0,75,,8.0,,,,,3.0,1.0,4.0,,2.0,1.0,9.0,1.0,1.0,1.0,3.0,2.0,,,1.0,,1.0,1.0,1.0,3.0,6.0,4.0,,,,0.45454545454545453,0.45454545454545453,0.6,,22.857142857142858,,0.05555555555555555,0.034482758620689655,0.1,,0.18181818181818182,0.5,0.5,0.45454545454545453,0.36363636363636365,0.25,0.25,,,,,,,0.18181818181818182,,0.46997272727272726,0.433,8.754545454545454,,0.078125,,,,3.0,,8.0,,1.0,,,1.0,1.0,2.0,4.0,2.0,,1.0,1.0,,,,,,1.0,,,9.0,4.0,,4.0,,0.2,0.2,,1.0,,1.0,,1.0,0.09090909090909091,,,,,,,,,,,,1.0,0.6,0.75,,,,,,0.3767,0.2857142857142857,0.2857142857142857,,0.2222222222222222,,,,,,,1.0,0.2,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
203926,1610612758,Doug McDermott,Doug McDermott,203926,SAC,6970.2,116,-30.0,246,248,59.0,58.0,25,494,1.0,1.0,,,,11.0,9.0,29.0,7.0,1.0,1.0,16.0,40.0,52.0,284,10.0,,48.0,,29.0,9.0,3.0,1.0,4.0,1.0,2.0,1.0,9.0,3.0,8.0,9.0,3.0,3.0,5.0,,1.0,,,6.0,6.0,7.0,1.0,58.0,1.0,0.4,0.4,1.0,0.6097560975609756,0.6190476190476191,0.975609756097561,17.142857142857142,0.8333333333333334,0.061224489795918366,0.07920792079207921,0.07142857142857142,0.1,0.024390243902439025,1.0,1.0,,,,,0.2682926829268293,0.7073170731707317,0.3103448275862069,0.3103448275862069,1.0,0.7,1.0,0.3103448275862069,0.5434817073170731,0.5261850000000001,2.4,25.869999999999997,0.23983739837398374,,,,,6.0,2.0,,,6.0,3.0,,,2.0,17.0,2.0,,,,1.0,,5.0,,1.0,,2.0,1.0,2.0,,,17.0,,1.0,1.0,,,0.25,0.75,0.25,0.7727272727272727,,,,,0.09615384615384616,0.017857142857142856,0.008403361344537815,,,0.022727272727272728,,0.10256410256410256,1.0,,,,,1.0,,,0.5538,,,0.057692307692307696,0.3269230769230769,,7.0,,5.0,,,,,,0.07692307692307693,,0.6363636363636364,0.6363636363636364,1.0,,1.0,1.0,1.0,3.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,0.16666666666666666,0.5,0.16666666666666666,1.0,0.3,0.3333333333333333,0.5714285714285714,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1642875,1610612758,Maxime Raynaud,Maxime Raynaud,1642875,SAC,3650.8,61,-31.0,132,132,27.0,26.0,13,264,4.0,4.0,14.0,,2.0,,,1.0,,11.0,20.0,,1.0,27.0,159,,,,,1.0,,,,,,,,,5.0,14.0,17.0,1.0,,3.0,,,1.0,,3.0,3.0,6.0,7.0,27.0,,,,0.55,0.5238095238095238,0.5869565217391305,0.047619047619047616,17.687074829931973,1.0,0.20833333333333334,0.24074074074074073,0.14285714285714285,0.14285714285714285,0.19047619047619047,1.0,1.0,0.6666666666666666,0.09523809523809523,,,,0.047619047619047616,,,,,0.23809523809523808,,0.4675809523809523,0.44416666666666665,8.16,25.8,0.20454545454545456,1.0,1.0,1.0,7.0,,5.0,1.0,1.0,,2.0,2.0,3.0,,4.0,22.0,,,,1.0,2.0,8.0,1.0,3.0,1.0,,,5.0,3.0,,4.0,,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,,,1.0,0.058823529411764705,0.26666666666666666,0.03125,0.045454545454545456,0.25,0.047619047619047616,0.04,0.6666666666666666,0.2608695652173913,1.0,0.5,0.5,1.0,1.0,,0.3333333333333333,1.0,,0.13043478260869565,0.13636363636363635,0.07407407407407407,0.14814814814814814,1.0,,,2.0,,,1.0,,,0.2857142857142857,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
203897,1610612758,Zach LaVine,Zach LaVine,203897,SAC,338.0,6,10.0,11,11,3.0,5.0,1,22,1.0,2.0,,2.0,2.0,,4.0,4.0,1.0,3.0,4.0,4.0,4.0,18.0,13,1.0,6.0,,12.0,4.0,4.0,,,,,,,,2.0,2.0,2.0,,,1.0,,,,,1.0,,,,3.0,,1.0,1.0,0.75,1.125,1.125,0.5,75.0,1.0,0.4,0.2857142857142857,0.3333333333333333,1.0,0.25,0.5,0.5,,0.25,1.0,1.0,,0.5,1.0,1.0,,0.5,0.75,1.0,0.50979375,0.633,10.975000000000001,26.925,0.2727272727272727,,1.0,1.0,,,,1.0,1.0,,2.0,1.0,1.0,,5.0,,,,,,,,,,,,,,,,5.0,,,,1.0,1.0,1.0,1.25,1.0,1.25,,,,,,,,,,,,,,,,,,,0.5,1.0,0.4005,,,0.1111111111111111,0.2777777777777778,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
1642928,1610612758,Dylan Cardwell,Dylan Cardwell,1642928,SAC,2160.3,36,,72,74,15.0,24.0,12,146,2.0,5.0,2.0,,,,,,,2.0,7.0,,,4.0,75,,,,,,,3.0,1.0,4.0,,3.0,,9.0,6.0,7.0,13.0,3.0,3.0,1.0,,2.0,,,3.0,4.0,10.0,1.0,15.0,,,,0.2857142857142857,0.2857142857142857,0.2857142857142857,,11.764705882352942,0.3333333333333333,0.2857142857142857,0.20588235294117646,0.38461538461538464,0.5,0.7142857142857143,0.4,0.5,0.2857142857142857,,,,,,,,,,0.7142857142857143,,0.5468,,4.2857142857142865,,0.20833333333333334,2.0,,,,,,1.0,3.0,,2.0,,,,,4.0,,1.0,1.0,1.0,5.0,1.0,,6.0,,,1.0,,,,,,1.0,1.0,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,0.14285714285714285,0.2,,0.23809523809523808,0.07692307692307693,0.05555555555555555,0.15384615384615385,0.375,0.1,0.0625,,,1.0,,,,0.6666666666666666,,,,0.5178333333333334,,,0.5,,1.0,,1.0,1.0,,,,,,0.2,0.25,,,,0.5,,,,,,,,,2.0,1.0,2.0,,,,,,,,3.0,1.0,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
201566,1610612758,Russell Westbrook,Russell Westbrook,201566,SAC,1561.2,26,-21.0,59,54,2.0,11.0,5,113,2.0,4.0,2.0,1.0,2.0,1.0,,,,5.0,8.0,1.0,1.0,19.0,74,,10.0,3.0,,,,3.0,2.0,5.0,1.0,2.0,1.0,12.0,1.0,4.0,9.0,,,5.0,,,1.0,,5.0,,1.0,5.0,1.0,1.0,1.0,1.0,0.625,0.7222222222222222,0.7916666666666666,0.1111111111111111,24.999999999999996,1.0,0.1111111111111111,0.15,,1.0,0.4444444444444444,0.5,0.5,0.2222222222222222,0.2222222222222222,0.5,0.5,0.1111111111111111,,,,,,0.5555555555555556,,0.5729277777777777,,6.9125,24.0,0.03389830508474576,2.0,,,2.0,,6.0,1.0,2.0,,2.0,,,,,,,,1.0,1.0,4.0,2.0,1.0,5.0,,1.0,,6.0,3.0,,,,,,0.5,,0.5,,0.5,,,,1.0,0.2222222222222222,0.18181818181818182,0.07692307692307693,0.16129032258064516,0.6666666666666666,0.18181818181818182,0.08333333333333333,,0.2222222222222222,,1.0,1.0,,1.0,,,,0.7697,0.25,0.2727272727272727,0.10526315789473684,,1.0,1.0,1.0,4.0,,,,,,,0.3333333333333333,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
201942,1610612758,DeMar DeRozan,DeMar DeRozan,201942,SAC,1985.2,33,-39.0,69,66,10.0,14.0,7,135,,1.0,7.0,1.0,3.0,2.0,,2.0,,3.0,11.0,,4.0,15.0,93,,6.0,,,2.0,,1.0,,1.0,,1.0,,2.0,1.0,1.0,2.0,,,1.0,,1.0,1.0,,2.0,,1.0,6.0,9.0,,,,0.2727272727272727,0.2,0.39473684210526316,0.26666666666666666,27.272727272727273,0.5,0.08333333333333333,0.04,,,0.06666666666666667,,,0.4666666666666667,0.2,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.13333333333333333,,,,,0.3333333333333333,,0.46279333333333333,0.35385,11.663636363636364,24.874999999999996,0.14492753623188406,,,,2.0,1.0,9.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,,2.0,2.0,,1.0,,,,1.0,,,1.0,9.0,4.0,,,,,,1.0,,0.5,,0.5,0.3333333333333333,0.18181818181818182,1.0,,,,0.047619047619047616,0.02564102564102564,,,,0.3333333333333333,,,0.2857142857142857,0.3333333333333333,,,0.5,,,0.52935,0.2222222222222222,0.2857142857142857,0.13333333333333333,0.13333333333333333,,,1.0,,,,1.0,0.14285714285714285,0.2,,0.1,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
