EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,2pt And 1 Free Throw Trips,3pt And 1 Free Throw Trips,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceCorner3FGM,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Travels,Offensive Fouls Drawn,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,FTOffRebounds,Charge Fouls,Defensive 3 Seconds Violations,OffFTReboundPct,Charge Fouls Drawn,BlockedLongMidRange,on,OffensiveGoaltends,DefensiveGoaltends,Corner3PctBlocked,Blocked3s,BlockedArc3
1628374,1610612762,Lauri Markkanen,Lauri Markkanen,1628374,UTA,26653.4,444.0,-53.0,960,957.0,213.0,212.0,135.0,1917,42.0,63.0,14.0,23.0,6.0,11.0,30.0,60.0,5.0,20.0,14.0,26.0,4.0,6.0,6.0,29.0,82.0,4.0,6.0,8.0,23.0,77.0,143.0,43.0,108.0,83.0,366.0,1119.0,15.0,27.0,4.0,10.0,5.0,47.0,16.0,28.0,14.0,29.0,22.0,96.0,112.0,42.0,123.0,6.0,20.0,82.0,29.0,9.0,12.0,14.0,26.0,10.0,4.0,8.0,2.0,2.0,66.0,12.0,14.0,31.0,27.0,4.0,62.0,26.0,88.0,7.0,13.0,11.0,2.0,11.0,6.0,7.0,4.0,5.0,18.0,1.0,6.0,15.0,23.0,3.0,3.0,81.0,3.0,90.0,8.0,1.0,6.0,36.0,3.0,6.0,3.0,1.0,2.0,3.0,1.0,94.0,209.0,1.0,6.0,0.7272727272727273,0.835820895522388,0.9534883720930233,0.39814814814814814,0.4,0.4827586206896552,0.39814814814814814,0.5384615384615384,0.5555555555555556,0.5714285714285714,0.5637450199203188,0.5675675675675675,0.6491228070175439,0.6306620209059234,0.5875,0.6985294117647058,0.4302788844621514,0.06293706293706294,0.06349206349206349,0.08333333333333333,27.135231316725978,0.6111111111111112,0.23529411764705882,0.12442396313364056,0.059574468085106386,0.13596491228070176,0.04819277108433735,0.1303370786516854,0.05371900826446281,0.07352941176470588,0.06451612903225806,0.023255813953488372,0.05263157894736842,0.03389830508474576,0.018867924528301886,0.16666666666666666,0.125,0.13259668508287292,0.14893617021276595,0.05737704918032787,0.3333333333333333,0.250996015936255,0.6666666666666666,0.711864406779661,0.7142857142857143,0.23904382470119523,0.5,0.5454545454545454,0.7333333333333333,0.0796812749003984,0.25,0.25,0.8,0.10358565737051793,0.5384615384615384,0.5384615384615384,0.9285714285714286,0.32669322709163345,0.35365853658536583,0.35365853658536583,0.9655172413793104,0.6216216216216216,0.6086956521739131,0.2857142857142857,0.10810810810810811,0.16216216216216217,0.6666666666666666,1.0,0.19298245614035087,0.5454545454545454,0.10526315789473684,1.0,0.40350877192982454,0.34782608695652173,0.6812749003984063,0.35365853658536583,0.5278918326693225,0.5634535714285714,0.5093736842105263,0.1387900355871886,0.21052631578947367,0.02727272727272727,0.1284153005464481,0.26229508196721313,6.289510489510488,25.62777777777777,0.221875,,,,,,,,,,,,,,,,,,True,,,,,
1629004,1610612762,Svi Mykhailiuk,Svi Mykhailiuk,1629004,UTA,24101.9,402.0,-59.0,859,869.0,137.0,134.0,118.0,1728,13.0,17.0,3.0,5.0,5.0,5.0,14.0,18.0,2.0,4.0,13.0,37.0,8.0,1.0,6.0,15.0,43.0,2.0,3.0,2.0,3.0,29.0,39.0,28.0,80.0,8.0,150.0,1003.0,4.0,6.0,4.0,11.0,,20.0,8.0,8.0,3.0,9.0,2.0,27.0,42.0,16.0,78.0,6.0,2.0,43.0,15.0,2.0,18.0,16.0,34.0,12.0,4.0,6.0,12.0,,84.0,5.0,5.0,21.0,11.0,4.0,36.0,10.0,46.0,1.0,7.0,7.0,,9.0,6.0,7.0,1.0,3.0,16.0,,3.0,14.0,21.0,,,8.0,,9.0,2.0,1.0,,5.0,1.0,,3.0,2.0,1.0,3.0,1.0,27.0,137.0,,,0.7241379310344828,0.75,0.9285714285714286,0.35,0.36363636363636365,0.3333333333333333,0.35,0.7435897435897436,0.6666666666666666,1.0,0.5966386554621849,0.5882352941176471,0.7352941176470589,0.6147540983606558,0.5882352941176471,0.7941176470588235,0.6722689075630253,0.05128205128205128,0.058823529411764705,0.05555555555555555,13.64985163204748,0.5625,0.2222222222222222,0.0582010582010582,0.022935779816513763,0.09767441860465116,0.02145922746781116,0.07920792079207921,0.022172949002217297,0.03278688524590164,0.016,0.03125,0.01764705882352941,0.031746031746031744,0.02127659574468085,0.07142857142857142,0.06666666666666667,0.09826589595375723,0.09523809523809523,0.016666666666666666,0.3333333333333333,0.14285714285714285,0.7647058823529411,0.8125,0.7692307692307693,0.15126050420168066,0.7777777777777778,0.8235294117647058,0.7142857142857143,0.03361344537815126,0.5,0.5,0.5,0.31092436974789917,0.35135135135135137,0.35135135135135137,0.9230769230769231,0.36134453781512604,0.3488372093023256,0.3488372093023256,0.9333333333333333,0.29411764705882354,0.6,0.6666666666666666,0.47058823529411764,0.17647058823529413,0.6666666666666666,1.0,0.29411764705882354,1.0,0.35294117647058826,0.16666666666666666,0.17647058823529413,0.6666666666666666,0.8151260504201681,0.3488372093023256,0.5423798319327731,0.577309090909091,0.5378,0.04918032786885246,0.11904761904761904,0.0125,0.13333333333333333,0.18,6.276923076923077,24.85,0.15948777648428406,2.0,3.0,2.0,1.0,1.0,0.25,1.0,,,,,,,,,,,True,,,,,
1641707,1610612762,Taylor Hendricks,Taylor Hendricks,1641707,UTA,6790.099999999999,113.0,-40.0,250,255.0,76.0,69.0,33.0,505,5.0,9.0,1.0,5.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,,,2.0,,6.0,,1.0,,2.0,7.0,15.0,1.0,10.0,4.0,21.0,292.0,1.0,6.0,,1.0,1.0,3.0,2.0,3.0,,4.0,4.0,8.0,10.0,4.0,3.0,,2.0,6.0,,2.0,1.0,2.0,3.0,1.0,1.0,,1.0,,8.0,6.0,5.0,11.0,5.0,1.0,17.0,11.0,28.0,1.0,2.0,2.0,,1.0,1.0,1.0,,,2.0,1.0,1.0,3.0,4.0,,,4.0,,6.0,,,,1.0,,2.0,2.0,1.0,1.0,2.0,1.0,8.0,76.0,,2.0,0.7142857142857143,0.8333333333333334,1.0,0.1,,,0.1,0.4666666666666667,0.16666666666666666,0.6666666666666666,0.34,0.14285714285714285,0.2857142857142857,0.375,0.1875,0.4,0.4,0.13333333333333333,,0.4,10.344827586206897,0.5,0.3333333333333333,0.09803921568627451,0.07352941176470588,0.15492957746478872,0.10526315789473684,0.13114754098360656,0.088,0.05263157894736842,0.11428571428571428,,0.10638297872340426,0.1,0.09090909090909091,0.11538461538461539,,0.1509433962264151,0.16666666666666666,0.06666666666666667,0.5,0.36,0.5555555555555556,0.5555555555555556,0.6,0.2,0.2,0.3333333333333333,1.0,0.04,1.0,1.0,1.0,0.16,0.25,0.25,1.0,0.24,,,,0.7142857142857143,0.2,,,0.14285714285714285,,,0.2857142857142857,0.5,0.2857142857142857,,0.2857142857142857,,0.76,,0.539052,0.56358,0.5596357142857142,0.038461538461538464,0.0625,,0.14285714285714285,0.38095238095238093,4.52,24.93,0.304,,,,,,,,,,,,,,,,,,True,,,,,
1641718,1610612762,Keyonte George,Keyonte George,1641718,UTA,24531.300000000003,409.0,-111.0,885,886.0,202.0,203.0,118.0,1771,16.0,22.0,1.0,2.0,6.0,7.0,30.0,71.0,5.0,23.0,2.0,9.0,2.0,,1.0,24.0,61.0,2.0,3.0,3.0,12.0,51.0,116.0,26.0,70.0,75.0,255.0,1100.0,2.0,4.0,2.0,5.0,6.0,16.0,19.0,36.0,3.0,13.0,32.0,79.0,50.0,52.0,51.0,27.0,,61.0,24.0,15.0,57.0,27.0,84.0,15.0,12.0,30.0,24.0,3.0,195.0,2.0,4.0,21.0,18.0,,39.0,6.0,45.0,,9.0,7.0,2.0,31.0,20.0,17.0,3.0,11.0,48.0,3.0,8.0,12.0,30.0,2.0,4.0,56.0,1.0,84.0,7.0,,3.0,33.0,5.0,3.0,,,,,,73.0,198.0,8.0,,0.49019607843137253,0.49019607843137253,0.6538461538461539,0.37142857142857144,0.4,0.23076923076923078,0.37142857142857144,0.4396551724137931,0.5,0.5277777777777778,0.4838709677419355,0.5555555555555556,0.47959183673469385,0.5727272727272728,0.6666666666666666,0.6190476190476191,0.3763440860215054,0.12931034482758622,0.13636363636363635,0.14084507042253522,26.07003891050584,0.6458333333333334,,0.0967741935483871,0.01834862385321101,0.10552763819095477,0.009433962264150943,0.1012987012987013,0.013953488372093023,0.016129032258064516,0.025423728813559324,,0.006369426751592357,0.01818181818181818,0.058823529411764705,0.0990990990990991,0.16666666666666666,0.09868421052631579,0.1276595744680851,,,0.11827956989247312,0.7272727272727273,0.8421052631578947,0.6875,0.3817204301075269,0.4225352112676056,0.4918032786885246,0.4,0.12365591397849462,0.21739130434782608,0.23809523809523808,0.4,0.04838709677419355,0.2222222222222222,0.2222222222222222,1.0,0.3279569892473118,0.39344262295081966,0.4,0.625,0.2222222222222222,0.5,1.0,0.2222222222222222,0.3333333333333333,0.6666666666666666,1.0,0.14285714285714285,0.8571428571428571,0.02040816326530612,,0.24489795918367346,0.25,0.4946236559139785,0.39344262295081966,0.4899204301075269,0.5258428571428572,0.45995816326530614,0.1712962962962963,0.2323943661971831,0.05405405405405406,0.06274509803921569,0.30980392156862746,9.069827586206896,25.321428571428573,0.22824858757062147,,4.0,,3.0,5.0,,,1.0,0.014285714285714285,0.08695652173913043,0.01639344262295082,,,,,,,True,,,,,
203994,1610612762,Jusuf Nurkić,Jusuf Nurkić,203994,UTA,35334.9,589.0,-114.0,1273,1276.0,284.0,281.0,173.0,2549,41.0,70.0,17.0,27.0,8.0,11.0,35.0,72.0,,2.0,,,,,,8.0,35.0,,4.0,3.0,4.0,76.0,144.0,8.0,35.0,32.0,208.0,1524.0,28.0,42.0,,4.0,12.0,68.0,15.0,27.0,3.0,4.0,18.0,57.0,100.0,52.0,24.0,,40.0,35.0,8.0,17.0,65.0,31.0,96.0,21.0,10.0,29.0,20.0,16.0,223.0,24.0,35.0,77.0,81.0,10.0,168.0,60.0,228.0,10.0,35.0,25.0,10.0,35.0,25.0,27.0,3.0,10.0,62.0,5.0,13.0,32.0,73.0,8.0,17.0,67.0,18.0,66.0,4.0,,,25.0,,10.0,9.0,5.0,4.0,9.0,3.0,57.0,280.0,5.0,10.0,0.6578947368421053,0.8928571428571429,1.0,0.22857142857142856,,0.75,0.22857142857142856,0.5277777777777778,0.6666666666666666,0.5555555555555556,0.49162011173184356,0.6086956521739131,0.6290322580645161,0.49523809523809526,0.576271186440678,0.6333333333333333,0.19553072625698323,0.11805555555555555,0.14285714285714285,0.09722222222222222,18.35357624831309,0.5645161290322581,0.38461538461538464,0.2988929889298893,0.11400651465798045,0.24919093851132687,0.07476635514018691,0.27241379310344827,0.09394904458598727,0.12643678160919541,0.12121212121212122,0.07272727272727272,0.07112970711297072,0.08536585365853659,0.3787878787878788,0.30952380952380953,0.10810810810810811,0.24081632653061225,0.28125,0.12987012987012986,0.3333333333333333,0.39106145251396646,0.5857142857142857,0.6833333333333333,0.5609756097560976,0.4022346368715084,0.4861111111111111,0.5384615384615384,0.7714285714285715,0.0111731843575419,,,,,,,,0.19553072625698323,0.22857142857142856,0.23529411764705882,1.0,0.5869565217391305,0.6296296296296297,0.058823529411764705,,0.08695652173913043,,,0.3548387096774194,0.7272727272727273,,,0.12903225806451613,0.75,0.5865921787709497,0.22857142857142856,0.5092723463687152,0.5329129629629629,0.4926758064516129,0.125,0.15151515151515152,,0.3269230769230769,0.27403846153846156,4.539583333333335,25.762857142857147,0.22309505106048705,,5.0,,,4.0,,,1.0,0.02857142857142857,,0.02857142857142857,1.0,1.0,3.0,0.027777777777777776,,,True,,,,,
1642383,1610612762,Walter Clayton Jr.,Walter Clayton Jr.,1642383,UTA,9796.099999999999,163.0,-5.0,355,357.0,82.0,79.0,46.0,712,3.0,6.0,1.0,1.0,1.0,1.0,8.0,15.0,2.0,5.0,,1.0,,,,8.0,26.0,,1.0,1.0,6.0,13.0,26.0,8.0,27.0,10.0,60.0,407.0,1.0,1.0,,1.0,,2.0,5.0,6.0,1.0,6.0,4.0,17.0,,26.0,15.0,9.0,,26.0,8.0,4.0,16.0,18.0,34.0,15.0,3.0,7.0,8.0,1.0,86.0,5.0,1.0,15.0,10.0,,25.0,6.0,31.0,2.0,8.0,3.0,5.0,9.0,7.0,3.0,,2.0,12.0,1.0,3.0,11.0,18.0,1.0,,8.0,,10.0,3.0,,,5.0,1.0,,3.0,,3.0,3.0,2.0,17.0,82.0,1.0,,,,0.625,0.2962962962962963,,0.16666666666666666,0.2962962962962963,0.5,1.0,0.8333333333333334,0.4716981132075472,0.5,0.5416666666666666,0.5357142857142857,0.5,0.6538461538461539,0.5094339622641509,0.15384615384615385,0.16666666666666666,0.2,16.46489104116223,0.75,,0.13513513513513514,0.012345679012345678,0.15151515151515152,0.058823529411764705,0.14450867052023122,0.03614457831325301,,0.025,,0.04838709677419355,0.08695652173913043,0.09090909090909091,0.10204081632653061,0.2857142857142857,0.19736842105263158,,0.07142857142857142,0.6666666666666666,0.11320754716981132,0.5,0.6,,0.2830188679245283,0.5333333333333333,0.6666666666666666,,0.09433962264150944,0.4,0.4,,0.018867924528301886,,,,0.49056603773584906,0.3076923076923077,0.3076923076923077,0.625,0.5,1.0,,,0.5,,,0.08333333333333333,1.0,,,0.5,0.16666666666666666,0.6226415094339622,0.3076923076923077,0.5010999999999999,,0.49412083333333334,0.10714285714285714,0.17857142857142858,0.03571428571428571,0.03333333333333333,0.2833333333333333,8.350000000000001,26.65555555555556,0.23098591549295774,,3.0,,,,,,,,,,,,,,,,True,,,,,
1641729,1610612762,Brice Sensabaugh,Brice Sensabaugh,1641729,UTA,8389.400000000001,140.0,-55.0,308,313.0,105.0,97.0,39.0,621,1.0,3.0,,,,1.0,5.0,15.0,3.0,4.0,7.0,12.0,3.0,2.0,3.0,9.0,31.0,1.0,2.0,1.0,4.0,9.0,22.0,16.0,43.0,13.0,79.0,393.0,,2.0,2.0,5.0,,6.0,1.0,4.0,3.0,7.0,2.0,13.0,12.0,6.0,45.0,3.0,,31.0,9.0,4.0,5.0,2.0,7.0,2.0,,4.0,1.0,,16.0,4.0,3.0,10.0,8.0,1.0,19.0,7.0,26.0,,6.0,3.0,3.0,9.0,7.0,2.0,,2.0,11.0,,3.0,8.0,13.0,2.0,,8.0,,13.0,1.0,,,7.0,,,1.0,1.0,,1.0,1.0,13.0,102.0,3.0,,0.6666666666666666,0.6666666666666666,0.9375,0.37209302325581395,0.4,0.42857142857142855,0.37209302325581395,0.4090909090909091,,0.25,0.5076923076923077,0.42857142857142855,0.5,0.5563380281690141,0.42857142857142855,0.5416666666666666,0.6615384615384615,0.18181818181818182,0.3333333333333333,0.2,23.36182336182336,0.8181818181818182,0.125,0.1509433962264151,0.047619047619047616,0.136986301369863,0.05333333333333334,0.14285714285714285,0.050724637681159424,,0.0625,0.05555555555555555,0.03508771929824561,0.1111111111111111,0.14285714285714285,0.16666666666666666,,0.14035087719298245,0.125,,1.0,0.046153846153846156,0.3333333333333333,0.5,1.0,0.23076923076923078,0.3333333333333333,0.4166666666666667,0.6,0.06153846153846154,0.75,0.75,0.6666666666666666,0.18461538461538463,0.5833333333333334,0.5833333333333334,1.0,0.47692307692307695,0.2903225806451613,0.2903225806451613,0.8888888888888888,,,,0.42857142857142855,0.2857142857142857,0.5,1.0,0.09090909090909091,,0.2727272727272727,0.6666666666666666,0.36363636363636365,0.25,0.7076923076923077,0.2903225806451613,0.5187761538461538,0.4902,0.5110727272727273,0.09859154929577464,0.25,,0.0759493670886076,0.16455696202531644,10.154545454545454,25.38372093023256,0.3409090909090909,1.0,,1.0,,,0.3333333333333333,1.0,,,,,,,,,1.0,,True,,,,,
1641989,1610612762,Elijah Harkless,Elijah Harkless,1641989,UTA,957.2,16.0,6.0,34,29.0,12.0,10.0,3.0,63,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,3.0,,,,1.0,1.0,2.0,1.0,4.0,,5.0,35.0,,,,,,,,,,1.0,,,,2.0,3.0,,,3.0,,,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,11.0,,,,,1.0,0.25,,,0.25,0.5,,,0.4166666666666667,,,0.4166666666666667,,,0.6666666666666666,,,,17.94871794871795,1.0,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,,,,,,0.16666666666666666,1.0,1.0,,0.16666666666666666,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,1.0,,0.8333333333333334,,0.5517,,0.543,,,,,,10.65,25.025,0.35294117647058826,,,,,1.0,,,,,,,,,,,,,True,,,,,
1642262,1610612762,Cody Williams,Cody Williams,1642262,UTA,2076.7,35.0,-3.0,81,79.0,21.0,20.0,9.0,160,2.0,2.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,4.0,,,1.0,,1.0,,,,1.0,2.0,3.0,1.0,5.0,,7.0,93.0,1.0,1.0,,,,2.0,1.0,1.0,,2.0,,2.0,4.0,,3.0,,,1.0,,1.0,,,,,,,,,,,,,2.0,,2.0,,2.0,,1.0,1.0,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,2.0,21.0,,,1.0,1.0,1.0,0.2,,,0.2,0.6666666666666666,1.0,1.0,0.4375,1.0,0.3333333333333333,0.4375,1.0,0.3333333333333333,0.625,0.3333333333333333,,1.0,8.98876404494382,,,0.1,,,,0.05714285714285714,,,,,,,,0.07692307692307693,0.5,,,,1.0,0.25,1.0,1.0,1.0,0.125,,,,,,,,0.5,0.25,0.25,1.0,0.125,,,,1.0,1.0,1.0,,,,,0.3333333333333333,1.0,0.3333333333333333,,0.3333333333333333,,0.875,,0.6143124999999999,,0.6396166666666666,,,,0.2857142857142857,0.2857142857142857,2.733333333333333,23.76,0.25925925925925924,,,,,1.0,,,,,,,,,,,,,True,,,,,
1642268,1610612762,Isaiah Collier,Isaiah Collier,1642268,UTA,7929.1,132.0,-44.0,285,280.0,89.0,99.0,36.0,565,3.0,9.0,,1.0,,2.0,7.0,21.0,,,,2.0,2.0,,,2.0,5.0,,1.0,,2.0,10.0,30.0,2.0,7.0,14.0,40.0,365.0,1.0,3.0,,3.0,,2.0,3.0,8.0,,2.0,4.0,10.0,8.0,12.0,6.0,,,5.0,2.0,9.0,14.0,20.0,34.0,13.0,7.0,4.0,8.0,2.0,88.0,,1.0,11.0,4.0,,15.0,1.0,16.0,1.0,3.0,1.0,2.0,7.0,5.0,6.0,1.0,2.0,13.0,1.0,4.0,4.0,10.0,,,12.0,,19.0,3.0,,,9.0,,2.0,1.0,,1.0,1.0,1.0,10.0,86.0,,2.0,0.4,0.4,1.0,0.2857142857142857,,,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.375,0.35135135135135137,0.16666666666666666,0.3,0.4444444444444444,0.16666666666666666,0.4166666666666667,0.1891891891891892,0.3,0.3333333333333333,0.2857142857142857,18.012422360248447,0.5384615384615384,,0.0625,0.017543859649122806,0.2,,0.12605042016806722,0.0078125,,0.02857142857142857,,,,,0.09302325581395349,,0.16,0.6,0.06666666666666667,1.0,0.24324324324324326,0.3333333333333333,0.5,0.6666666666666666,0.5675675675675675,0.3333333333333333,0.4666666666666667,0.2857142857142857,,,,,0.05405405405405406,,,,0.13513513513513514,0.4,0.4,1.0,0.16666666666666666,,,0.3333333333333333,0.16666666666666666,,,0.2,,,,0.2,,0.43243243243243246,0.4,0.49148243243243245,0.5163,0.47158999999999995,0.20930232558139536,0.25,,0.05,0.25,5.96,25.442857142857147,0.312280701754386,,2.0,1.0,,,,,,,,,,1.0,,,,,True,,,,,
