EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,Usage,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3A,PenaltyFtPoints,PtsUnassisted3s,ShortMidRangeAssists,DefThreePtRebounds,LostBallSteals,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,TwoPtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,NonShootingFoulsDrawn,BlockedAtRim,BlockedShortMidRange,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Technical Free Throw Trips,OffLongMidRangeReboundPct,Charge Fouls,Blocked3s,BlockedArc3,OffCorner3ReboundPct,on,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,OffensiveGoaltends
1628379,1610612737,Luke Kennard,Luke Kennard,1628379,ATL,4134.900000000001,69,-9.0,139,141,46.0,48,16,280,2.0,8.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,3.0,5.0,1.0,2.0,4.0,7.0,1.0,4.0,13.0,7.0,12.0,1.0,30.0,172,1.0,5.0,2.0,1.0,2.0,1.0,3.0,5.0,4.0,4.0,21.0,2.0,7.0,4.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,10.0,3.0,4.0,4.0,3.0,7,2.0,3.0,3.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,46.0,0.5,0.6666666666666666,1.0,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.3076923076923077,0.2,0.5,0.58,0.2,0.5,0.6,0.2,0.5,0.48,0.15384615384615385,0.25,16.352201257861633,1.0,0.12903225806451613,0.08823529411764706,0.057971014492753624,0.04477611940298507,0.21428571428571427,0.09090909090909091,0.07692307692307693,0.2857142857142857,0.16666666666666666,1.0,0.32,0.25,0.3333333333333333,0.5,0.04,0.16,0.5,0.5,0.5,0.2,0.6,0.6,1.0,0.28,0.5714285714285714,0.5714285714285714,1.0,0.8,0.25,0.2,1.0,0.4,0.5,0.2,0.8,0.5714285714285714,0.5748539999999999,0.6008,0.55587,0.04,0.08333333333333333,0.06666666666666667,0.16666666666666666,6.653846153846154,25.016666666666666,0.33093525179856115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1629027,1610612737,Trae Young,Trae Young,1629027,ATL,3052.0,51,-13.0,118,120,26.0,35,13,238,2.0,5.0,,,1.0,2.0,9.0,1.0,2.0,,1.0,,,1.0,11.0,6.0,8.0,16.0,1.0,12.0,6.0,25.0,157,,,,1.0,3.0,1.0,6.0,7.0,2.0,14.0,,,11.0,1.0,,10.0,4.0,14.0,3.0,1.0,7.0,32.0,,1.0,3.0,,3,,1.0,,3.0,3.0,3.0,3.0,5.0,12.0,,8.0,,,,,,,7.0,26.0,0.125,0.125,,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.5,,0.3333333333333333,0.3392857142857143,,0.2777777777777778,0.4032258064516129,,0.35,0.42857142857142855,,,25.563909774436087,1.0,0.05,,0.08333333333333333,,,,,1.0,,,0.17857142857142858,0.4,0.4,,0.32142857142857145,0.07142857142857142,0.5,0.5,,0.03571428571428571,,,,0.39285714285714285,0.09090909090909091,0.09090909090909091,,,,0.2222222222222222,0.5,,,0.6666666666666666,0.6071428571428571,0.09090909090909091,0.5119464285714286,,0.5130333333333333,0.16129032258064516,,,0.28,7.24375,27.108333333333334,0.22033898305084745,5.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,5.0,1.0,0.125,0.16666666666666666,0.5555555555555556,0.5555555555555556,0.2,1.0,0.16666666666666666,0.2631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,
1629638,1610612737,Nickeil Alexander-Walker,Nickeil Alexander-Walker,1629638,ATL,9137.0,152,39.0,327,323,93.0,114,36,650,16.0,25.0,3.0,4.0,6.0,8.0,5.0,4.0,9.0,5.0,10.0,,1.0,11.0,21.0,5.0,22.0,39.0,16.0,31.0,22.0,114.0,379,5.0,6.0,16.0,6.0,11.0,4.0,6.0,37.0,22.0,22.0,39.0,2.0,21.0,11.0,3.0,12.0,5.0,17.0,2.0,3.0,7.0,39.0,2.0,3.0,15.0,4.0,19,1.0,2.0,2.0,10.0,8.0,14.0,7.0,18.0,17.0,1.0,24.0,,,5.0,1.0,5.0,3.0,37.0,93.0,0.5,0.5238095238095238,0.8125,0.5161290322580645,0.6666666666666666,0.5161290322580645,0.5641025641025641,0.8333333333333334,0.5454545454545454,0.6571428571428571,0.8125,0.7058823529411765,0.7037037037037037,0.8888888888888888,0.7708333333333334,0.44285714285714284,0.07692307692307693,0.08,25.885558583106267,0.7142857142857143,0.03529411764705882,0.028169014084507043,0.08695652173913043,0.030303030303030304,0.03125,0.07407407407407407,0.02127659574468085,,0.034482758620689655,0.6,0.35714285714285715,0.64,0.6956521739130435,0.5625,0.07142857142857142,0.12857142857142856,0.4444444444444444,0.4444444444444444,0.25,0.14285714285714285,0.5,0.5,1.0,0.3,0.5238095238095238,0.5238095238095238,0.7272727272727273,0.5,0.75,0.47058823529411764,0.75,0.058823529411764705,,0.29411764705882354,0.8,0.5238095238095238,0.5805428571428571,0.5527599999999999,0.5721823529411765,0.1282051282051282,,0.14035087719298245,0.32456140350877194,6.348717948717949,25.225806451612904,0.28440366972477066,2.0,1.0,4.0,2.0,13.0,9.0,3.0,11.0,,1.0,2.0,10.0,6.0,0.14473684210526316,0.18,0.4,0.5,0.5,0.125,0.8,0.2127659574468085,1.0,1.0,1.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,3.0,3.0,0.5,0.2,0.1111111111111111,0.03278688524590164,0.045454545454545456,0.0425531914893617,0.07692307692307693,0.3333333333333333,0.125,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,
1630168,1610612737,Onyeka Okongwu,Onyeka Okongwu,1630168,ATL,3413.0,57,-7.0,111,117,13.0,9,19,228,4.0,7.0,,3.0,,,7.0,,,3.0,4.0,1.0,1.0,2.0,5.0,,6.0,14.0,5.0,9.0,8.0,35.0,137,,3.0,3.0,,,1.0,1.0,4.0,10.0,2.0,15.0,,5.0,2.0,2.0,2.0,3.0,5.0,1.0,2.0,1.0,13.0,5.0,10.0,15.0,7.0,22,2.0,2.0,,1.0,1.0,6.0,4.0,5.0,8.0,1.0,9.0,,,,,,,4.0,13.0,0.8333333333333334,0.8333333333333334,1.0,0.5555555555555556,1.0,0.5555555555555556,0.42857142857142855,,,0.5869565217391305,,1.5,0.6538461538461539,0.3,1.5,0.391304347826087,0.14285714285714285,0.2857142857142857,23.021582733812952,0.16666666666666666,0.4166666666666667,0.14705882352941177,0.29411764705882354,0.10606060606060606,0.23076923076923078,0.375,0.25,0.625,0.2,,0.30434782608695654,0.5714285714285714,0.8,1.0,0.30434782608695654,,,,,0.17391304347826086,0.75,0.75,1.0,0.21739130434782608,0.4,0.4,1.0,1.0,,,,1.0,1.0,,0.6956521739130435,0.4,0.5462913043478261,0.51655,0.60675,0.19230769230769232,,0.08571428571428572,0.11428571428571428,3.7714285714285714,24.433333333333334,0.11711711711711711,2.0,,,,1.0,,,5.0,2.0,,2.0,5.0,,0.18518518518518517,0.15,0.2857142857142857,0.2857142857142857,0.5,,,0.29411764705882354,,,,3.0,1.0,2.0,,5.0,,,,,,1.0,,,,,,,,,0.0625,0.07142857142857142,0.08,0.2857142857142857,,,,,1.0,3.0,1.0,1.0,0.14285714285714285,,,,,True,,,,,,,,,,,
204001,1610612737,Kristaps Porziņģis,Kristaps Porziņģis,204001,ATL,15689.400000000001,261,6.0,551,554,117.0,134,65,1105,15.0,27.0,5.0,10.0,1.0,4.0,27.0,11.0,22.0,4.0,7.0,1.0,1.0,12.0,41.0,9.0,40.0,76.0,16.0,48.0,44.0,172.0,665,5.0,10.0,24.0,6.0,12.0,2.0,10.0,37.0,48.0,32.0,48.0,10.0,41.0,12.0,3.0,26.0,8.0,34.0,6.0,2.0,16.0,76.0,10.0,18.0,39.0,17.0,56,1.0,5.0,4.0,6.0,3.0,11.0,16.0,30.0,45.0,3.0,51.0,,,14.0,2.0,16.0,8.0,37.0,117.0,0.6,0.6857142857142857,1.0,0.3333333333333333,0.2,0.3333333333333333,0.5263157894736842,0.5,0.5,0.5161290322580645,0.4166666666666667,0.4090909090909091,0.5850340136054422,0.631578947368421,0.5606060606060606,0.3870967741935484,0.039473684210526314,0.07407407407407407,25.199362041467307,0.5454545454545454,0.140625,0.07194244604316546,0.14960629921259844,0.06719367588932806,0.13333333333333333,0.15555555555555556,0.15873015873015872,0.05,0.015384615384615385,0.5,0.21774193548387097,0.5555555555555556,0.6,0.6,0.21774193548387097,0.1774193548387097,0.5,0.5,0.5454545454545454,0.056451612903225805,0.5714285714285714,0.5714285714285714,1.0,0.33064516129032256,0.2926829268292683,0.2926829268292683,1.0,0.8333333333333334,0.5,0.18181818181818182,0.25,0.045454545454545456,1.0,0.4090909090909091,0.6048387096774194,0.2926829268292683,0.5288221774193549,0.6522777777777776,0.5081431818181819,0.14893617021276595,,0.13953488372093023,0.21511627906976744,8.55263157894737,26.154166666666665,0.21234119782214156,14.0,1.0,1.0,2.0,19.0,,8.0,20.0,1.0,,4.0,21.0,6.0,0.15873015873015872,0.1348314606741573,0.5185185185185185,0.5384615384615384,0.6428571428571429,0.08333333333333333,0.1111111111111111,0.22580645161290322,1.0,,,14.0,2.0,7.0,1.0,5.0,3.0,,1.0,,2.0,2.0,,6.0,8.0,4.0,6.0,,0.037037037037037035,0.07142857142857142,0.06140350877192982,0.0392156862745098,0.056818181818181816,0.21621621621621623,,0.08333333333333333,,,1.0,,4.0,,,1.0,2.0,2.0,0.07692307692307693,True,,,,,,,,,,,
1630552,1610612737,Jalen Johnson,Jalen Johnson,1630552,ATL,11774.900000000001,196,7.0,423,422,103.0,121,46,845,36.0,45.0,7.0,8.0,8.0,10.0,21.0,1.0,5.0,1.0,4.0,,,5.0,12.0,4.0,49.0,71.0,6.0,16.0,26.0,142.0,511,10.0,11.0,25.0,10.0,15.0,1.0,4.0,26.0,56.0,42.0,12.0,8.0,12.0,5.0,4.0,20.0,14.0,34.0,11.0,3.0,15.0,82.0,6.0,22.0,50.0,8.0,58,2.0,7.0,5.0,8.0,7.0,13.0,7.0,15.0,21.0,,31.0,,,2.0,,2.0,1.0,26.0,103.0,0.5714285714285714,0.6222222222222222,0.6666666666666666,0.375,0.25,0.375,0.6901408450704225,0.9090909090909091,0.6666666666666666,0.6666666666666666,0.9583333333333334,0.6052631578947368,0.7171717171717171,1.0416666666666667,0.6190476190476191,0.1839080459770115,0.056338028169014086,0.06666666666666667,23.7791932059448,0.6153846153846154,0.22,0.05825242718446602,0.22164948453608246,0.04419889502762431,0.043478260869565216,0.17142857142857143,0.24074074074074073,0.2727272727272727,0.07407407407407407,0.5,0.5172413793103449,0.8,0.8571428571428571,0.5833333333333334,0.2413793103448276,0.05747126436781609,0.2,0.2,,0.04597701149425287,0.25,0.25,1.0,0.13793103448275862,0.4166666666666667,0.4166666666666667,0.6,0.6666666666666666,0.875,0.5263157894736842,0.8,,,0.21052631578947367,0.7011494252873564,0.4166666666666667,0.5988114942528736,0.5800666666666666,0.62265,0.16494845360824742,,0.176056338028169,0.18309859154929578,4.474647887323944,25.474999999999998,0.24349881796690306,12.0,1.0,1.0,1.0,3.0,6.0,4.0,21.0,2.0,1.0,6.0,16.0,,0.22340425531914893,0.21212121212121213,0.5714285714285714,0.6,0.5833333333333334,0.08333333333333333,0.25,0.19753086419753085,,1.0,1.0,2.0,1.0,2.0,7.0,5.0,1.0,,,5.0,2.0,2.0,,2.0,,2.0,2.0,1.0,0.047619047619047616,0.5384615384615384,0.02564102564102564,0.08108108108108109,,0.25,0.2857142857142857,,1.0,,3.0,,,1.0,0.05,,,,0.1,True,,,,,,,,,,,
1642258,1610612737,Zaccharie Risacher,Zaccharie Risacher,1642258,ATL,11406.6,190,27.0,406,404,54.0,66,52,810,19.0,32.0,3.0,4.0,1.0,4.0,7.0,1.0,6.0,2.0,9.0,,1.0,7.0,25.0,3.0,24.0,45.0,9.0,34.0,11.0,86.0,469,3.0,4.0,6.0,1.0,8.0,1.0,4.0,8.0,36.0,12.0,24.0,6.0,25.0,7.0,3.0,4.0,4.0,8.0,1.0,3.0,1.0,20.0,4.0,6.0,14.0,6.0,20,3.0,7.0,6.0,1.0,,2.0,9.0,13.0,8.0,,15.0,,1.0,6.0,,6.0,5.0,8.0,54.0,0.75,0.8571428571428571,0.8888888888888888,0.2647058823529412,0.25,0.2647058823529412,0.5333333333333333,0.75,0.125,0.47468354430379744,0.42857142857142855,0.20833333333333334,0.5058823529411764,0.42857142857142855,0.2857142857142857,0.43037974683544306,0.06666666666666667,0.09375,18.709677419354836,0.5,0.06315789473684211,0.0380952380952381,0.07608695652173914,0.03125,0.06382978723404255,0.030303030303030304,0.02127659574468085,0.26666666666666666,0.06976744186046512,0.8333333333333334,0.4050632911392405,0.59375,0.6551724137931034,0.7894736842105263,0.08860759493670886,0.0759493670886076,0.16666666666666666,0.16666666666666666,1.0,0.11392405063291139,0.2222222222222222,0.2222222222222222,1.0,0.31645569620253167,0.28,0.28,0.8571428571428571,0.5714285714285714,0.75,0.3333333333333333,0.25,0.08333333333333333,,0.25,0.8354430379746836,0.28,0.5956474683544305,0.60636,0.5357583333333333,0.08333333333333333,0.02857142857142857,0.06976744186046512,0.09302325581395349,5.0,25.597058823529412,0.1330049261083744,4.0,3.0,1.0,3.0,3.0,3.0,3.0,8.0,1.0,,2.0,6.0,,0.0898876404494382,0.12698412698412698,0.5714285714285714,0.5714285714285714,0.5,0.42857142857142855,0.3333333333333333,0.12244897959183673,,,,,,2.0,,1.0,1.0,1.0,,1.0,1.0,,,1.0,3.0,3.0,1.0,,,,0.022988505747126436,0.02631578947368421,0.028985507246376812,,,,,,,,,,,,,,,True,,,,,,,,,,,
1630700,1610612737,Dyson Daniels,Dyson Daniels,1630700,ATL,12638.100000000002,211,20.0,449,446,105.0,101,50,895,12.0,17.0,1.0,2.0,2.0,4.0,18.0,,,,3.0,,,1.0,5.0,2.0,19.0,35.0,1.0,8.0,5.0,46.0,537,1.0,4.0,2.0,3.0,5.0,1.0,2.0,9.0,18.0,20.0,3.0,2.0,5.0,1.0,2.0,19.0,10.0,29.0,8.0,2.0,16.0,68.0,4.0,12.0,25.0,10.0,35,1.0,17.0,10.0,10.0,6.0,12.0,8.0,15.0,11.0,,9.0,,,3.0,,3.0,2.0,9.0,105.0,0.47368421052631576,0.5,1.0,0.125,0.5,0.125,0.5428571428571428,0.25,0.6,0.47674418604651164,0.25,0.6428571428571429,0.5,0.25,0.6428571428571429,0.18604651162790697,0.05714285714285714,0.058823529411764705,11.462450592885377,0.8333333333333334,0.11009174311926606,0.034482758620689655,0.11594202898550725,0.05025125628140704,0.02,0.15789473684210525,0.10714285714285714,,0.047619047619047616,0.6666666666666666,0.3953488372093023,0.7058823529411765,0.75,0.5,0.4186046511627907,,,,,0.06976744186046512,,,,0.11627906976744186,0.2,0.2,1.0,0.5,0.5,0.5714285714285714,0.5,,,0.2857142857142857,0.5813953488372093,0.2,0.5541395348837208,0.55665,0.5715142857142856,0.13043478260869565,,0.043478260869565216,0.1956521739130435,4.579999999999999,25.349999999999998,0.23385300668151449,7.0,,1.0,,,,1.0,12.0,7.0,3.0,3.0,6.0,,0.12244897959183673,0.13043478260869565,0.3888888888888889,0.4117647058823529,0.42857142857142855,,0.5,0.15789473684210525,,,,,2.0,6.0,1.0,2.0,4.0,,,1.0,,1.0,,,3.0,,,,0.05555555555555555,0.1111111111111111,0.07228915662650602,0.07142857142857142,0.09230769230769231,0.10344827586206896,,,,,,1.0,1.0,,,,,,,True,,,,,,,,,,,
1630811,1610612737,Keaton Wallace,Keaton Wallace,1630811,ATL,3911.4,65,-27.0,125,132,11.0,10,16,257,,,,,,,3.0,,,1.0,1.0,,,1.0,3.0,1.0,1.0,3.0,2.0,4.0,,8.0,156,,,,,,1.0,1.0,3.0,,2.0,6.0,,3.0,1.0,1.0,5.0,7.0,12.0,5.0,2.0,2.0,31.0,,3.0,10.0,1.0,11,1.0,3.0,1.0,3.0,2.0,3.0,5.0,7.0,1.0,,,,,2.0,,2.0,2.0,3.0,11.0,,,1.0,0.5,1.0,0.5,0.3333333333333333,,,0.5714285714285714,,1.5,0.5714285714285714,,1.5,0.5714285714285714,0.3333333333333333,,6.8493150684931505,1.0,0.10344827586206896,,0.14925373134328357,0.014285714285714285,,0.18181818181818182,0.1,,0.3333333333333333,1.0,,,,,0.42857142857142855,,,,,0.14285714285714285,1.0,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,1.0,,,,,,,1.0,0.5714285714285714,0.3333333333333333,0.4921857142857142,,0.53535,,,,0.375,6.966666666666666,25.924999999999997,0.088,1.0,,1.0,,,,2.0,7.0,2.0,,,,,0.18421052631578946,0.16666666666666666,0.3333333333333333,0.5,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,,2.0,,,0.3333333333333333,,0.03125,,0.041666666666666664,0.25,,,,,,,,,,,,,,True,,,,,,,,,,,
1630249,1610612737,Vít Krejčí,Vít Krejčí,1630249,ATL,2717.8999999999996,45,-9.0,88,93,17.0,30,11,181,2.0,3.0,,1.0,1.0,1.0,,,,,1.0,,,3.0,6.0,1.0,2.0,3.0,3.0,7.0,,13.0,123,,1.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,,9.0,,6.0,3.0,1.0,,1.0,1.0,1.0,,,3.0,,,1.0,1.0,2,,1.0,1.0,,,,4.0,5.0,2.0,,,,,,,,,5.0,17.0,1.0,1.0,1.0,0.42857142857142855,1.0,0.42857142857142855,0.6666666666666666,,1.0,0.65,0.75,1.25,0.65,0.75,1.25,0.7,0.3333333333333333,0.3333333333333333,9.70873786407767,,,,0.02857142857142857,0.025,,,,,,,0.3,0.6666666666666666,1.0,1.0,,,,,,0.1,,,,0.6,0.5,0.5,1.0,0.5,,0.5,1.0,,,0.5,1.0,0.5,0.58104,0.28125,0.548075,,,0.23076923076923078,0.38461538461538464,1.1666666666666665,26.642857142857142,0.19318181818181818,,1.0,1.0,1.0,,,,1.0,,,,,,0.05555555555555555,0.07142857142857142,,,,0.5,1.0,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,0.05,,0.06666666666666667,,,,1.0,1.0,,,,,,,,,,True,,,,,,,,,,,
