EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,StepOutOfBoundsTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,DefThreePtRebounds,Offensive Fouls,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,DefThreePtReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,ShortMidRangeAssists,OffThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFouls,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LongMidRangeFGM,LostBallOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,2pt And 1 Free Throw Trips,OffShortMidRangeReboundPct,OffCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,OffFTReboundPct,LongMidRangeAssists,3pt And 1 Free Throw Trips,OffLongMidRangeReboundPct,on,Corner3PctBlocked,Blocked3s,BlockedArc3,BlockedLongMidRange,Charge Fouls Drawn
1628378,1610612739,Donovan Mitchell,Donovan Mitchell,1628378,CLE,4028.9999999999995,67,12.0,138,131,64.0,50,14.0,269,6.0,13.0,1.0,1.0,1.0,3.0,2.0,7.0,3.0,12.0,19.0,1.0,2.0,6.0,10.0,8.0,23.0,12.0,19.0,8.0,60.0,153,1.0,2.0,1.0,2.0,5.0,2.0,8.0,6.0,10.0,4.0,26.0,4.0,12.0,9.0,27.0,2.0,19.0,12.0,3.0,5.0,3.0,8.0,1.0,2.0,5.0,19.0,1.0,4.0,2.0,6.0,1.0,7.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,5.0,1.0,9.0,2.0,1.0,1.0,26.0,64.0,1.0,0.25,0.2857142857142857,0.25,0.631578947368421,0.5,0.6,0.631578947368421,0.34782608695652173,0.5,0.25,0.6190476190476191,0.625,0.6111111111111112,0.6521739130434783,0.625,0.65,0.4523809523809524,0.13043478260869565,0.15384615384615385,0.14285714285714285,31.84713375796178,0.75,0.4,0.10256410256410256,0.029411764705882353,0.07407407407407407,0.015625,0.06666666666666667,0.08333333333333333,0.13043478260869565,0.05263157894736842,0.30952380952380953,0.46153846153846156,0.5454545454545454,0.3333333333333333,0.16666666666666666,0.2857142857142857,0.3333333333333333,0.07142857142857142,0.4523809523809524,0.631578947368421,0.631578947368421,0.25,0.25,1.0,0.5,0.5,1.0,0.16666666666666666,0.3333333333333333,0.5555555555555556,0.6,0.7619047619047619,0.631578947368421,0.5438621951219512,0.5306666666666667,0.4976735294117647,0.06666666666666667,0.08,0.05,0.08333333333333333,0.43333333333333335,6.030434782608697,26.72631578947368,0.463768115942029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1628386,1610612739,Jarrett Allen,Jarrett Allen,1628386,CLE,2753.0,46,31.0,92,89,18.0,15,11.0,181,6.0,8.0,2.0,2.0,2.0,2.0,3.0,6.0,,,,,,,,9.0,14.0,,,4.0,22.0,92,2.0,2.0,,,6.0,3.0,4.0,,,2.0,8.0,16.0,2.0,,,2.0,,,2.0,,,,,,,,1.0,6.0,,7.0,1.0,8.0,,2.0,2.0,1.0,,1.0,1.0,,2.0,1.0,3.0,4.0,,7.0,,8.0,3.0,,1.0,8.0,18.0,1.0,0.8888888888888888,1.0,,,,,,0.6428571428571429,1.0,0.75,0.6428571428571429,1.0,0.75,0.6111111111111112,1.0,0.6666666666666666,,0.14285714285714285,0.25,,19.607843137254903,0.5,,0.17647058823529413,0.07142857142857142,0.14893617021276595,0.03333333333333333,0.16666666666666666,0.17647058823529413,0.14285714285714285,,0.5714285714285714,0.75,1.0,0.8333333333333334,0.42857142857142855,0.5,0.5,,,,,,1.0,1.0,,,,0.5,1.0,,,0.5714285714285714,,0.6115357142857143,0.6299,0.652575,0.17647058823529413,0.17647058823529413,,0.2727272727272727,0.36363636363636365,3.9714285714285715,,0.1956521739130435,2.0,1.0,1.0,1.0,5.0,4.0,1.0,5.0,2.0,0.07692307692307693,0.3333333333333333,0.25,0.4,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,
1629622,1610612739,Max Strus,Max Strus,1629622,CLE,3924.9,65,15.0,139,133,60.0,41,17.0,272,5.0,7.0,,,2.0,3.0,,1.0,,3.0,8.0,,,,2.0,5.0,8.0,5.0,12.0,2.0,27.0,151,,,1.0,1.0,3.0,2.0,4.0,1.0,5.0,,7.0,8.0,2.0,12.0,3.0,,8.0,3.0,,5.0,3.0,8.0,2.0,1.0,4.0,19.0,,4.0,,7.0,1.0,8.0,,2.0,1.0,2.0,1.0,1.0,1.0,,3.0,,2.0,8.0,,1.0,,2.0,1.0,,,7.0,60.0,,0.8,0.8,0.8,0.4166666666666667,1.0,0.2,0.4166666666666667,0.625,,0.5,0.625,1.5,0.3888888888888889,0.6428571428571429,1.5,0.3888888888888889,0.6,,,,15.094339622641508,0.6666666666666666,,0.13333333333333333,,0.13725490196078433,0.018518518518518517,,0.25,0.06666666666666667,,0.35,0.7142857142857143,0.7142857142857143,0.8,0.05,,,,0.4,0.375,0.375,0.6666666666666666,,,,,,0.3333333333333333,0.6666666666666666,0.2222222222222222,,0.95,0.375,0.5771775000000001,0.58995,0.5661055555555556,0.047619047619047616,0.1111111111111111,,0.1111111111111111,0.25925925925925924,2.5999999999999996,25.533333333333335,0.4316546762589928,,3.0,,,,,,,,0.14285714285714285,,,,,,2.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,0.03125,0.045454545454545456,0.2,0.2,0.5,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,True,,,,,
1630241,1610612739,Sam Merrill,Sam Merrill,1630241,CLE,7107.099999999999,118,23.0,244,235,92.0,71,29.0,479,2.0,3.0,,1.0,,,1.0,2.0,2.0,5.0,13.0,1.0,2.0,1.0,4.0,4.0,7.0,8.0,22.0,8.0,40.0,275,,1.0,2.0,4.0,6.0,2.0,3.0,2.0,6.0,7.0,17.0,6.0,2.0,21.0,3.0,,13.0,5.0,1.0,5.0,1.0,6.0,1.0,,4.0,13.0,2.0,3.0,1.0,5.0,5.0,10.0,,3.0,1.0,2.0,1.0,2.0,1.0,,4.0,1.0,6.0,8.0,,10.0,,10.0,3.0,,3.0,17.0,92.0,3.0,0.75,0.75,0.875,0.36363636363636365,0.5,0.3333333333333333,0.36363636363636365,0.5714285714285714,,0.6666666666666666,0.5517241379310345,0.6,0.5555555555555556,0.6060606060606061,0.6,0.6538461538461539,0.7586206896551724,0.14285714285714285,,0.5,13.261648745519713,0.5,0.125,0.046875,0.04081632653061224,0.04040404040404041,0.04950495049504951,0.05263157894736842,,0.09375,,0.10344827586206896,0.6666666666666666,0.6666666666666666,1.0,0.06896551724137931,0.5,1.0,0.06896551724137931,0.4482758620689655,0.38461538461538464,0.38461538461538464,1.0,0.2,,0.4,0.5,1.0,,,0.4444444444444444,0.25,0.8620689655172413,0.38461538461538464,0.5451603448275862,0.53895,0.4662666666666666,0.1,0.375,,0.15,0.425,9.028571428571428,24.986363636363635,0.3770491803278688,,1.0,,2.0,,,,,,0.02857142857142857,,,,,,3.0,9.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,,,0.057692307692307696,,0.03571428571428571,0.3103448275862069,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4,0.5,,0.2222222222222222,0.5,1.0,1.0,1.0,1.0,2.0,0.041666666666666664,0.17647058823529413,0.5,0.5,1.0,,,,,,,,,True,,,,,
1642281,1610612739,Jaylon Tyson,Jaylon Tyson,1642281,CLE,2481.3,41,-3.0,86,81,6.0,23,12.0,167,,1.0,,1.0,,,3.0,4.0,,2.0,5.0,1.0,1.0,,1.0,3.0,5.0,2.0,10.0,3.0,15.0,111,1.0,2.0,1.0,1.0,5.0,,,,1.0,2.0,2.0,6.0,,6.0,,,5.0,2.0,,5.0,2.0,7.0,2.0,,2.0,16.0,,1.0,,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,7.0,11.0,,2.0,,4.0,2.0,,,2.0,6.0,,1.0,1.0,1.0,0.2,1.0,,0.2,0.6,0.5,,0.4,0.8333333333333334,,0.4411764705882353,0.8333333333333334,0.5,0.6666666666666666,,,,18.181818181818183,1.0,,0.05,,0.0625,0.07894736842105263,,,0.1111111111111111,0.1111111111111111,0.06666666666666667,,,,0.26666666666666666,0.75,0.75,,0.3333333333333333,0.4,0.5,1.0,0.3333333333333333,,0.3333333333333333,1.0,1.0,,,1.0,,0.7333333333333333,0.4,0.5329299999999999,0.45487500000000003,0.5382,0.11764705882352941,0.2857142857142857,,0.3333333333333333,0.13333333333333333,5.74,24.46,0.06976744186046512,,1.0,,,,,,,,0.08333333333333333,,1.0,,1.0,,,5.0,,,,,3.0,3.0,,,1.0,0.15789473684210525,0.2222222222222222,,0.3333333333333333,,,,,,,,,,,,,,,0.1,,,,1.0,0.1,0.2,,,,,,True,,,,,
203471,1610612739,Dennis Schröder,Dennis Schröder,203471,CLE,2663.1000000000004,44,-7.0,92,89,39.0,31,7.0,181,6.0,10.0,,,1.0,2.0,1.0,3.0,1.0,2.0,4.0,,1.0,1.0,1.0,8.0,14.0,2.0,6.0,11.0,33.0,108,,,,1.0,,1.0,4.0,1.0,1.0,7.0,12.0,4.0,12.0,3.0,3.0,,4.0,2.0,,5.0,2.0,7.0,2.0,,5.0,16.0,,3.0,,6.0,,6.0,,1.0,1.0,5.0,3.0,2.0,2.0,,7.0,4.0,2.0,6.0,1.0,7.0,,11.0,5.0,,1.0,12.0,39.0,1.0,0.25,0.25,0.5,0.3333333333333333,,1.0,0.3333333333333333,0.5714285714285714,,0.25,0.55,,0.5,0.66,,0.75,0.3,,,,31.683168316831683,0.7142857142857143,,0.13636363636363635,,0.16216216216216217,,,,0.16666666666666666,,0.5,0.6,0.6,0.3333333333333333,0.15,0.3333333333333333,0.3333333333333333,0.05,0.2,0.5,0.5,0.5,,,1.0,,,0.4,0.5,0.2,1.0,0.8,0.5,0.6418800000000001,0.49245,0.55358,0.20833333333333334,0.2777777777777778,,,0.36363636363636365,3.9714285714285715,25.733333333333334,0.42391304347826086,,3.0,1.0,1.0,,,,,,0.2,0.5,,,,,,2.0,,,,,,,,,1.0,,,0.23076923076923078,0.1,,,,,,,,,1.0,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,True,,,,,
1629731,1610612739,Dean Wade,Dean Wade,1629731,CLE,3511.3,59,29.0,116,117,57.0,35,13.0,233,3.0,4.0,1.0,1.0,,1.0,,,2.0,1.0,4.0,,,1.0,3.0,4.0,6.0,3.0,8.0,,17.0,129,1.0,1.0,,,2.0,,2.0,3.0,6.0,,9.0,4.0,4.0,9.0,,,4.0,1.0,1.0,,1.0,1.0,,1.0,,3.0,2.0,3.0,1.0,7.0,5.0,12.0,,3.0,1.0,1.0,,1.0,1.0,,2.0,2.0,3.0,6.0,1.0,,,,,,,9.0,57.0,,0.5,0.5,1.0,0.375,,0.5,0.375,0.6666666666666666,1.0,,0.6071428571428571,1.0,0.5625,0.6071428571428571,1.0,0.5625,0.5714285714285714,0.16666666666666666,0.25,,12.030075187969924,0.5,0.2,0.08823529411764706,0.1,0.11764705882352941,0.0975609756097561,,,0.11764705882352941,,0.2857142857142857,0.75,1.0,0.6666666666666666,,,,0.14285714285714285,0.2857142857142857,0.25,0.25,1.0,1.0,1.0,,,,0.125,,0.375,0.3333333333333333,0.8571428571428571,0.25,0.5821928571428572,0.6583,0.54819375,,,,0.11764705882352941,0.5294117647058824,6.45,24.137500000000003,0.49137931034482757,,3.0,1.0,,,,,,,0.17647058823529413,0.25,0.25,,,,2.0,4.0,,,2.0,3.0,,2.0,2.0,,1.0,0.09523809523809523,0.06666666666666667,0.15384615384615385,0.2857142857142857,0.5,0.5,1.0,,,,0.375,0.6666666666666666,1.0,,,1.0,,0.2,0.16666666666666666,0.5,0.5,,,,,1.0,0.5,,,,True,,,,,
201935,1610612739,James Harden,James Harden,201935,CLE,4161.7,69,31.0,144,137,53.0,33,20.0,281,3.0,3.0,1.0,1.0,2.0,2.0,2.0,8.0,1.0,6.0,11.0,,2.0,1.0,5.0,5.0,12.0,8.0,13.0,6.0,40.0,155,2.0,3.0,1.0,3.0,8.0,2.0,3.0,2.0,6.0,5.0,15.0,2.0,8.0,6.0,18.0,2.0,11.0,6.0,2.0,7.0,7.0,14.0,4.0,3.0,5.0,35.0,1.0,5.0,2.0,10.0,1.0,11.0,,5.0,3.0,8.0,6.0,9.0,2.0,1.0,17.0,1.0,1.0,5.0,,6.0,,6.0,1.0,1.0,2.0,15.0,53.0,2.0,0.2,0.25,0.25,0.6153846153846154,0.3333333333333333,0.3333333333333333,0.6153846153846154,0.4166666666666667,0.6666666666666666,0.6666666666666666,0.68,0.5833333333333334,0.5555555555555556,0.7407407407407407,0.6666666666666666,0.6818181818181818,0.52,0.16666666666666666,,0.25,26.19047619047619,0.47058823529411764,0.4,0.13513513513513514,0.037037037037037035,0.13333333333333333,0.017241379310344827,,0.125,0.17647058823529413,,0.12,1.0,1.0,,0.32,0.25,0.3333333333333333,0.04,0.44,0.5454545454545454,0.5454545454545454,0.16666666666666666,0.16666666666666666,1.0,0.3333333333333333,,,0.2222222222222222,1.0,0.5555555555555556,0.2,0.64,0.5454545454545454,0.522718,0.48118750000000005,0.5359444444444444,0.08,0.08333333333333333,0.07692307692307693,0.2,0.375,6.7749999999999995,25.97692307692308,0.3680555555555556,1.0,3.0,4.0,,1.0,1.0,,1.0,,0.13043478260869565,,,,0.5,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,2.0,3.0,,,,0.17647058823529413,0.08,1.0,1.0,0.5,0.16666666666666666,1.0,,0.1111111111111111,1.0,,,,1.0,1.0,,,,,,,,,,,1.0,1.0,0.3333333333333333,True,,,,,
1630596,1610612739,Evan Mobley,Evan Mobley,1630596,CLE,4239.1,71,-8.0,149,142,71.0,52,18.0,291,12.0,13.0,2.0,3.0,6.0,6.0,2.0,7.0,,2.0,2.0,,,1.0,1.0,14.0,20.0,2.0,2.0,10.0,44.0,176,2.0,4.0,,,6.0,7.0,8.0,1.0,1.0,5.0,22.0,20.0,8.0,6.0,,4.0,2.0,2.0,1.0,2.0,5.0,7.0,5.0,,1.0,19.0,3.0,5.0,1.0,12.0,8.0,20.0,1.0,2.0,1.0,,,2.0,,,2.0,1.0,4.0,6.0,,7.0,,13.0,5.0,,2.0,22.0,71.0,2.0,0.7142857142857143,0.8333333333333334,1.0,1.0,,1.0,1.0,0.7,0.5,0.875,0.7727272727272727,0.5,0.9444444444444444,0.7857142857142857,0.5,0.9166666666666666,0.09090909090909091,0.05,,0.14285714285714285,17.341040462427745,,0.2,0.16666666666666666,0.08571428571428572,0.21153846153846154,0.11428571428571428,,,0.16666666666666666,0.2,0.5909090909090909,0.9230769230769231,0.9230769230769231,0.75,0.3181818181818182,0.2857142857142857,0.3333333333333333,,0.09090909090909091,1.0,1.0,1.0,0.75,0.6666666666666666,,,,0.6666666666666666,1.0,0.1111111111111111,1.0,0.6818181818181818,1.0,0.6268886363636365,0.5245,0.6561388888888888,0.19230769230769232,0.20833333333333334,,0.13636363636363635,0.5,3.3099999999999996,25.8,0.47651006711409394,2.0,6.0,1.0,,,,,,,0.2727272727272727,0.5,0.3333333333333333,,0.5,,,,,,,,1.0,5.0,1.0,,,0.14285714285714285,0.14814814814814814,0.2631578947368421,,,,,,,,,,,,1.0,,1.0,0.16666666666666666,0.125,,,,,,,,,,,,True,,,,,
1631165,1610612739,Keon Ellis,Keon Ellis,1631165,CLE,612.0,10,-4.0,17,18,,3,4.0,35,,,,,,,,,,,1.0,,,,,,,,1.0,,,21,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,2.0,1.0,2.0,,3.0,1.0,4.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,4.761904761904762,,,0.2222222222222222,0.25,0.2727272727272727,0.1,,0.4,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,0.52965,,,,,,,,,25.7,,,1.0,,,,,,,,0.5,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,True,,,,,
