EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Fg3aBlocked,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,Usage,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,FtPoints,SecondChanceFtPoints,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,BlockedAtRim,OffThreePtReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefLongMidRangeReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceCorner3FGA,PenaltyCorner3FGA,DefArc3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,Corner3FGM,PenaltyFtPoints,Travels,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,LongMidRangeFGM,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,OffCorner3ReboundPct,LongMidRangePctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LostBallSteals,Charge Fouls,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,RecoveredBlocks,BlocksRecoveredPct,on,StepOutOfBoundsTurnovers,Corner3PctBlocked,LongMidRangePctBlocked,OffLongMidRangeReboundPct,FTOffRebounds,OffFTReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3
1628378,1610612739,Donovan Mitchell,Donovan Mitchell,1628378,CLE,4410.0,74,-39.0,143,142,57.0,37,16,285,4.0,8.0,1.0,1.0,1.0,2.0,7.0,15.0,3.0,1.0,5.0,14.0,1.0,1.0,1.0,8.0,11.0,26.0,5.0,15.0,37.0,166,3.0,4.0,1.0,1.0,9.0,3.0,9.0,1.0,8.0,9.0,10.0,12.0,9.0,6.0,2.0,14.0,5.0,5.0,1.0,4.0,1.0,5.0,1.0,3.0,1.0,11.0,1.0,3.0,3.0,1.0,7.0,1.0,8.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,7.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,57.0,1.0,0.45454545454545453,0.5,0.6,0.3333333333333333,1.0,0.125,0.3333333333333333,0.4230769230769231,0.75,0.3333333333333333,0.45121951219512196,0.9,0.2647058823529412,0.45121951219512196,0.9,0.2647058823529412,0.36585365853658536,0.06666666666666667,0.19230769230769232,0.25,0.2,0.07142857142857142,28.220858895705522,0.6,0.3333333333333333,0.06976744186046512,0.02564102564102564,0.10344827586206896,0.08333333333333333,0.013157894736842105,0.0625,0.0625,0.1,0.3,0.05263157894736842,0.1951219512195122,0.5,0.6666666666666666,0.25,0.36585365853658536,0.4666666666666667,0.5833333333333334,0.5714285714285714,0.07317073170731707,0.024390243902439025,0.34146341463414637,0.35714285714285715,0.38461538461538464,0.6,0.2,1.0,0.2,1.0,1.0,0.11764705882352941,0.5,0.47058823529411764,0.125,0.5609756097560976,0.35714285714285715,0.516969512195122,0.5291999999999999,0.5013411764705883,0.24324324324324326,0.24324324324324326,7.876923076923077,26.166666666666668,0.3986013986013986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1628386,1610612739,Jarrett Allen,Jarrett Allen,1628386,CLE,1429.6,24,1.0,45,43,9.0,11,7,88,1.0,2.0,,,,1.0,,1.0,,,,,,,,,1.0,3.0,,,4.0,42,,1.0,,,1.0,,2.0,,,,2.0,,,,,,,1.0,,1.0,1.0,2.0,,,,5.0,3.0,,6.0,,6.0,5.0,11.0,,1.0,1.0,,,1.0,,,1.0,,1.0,1.0,2.0,,1.0,8.0,3.0,1.0,3.0,,9.0,,1.0,1.0,,,,,,0.3333333333333333,,,0.3333333333333333,,,0.3333333333333333,0.16666666666666666,,,,0.3333333333333333,0.5,,,12.962962962962962,,,0.375,0.2727272727272727,,0.2222222222222222,0.2,,0.2857142857142857,0.2857142857142857,,,0.6666666666666666,0.5,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,0.5,,,,0.6666666666666666,,0.5644666666666667,,0.4611,0.25,,5.0,,0.2,2.0,1.0,1.0,1.0,2.0,1.0,6.0,3.0,2.0,0.14285714285714285,0.42857142857142855,0.18181818181818182,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1629622,1610612739,Max Strus,Max Strus,1629622,CLE,2209.7,37,-17.0,75,73,42.0,27,11,148,,1.0,,,,1.0,,,,2.0,1.0,4.0,,1.0,,1.0,,1.0,1.0,6.0,6.0,74,,,,2.0,1.0,,1.0,,2.0,,,,3.0,,,4.0,1.0,,,3.0,,3.0,,3.0,,6.0,2.0,2.0,,,2.0,2.0,4.0,,1.0,1.0,1.0,,,,1.0,1.0,,,1.0,1.0,,,2.0,,,,,42.0,,,,1.0,0.16666666666666666,,,0.16666666666666666,,,,0.21428571428571427,,,0.3333333333333333,0.16666666666666666,,0.8571428571428571,,,,,,11.494252873563218,1.0,,,0.1111111111111111,0.09090909090909091,0.045454545454545456,0.05,,,,0.09090909090909091,,0.14285714285714285,,,,,,,,,0.2857142857142857,0.5714285714285714,0.25,0.25,1.0,,,0.5,,,0.3333333333333333,,0.3333333333333333,,1.0,0.25,0.5745857142857143,0.4761,0.6116,0.16666666666666666,,1.6,24.95,0.56,3.0,1.0,,,,,4.0,2.0,,,0.15384615384615385,,,0.2222222222222222,0.6666666666666666,1.0,1.0,0.09090909090909091,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
1630241,1610612739,Sam Merrill,Sam Merrill,1630241,CLE,2996.1000000000004,50,-10.0,103,101,40.0,31,9,204,2.0,2.0,,,,,,,,1.0,2.0,7.0,,1.0,,3.0,2.0,2.0,3.0,8.0,14.0,120,,,,1.0,,,,,3.0,1.0,4.0,,9.0,,,7.0,2.0,,,1.0,,1.0,,1.0,,2.0,1.0,2.0,,,2.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,3.0,4.0,,,3.0,,,,1.0,40.0,,1.0,1.0,1.0,0.375,,,0.375,1.0,,,0.65,,,0.6363636363636364,,0.125,0.8,,,,,,11.304347826086957,0.5,,,0.043478260869565216,0.1,0.043478260869565216,0.022222222222222223,0.08333333333333333,,,,,0.2,1.0,1.0,1.0,,,,,,0.1,0.7,0.2857142857142857,0.2857142857142857,1.0,,,1.0,,,,,1.0,,1.0,0.2857142857142857,0.565635,0.52665,0.46369999999999995,,0.07142857142857142,1.25,25.599999999999998,0.3883495145631068,1.0,,,,,,3.0,1.0,,,,,,0.1,0.5,,,0.13333333333333333,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
203471,1610612739,Dennis Schröder,Dennis Schröder,203471,CLE,5741.9,96,-25.0,189,187,66.0,52,22,376,9.0,16.0,,,2.0,4.0,1.0,6.0,1.0,4.0,4.0,13.0,,2.0,1.0,4.0,11.0,23.0,4.0,17.0,46.0,208,,,,2.0,1.0,2.0,7.0,1.0,4.0,15.0,6.0,16.0,9.0,3.0,,13.0,4.0,1.0,,5.0,5.0,10.0,2.0,5.0,,25.0,,4.0,5.0,,9.0,,9.0,,3.0,3.0,5.0,3.0,3.0,1.0,2.0,8.0,,5.0,2.0,9.0,1.0,1.0,11.0,1.0,,1.0,15.0,66.0,2.0,0.2727272727272727,0.2727272727272727,0.75,0.23529411764705882,,0.25,0.23529411764705882,0.4782608695652174,,0.2857142857142857,0.425,,0.3181818181818182,0.5,0.16666666666666666,0.5,0.425,,0.043478260869565216,0.0625,,,25.116279069767444,0.625,,0.08771929824561403,,0.09523809523809523,0.09090909090909091,,,0.045454545454545456,0.11538461538461539,,,0.4,0.5625,0.6,0.3333333333333333,0.15,0.16666666666666666,0.16666666666666666,,0.025,0.1,0.325,0.3076923076923077,0.3076923076923077,0.75,,,1.0,,,0.36363636363636365,0.5,0.36363636363636365,0.25,0.825,0.3076923076923077,0.6131012499999999,0.49245,0.5784090909090909,0.021739130434782608,0.32608695652173914,4.073913043478262,25.49411764705882,0.3492063492063492,12.0,1.0,3.0,,,,13.0,5.0,1.0,,,,0.1111111111111111,0.11363636363636363,0.18518518518518517,,,0.15384615384615385,,,,8.0,,1.0,1.0,2.0,2.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,True,,,,,,,,,,,,
1642281,1610612739,Jaylon Tyson,Jaylon Tyson,1642281,CLE,2531.6,42,-6.0,80,78,23.0,18,13,158,1.0,2.0,,1.0,1.0,1.0,,2.0,1.0,3.0,1.0,5.0,,,,2.0,2.0,5.0,2.0,8.0,12.0,99,,1.0,,,2.0,2.0,3.0,,2.0,6.0,2.0,2.0,3.0,3.0,,5.0,1.0,1.0,1.0,,2.0,2.0,,,,6.0,,2.0,3.0,,5.0,3.0,8.0,,1.0,1.0,,,1.0,,,1.0,,1.0,4.0,7.0,1.0,1.0,1.0,,,,6.0,23.0,1.0,0.5,0.5,0.5,0.25,,,0.25,0.4,,0.6666666666666666,0.38461538461538464,,0.4,0.42857142857142855,0.5,0.5,0.6153846153846154,0.125,0.2,,0.5,0.2,15.789473684210527,,,0.1111111111111111,,0.13333333333333333,0.11904761904761904,0.06818181818181818,,0.09090909090909091,0.16666666666666666,,,0.15384615384615385,0.5,0.5,,0.15384615384615385,,,,0.07692307692307693,0.23076923076923078,0.38461538461538464,0.2,0.25,1.0,1.0,,,,,0.2,1.0,0.4,,0.7692307692307693,0.2,0.5181576923076924,,0.46208,0.16666666666666666,0.5,5.62,24.825000000000003,0.2875,2.0,2.0,2.0,,3.0,1.0,2.0,,,0.13636363636363635,,0.13333333333333333,,,,,,0.16666666666666666,,,1.0,2.0,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,,1.0,,,1.0,1.0,0.14285714285714285,1.0,,,,,,,,,,,True,,,,,,,,,,,,
1629731,1610612739,Dean Wade,Dean Wade,1629731,CLE,1605.9,27,-11.0,53,56,23.0,27,7,109,2.0,3.0,1.0,1.0,1.0,2.0,,,,3.0,1.0,2.0,,,,1.0,2.0,3.0,3.0,5.0,13.0,63,1.0,1.0,,,2.0,1.0,2.0,1.0,2.0,5.0,2.0,2.0,9.0,,2.0,2.0,1.0,1.0,,1.0,,1.0,,,,2.0,1.0,1.0,1.0,,2.0,2.0,4.0,,,,1.0,1.0,1.0,,,2.0,,1.0,,2.0,,1.0,,,,,5.0,23.0,1.0,0.5,1.0,1.0,0.6,,0.5,0.6,0.6666666666666666,1.0,0.5,0.8125,1.0,0.625,0.8125,1.0,0.625,0.625,,0.3333333333333333,0.3333333333333333,,,16.129032258064516,0.5,,0.058823529411764705,0.08333333333333333,0.125,0.08,0.08333333333333333,0.14285714285714285,,0.16666666666666666,,,0.375,0.6666666666666666,1.0,0.5,,,,,,0.375,0.25,0.5,0.5,1.0,1.0,1.0,,,,0.5,0.5,0.25,,1.0,0.5,0.6048,0.7803,0.5979625000000001,0.15384615384615385,0.38461538461538464,1.5666666666666667,24.08,0.4339622641509434,,,,1.0,1.0,,,,,0.08333333333333333,,0.09090909090909091,,,,,1.0,0.16666666666666666,,0.25,2.0,,,,,,,0.6666666666666666,0.6666666666666666,1.0,,,,,,,,1.0,1.0,,,,,,,,,True,,,,,,,,,,,,
201935,1610612739,James Harden,James Harden,201935,CLE,2383.4,40,17.0,80,77,16.0,17,8,157,1.0,2.0,,,,,1.0,4.0,2.0,,2.0,7.0,,3.0,,2.0,2.0,8.0,2.0,7.0,17.0,66,,,,3.0,,,,,2.0,4.0,,4.0,,6.0,,7.0,2.0,,,3.0,2.0,5.0,1.0,2.0,,12.0,,5.0,4.0,2.0,11.0,,11.0,,3.0,2.0,2.0,2.0,2.0,1.0,,4.0,1.0,,1.0,4.0,,,6.0,1.0,,1.0,4.0,16.0,,,,,0.2857142857142857,,,0.2857142857142857,0.25,,,0.3333333333333333,,,0.4473684210526316,,0.4,0.4666666666666667,,,,,,25.84269662921348,0.5,1.0,0.14814814814814814,,0.20833333333333334,0.17647058823529413,,,0.09090909090909091,0.16666666666666666,0.23076923076923078,,0.13333333333333333,0.5,0.5,,0.26666666666666666,0.25,0.25,,0.13333333333333333,,0.4666666666666667,0.2857142857142857,0.2857142857142857,,,,1.0,,,,,1.0,,0.6,0.2857142857142857,0.4918533333333333,0.5352,0.5352,,0.23529411764705882,9.6125,25.4,0.2,7.0,,1.0,1.0,,,10.0,3.0,1.0,,,,0.25,0.23529411764705882,0.3,,,0.18181818181818182,,,,4.0,,,1.0,2.0,2.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.14285714285714285,,,,True,,,,,,,,,,,,
1630596,1610612739,Evan Mobley,Evan Mobley,1630596,CLE,4240.3,71,-26.0,143,141,50.0,33,11,284,8.0,10.0,1.0,2.0,3.0,3.0,,5.0,,2.0,3.0,4.0,,,1.0,1.0,8.0,15.0,4.0,6.0,34.0,158,1.0,2.0,,,2.0,3.0,4.0,1.0,1.0,12.0,14.0,2.0,12.0,,2.0,4.0,3.0,2.0,,2.0,6.0,8.0,,1.0,,22.0,2.0,8.0,6.0,1.0,15.0,4.0,19.0,1.0,1.0,,,,3.0,1.0,,3.0,,1.0,7.0,10.0,1.0,1.0,7.0,4.0,1.0,4.0,12.0,50.0,,0.875,1.0,1.0,0.6666666666666666,,1.0,0.6666666666666666,0.5333333333333333,0.5,0.75,0.6666666666666666,0.5,0.9,0.6296296296296297,0.5,0.75,0.2857142857142857,,0.13333333333333333,,0.4,,19.35483870967742,,0.5,0.14634146341463414,0.06060606060606061,0.24242424242424243,0.1891891891891892,0.06153846153846154,,0.06666666666666667,0.10526315789473684,0.1,0.14285714285714285,0.47619047619047616,0.8,0.8,0.875,0.23809523809523808,,,,,0.09523809523809523,0.19047619047619047,0.75,0.75,1.0,1.0,0.5,,,,0.6,1.0,0.2,1.0,0.7619047619047619,0.75,0.6017000000000001,0.5511,0.62241,0.058823529411764705,0.35294117647058826,3.633333333333333,24.8,0.34965034965034963,6.0,,6.0,1.0,2.0,,12.0,3.0,2.0,0.0625,0.13333333333333333,0.08695652173913043,0.42857142857142855,0.125,0.16666666666666666,,,0.30434782608695654,,,1.0,3.0,,,,3.0,3.0,0.5,0.5,1.0,,,,,,,,,,1.0,1.0,,,,1.0,1.0,0.25,True,,,,,,,,,,,,
1631165,1610612739,Keon Ellis,Keon Ellis,1631165,CLE,604.0,10,-3.0,19,20,,3,2,39,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,,1.0,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,0.5,0.2222222222222222,,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,
